name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Midtjylland vs Randers,2022-07-15 17:00:00,Game ended in draw.,Denmark Superliga,FC Midtjylland,Randers FC,1,1,,,8.0,2.0,9.0,5.0,20.0,12.0,146.0,90.0,71.0,35.0,61.0,39.0,0.0,0.0,15.0,9.0,5.0,3.0,2.0,1.0,,,19.0,9.0,2.0,10.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,2.05,1.7,,,,,,,2022-2023
Viborg vs AaB,2022-07-17 12:00:00,Viborg won after full-time.,Denmark Superliga,Viborg FF,Aalborg BK,2,1,12,4,8.0,3.0,7.0,3.0,17.0,13.0,123.0,83.0,71.0,33.0,56.0,44.0,0.0,1.0,13.0,6.0,4.0,7.0,2.0,1.0,,,12.0,11.0,4.0,5.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,,2.05,1.7,,,,,1.85,2.0,2022-2023
Lyngby vs Silkeborg,2022-07-17 12:00:00,Game ended in draw.,Denmark Superliga,Lyngby Boldklub,Silkeborg IF,2,2,8,11,7.0,4.0,6.0,3.0,9.0,11.0,113.0,127.0,18.0,21.0,50.0,50.0,1.0,0.0,5.0,5.0,4.0,6.0,0.0,2.0,,,8.0,5.0,10.0,5.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,2.05,1.7,,,,,1.88,1.98,2022-2023
FC Copenhagen vs Horsens,2022-07-17 14:00:00,Horsens won after full-time.,Denmark Superliga,FC København,Horsens,0,1,10,9,11.0,1.0,10.0,2.0,20.0,8.0,148.0,67.0,81.0,30.0,71.0,29.0,0.0,0.0,10.0,6.0,10.0,2.0,1.0,3.0,,,15.0,4.0,4.0,14.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,,,,1.8,1.95,,,,,,,2022-2023
Brøndby vs AGF,2022-07-17 16:00:00,Brøndby won after full-time.,Denmark Superliga,Brøndby IF,AGF,1,0,8,7,15.0,5.0,7.0,5.0,15.0,12.0,100.0,111.0,49.0,57.0,56.0,44.0,0.0,0.0,6.0,5.0,9.0,7.0,1.0,0.0,,,11.0,8.0,6.0,9.0,1.0,5.0,0.0,2.0,,,,,,,,,,,,,,,1.8,1.95,,,1.9,1.95,,,2022-2023
OB vs Nordsjælland,2022-07-18 17:00:00,Nordsjælland won after full-time.,Denmark Superliga,Odense BK,Nordsjælland,0,2,12,11,2.0,5.0,4.0,8.0,10.0,20.0,120.0,84.0,66.0,37.0,54.0,45.0,0.0,0.0,7.0,15.0,3.0,5.0,2.0,3.0,,,9.0,14.0,10.0,14.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
Midtjylland vs Silkeborg,2022-07-22 17:00:00,Silkeborg won after full-time.,Denmark Superliga,FC Midtjylland,Silkeborg IF,1,3,7,6,12.0,2.0,6.0,0.0,9.0,4.0,147.0,81.0,73.0,35.0,45.0,54.0,0.0,0.0,6.0,3.0,3.0,1.0,3.0,1.0,,,7.0,4.0,5.0,7.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
AGF vs Viborg,2022-07-24 12:00:00,AGF won after full-time.,Denmark Superliga,AGF,Viborg FF,3,1,3,12,6.0,1.0,4.0,2.0,11.0,7.0,128.0,112.0,47.0,46.0,49.0,50.0,0.0,0.0,10.0,3.0,1.0,4.0,0.0,2.0,,,7.0,4.0,13.0,16.0,1.0,1.0,1.0,0.0,,,,2.06,1.81,,,,,,,,,,2.0,1.75,,,,,2.03,1.83,2022-2023
Randers vs OB,2022-07-24 12:00:00,Game ended in draw.,Denmark Superliga,Randers FC,Odense BK,2,2,11,10,11.0,2.0,8.0,1.0,25.0,10.0,118.0,97.0,72.0,21.0,56.0,43.0,0.0,0.0,17.0,6.0,8.0,4.0,4.0,0.0,,,16.0,5.0,9.0,10.0,0.0,2.0,1.0,0.0,,,,2.34,1.64,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
Brøndby vs Nordsjælland,2022-07-24 14:00:00,Nordsjælland won after full-time.,Denmark Superliga,Brøndby IF,Nordsjælland,1,3,4,2,6.0,6.0,5.0,2.0,11.0,11.0,115.0,83.0,80.0,35.0,51.0,48.0,1.0,0.0,7.0,9.0,4.0,2.0,2.0,2.0,,,7.0,9.0,14.0,17.0,4.0,3.0,3.0,2.0,,,,2.31,1.65,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
AaB vs FC Copenhagen,2022-07-24 16:00:00,København won after full-time.,Denmark Superliga,Aalborg BK,FC København,1,3,11,12,10.0,6.0,7.0,4.0,11.0,13.0,88.0,123.0,60.0,40.0,44.0,55.0,0.0,0.0,6.0,8.0,5.0,5.0,1.0,1.0,,,7.0,7.0,10.0,11.0,2.0,0.0,2.0,3.0,,,,2.13,1.76,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
Horsens vs Lyngby,2022-07-25 17:00:00,Horsens won after full-time.,Denmark Superliga,Horsens,Lyngby Boldklub,1,0,5,9,2.0,8.0,5.0,11.0,13.0,15.0,67.0,141.0,37.0,67.0,38.0,61.0,0.0,0.0,8.0,11.0,5.0,4.0,1.0,0.0,,,7.0,13.0,11.0,11.0,2.0,1.0,4.0,3.0,,,,2.16,1.74,,,,,,,,,,2.0,1.75,,,,,1.95,1.9,2022-2023
OB vs Midtjylland,2022-07-29 17:00:00,Midtjylland won after full-time.,Denmark Superliga,Odense BK,FC Midtjylland,1,5,11,10,0.0,2.0,0.0,4.0,7.0,11.0,106.0,80.0,31.0,30.0,56.0,43.0,0.0,0.0,6.0,5.0,1.0,6.0,0.0,1.0,,,3.0,10.0,10.0,9.0,1.0,2.0,1.0,2.0,,,,2.25,1.68,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
AGF vs Randers,2022-07-31 12:00:00,Game ended in draw.,Denmark Superliga,AGF,Randers FC,0,0,10,8,7.0,5.0,5.0,6.0,14.0,10.0,100.0,106.0,62.0,59.0,55.0,44.0,0.0,0.0,10.0,3.0,4.0,7.0,1.0,1.0,,,9.0,8.0,10.0,9.0,1.0,4.0,2.0,2.0,,,,2.36,1.63,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
AaB vs Horsens,2022-07-31 12:00:00,Game ended in draw.,Denmark Superliga,Aalborg BK,Horsens,0,0,9,5,10.0,1.0,5.0,4.0,19.0,11.0,106.0,84.0,56.0,30.0,62.0,37.0,0.0,0.0,11.0,9.0,8.0,2.0,4.0,0.0,,,8.0,6.0,14.0,11.0,2.0,2.0,3.0,2.0,,,,2.23,1.7,,,,,,,,,,2.05,1.7,,,,,1.9,1.95,2022-2023
Viborg vs FC Copenhagen,2022-07-31 14:00:00,Viborg won after full-time.,Denmark Superliga,Viborg FF,FC København,4,2,8,6,5.0,9.0,3.0,6.0,15.0,23.0,68.0,131.0,27.0,67.0,38.0,61.0,1.0,0.0,12.0,11.0,3.0,12.0,0.0,2.0,,,11.0,13.0,12.0,14.0,5.0,4.0,2.0,2.0,,,,2.11,1.77,,,,,,,,,,1.95,1.8,,,,,1.9,1.95,2022-2023
Silkeborg vs Brøndby,2022-07-31 16:00:00,Silkeborg won after full-time.,Denmark Superliga,Silkeborg IF,Brøndby IF,2,0,5,9,5.0,5.0,3.0,9.0,14.0,15.0,99.0,133.0,42.0,71.0,51.0,48.0,0.0,0.0,10.0,12.0,4.0,3.0,2.0,7.0,6.0,7.0,8.0,8.0,4.0,5.0,1.0,1.0,1.0,3.0,,,,2.23,1.69,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
Nordsjælland vs Lyngby,2022-08-01 17:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,Lyngby Boldklub,2,1,3,10,4.0,3.0,2.0,4.0,8.0,11.0,106.0,113.0,32.0,48.0,54.0,45.0,0.0,0.0,5.0,6.0,3.0,5.0,2.0,0.0,,,6.0,10.0,13.0,10.0,1.0,1.0,3.0,3.0,,,,2.43,1.6,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Randers vs Horsens,2022-08-05 16:00:00,Randers won after full-time.,Denmark Superliga,Randers FC,Horsens,1,0,7,3,2.0,6.0,4.0,6.0,13.0,10.0,88.0,90.0,48.0,67.0,53.0,46.0,0.0,0.0,5.0,5.0,8.0,5.0,1.0,3.0,,,8.0,5.0,7.0,7.0,0.0,3.0,0.0,0.0,,,,2.28,1.67,,,,,,,,,,2.1,1.67,,,,,1.83,2.03,2022-2023
Lyngby vs Midtjylland,2022-08-05 18:00:00,Game ended in draw.,Denmark Superliga,Lyngby Boldklub,FC Midtjylland,3,3,9,10,5.0,3.0,6.0,5.0,13.0,16.0,78.0,81.0,37.0,24.0,54.0,45.0,1.0,0.0,8.0,11.0,5.0,5.0,2.0,2.0,2.0,0.0,8.0,9.0,7.0,11.0,3.0,0.0,2.0,1.0,,,,2.17,1.74,,,,,,,,,,2.05,1.7,,,,,,,2022-2023
Nordsjælland vs Viborg,2022-08-06 14:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,Viborg FF,1,0,1,7,3.0,3.0,3.0,11.0,9.0,17.0,98.0,124.0,40.0,60.0,62.0,38.0,0.0,0.0,4.0,10.0,5.0,7.0,0.0,1.0,,,7.0,13.0,8.0,6.0,4.0,3.0,4.0,0.0,,,,2.44,1.59,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
FC Copenhagen vs Brøndby,2022-08-07 14:00:00,København won after full-time.,Denmark Superliga,FC København,Brøndby IF,4,1,8,9,11.0,2.0,6.0,3.0,19.0,8.0,111.0,104.0,61.0,40.0,48.0,51.0,0.0,0.0,14.0,3.0,5.0,5.0,2.0,0.0,0.0,1.0,14.0,6.0,7.0,9.0,2.0,6.0,2.0,3.0,,,,2.13,1.76,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
OB vs AGF,2022-08-07 16:00:00,AGF won after full-time.,Denmark Superliga,Odense BK,AGF,1,2,12,7,3.0,6.0,5.0,3.0,12.0,10.0,104.0,135.0,56.0,87.0,43.0,56.0,0.0,1.0,10.0,6.0,2.0,4.0,0.0,1.0,10.0,5.0,6.0,7.0,18.0,18.0,3.0,3.0,2.0,2.0,,,,2.05,1.82,,,,,,,,,,2.0,1.75,,,,,2.0,1.85,2022-2023
Silkeborg vs AaB,2022-08-08 17:00:00,Silkeborg won after full-time.,Denmark Superliga,Silkeborg IF,Aalborg BK,3,1,2,11,9.0,5.0,6.0,1.0,18.0,9.0,173.0,100.0,73.0,30.0,67.0,32.0,0.0,0.0,12.0,6.0,6.0,3.0,1.0,4.0,,,12.0,4.0,5.0,5.0,3.0,5.0,0.0,1.0,,,,2.46,1.58,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Horsens vs Midtjylland,2022-08-12 17:00:00,Game ended in draw.,Denmark Superliga,Horsens,FC Midtjylland,3,3,4,8,7.0,5.0,6.0,1.0,23.0,9.0,109.0,63.0,73.0,20.0,60.0,39.0,1.0,0.0,20.0,7.0,3.0,2.0,2.0,1.0,,,16.0,8.0,10.0,11.0,3.0,5.0,0.0,1.0,,,,2.24,1.69,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
FC Copenhagen vs Randers,2022-08-12 19:00:00,Randers won after full-time.,Denmark Superliga,FC København,Randers FC,1,3,8,7,7.0,4.0,7.0,2.0,17.0,9.0,127.0,89.0,52.0,29.0,79.0,21.0,0.0,0.0,10.0,7.0,7.0,2.0,2.0,2.0,,,15.0,8.0,4.0,11.0,1.0,7.0,0.0,0.0,,,,2.09,1.78,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
Viborg vs Silkeborg,2022-08-14 12:00:00,Viborg won after full-time.,Denmark Superliga,Viborg FF,Silkeborg IF,2,0,5,3,5.0,7.0,3.0,3.0,9.0,9.0,75.0,174.0,32.0,81.0,37.0,62.0,0.0,0.0,8.0,7.0,1.0,2.0,1.0,1.0,3.0,3.0,6.0,5.0,6.0,7.0,1.0,1.0,0.0,1.0,,,,2.55,1.55,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
AaB vs Nordsjælland,2022-08-14 14:00:00,Game ended in draw.,Denmark Superliga,Aalborg BK,Nordsjælland,0,0,11,1,4.0,8.0,0.0,8.0,5.0,12.0,78.0,126.0,20.0,49.0,32.0,67.0,0.0,0.0,4.0,7.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,6.0,12.0,12.0,1.0,1.0,2.0,3.0,,,,2.51,1.56,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
Brøndby vs OB,2022-08-14 16:00:00,Brøndby won after full-time.,Denmark Superliga,Brøndby IF,Odense BK,2,0,9,12,5.0,4.0,5.0,5.0,11.0,10.0,142.0,69.0,43.0,16.0,66.0,33.0,1.0,0.0,9.0,5.0,2.0,5.0,1.0,1.0,5.0,11.0,6.0,7.0,15.0,11.0,2.0,0.0,2.0,4.0,,,,2.17,1.74,,,,,,,,,,2.05,1.7,,,,,1.83,2.03,2022-2023
AGF vs Lyngby,2022-08-15 17:00:00,AGF won after full-time.,Denmark Superliga,AGF,Lyngby Boldklub,1,0,6,10,3.0,3.0,6.0,7.0,10.0,13.0,88.0,140.0,41.0,53.0,40.0,60.0,0.0,0.0,5.0,8.0,5.0,5.0,1.0,0.0,,,6.0,8.0,11.0,9.0,4.0,0.0,1.0,2.0,,,,2.06,1.81,,,,,,,,,,2.0,1.75,,,,,1.9,1.95,2022-2023
Lyngby vs FC Copenhagen,2022-08-19 17:00:00,København won after full-time.,Denmark Superliga,Lyngby Boldklub,FC København,0,3,10,8,4.0,2.0,4.0,4.0,10.0,13.0,83.0,118.0,35.0,49.0,36.0,63.0,0.0,1.0,5.0,10.0,5.0,3.0,1.0,1.0,,,10.0,10.0,8.0,8.0,3.0,5.0,3.0,2.0,,,,2.37,1.62,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
Midtjylland vs AGF,2022-08-20 14:00:00,AGF won after full-time.,Denmark Superliga,FC Midtjylland,AGF,0,2,8,4,13.0,2.0,8.0,1.0,20.0,6.0,129.0,88.0,59.0,31.0,57.0,43.0,0.0,0.0,10.0,6.0,10.0,0.0,2.0,2.0,,,17.0,5.0,17.0,16.0,1.0,5.0,1.0,1.0,,,,2.12,1.76,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
Nordsjælland vs Silkeborg,2022-08-21 12:00:00,Silkeborg won after full-time.,Denmark Superliga,Nordsjælland,Silkeborg IF,0,2,1,3,6.0,0.0,1.0,4.0,6.0,7.0,179.0,45.0,77.0,5.0,64.0,36.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,0.0,6.0,4.0,3.0,6.0,6.0,6.0,1.0,4.0,0.0,1.0,,,,2.46,1.58,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Randers vs Viborg,2022-08-21 14:00:00,Randers won after full-time.,Denmark Superliga,Randers FC,Viborg FF,1,0,5,6,2.0,6.0,1.0,5.0,10.0,18.0,105.0,115.0,26.0,62.0,42.0,57.0,0.0,0.0,4.0,10.0,6.0,8.0,0.0,2.0,1.0,0.0,6.0,12.0,9.0,14.0,6.0,4.0,2.0,5.0,,,,2.3,1.65,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
AaB vs Brøndby,2022-08-21 16:00:00,AaB won after full-time.,Denmark Superliga,Aalborg BK,Brøndby IF,2,1,10,9,5.0,5.0,9.0,6.0,14.0,13.0,132.0,119.0,12.0,43.0,42.0,57.0,0.0,0.0,7.0,9.0,7.0,4.0,1.0,1.0,4.0,5.0,13.0,9.0,13.0,10.0,0.0,1.0,4.0,0.0,,,,2.17,1.73,,,,,,,,,,2.1,1.67,,,,,1.85,2.0,2022-2023
OB vs Horsens,2022-08-22 17:00:00,OB won after full-time.,Denmark Superliga,Odense BK,Horsens,1,0,12,7,10.0,5.0,6.0,7.0,14.0,20.0,121.0,99.0,50.0,69.0,53.0,46.0,0.0,0.0,7.0,11.0,7.0,9.0,0.0,0.0,,,12.0,12.0,13.0,8.0,4.0,1.0,2.0,3.0,,,,2.12,1.76,,,,,,,,,,2.05,1.7,,,,,1.9,1.95,2022-2023
Horsens vs AGF,2022-08-26 17:00:00,Horsens won after full-time.,Denmark Superliga,Horsens,AGF,2,1,7,2,2.0,5.0,3.0,8.0,10.0,19.0,81.0,98.0,48.0,75.0,40.0,59.0,1.0,0.0,7.0,14.0,3.0,5.0,0.0,3.0,,,7.0,10.0,11.0,10.0,2.0,2.0,0.0,2.0,,,,1.96,1.89,,,,,,,,,,1.95,1.8,,,1.88,1.98,,,2022-2023
Randers vs AaB,2022-08-28 12:00:00,Randers won after full-time.,Denmark Superliga,Randers FC,Aalborg BK,1,0,5,11,5.0,6.0,4.0,7.0,11.0,18.0,107.0,127.0,39.0,59.0,40.0,59.0,0.0,0.0,7.0,9.0,4.0,9.0,5.0,1.0,1.0,2.0,7.0,12.0,11.0,11.0,7.0,5.0,2.0,2.0,,,,2.43,1.59,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Viborg vs Lyngby,2022-08-28 12:00:00,Viborg won after full-time.,Denmark Superliga,Viborg FF,Lyngby Boldklub,2,1,6,10,6.0,7.0,3.0,4.0,15.0,12.0,130.0,81.0,43.0,37.0,51.0,48.0,0.0,0.0,11.0,8.0,4.0,4.0,3.0,0.0,1.0,2.0,10.0,10.0,8.0,8.0,3.0,5.0,1.0,1.0,,,,2.22,1.7,,,,,,,,,,2.05,1.7,,,,,,,2022-2023
Nordsjælland vs FC Copenhagen,2022-08-28 14:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,FC København,3,1,4,6,5.0,6.0,0.0,7.0,12.0,11.0,88.0,135.0,41.0,46.0,43.0,56.0,0.0,1.0,9.0,7.0,3.0,4.0,1.0,1.0,2.0,1.0,6.0,10.0,11.0,9.0,2.0,2.0,3.0,3.0,,,,2.17,1.74,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
Silkeborg vs OB,2022-08-28 16:00:00,OB won after full-time.,Denmark Superliga,Silkeborg IF,Odense BK,1,2,2,11,7.0,4.0,6.0,7.0,16.0,13.0,145.0,93.0,28.0,12.0,62.0,37.0,0.0,1.0,9.0,9.0,7.0,4.0,1.0,0.0,9.0,9.0,7.0,7.0,7.0,4.0,0.0,1.0,2.0,0.0,,,,2.17,1.73,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
Brøndby vs Midtjylland,2022-08-29 17:00:00,Midtjylland won after full-time.,Denmark Superliga,Brøndby IF,FC Midtjylland,0,2,10,9,8.0,5.0,4.0,7.0,14.0,14.0,140.0,79.0,38.0,17.0,62.0,37.0,0.0,1.0,11.0,9.0,3.0,5.0,3.0,1.0,,,8.0,6.0,9.0,12.0,2.0,5.0,5.0,4.0,,,,2.72,1.49,,,,,,,,,,2.5,1.5,,,,,,,2022-2023
FC Copenhagen vs Silkeborg,2022-09-02 17:00:00,København won after full-time.,Denmark Superliga,FC København,Silkeborg IF,1,0,8,3,7.0,3.0,10.0,6.0,19.0,21.0,128.0,100.0,58.0,36.0,45.0,54.0,0.0,0.0,13.0,12.0,6.0,9.0,2.0,3.0,,,9.0,8.0,9.0,7.0,4.0,4.0,3.0,2.0,,,,2.16,1.74,,,,,,,,,,2.05,1.7,,,,,1.9,1.95,2022-2023
