name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Olympique Lyonnais vs Ajaccio,2022-08-05 19:00:00,Olympique Lyonnais won after full-time.,France Ligue 1,Olympique Lyonnais,Ajaccio,2,1,,,4.0,3.0,4.0,4.0,11.0,8.0,114.0,91.0,14.0,31.0,67.0,32.0,1.0,1.0,6.0,6.0,5.0,2.0,0.0,0.0,4.0,2.0,8.0,8.0,18.0,12.0,1.0,3.0,1.0,5.0,,,,1.81,2.08,,,,,,,,,,1.8,1.95,,,,,,,2022-2023
Strasbourg vs Monaco,2022-08-06 15:00:00,Monaco won after full-time.,France Ligue 1,Strasbourg,Monaco,1,2,18,10,3.0,7.0,2.0,9.0,11.0,24.0,102.0,123.0,23.0,38.0,52.0,48.0,0.0,0.0,7.0,17.0,4.0,7.0,3.0,3.0,0.0,1.0,6.0,12.0,11.0,11.0,6.0,4.0,0.0,2.0,,,,1.99,1.88,,,,,,,,,,1.95,1.8,,,1.85,2.05,,,2022-2023
Clermont vs Paris Saint Germain,2022-08-06 19:00:00,Paris Saint Germain won after full-time.,France Ligue 1,Clermont,Paris Saint Germain,0,5,8,16,0.0,6.0,3.0,4.0,7.0,18.0,78.0,121.0,21.0,47.0,39.0,61.0,0.0,0.0,1.0,15.0,6.0,3.0,0.0,4.0,,,5.0,17.0,13.0,13.0,5.0,1.0,2.0,1.0,,,,1.86,1.99,,,,,,,,,,1.91,1.91,,,,,,,2022-2023
Toulouse vs Nice,2022-08-07 11:00:00,Game ended in draw.,France Ligue 1,Toulouse,Nice,1,1,19,15,6.0,3.0,1.0,7.0,6.0,11.0,92.0,110.0,66.0,41.0,46.0,53.0,0.0,0.0,6.0,7.0,0.0,4.0,2.0,2.0,,,4.0,10.0,8.0,9.0,1.0,3.0,1.0,2.0,,,,2.15,1.76,,,,,,,,,,2.0,1.75,,,,,2.02,1.88,2022-2023
Lille vs Auxerre,2022-08-07 13:00:00,Lille won after full-time.,France Ligue 1,LOSC Lille,Auxerre,4,1,8,7,7.0,2.0,5.0,4.0,16.0,10.0,100.0,78.0,51.0,46.0,60.0,39.0,0.0,0.0,7.0,9.0,9.0,1.0,2.0,4.0,6.0,6.0,11.0,4.0,9.0,10.0,1.0,2.0,2.0,1.0,,,,1.95,1.92,,,,,,,,,,1.8,1.95,,,,,1.95,1.95,2022-2023
Angers SCO vs Nantes,2022-08-07 13:00:00,Game ended in draw.,France Ligue 1,Angers SCO,Nantes,0,0,6,9,3.0,6.0,7.0,7.0,16.0,14.0,109.0,105.0,48.0,44.0,49.0,50.0,0.0,0.0,10.0,10.0,6.0,4.0,1.0,3.0,6.0,6.0,10.0,7.0,12.0,14.0,0.0,4.0,3.0,3.0,,,,1.99,1.88,,,,,,,,,,1.91,1.91,,,1.92,1.98,,,2022-2023
Montpellier vs Troyes,2022-08-07 13:00:00,Montpellier won after full-time.,France Ligue 1,Montpellier,Troyes,3,2,16,20,3.0,6.0,4.0,4.0,17.0,16.0,90.0,83.0,29.0,35.0,53.0,46.0,0.0,1.0,8.0,11.0,9.0,5.0,4.0,0.0,7.0,9.0,12.0,12.0,9.0,13.0,1.0,0.0,1.0,0.0,,,,1.91,1.96,,,,,,,,,,1.8,1.95,,,2.03,1.87,,,2022-2023
Lens vs Brest,2022-08-07 13:00:00,Lens won after full-time.,France Ligue 1,Lens,Brest,3,2,14,13,6.0,3.0,9.0,1.0,16.0,6.0,108.0,74.0,23.0,24.0,61.0,38.0,1.0,1.0,16.0,4.0,0.0,2.0,0.0,2.0,8.0,11.0,13.0,6.0,14.0,16.0,1.0,4.0,2.0,4.0,,,,1.99,1.88,,,,,,,,,,1.91,1.91,,,,,1.86,2.04,2022-2023
Rennes vs Lorient,2022-08-07 15:05:00,Lorient won after full-time.,France Ligue 1,Rennes,Lorient,0,1,20,17,7.0,2.0,5.0,4.0,21.0,8.0,140.0,70.0,43.0,15.0,63.0,36.0,0.0,0.0,15.0,3.0,6.0,5.0,0.0,1.0,1.0,2.0,11.0,5.0,9.0,10.0,1.0,4.0,3.0,1.0,,,,1.88,1.98,,,,,,,,,,1.91,1.91,,,,,,,2022-2023
Olympique Marseille vs Reims,2022-08-07 18:45:00,Olympique Marseille won after full-time.,France Ligue 1,Olympique Marseille,Reims,4,1,19,20,6.0,7.0,6.0,8.0,16.0,16.0,119.0,99.0,50.0,42.0,55.0,44.0,0.0,0.0,12.0,9.0,4.0,7.0,1.0,1.0,,,12.0,14.0,10.0,13.0,2.0,0.0,1.0,0.0,,,,1.87,2.0,,,,,,,,,,1.8,1.95,,,,,2.06,1.84,2022-2023
