name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Eintracht Frankfurt vs FC Bayern München,2022-08-05 18:30:00,FC Bayern München won after full-time.,Germany Bundesliga,Eintracht Frankfurt,FC Bayern München,1,6,,,5.0,6.0,5.0,6.0,8.0,23.0,81.0,134.0,41.0,46.0,36.0,63.0,0.0,0.0,5.0,14.0,3.0,9.0,4.0,3.0,3.0,1.0,6.0,16.0,11.0,10.0,4.0,1.0,2.0,0.0,,,,2.61,1.53,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
FC Union Berlin vs Hertha BSC,2022-08-06 13:30:00,FC Union Berlin won after full-time.,Germany Bundesliga,FC Union Berlin,Hertha BSC,3,1,8,10,5.0,4.0,5.0,2.0,19.0,7.0,51.0,39.0,28.0,9.0,48.0,51.0,0.0,0.0,13.0,4.0,6.0,3.0,2.0,1.0,4.0,4.0,10.0,4.0,23.0,17.0,2.0,5.0,1.0,3.0,,,,2.08,1.81,,,,,,,,,,1.95,1.8,,,,,1.95,1.95,2022-2023
Borussia Mönchengladbach vs TSG Hoffenheim,2022-08-06 13:30:00,Borussia Mönchengladbach won after full-time.,Germany Bundesliga,Borussia Mönchengladbach,TSG Hoffenheim,3,1,5,14,5.0,1.0,7.0,1.0,18.0,2.0,56.0,28.0,22.0,8.0,61.0,38.0,0.0,0.0,12.0,1.0,6.0,1.0,2.0,2.0,,,16.0,2.0,18.0,12.0,0.0,4.0,1.0,3.0,,,,2.87,1.46,,,,,,,,,,2.63,1.44,,,,,,,2022-2023
VfL Wolfsburg vs Werder Bremen,2022-08-06 13:30:00,Game ended in draw.,Germany Bundesliga,VfL Wolfsburg,Werder Bremen,2,2,17,18,2.0,5.0,5.0,3.0,11.0,10.0,135.0,108.0,39.0,31.0,57.0,42.0,0.0,0.0,5.0,3.0,6.0,7.0,1.0,4.0,,,7.0,11.0,10.0,14.0,3.0,1.0,2.0,2.0,,,,2.29,1.68,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
VfL Bochum 1848 vs FSV Mainz 05,2022-08-06 13:30:00,FSV Mainz 05 won after full-time.,Germany Bundesliga,VfL Bochum 1848,FSV Mainz 05,1,2,16,9,3.0,5.0,10.0,5.0,16.0,13.0,143.0,91.0,38.0,29.0,53.0,46.0,0.0,0.0,4.0,9.0,12.0,4.0,1.0,1.0,4.0,4.0,11.0,10.0,11.0,16.0,4.0,2.0,2.0,3.0,,,,2.22,1.71,,,,,,,,,,2.1,1.67,,,,,1.88,2.02,2022-2023
FC Augsburg vs SC Freiburg,2022-08-06 13:30:00,SC Freiburg won after full-time.,Germany Bundesliga,FC Augsburg,SC Freiburg,0,4,6,12,5.0,8.0,5.0,5.0,11.0,19.0,61.0,102.0,21.0,46.0,53.0,46.0,0.0,0.0,9.0,12.0,2.0,7.0,0.0,2.0,4.0,4.0,5.0,12.0,10.0,11.0,2.0,2.0,0.0,0.0,,,,2.16,1.75,,,,,,,,,,2.05,1.7,,,,,1.9,2.0,2022-2023
Borussia Dortmund vs Bayer 04 Leverkusen,2022-08-06 16:30:00,Borussia Dortmund won after full-time.,Germany Bundesliga,Borussia Dortmund,Bayer 04 Leverkusen,1,0,14,13,3.0,3.0,9.0,4.0,14.0,8.0,121.0,134.0,53.0,40.0,45.0,55.0,0.0,0.0,7.0,3.0,7.0,5.0,2.0,4.0,3.0,5.0,10.0,7.0,4.0,5.0,0.0,1.0,2.0,4.0,,,,3.07,1.41,,,,,,,,,,2.63,1.44,,,,,,,2022-2023
VfB Stuttgart vs RB Leipzig,2022-08-07 13:30:00,Game ended in draw.,Germany Bundesliga,VfB Stuttgart,RB Leipzig,1,1,18,16,1.0,9.0,6.0,7.0,11.0,28.0,69.0,140.0,11.0,61.0,31.0,68.0,0.0,0.0,4.0,15.0,7.0,13.0,1.0,2.0,9.0,11.0,8.0,14.0,13.0,13.0,8.0,1.0,2.0,1.0,,,,2.2,1.72,,,,,,,,,,2.05,1.7,,,,,,,2022-2023
FC Köln vs Schalke 04,2022-08-07 15:30:00,FC Köln won after full-time.,Germany Bundesliga,FC Köln,Schalke 04,3,1,15,17,9.0,1.0,11.0,2.0,32.0,5.0,116.0,75.0,88.0,9.0,75.0,25.0,0.0,0.0,23.0,3.0,9.0,2.0,2.0,1.0,7.0,5.0,12.0,3.0,10.0,9.0,1.0,4.0,0.0,1.0,,,,2.25,1.7,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
SC Freiburg vs Borussia Dortmund,2022-08-12 18:30:00,Borussia Dortmund won after full-time.,Germany Bundesliga,SC Freiburg,Borussia Dortmund,1,3,2,7,9.0,2.0,5.0,6.0,16.0,13.0,119.0,108.0,45.0,31.0,38.0,61.0,0.0,0.0,8.0,7.0,8.0,6.0,3.0,2.0,,,10.0,14.0,12.0,16.0,4.0,5.0,1.0,3.0,,,,2.56,1.55,,,,,,,,,,2.5,1.5,,,,,,,2022-2023
