name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Al Feiha vs Dhamk,2022-08-25 16:05:00,Dhamk won after full-time.,Saudi Arabia Liga Profissional,Al-Fayha,Damac FC,0,1,,,3.0,2.0,9.0,1.0,14.0,8.0,97.0,82.0,50.0,32.0,57.0,42.0,0.0,0.0,8.0,6.0,6.0,2.0,1.0,1.0,,,,,6.0,7.0,3.0,3.0,0.0,1.0,,,,,,,,,,,,,,,1.67,2.1,1.85,1.95,,,,,2022
Al Khaleej vs Al Hilal,2022-08-25 18:00:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al Khaleej,Al Hilal,0,2,,,4.0,5.0,7.0,1.0,13.0,10.0,70.0,80.0,38.0,40.0,34.0,65.0,0.0,0.0,6.0,7.0,7.0,3.0,2.0,0.0,,,,,10.0,11.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,1.67,2.1,,,,,,,2022
Al Ittifaq vs Al Tai,2022-08-26 15:45:00,Al Tai won after full-time.,Saudi Arabia Liga Profissional,Al Ettifaq,Al Tai,1,2,9,15,4.0,6.0,3.0,4.0,8.0,11.0,78.0,83.0,60.0,56.0,52.0,47.0,0.0,0.0,4.0,8.0,4.0,3.0,1.0,3.0,,,,,11.0,11.0,4.0,0.0,1.0,2.0,,,,,,,,,,,,,,,1.91,1.8,,,,,1.95,1.85,2022
Al Adalh vs Al Ittihad,2022-08-26 15:45:00,Al Ittihad won after full-time.,Saudi Arabia Liga Profissional,Al Adalh,Al Ittihad,0,3,6,10,5.0,5.0,3.0,6.0,6.0,15.0,96.0,62.0,51.0,47.0,57.0,42.0,0.0,0.0,4.0,13.0,2.0,2.0,1.0,4.0,,,,,12.0,12.0,5.0,0.0,0.0,1.0,,,,,,,,,,,,,,,2.0,1.73,,,,,,,2022
Al Shabab vs Al Batin,2022-08-26 18:00:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Al Shabab,Al Batin,3,0,14,10,8.0,0.0,10.0,1.0,19.0,3.0,77.0,60.0,93.0,28.0,80.0,19.0,0.0,0.0,16.0,0.0,3.0,3.0,1.0,1.0,,,,,8.0,9.0,1.0,3.0,0.0,1.0,,,,,,,,,,,,,,,1.3,3.4,,,,,,,2022
Al Fateh vs Al Taawon,2022-08-27 15:45:00,Al Taawon won after full-time.,Saudi Arabia Liga Profissional,Al Fateh,Al Taawoun,0,2,12,15,9.0,4.0,9.0,4.0,15.0,11.0,80.0,75.0,64.0,36.0,47.0,52.0,0.0,0.0,11.0,8.0,4.0,3.0,5.0,2.0,5.0,7.0,,,14.0,14.0,2.0,6.0,3.0,3.0,,,,,,,,,,,,,,,2.1,1.67,,,,,,,2022
Abha vs Al Raed,2022-08-27 18:00:00,Abha won after full-time.,Saudi Arabia Liga Profissional,Abha,Al Raed,2,1,13,15,7.0,8.0,4.0,5.0,11.0,9.0,80.0,72.0,55.0,51.0,50.0,49.0,0.0,0.0,8.0,7.0,3.0,2.0,1.0,1.0,10.0,10.0,,,14.0,13.0,0.0,3.0,2.0,1.0,,,,,,,,,,,,,,,1.91,1.8,,,,,2.03,1.78,2022
Al Nassr vs Al Wahda,2022-08-27 18:00:00,Al Nassr won after full-time.,Saudi Arabia Liga Profissional,Al Nassr,Al-Wehda,1,0,14,16,4.0,2.0,2.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,59.0,40.0,0.0,0.0,5.0,4.0,3.0,3.0,1.0,0.0,,,,,10.0,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2022
Al Batin vs Al Fateh,2022-08-31 15:55:00,Al Fateh won after full-time.,Saudi Arabia Liga Profissional,Al Batin,Al Fateh,0,5,16,13,0.0,10.0,1.0,6.0,1.0,19.0,48.0,82.0,12.0,76.0,27.0,73.0,0.0,0.0,1.0,13.0,0.0,6.0,1.0,2.0,,,,,16.0,16.0,6.0,0.0,2.0,2.0,,,,,,,,,,,,,,,1.62,2.2,,,,,,,2022
Al Hilal vs Al Feiha,2022-08-31 18:00:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al Hilal,Al-Fayha,2,0,6,5,11.0,5.0,5.0,2.0,16.0,6.0,89.0,74.0,96.0,62.0,67.0,32.0,0.0,0.0,10.0,5.0,6.0,1.0,0.0,1.0,2.0,2.0,,,12.0,12.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,1.5,2.5,,,,,1.85,1.95,2022
Al Raed vs Al Wahda,2022-09-01 16:00:00,Al Raed won after full-time.,Saudi Arabia Liga Profissional,Al Raed,Al-Wehda,1,0,11,15,6.0,7.0,3.0,5.0,8.0,8.0,61.0,74.0,36.0,64.0,39.0,60.0,0.0,0.0,7.0,6.0,1.0,2.0,1.0,4.0,,,,,13.0,14.0,0.0,3.0,1.0,2.0,,,,,,,,,,,,,,,2.1,1.67,,,,,,,2022
Abha vs Al Shabab,2022-09-01 18:00:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Abha,Al Shabab,0,4,6,4,5.0,9.0,4.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,47.0,52.0,0.0,1.0,4.0,20.0,4.0,4.0,3.0,0.0,2.0,4.0,,,12.0,13.0,6.0,2.0,2.0,0.0,,,,,,,,,,,,,,,1.91,1.8,,,,,,,2022
Al Tai vs Al Adalh,2022-09-02 16:00:00,Al Tai won after full-time.,Saudi Arabia Liga Profissional,Al Tai,Al Adalh,1,0,6,14,11.0,7.0,5.0,3.0,13.0,11.0,74.0,96.0,49.0,58.0,42.0,57.0,0.0,0.0,9.0,5.0,4.0,6.0,2.0,1.0,,,,,10.0,16.0,0.0,2.0,2.0,4.0,,,,,,,,,,,,,,,1.91,1.8,,,,,1.95,1.85,2022
Dhamk vs Al Khaleej,2022-09-02 18:00:00,Dhamk won after full-time.,Saudi Arabia Liga Profissional,Damac FC,Al Khaleej,2,1,8,12,3.0,1.0,6.0,3.0,9.0,4.0,77.0,69.0,32.0,28.0,56.0,44.0,1.0,0.0,8.0,2.0,1.0,2.0,1.0,1.0,,,,,17.0,6.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,1.73,2.0,,,,,,,2022
Al Taawon vs Al Nassr,2022-09-03 16:00:00,Al Taawon won after full-time.,Saudi Arabia Liga Profissional,Al Taawoun,Al Nassr,1,0,7,8,3.0,6.0,2.0,4.0,9.0,8.0,50.0,59.0,30.0,53.0,41.0,58.0,0.0,0.0,6.0,5.0,3.0,3.0,1.0,1.0,8.0,3.0,,,13.0,12.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,2.2,1.62,,,,,,,2022
Al Ittihad vs Al Ittifaq,2022-09-03 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Ittihad,Al Ettifaq,0,0,6,11,8.0,2.0,7.0,2.0,14.0,3.0,90.0,63.0,66.0,26.0,62.0,38.0,0.0,0.0,9.0,2.0,5.0,1.0,2.0,0.0,9.0,3.0,,,6.0,9.0,0.0,5.0,1.0,2.0,,,,,,,,,,,,,,,1.83,1.83,,,,,,,2022
Al Fateh vs Al Hilal,2022-09-04 15:35:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al Fateh,Al Hilal,0,1,7,2,3.0,4.0,4.0,7.0,7.0,9.0,85.0,87.0,52.0,57.0,38.0,62.0,0.0,0.0,4.0,9.0,3.0,0.0,5.0,2.0,10.0,3.0,,,18.0,9.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,2.1,1.67,,,,,,,2022
Al Khaleej vs Al Adalh,2022-09-08 15:30:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Khaleej,Al Adalh,0,0,13,14,4.0,4.0,4.0,5.0,5.0,9.0,76.0,67.0,58.0,51.0,57.0,43.0,0.0,0.0,4.0,7.0,1.0,2.0,6.0,0.0,6.0,1.0,,,12.0,12.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,1.8,1.91,,,2.03,1.78,,,2022
Al Wahda vs Abha,2022-09-08 18:00:00,Al Wahda won after full-time.,Saudi Arabia Liga Profissional,Al-Wehda,Abha,1,0,14,10,11.0,7.0,8.0,4.0,13.0,15.0,81.0,106.0,76.0,86.0,35.0,64.0,0.0,0.0,9.0,10.0,4.0,5.0,0.0,2.0,1.0,6.0,,,12.0,12.0,4.0,3.0,2.0,1.0,,,,,,,,,,,,,,,1.73,2.0,,,1.95,1.85,,,2022
Al Shabab vs Al Tai,2022-09-08 18:00:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Al Shabab,Al Tai,4,0,2,4,1.0,7.0,1.0,3.0,6.0,6.0,89.0,81.0,56.0,73.0,50.0,49.0,2.0,0.0,4.0,3.0,2.0,3.0,0.0,3.0,1.0,6.0,,,12.0,7.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,1.73,2.0,,,,,,,2022
Al Ittifaq vs Al Batin,2022-09-09 15:30:00,Al Ittifaq won after full-time.,Saudi Arabia Liga Profissional,Al Ettifaq,Al Batin,3,0,12,16,10.0,1.0,4.0,2.0,16.0,3.0,73.0,58.0,78.0,22.0,72.0,27.0,1.0,0.0,14.0,2.0,2.0,1.0,4.0,1.0,,,,,5.0,8.0,0.0,3.0,1.0,3.0,,,,,,,,,,,,,,,1.5,2.5,,,,,,,2022
Al Raed vs Al Ittihad,2022-09-09 18:00:00,Al Ittihad won after full-time.,Saudi Arabia Liga Profissional,Al Raed,Al Ittihad,0,1,9,6,3.0,8.0,4.0,5.0,4.0,9.0,69.0,76.0,41.0,54.0,44.0,55.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,2.0,,,,,11.0,10.0,2.0,0.0,2.0,3.0,,,,,,,,,,,,,,,1.83,1.83,,,,,1.83,1.98,2022
Al Feiha vs Al Taawon,2022-09-10 15:45:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al-Fayha,Al Taawoun,1,1,15,4,6.0,8.0,3.0,8.0,7.0,14.0,84.0,85.0,25.0,30.0,39.0,60.0,0.0,0.0,4.0,10.0,3.0,4.0,1.0,1.0,,,,,11.0,9.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,1.67,2.1,,,2.15,1.68,,,2022
Al Nassr vs Dhamk,2022-09-10 18:00:00,Al Nassr won after full-time.,Saudi Arabia Liga Profissional,Al Nassr,Damac FC,2,1,9,5,1.0,1.0,7.0,5.0,12.0,9.0,111.0,110.0,60.0,51.0,50.0,49.0,0.0,0.0,8.0,4.0,4.0,5.0,2.0,6.0,,,,,9.0,9.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.83,1.83,,,,,,,2022
Al Tai vs Al Fateh,2022-09-14 15:55:00,Al Tai won after full-time.,Saudi Arabia Liga Profissional,Al Tai,Al Fateh,1,0,7,9,7.0,1.0,4.0,3.0,13.0,8.0,84.0,120.0,42.0,52.0,41.0,58.0,0.0,1.0,6.0,5.0,7.0,3.0,0.0,1.0,,,,,10.0,17.0,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,1.91,1.8,,,,,2.0,1.8,2022
Al Adalh vs Al Shabab,2022-09-14 18:00:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Al Adalh,Al Shabab,0,1,15,2,5.0,10.0,4.0,6.0,9.0,19.0,72.0,127.0,34.0,73.0,36.0,63.0,0.0,0.0,8.0,13.0,1.0,6.0,3.0,5.0,1.0,5.0,,,14.0,15.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.8,1.91,,,,,,,2022
Al Batin vs Al Nassr,2022-09-15 15:40:00,Al Nassr won after full-time.,Saudi Arabia Liga Profissional,Al Batin,Al Nassr,0,4,16,9,0.0,5.0,2.0,6.0,2.0,18.0,35.0,47.0,1.0,16.0,22.0,77.0,0.0,0.0,1.0,8.0,1.0,10.0,0.0,2.0,4.0,5.0,,,13.0,10.0,4.0,0.0,3.0,3.0,,,,,,,,,,,,,,,1.2,4.33,,,,,,,2022
Al Ittifaq vs Al Raed,2022-09-15 18:00:00,Al Raed won after full-time.,Saudi Arabia Liga Profissional,Al Ettifaq,Al Raed,1,2,8,10,5.0,10.0,6.0,8.0,11.0,19.0,76.0,73.0,70.0,67.0,57.0,42.0,0.0,0.0,6.0,8.0,5.0,11.0,2.0,1.0,3.0,2.0,,,7.0,7.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,2.1,1.67,,,,,1.78,2.03,2022
Al Ittihad vs Al Khaleej,2022-09-15 18:00:00,Al Ittihad won after full-time.,Saudi Arabia Liga Profissional,Al Ittihad,Al Khaleej,2,0,5,14,4.0,2.0,4.0,3.0,11.0,5.0,67.0,91.0,28.0,42.0,41.0,58.0,0.0,0.0,10.0,2.0,1.0,3.0,6.0,0.0,3.0,2.0,,,14.0,19.0,0.0,4.0,2.0,2.0,,,,,,,,,,,,,,,1.67,2.1,,,,,,,2022
Al Taawon vs Dhamk,2022-09-16 15:50:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Taawoun,Damac FC,1,1,6,7,4.0,4.0,4.0,4.0,10.0,10.0,69.0,75.0,36.0,44.0,57.0,42.0,0.0,0.0,8.0,6.0,2.0,4.0,3.0,0.0,,,,,12.0,12.0,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,1.83,1.83,,,,,2.0,1.8,2022
Abha vs Al Feiha,2022-09-16 15:50:00,Game ended in draw.,Saudi Arabia Liga Profissional,Abha,Al-Fayha,1,1,12,13,6.0,5.0,5.0,5.0,9.0,12.0,81.0,93.0,25.0,30.0,53.0,46.0,0.0,0.0,7.0,10.0,2.0,2.0,3.0,3.0,,,,,11.0,11.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,1.62,2.2,1.98,1.83,,,,,2022
Al Hilal vs Al Wahda,2022-09-16 18:00:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al Hilal,Al-Wehda,3,0,4,12,7.0,2.0,6.0,7.0,12.0,9.0,121.0,95.0,72.0,55.0,67.0,32.0,0.0,0.0,10.0,6.0,2.0,3.0,2.0,4.0,5.0,5.0,,,8.0,7.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2022
Al Raed vs Al Adalh,2022-10-01 15:30:00,Al Raed won after full-time.,Saudi Arabia Liga Profissional,Al Raed,Al Adalh,2,1,,,11.0,2.0,6.0,2.0,14.0,6.0,81.0,71.0,50.0,44.0,56.0,43.0,0.0,0.0,11.0,3.0,3.0,3.0,3.0,1.0,,,,,22.0,23.0,1.0,4.0,0.0,2.0,,,,,,,,,,,,,,,1.73,2.0,,,1.85,1.95,,,2022
Dhamk vs Al Tai,2022-10-01 15:30:00,Dhamk won after full-time.,Saudi Arabia Liga Profissional,Damac FC,Al Tai,2,0,,,6.0,5.0,4.0,4.0,12.0,8.0,91.0,74.0,42.0,35.0,52.0,47.0,0.0,0.0,9.0,6.0,3.0,2.0,1.0,4.0,5.0,4.0,,,14.0,13.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,,1.8,1.91,,,1.93,1.88,,,2022
Al Khaleej vs Al Batin,2022-10-01 18:00:00,Al Khaleej won after full-time.,Saudi Arabia Liga Profissional,Al Khaleej,Al Batin,1,0,14,16,13.0,3.0,9.0,1.0,19.0,3.0,,,,,72.0,27.0,0.0,0.0,12.0,0.0,7.0,3.0,2.0,0.0,,,,,13.0,15.0,0.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,2022
Al Wahda vs Al Ittifaq,2022-10-01 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al-Wehda,Al Ettifaq,1,1,11,9,5.0,3.0,8.0,4.0,15.0,8.0,60.0,66.0,23.0,24.0,49.0,50.0,0.0,0.0,13.0,6.0,2.0,2.0,0.0,4.0,14.0,6.0,,,14.0,15.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,1.73,,,,,1.93,1.88,2022
Al Feiha vs Al Shabab,2022-10-02 15:20:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Al-Fayha,Al Shabab,1,2,14,1,1.0,11.0,3.0,16.0,10.0,26.0,74.0,83.0,38.0,52.0,34.0,65.0,1.0,0.0,5.0,13.0,5.0,13.0,1.0,1.0,1.0,3.0,,,14.0,14.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,1.67,2.1,,,,,2.0,1.8,2022
Al Hilal vs Al Taawon,2022-10-02 15:20:00,Al Taawon won after full-time.,Saudi Arabia Liga Profissional,Al Hilal,Al Taawoun,1,2,2,5,10.0,5.0,9.0,4.0,19.0,13.0,89.0,60.0,27.0,24.0,59.0,40.0,0.0,0.0,11.0,7.0,8.0,6.0,1.0,5.0,1.0,3.0,,,12.0,13.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,1.8,1.91,,,,,,,2022
Al Fateh vs Abha,2022-10-02 18:00:00,Al Fateh won after full-time.,Saudi Arabia Liga Profissional,Al Fateh,Abha,3,0,13,10,3.0,7.0,2.0,4.0,11.0,13.0,92.0,80.0,27.0,14.0,51.0,48.0,0.0,0.0,10.0,7.0,1.0,6.0,5.0,0.0,,,,,8.0,15.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,1.8,1.91,,,,,1.85,1.95,2022
Al Nassr vs Al Ittihad,2022-10-02 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Nassr,Al Ittihad,0,0,6,4,6.0,3.0,10.0,1.0,18.0,1.0,84.0,52.0,43.0,16.0,68.0,31.0,0.0,0.0,8.0,0.0,10.0,1.0,0.0,2.0,,,,,13.0,12.0,0.0,4.0,2.0,4.0,,,,,,,,,,,,,,,1.83,1.83,,,1.83,1.98,,,2022
Al Taawon vs Al Wahda,2022-10-06 15:30:00,Al Taawon won after full-time.,Saudi Arabia Liga Profissional,Al Taawoun,Al-Wehda,2,0,4,12,5.0,4.0,4.0,3.0,9.0,5.0,85.0,77.0,44.0,46.0,53.0,46.0,0.0,0.0,6.0,3.0,3.0,2.0,1.0,0.0,5.0,4.0,,,14.0,14.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,1.83,1.83,,,,,2.03,1.78,2022
Al Tai vs Al Khaleej,2022-10-06 15:30:00,Al Tai won after full-time.,Saudi Arabia Liga Profissional,Al Tai,Al Khaleej,3,0,8,11,2.0,5.0,2.0,4.0,10.0,13.0,89.0,97.0,32.0,38.0,42.0,58.0,1.0,0.0,8.0,10.0,2.0,3.0,2.0,2.0,6.0,1.0,,,13.0,10.0,2.0,4.0,1.0,0.0,,,,,,,,,,,,,,,1.73,2.0,,,2.03,1.78,,,2022
Al Batin vs Dhamk,2022-10-06 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Batin,Damac FC,2,2,16,7,1.0,6.0,1.0,5.0,3.0,14.0,59.0,95.0,18.0,48.0,31.0,68.0,0.0,1.0,2.0,8.0,1.0,6.0,2.0,3.0,1.0,7.0,,,20.0,17.0,3.0,0.0,2.0,2.0,,,,,,,,,,,,,,,1.33,3.25,,,,,,,2022
Al Ittifaq vs Al Hilal,2022-10-06 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Ettifaq,Al Hilal,0,0,9,2,2.0,16.0,4.0,15.0,5.0,26.0,55.0,86.0,21.0,73.0,28.0,72.0,0.0,0.0,1.0,12.0,4.0,14.0,2.0,1.0,1.0,7.0,,,7.0,7.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,2.1,1.67,,,,,,,2022
Al Shabab vs Al Raed,2022-10-06 18:00:00,Al Shabab won after full-time.,Saudi Arabia Liga Profissional,Al Shabab,Al Raed,1,0,1,8,8.0,3.0,7.0,5.0,13.0,9.0,98.0,72.0,50.0,34.0,57.0,42.0,0.0,0.0,4.0,6.0,9.0,3.0,5.0,1.0,1.0,7.0,,,15.0,16.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,1.73,,,,,,,2022
Abha vs Al Nassr,2022-10-07 15:30:00,Al Nassr won after full-time.,Saudi Arabia Liga Profissional,Abha,Al Nassr,0,3,10,6,2.0,8.0,5.0,3.0,5.0,11.0,52.0,65.0,9.0,28.0,35.0,64.0,0.0,0.0,3.0,5.0,2.0,6.0,2.0,1.0,,,,,9.0,8.0,4.0,0.0,2.0,1.0,,,,,,,,,,,,,,,1.73,2.0,,,,,1.88,1.93,2022
Al Adalh vs Al Feiha,2022-10-07 18:00:00,Al Adalh won after full-time.,Saudi Arabia Liga Profissional,Al Adalh,Al-Fayha,2,1,15,14,5.0,5.0,2.0,8.0,9.0,15.0,68.0,87.0,41.0,66.0,33.0,66.0,0.0,0.0,6.0,9.0,3.0,6.0,0.0,1.0,,,,,12.0,15.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,1.62,2.2,1.9,1.9,,,,,2022
Al Ittihad vs Al Fateh,2022-10-07 18:00:00,Al Ittihad won after full-time.,Saudi Arabia Liga Profissional,Al Ittihad,Al Fateh,3,1,6,9,0.0,7.0,4.0,8.0,9.0,16.0,52.0,81.0,18.0,36.0,30.0,69.0,0.0,0.0,6.0,9.0,3.0,7.0,1.0,0.0,,,,,9.0,10.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,1.8,1.91,,,1.83,1.98,,,2022
Al Raed vs Al Tai,2022-10-10 15:15:00,Al Tai won after full-time.,Saudi Arabia Liga Profissional,Al Raed,Al Tai,0,2,8,6,11.0,4.0,7.0,4.0,17.0,11.0,71.0,55.0,58.0,28.0,64.0,35.0,0.0,0.0,6.0,7.0,11.0,4.0,4.0,0.0,,,,,9.0,8.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.73,2.0,,,2.05,1.75,,,2022
