team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Nordsjælland,,,,92.72,92.72,2967,,,,,,55.0,55.0,1760,5.41,5.41,173,49.78,49.78,1593,9.34,9.34,299,,,,,,,,,,,,,,,,,,32795609.0,7.65,,,,,,,,,1.69,1.69,54,,,,,66.67,2.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,37563059.0,,414,12.94,102,279.0,166,161,143.0,,414,15.0,15.0,480.0,,,,,,,,1.84,1.84,1,0.03,59,84512,0.13,0.13,0.0,0.0,4.0,37614052.0,Denmark Superliga
Lyngby Boldklub,,,,71.97,71.97,2303,,,,,,46.69,46.69,1494,5.47,5.47,175,35.97,35.97,1151,9.94,9.94,318,,,,,,,,,,,,,,,,,,32013716.0,7.19,,,,,,,,,1.25,1.25,40,,,,,50.0,0.0,2.0,,,,0.03,0.03,0.0,0.0,1.0,24279.0,,307,9.59,112,253.0,173,128,140.0,,307,12.44,12.44,398.0,,,,,,,,2.19,2.19,1,0.03,70,83478,,,,,,,Denmark Superliga
Randers FC,,,,91.16,91.16,2917,,,,,,48.06,48.06,1538,4.5,4.5,144,42.63,42.63,1364,8.97,8.97,287,,,,,,,,,,,,,,,,,,84420.0,7.65,,,,,,,,,1.56,1.56,50,,,,,66.67,1.0,2.0,,,,0.03,0.03,,,1.0,,,326,10.19,104,250.0,187,136,161.0,,326,14.06,14.06,450.0,,,,,,,,1.78,1.78,0,0.0,57,540394,0.03,0.03,0.0,0.0,1.0,190914.0,Denmark Superliga
Horsens,,,,80.03,80.03,2561,,,,,,39.81,39.81,1274,3.94,3.94,126,41.78,41.78,1337,9.34,9.34,299,,,,,,,,,,,,,,,,,,24657.0,7.43,,,,,,,,,1.31,1.31,42,,,,,85.71,0.0,7.0,,,,0.06,0.06,0.0,0.0,2.0,83751.0,,276,8.63,104,217.0,121,100,94.0,,276,16.72,16.72,535.0,,,,,,,,2.0,2.0,0,0.0,64,86855,0.03,0.03,0.0,0.0,1.0,86855.0,Denmark Superliga
FC Midtjylland,,,,96.7,96.7,3191,,,,,,51.39,51.39,1696,5.7,5.7,188,46.21,46.21,1525,9.45,9.45,312,,,,,,,,,,,,,,,,,,23698077.0,7.72,,,,,,,,,1.55,1.55,51,,,,,71.43,2.0,5.0,,,,0.06,0.06,0.0,0.0,2.0,62855.0,,443,13.42,134,301.0,205,181,189.0,,443,14.7,14.7,485.0,,,,,,,,1.94,1.94,0,0.0,64,84981,0.06,0.06,0.0,0.0,2.0,219485.0,Denmark Superliga
Viborg FF,,,,99.0,99.0,3267,,,,,,48.06,48.06,1586,4.7,4.7,155,52.06,52.06,1718,9.67,9.67,319,,,,,,,,,,,,,,,,,,83717.0,8.36,,,,,,,,,1.18,1.18,39,,,,,50.0,2.0,2.0,,,,0.03,0.03,,,1.0,,,382,11.58,105,283.0,181,167,153.0,,382,14.09,14.09,465.0,,,,,,,,1.7,1.7,0,0.0,56,84031,0.06,0.06,0.0,0.0,2.0,85456.0,Denmark Superliga
FC København,,,,90.66,90.66,2901,,,,,,55.44,55.44,1774,5.66,5.66,181,47.59,47.59,1523,7.69,7.69,246,,,,,,,,,,,,,,,,,,447344.0,8.26,,,,,,,,,1.44,1.44,46,,,,,55.56,4.0,5.0,,,,0.03,0.03,,,1.0,,,452,14.13,120,312.0,205,194,183.0,,452,12.78,12.78,409.0,,,,,,,,2.56,2.56,0,0.0,82,37600108,0.03,0.03,0.0,0.0,1.0,25106.0,Denmark Superliga
Brøndby IF,,,,81.94,81.94,2622,,,,,,51.97,51.97,1663,5.25,5.25,168,44.53,44.53,1425,8.59,8.59,275,,,,,,,,,,,,,,,,,,82841.0,7.53,,,,,,,,,1.81,1.81,58,,,,,80.0,0.0,5.0,,,,0.06,0.06,0.0,0.0,2.0,82841.0,,371,11.59,111,295.0,167,165,143.0,,371,14.06,14.06,450.0,,,,,,,,1.94,1.94,0,0.0,62,354691,0.06,0.06,0.0,0.0,2.0,151690.0,Denmark Superliga
Odense BK,,,,85.84,85.84,2747,,,,,,49.09,49.09,1571,4.66,4.66,149,39.25,39.25,1256,8.13,8.13,260,,,,,,,,,,,,,,,,,,37509472.0,7.65,,,,,,,,,1.63,1.63,52,,,,,80.0,2.0,8.0,,,,0.03,0.03,0.0,0.0,1.0,37648345.0,,343,10.72,111,254.0,156,137,139.0,,343,13.88,13.88,444.0,,,,,,,,1.81,1.81,0,0.0,58,84292,0.09,0.09,0.0,0.0,3.0,5283589.0,Denmark Superliga
AGF,,,,80.22,80.22,2567,,,,,,50.13,50.13,1604,4.84,4.84,155,43.0,43.0,1376,10.56,10.56,338,,,,,,,,,,,,,,,,,,29177.0,7.41,,,,,,,,,1.25,1.25,40,,,,,83.33,0.0,6.0,,,,0.06,0.06,0.0,0.0,2.0,84589.0,,344,10.75,114,248.0,173,133,147.0,,344,14.88,14.88,476.0,,,,,,,,1.97,1.97,5,0.16,63,84039,0.03,0.03,0.0,0.0,1.0,84039.0,Denmark Superliga
Silkeborg IF,,,,84.69,84.69,2710,,,,,,55.47,55.47,1775,4.94,4.94,158,47.75,47.75,1528,6.19,6.19,198,,,,,,,,,,,,,,,,,,37546910.0,7.65,,,,,,,,,1.13,1.13,36,,,,,50.0,2.0,2.0,,,,0.03,0.03,0.0,0.0,1.0,84605.0,,329,10.28,120,246.0,139,140,138.0,,329,14.47,14.47,463.0,,,,,,,,1.13,1.13,0,0.0,36,119637,,,,,,,Denmark Superliga
