team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Olympique Lyonnais,,,,123.34,123.34,4687,,,,,,58.08,58.08,2207,4.84,4.84,184,50.82,50.82,1931,13.11,13.11,498,,,,,,,,,,,,,,,,,,220052.0,7.6,,,,,,,,,1.5,1.5,57,,,,,75.0,2.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,95617.0,,474,12.47,152,348.0,189,211,171.0,,474,18.53,18.53,704.0,,,,,,,,1.58,1.58,0,0.0,60,24469115,0.03,0.03,0.0,0.0,1.0,24469115.0,France Ligue 1
Ajaccio,,,,98.87,98.87,3757,,,,,,42.84,42.84,1628,3.32,3.32,126,36.61,36.61,1391,13.82,13.82,525,,,,,,,,,,,,,,,,,,290036.0,7.65,,,,,,,,,1.66,1.66,63,,,,,66.67,3.0,6.0,,,,0.21,0.21,0.0,0.0,8.0,94707.0,,292,7.68,86,197.0,154,89,124.0,,292,16.71,16.71,635.0,,,,,,,,2.24,2.24,0,0.0,85,102049,0.05,0.05,0.0,0.0,2.0,95293.0,France Ligue 1
Strasbourg,,,,106.34,106.34,4041,,,,,,45.47,45.47,1728,3.76,3.76,143,38.95,38.95,1480,14.0,14.0,532,,,,,,,,,,,,,,,,,,99076.0,7.36,,,,,,,,,1.13,1.13,43,,,,,71.43,2.0,5.0,,,,0.13,0.13,0.0,0.0,5.0,94436.0,,407,10.71,101,283.0,202,163,167.0,,407,17.68,17.68,672.0,,,,,,,,1.92,1.92,3,0.08,73,95896,0.05,0.05,0.0,0.0,2.0,96516.0,France Ligue 1
Monaco,,,,111.68,111.68,4244,,,,,,48.11,48.11,1828,4.37,4.37,166,47.08,47.08,1789,12.45,12.45,473,,,,,,,,,,,,,,,,,,10990739.0,7.65,,,,,,,,,2.21,2.21,84,,,,,62.5,3.0,5.0,,,,0.05,0.05,0.0,0.0,2.0,3510051.0,,441,11.61,110,317.0,179,212,163.0,,441,17.79,17.79,676.0,,,,,,,,1.71,1.71,2,0.05,65,170199,0.08,0.08,0.0,0.0,3.0,234692.0,France Ligue 1
Clermont,,,,92.97,92.97,3533,,,,,,48.32,48.32,1836,4.08,4.08,155,34.87,34.87,1325,12.55,12.55,477,,,,,,,,,,,,,,,,,,96695.0,7.17,,,,,,,,,1.37,1.37,52,,,,,70.0,3.0,7.0,,,,0.08,0.08,0.0,0.0,3.0,155706.0,,352,9.26,102,242.0,165,151,162.0,,352,17.11,17.11,650.0,,,,,,,,1.89,1.89,1,0.03,72,37407284,0.05,0.05,0.0,0.0,2.0,62737.0,France Ligue 1
Paris Saint Germain,,,,120.34,120.34,4573,,,,,,60.29,60.29,2291,5.37,5.37,204,53.66,53.66,2039,10.47,10.47,398,,,,,,,,,,,,,,,,,,184798.0,8.27,,,,,,,,,2.03,2.03,77,,,,,62.5,3.0,5.0,,,,0.08,0.08,0.0,0.0,3.0,95593.0,,534,14.05,145,386.0,191,253,183.0,,534,15.61,15.61,593.0,,,,,,,,1.47,1.47,2,0.05,56,95593,0.05,0.05,0.0,0.0,2.0,186320.0,France Ligue 1
Toulouse,,,,101.55,101.55,3859,,,,,,51.16,51.16,1944,5.29,5.29,201,45.03,45.03,1711,12.26,12.26,466,,,,,,,,,,,,,,,,,,25609.0,7.68,,,,,,,,,1.95,1.95,74,,,,,75.0,0.0,4.0,,,,0.08,0.08,,,3.0,,,439,11.55,103,322.0,186,184,137.0,,439,17.92,17.92,681.0,,,,,,,,1.53,1.53,1,0.03,58,25609,0.08,0.08,0.0,0.0,3.0,84217.0,France Ligue 1
Nice,,,,104.18,104.18,3959,,,,,,50.92,50.92,1935,5.08,5.08,193,41.08,41.08,1561,10.71,10.71,407,,,,,,,,,,,,,,,,,,96632.0,7.31,,,,,,,,,1.34,1.34,51,,,,,85.71,1.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,96017.0,,459,12.08,125,315.0,215,197,201.0,,459,20.68,20.68,786.0,,,,,,,,1.39,1.39,0,0.0,53,26687,0.03,0.03,0.0,0.0,1.0,529856.0,France Ligue 1
LOSC Lille,,,,117.05,117.05,4448,,,,,,61.21,61.21,2326,5.74,5.74,218,53.95,53.95,2050,13.16,13.16,500,,,,,,,,,,,,,,,,,,1421.0,7.72,,,,,,,,,1.66,1.66,63,,,,,84.62,2.0,11.0,,,,0.03,0.03,1.0,0.03,1.0,37588823.0,,485,12.76,152,377.0,202,220,183.0,,485,15.68,15.68,596.0,,,,,,,,2.21,2.21,0,0.0,84,95168,,,,,,,France Ligue 1
Auxerre,,,,94.55,94.55,3593,,,,,,42.37,42.37,1610,3.55,3.55,135,38.89,38.89,1478,11.89,11.89,452,,,,,,,,,,,,,,,,,,26715311.0,7.55,,,,,,,,,1.29,1.29,49,,,,,77.78,2.0,7.0,,,,0.05,0.05,0.0,0.0,2.0,5341.0,,371,9.76,108,251.0,216,127,183.0,,371,16.47,16.47,626.0,,,,,,,,1.34,1.34,3,0.08,51,160223,0.11,0.11,0.0,0.0,4.0,62546.0,France Ligue 1
Angers SCO,,,,100.47,100.47,3818,,,,,,47.39,47.39,1801,4.32,4.32,164,39.55,39.55,1503,12.42,12.42,472,,,,,,,,,,,,,,,,,,937.0,7.36,,,,,,,,,1.24,1.24,47,,,,,75.0,0.0,4.0,,,,0.05,0.05,0.0,0.0,2.0,132778.0,,305,8.03,87,232.0,174,129,140.0,,305,16.63,16.63,632.0,,,,,,,,1.82,1.82,0,0.0,69,96495,0.08,0.08,0.0,0.0,3.0,937.0,France Ligue 1
Nantes,,,,103.0,103.0,3914,,,,,,45.58,45.58,1732,5.16,5.16,196,44.68,44.68,1698,12.42,12.42,472,,,,,,,,,,,,,,,,,,97438.0,7.45,,,,,,,,,1.45,1.45,55,,,,,60.0,2.0,3.0,,,,0.05,0.05,0.0,0.0,2.0,625.0,,389,10.24,117,269.0,188,162,184.0,,389,17.97,17.97,683.0,,,,,,,,1.68,1.68,5,0.13,64,432782,0.05,0.05,0.0,0.0,2.0,95150.0,France Ligue 1
