team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Eintracht Frankfurt,,,,90.12,90.12,3064,,,,,,52.74,52.74,1793,5.53,5.53,188,43.65,43.65,1484,10.88,10.88,370,,,,,,,,,,,,,,,,,,27067136.0,7.45,,,,,,,,,2.06,2.06,70,,,,,85.71,1.0,6.0,,,,0.0,0.0,1.0,0.03,0.0,,,367,10.79,106,277.0,180,143,129.0,,367,14.76,14.76,502.0,,,,,,,,2.09,2.09,0,0.0,71,32769,0.03,0.03,0.0,0.0,1.0,432872.0,Germany Bundesliga
FC Bayern München,,,,100.24,100.24,3408,,,,,,64.24,64.24,2184,6.74,6.74,229,54.56,54.56,1855,8.12,8.12,276,,,,,,,,,,,,,,,,,,32659.0,9.38,,,,,,,,,2.47,2.47,84,,,,,60.0,2.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,33685.0,,563,16.56,165,438.0,227,259,191.0,,563,16.0,16.0,544.0,,,,,,,,1.38,1.38,3,0.09,47,33685,0.06,0.06,0.0,0.0,2.0,32362.0,Germany Bundesliga
FC Union Berlin,,,,77.24,77.24,2626,,,,,,44.21,44.21,1503,4.85,4.85,165,38.76,38.76,1318,11.85,11.85,403,,,,,,,,,,,,,,,,,,31709.0,7.55,,,,,,,,,1.79,1.79,61,,,,,42.86,4.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,540203.0,,349,10.26,84,250.0,185,121,131.0,,349,13.12,13.12,446.0,,,,,,,,1.94,1.94,0,0.0,66,31907,0.03,0.03,0.0,0.0,1.0,42102.0,Germany Bundesliga
Hertha BSC,,,,78.65,78.65,2674,,,,,,42.21,42.21,1435,4.32,4.32,147,30.68,30.68,1043,10.47,10.47,356,,,,,,,,,,,,,,,,,,33187618.0,8.06,,,,,,,,,1.68,1.68,57,,,,,85.71,0.0,7.0,,,,0.03,0.03,,,1.0,,,320,9.41,90,246.0,169,135,138.0,,320,13.03,13.03,443.0,,,,,,,,2.38,2.38,2,0.06,81,43243,0.03,0.03,0.0,0.0,1.0,75066.0,Germany Bundesliga
Borussia Mönchengladbach,,,,79.62,79.62,2707,,,,,,54.24,54.24,1844,4.44,4.44,151,30.68,30.68,1043,9.03,9.03,307,,,,,,,,,,,,,,,,,,32193.0,8.16,,,,,,,,,2.12,2.12,72,,,,,66.67,2.0,4.0,,,,0.06,0.06,0.0,0.0,2.0,310132.0,,374,11.0,91,278.0,154,176,131.0,,374,13.0,13.0,442.0,,,,,,,,1.82,1.82,1,0.03,62,23738800,0.03,0.03,0.0,0.0,1.0,62502.0,Germany Bundesliga
TSG Hoffenheim,,,,84.5,84.5,2873,,,,,,46.62,46.62,1585,4.74,4.74,161,34.47,34.47,1172,12.65,12.65,430,,,,,,,,,,,,,,,,,,4536572.0,7.34,,,,,,,,,2.29,2.29,78,,,,,70.0,3.0,7.0,,,,0.06,0.06,0.0,0.0,2.0,52792.0,,355,10.44,105,267.0,173,140,139.0,,355,13.12,13.12,446.0,,,,,,,,2.29,2.29,2,0.06,78,32853,0.09,0.09,0.0,0.0,3.0,5640817.0,Germany Bundesliga
VfL Wolfsburg,,,,92.29,92.29,3138,,,,,,50.82,50.82,1728,4.5,4.5,153,38.76,38.76,1318,10.32,10.32,351,,,,,,,,,,,,,,,,,,31730.0,7.67,,,,,,,,,1.44,1.44,49,,,,,57.14,3.0,4.0,,,,,,,,,,,372,10.94,95,279.0,184,149,129.0,,372,13.79,13.79,469.0,,,,,,,,1.85,1.85,1,0.03,63,4536574,,,,,,,Germany Bundesliga
Werder Bremen,,,,96.53,96.53,3282,,,,,,49.29,49.29,1676,3.21,3.21,109,33.85,33.85,1151,11.82,11.82,402,,,,,,,,,,,,,,,,,,31532.0,7.45,,,,,,,,,1.91,1.91,65,,,,,83.33,1.0,5.0,,,,0.03,0.03,0.0,0.0,1.0,33701.0,,354,10.41,84,241.0,154,143,129.0,,354,15.76,15.76,536.0,,,,,,,,2.24,2.24,2,0.06,76,31729,,,,,,,Germany Bundesliga
VfL Bochum 1848,,,,84.0,84.0,2856,,,,,,46.94,46.94,1596,4.15,4.15,141,35.18,35.18,1196,11.47,11.47,390,,,,,,,,,,,,,,,,,,31864.0,7.2,,,,,,,,,1.85,1.85,63,,,,,66.67,0.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,34333.0,,371,10.91,104,249.0,176,131,151.0,,371,15.68,15.68,533.0,,,,,,,,1.88,1.88,1,0.03,64,33629,,,,,,,Germany Bundesliga
FSV Mainz 05,,,,91.35,91.35,3106,,,,,,43.79,43.79,1489,4.56,4.56,155,39.26,39.26,1335,12.15,12.15,413,,,,,,,,,,,,,,,,,,2178735.0,7.31,,,,,,,,,2.18,2.18,74,,,,,66.67,2.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,32672.0,,375,11.03,105,289.0,169,160,128.0,,375,13.94,13.94,474.0,,,,,,,,2.09,2.09,4,0.12,71,31982,,,,,,,Germany Bundesliga
