team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Milan,,,,113.82,113.82,4325,,,,,,55.5,55.5,2109,4.89,4.89,186,45.24,45.24,1719,11.29,11.29,429,,,,,,,,,,,,,,,,,,2823228.0,7.4,,,,,,,,,1.61,1.61,61,,,,,80.0,0.0,5.0,,,,0.06,0.06,,,2.0,,,505,13.29,144,351.0,241,189,200.0,,505,17.32,17.32,658.0,,,,,,,,2.34,2.34,3,0.08,89,798,0.05,0.05,0.0,0.0,2.0,798.0,Italy Serie A
Udinese,,,,94.21,94.21,3580,,,,,,47.47,47.47,1804,4.89,4.89,186,39.66,39.66,1507,12.58,12.58,478,,,,,,,,,,,,,,,,,,1057.0,7.26,,,,,,,,,1.34,1.34,51,,,,,50.0,1.0,1.0,,,,0.05,0.05,1.0,0.03,2.0,225238.0,,440,11.58,152,299.0,215,153,206.0,,440,16.34,16.34,621.0,,,,,,,,2.34,2.34,3,0.08,89,225238,0.03,0.03,0.0,0.0,1.0,5803.0,Italy Serie A
Sampdoria,,,,92.92,92.92,3531,,,,,,46.39,46.39,1763,3.42,3.42,130,34.68,34.68,1318,13.53,13.53,514,,,,,,,,,,,,,,,,,,37331657.0,7.24,,,,,,,,,1.45,1.45,55,,,,,50.0,1.0,1.0,,,,0.03,0.03,2.0,0.05,1.0,30955.0,,332,8.74,106,239.0,171,120,139.0,,332,14.97,14.97,569.0,,,,,,,,2.82,2.82,4,0.11,107,537837,0.05,0.05,0.0,0.0,2.0,129818.0,Italy Serie A
Atalanta,,,,111.34,111.34,4231,,,,,,49.5,49.5,1881,5.11,5.11,194,53.74,53.74,2042,12.34,12.34,469,,,,,,,,,,,,,,,,,,37343966.0,7.34,,,,,,,,,1.53,1.53,58,,,,,75.0,2.0,6.0,,,,0.05,0.05,1.0,0.03,2.0,84604.0,,487,12.82,148,336.0,219,181,181.0,,487,16.95,16.95,644.0,,,,,,,,2.16,2.16,4,0.11,82,129921,0.05,0.05,0.0,0.0,2.0,128853.0,Italy Serie A
Lecce,,,,102.03,102.03,3877,,,,,,41.32,41.32,1570,4.53,4.53,172,39.71,39.71,1509,14.63,14.63,556,,,,,,,,,,,,,,,,,,133364.0,7.13,,,,,,,,,1.79,1.79,68,,,,,66.67,2.0,4.0,,,,0.03,0.03,1.0,0.03,1.0,540189.0,,404,10.63,128,241.0,199,115,180.0,,404,17.79,17.79,676.0,,,,,,,,2.29,2.29,1,0.03,87,540189,0.03,0.03,0.0,0.0,1.0,21054913.0,Italy Serie A
Inter,,,,101.84,101.84,3870,,,,,,55.71,55.71,2117,5.63,5.63,214,46.21,46.21,1756,12.16,12.16,462,,,,,,,,,,,,,,,,,,31825.0,7.47,,,,,,,,,1.79,1.79,68,,,,,80.0,1.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,129208.0,,594,15.63,164,416.0,284,207,215.0,,594,15.24,15.24,579.0,,,,,,,,1.68,1.68,4,0.11,64,73004,0.05,0.05,0.0,0.0,2.0,129396.0,Italy Serie A
Monza,,,,97.11,97.11,3690,,,,,,55.53,55.53,2110,4.05,4.05,154,37.45,37.45,1423,13.26,13.26,504,,,,,,,,,,,,,,,,,,5349.0,7.34,,,,,,,,,1.84,1.84,70,,,,,83.33,1.0,5.0,,,,0.08,0.08,0.0,0.0,3.0,31714.0,,386,10.16,113,264.0,178,146,148.0,,386,14.32,14.32,544.0,,,,,,,,2.39,2.39,4,0.11,91,129515,0.03,0.03,0.0,0.0,1.0,31714.0,Italy Serie A
Torino,,,,106.21,106.21,4036,,,,,,53.61,53.61,2037,4.53,4.53,172,41.66,41.66,1583,11.76,11.76,447,,,,,,,,,,,,,,,,,,1359363.0,7.18,,,,,,,,,2.13,2.13,81,,,,,50.0,0.0,2.0,,,,0.03,0.03,0.0,0.0,1.0,,,450,11.84,128,307.0,186,153,143.0,,450,11.53,11.53,438.0,,,,,,,,2.16,2.16,4,0.11,82,130011,,,,,,,Italy Serie A
Fiorentina,,,,112.13,112.13,4261,,,,,,56.68,56.68,2154,6.16,6.16,234,49.18,49.18,1869,12.82,12.82,487,,,,,,,,,,,,,,,,,,95384.0,8.36,,,,,,,,,1.47,1.47,56,,,,,66.67,2.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,128736.0,,527,13.87,187,386.0,264,186,218.0,,527,14.89,14.89,566.0,,,,,,,,2.42,2.42,5,0.13,92,25489,0.05,0.05,0.0,0.0,2.0,54191.0,Italy Serie A
Cremonese,,,,92.24,92.24,3505,,,,,,41.37,41.37,1572,3.84,3.84,146,36.84,36.84,1400,11.45,11.45,435,,,,,,,,,,,,,,,,,,1525399.0,7.45,,,,,,,,,1.79,1.79,68,,,,,71.43,2.0,5.0,,,,0.08,0.08,0.0,0.0,3.0,132367.0,,444,11.68,135,287.0,217,133,178.0,,444,17.66,17.66,671.0,,,,,,,,2.16,2.16,0,0.0,82,132303,,,,,,,Italy Serie A
