team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Benfica,,,,116.71,116.71,3968,,,,,,63.97,63.97,2175,8.06,8.06,274,69.09,69.09,2349,11.53,11.53,392,,,,,,,,,,,,,,,,,,160208.0,7.75,,,,,,,,,2.47,2.47,84,,,,,69.23,4.0,9.0,,,,0.0,0.0,1.0,0.03,0.0,,,529,15.56,97,405.0,243,210,177.0,,529,17.53,17.53,596.0,,,,,,,,1.88,1.88,0,0.0,64,1822,0.09,0.09,0.0,0.0,3.0,1822.0,Liga Portugal
Arouca,,,,80.21,80.21,2727,,,,,,47.32,47.32,1609,3.35,3.35,114,29.41,29.41,1000,12.74,12.74,433,,,,,,,,,,,,,,,,,,260856.0,7.57,,,,,,,,,1.53,1.53,52,,,,,83.33,1.0,5.0,,,,0.12,0.12,0.0,0.0,4.0,1494704.0,,330,9.71,56,170.0,161,128,192.0,,330,15.82,15.82,538.0,,,,,,,,2.35,2.35,0,0.0,80,160174,,,,,,,Liga Portugal
Rio Ave,,,,89.62,89.62,3047,,,,,,49.85,49.85,1695,4.32,4.32,147,33.15,33.15,1127,12.97,12.97,441,,,,,,,,,,,,,,,,,,159419.0,7.31,,,,,,,,,2.09,2.09,71,,,,,50.0,3.0,3.0,,,,0.15,0.15,0.0,0.0,5.0,76025.0,,355,10.44,66,207.0,188,126,179.0,,355,13.97,13.97,475.0,,,,,,,,2.68,2.68,3,0.09,91,76025,0.03,0.03,0.0,0.0,1.0,162872.0,Liga Portugal
Vizela,,,,76.91,76.91,2615,,,,,,44.03,44.03,1497,4.97,4.97,169,34.59,34.59,1176,11.38,11.38,387,,,,,,,,,,,,,,,,,,160227.0,7.45,,,,,,,,,2.09,2.09,71,,,,,25.0,3.0,1.0,,,,0.06,0.06,0.0,0.0,2.0,162172.0,,362,10.65,42,236.0,169,156,171.0,,362,13.18,13.18,448.0,,,,,,,,3.03,3.03,0,0.0,103,159945,0.09,0.09,0.0,0.0,3.0,159985.0,Liga Portugal
Estoril,,,,74.26,74.26,2525,,,,,,47.56,47.56,1617,4.62,4.62,157,35.76,35.76,1216,13.03,13.03,443,,,,,,,,,,,,,,,,,,496769.0,7.41,,,,,,,,,1.38,1.38,47,,,,,60.0,2.0,3.0,,,,0.09,0.09,0.0,0.0,3.0,161308.0,,336,9.88,66,206.0,154,114,148.0,,336,14.03,14.03,477.0,,,,,,,,2.82,2.82,0,0.0,96,97610,0.12,0.12,0.0,0.0,4.0,160152.0,Liga Portugal
Famalicão,,,,83.53,83.53,2840,,,,,,46.85,46.85,1593,4.44,4.44,151,35.26,35.26,1199,13.21,13.21,449,,,,,,,,,,,,,,,,,,432720.0,7.29,,,,,,,,,1.53,1.53,52,,,,,50.0,3.0,3.0,,,,0.21,0.21,0.0,0.0,7.0,8100476.0,,405,11.91,84,252.0,205,122,178.0,,405,15.74,15.74,535.0,,,,,,,,2.53,2.53,0,0.0,86,33991738,0.03,0.03,0.0,0.0,1.0,37445256.0,Liga Portugal
Porto,,,,93.91,93.91,3193,,,,,,58.68,58.68,1995,5.85,5.85,199,51.82,51.82,1762,12.74,12.74,433,,,,,,,,,,,,,,,,,,160117.0,7.9,,,,,,,,,2.35,2.35,80,,,,,83.33,2.0,10.0,,,,0.06,0.06,1.0,0.03,2.0,108161.0,,433,12.74,60,369.0,226,193,158.0,,433,14.65,14.65,498.0,,,,,,,,2.21,2.21,1,0.03,75,108161,0.09,0.09,0.0,0.0,3.0,236907.0,Liga Portugal
Marítimo,,,,81.09,81.09,2757,,,,,,47.18,47.18,1604,5.65,5.65,192,37.21,37.21,1265,13.32,13.32,453,,,,,,,,,,,,,,,,,,32785662.0,7.55,,,,,,,,,1.85,1.85,63,,,,,57.14,3.0,4.0,,,,0.21,0.21,1.0,0.03,7.0,106487.0,,426,12.53,86,261.0,228,133,212.0,,426,15.59,15.59,530.0,,,,,,,,3.06,3.06,1,0.03,104,160960,0.12,0.12,0.0,0.0,4.0,158677.0,Liga Portugal
Santa Clara,,,,78.44,78.44,2667,,,,,,42.06,42.06,1430,4.47,4.47,152,31.15,31.15,1059,13.5,13.5,459,,,,,,,,,,,,,,,,,,37561601.0,7.14,,,,,,,,,2.44,2.44,83,,,,,85.71,1.0,6.0,,,,0.09,0.09,0.0,0.0,3.0,54392.0,,353,10.38,43,216.0,179,123,147.0,,353,15.18,15.18,516.0,,,,,,,,3.38,3.38,1,0.03,115,5641042,0.12,0.12,0.0,0.0,4.0,95882.0,Liga Portugal
Casa Pia,,,,79.68,79.68,2709,,,,,,42.35,42.35,1440,4.41,4.41,150,32.85,32.85,1117,12.41,12.41,422,,,,,,,,,,,,,,,,,,10948334.0,7.55,,,,,,,,,2.06,2.06,70,,,,,75.0,1.0,3.0,,,,0.09,0.09,0.0,0.0,3.0,21413458.0,,361,10.62,59,231.0,185,120,153.0,,361,14.79,14.79,503.0,,,,,,,,2.88,2.88,0,0.0,98,159913,0.12,0.12,0.0,0.0,4.0,62488.0,Liga Portugal
