team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Santos Laguna,,,,77.33,77.33,3016,,,,,,46.79,46.79,1825,5.38,5.38,210,35.72,35.72,1393,9.72,9.72,379,,,,,,,,,,,,,,,,,,253761.0,7.76,,,,,,,,,1.56,1.56,61,,,,,90.91,0.0,11.0,,,,0.18,0.18,0.0,0.0,7.0,212355.0,,560,14.36,97,359.0,233,220,234.0,,560,13.56,13.56,529.0,,,,,,,,2.03,2.03,2,0.05,79,260749,0.05,0.05,0.0,0.0,2.0,212355.0,Mexico Liga MX
Atlas,,,,88.05,88.05,3258,,,,,,50.43,50.43,1866,4.49,4.49,166,36.11,36.11,1336,10.38,10.38,384,,,,,,,,,,,,,,,,,,254057.0,7.37,,,,,,,,,1.73,1.73,64,,,,,80.0,1.0,4.0,,,,0.11,0.11,0.0,0.0,4.0,235984.0,,440,11.89,71,276.0,236,146,210.0,,440,15.46,15.46,572.0,,,,,,,,2.19,2.19,0,0.0,81,258514,0.05,0.05,0.0,0.0,2.0,212304.0,Mexico Liga MX
León,,,,72.39,72.39,2606,,,,,,51.97,51.97,1871,5.47,5.47,197,36.19,36.19,1303,11.67,11.67,420,,,,,,,,,,,,,,,,,,402376.0,7.38,,,,,,,,,1.78,1.78,64,,,,,50.0,0.0,2.0,,,,0.28,0.28,2.0,0.06,10.0,254102.0,,478,13.28,83,318.0,240,172,199.0,,478,16.89,16.89,608.0,,,,,,,,2.08,2.08,1,0.03,75,237102,0.11,0.11,0.0,0.0,4.0,237102.0,Mexico Liga MX
América,,,,81.67,81.67,3430,,,,,,53.76,53.76,2258,5.88,5.88,247,43.81,43.81,1840,9.79,9.79,411,,,,,,,,,,,,,,,,,,253780.0,7.54,,,,,,,,,1.74,1.74,73,,,,,85.71,1.0,6.0,,,,0.05,0.05,1.0,0.02,2.0,447092.0,,661,15.74,125,397.0,276,247,299.0,,661,15.31,15.31,643.0,,,,,,,,1.95,1.95,0,0.0,82,259240,,,,,,,Mexico Liga MX
Toluca,,,,92.51,92.51,3978,,,,,,50.0,50.0,2150,4.72,4.72,203,39.0,39.0,1677,9.98,9.98,429,,,,,,,,,,,,,,,,,,260889.0,7.6,,,,,,,,,1.72,1.72,74,,,,,92.86,1.0,13.0,,,,0.12,0.12,0.0,0.0,5.0,233949.0,,567,13.19,96,356.0,215,231,238.0,,567,14.74,14.74,634.0,,,,,,,,2.33,2.33,1,0.02,100,233949,0.09,0.09,0.0,0.0,4.0,70307.0,Mexico Liga MX
Puebla,,,,68.42,68.42,2600,,,,,,48.11,48.11,1828,4.03,4.03,153,31.16,31.16,1184,11.61,11.61,441,,,,,,,,,,,,,,,,,,253326.0,7.65,,,,,,,,,1.16,1.16,44,,,,,80.0,1.0,4.0,,,,0.03,0.03,1.0,0.03,1.0,253902.0,,445,11.71,73,279.0,238,169,220.0,,445,15.16,15.16,576.0,,,,,,,,2.76,2.76,0,0.0,105,129597,0.03,0.03,0.0,0.0,1.0,13649139.0,Mexico Liga MX
Juárez,,,,83.17,83.17,2911,,,,,,49.97,49.97,1749,5.14,5.14,180,36.89,36.89,1291,9.83,9.83,344,,,,,,,,,,,,,,,,,,252740.0,7.29,,,,,,,,,1.14,1.14,40,,,,,40.0,3.0,2.0,,,,0.14,0.14,1.0,0.03,5.0,185955.0,,384,10.97,66,233.0,212,115,198.0,,384,14.43,14.43,505.0,,,,,,,,2.54,2.54,0,0.0,89,130137,0.11,0.11,0.0,0.0,4.0,252650.0,Mexico Liga MX
Atlético San Luis,,,,67.97,67.97,2515,,,,,,44.19,44.19,1635,4.24,4.24,157,27.84,27.84,1030,10.27,10.27,380,,,,,,,,,,,,,,,,,,37262609.0,7.65,,,,,,,,,0.95,0.95,35,,,,,80.0,1.0,4.0,,,,0.08,0.08,2.0,0.05,3.0,253469.0,,381,10.3,56,239.0,201,130,167.0,,381,14.24,14.24,527.0,,,,,,,,2.3,2.3,1,0.03,85,219722,0.03,0.03,0.0,0.0,1.0,2823329.0,Mexico Liga MX
Querétaro,,,,73.03,73.03,2483,,,,,,45.94,45.94,1562,4.68,4.68,159,30.62,30.62,1041,11.56,11.56,393,,,,,,,,,,,,,,,,,,238290.0,7.23,,,,,,,,,1.62,1.62,55,,,,,66.67,2.0,4.0,,,,0.09,0.09,0.0,0.0,3.0,237213.0,,389,11.44,50,241.0,209,132,179.0,,389,15.15,15.15,515.0,,,,,,,,2.5,2.5,0,0.0,85,253860,0.03,0.03,0.0,0.0,1.0,253860.0,Mexico Liga MX
Mazatlán,,,,76.38,76.38,2597,,,,,,46.62,46.62,1585,4.0,4.0,136,32.32,32.32,1099,11.21,11.21,381,,,,,,,,,,,,,,,,,,237088.0,7.15,,,,,,,,,1.18,1.18,40,,,,,33.33,2.0,1.0,,,,0.12,0.12,0.0,0.0,4.0,5666518.0,,359,10.56,70,215.0,181,125,188.0,,359,13.62,13.62,463.0,,,,,,,,2.56,2.56,0,0.0,87,244379,0.06,0.06,0.0,0.0,2.0,254554.0,Mexico Liga MX
