team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
SC Heerenveen,,,,91.03,91.03,3277,,,,,,49.86,49.86,1795,4.64,4.64,167,42.67,42.67,1536,9.03,9.03,325,,,,,,,,,,,,,,,,,,25033.0,7.75,,,,,,,,,1.39,1.39,50,,,,,33.33,2.0,1.0,,,,0.03,0.03,0.0,0.0,1.0,74182.0,,439,12.19,114,283.0,203,159,177.0,,439,14.11,14.11,508.0,,,,,,,,1.53,1.53,0,0.0,55,24714,,,,,,,Netherlands Eredivisie
Sparta Rotterdam,,,,102.11,102.11,3880,,,,,,47.5,47.5,1805,4.37,4.37,166,40.32,40.32,1532,9.16,9.16,348,,,,,,,,,,,,,,,,,,28212.0,7.55,,,,,,,,,1.29,1.29,49,,,,,85.71,1.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,23489.0,,434,11.42,115,294.0,197,173,185.0,,434,14.74,14.74,560.0,,,,,,,,1.29,1.29,3,0.08,49,29209,0.03,0.03,0.0,0.0,1.0,9939197.0,Netherlands Eredivisie
Fortuna Sittard,,,,71.65,71.65,2436,,,,,,44.06,44.06,1498,4.44,4.44,151,31.97,31.97,1087,8.5,8.5,289,,,,,,,,,,,,,,,,,,458549.0,7.3,,,,,,,,,2.09,2.09,71,,,,,85.71,0.0,7.0,,,,0.03,0.03,0.0,0.0,1.0,54177.0,,336,9.88,99,248.0,181,125,141.0,,336,15.32,15.32,521.0,,,,,,,,1.82,1.82,2,0.06,62,199811,0.09,0.09,1.0,0.03,3.0,54177.0,Netherlands Eredivisie
Ajax,,,,108.79,108.79,3699,,,,,,66.76,66.76,2270,8.03,8.03,273,64.03,64.03,2177,8.47,8.47,288,,,,,,,,,,,,,,,,,,12393293.0,9.69,,,,,,,,,2.09,2.09,71,,,,,80.0,0.0,5.0,,,,0.03,0.03,0.0,0.0,1.0,32777738.0,,564,16.59,184,446.0,249,235,183.0,,564,14.15,14.15,481.0,,,,,,,,1.35,1.35,0,0.0,46,254052,,,,,,,Netherlands Eredivisie
SC Cambuur,,,,85.29,85.29,2900,,,,,,47.76,47.76,1624,4.5,4.5,153,35.41,35.41,1204,9.91,9.91,337,,,,,,,,,,,,,,,,,,25437.0,7.27,,,,,,,,,1.35,1.35,46,,,,,50.0,1.0,1.0,,,,0.12,0.12,0.0,0.0,4.0,29150.0,,319,9.38,94,239.0,173,127,147.0,,319,15.12,15.12,514.0,,,,,,,,1.44,1.44,0,0.0,49,24377,0.03,0.03,0.0,0.0,1.0,29484.0,Netherlands Eredivisie
Excelsior,,,,79.71,79.71,2710,,,,,,41.26,41.26,1403,4.32,4.32,147,33.97,33.97,1155,8.53,8.53,290,,,,,,,,,,,,,,,,,,26550.0,7.52,,,,,,,,,1.12,1.12,38,,,,,0.0,2.0,0.0,,,,0.03,0.03,,,1.0,,,301,8.85,86,229.0,163,109,115.0,,301,16.18,16.18,550.0,,,,,,,,1.41,1.41,0,0.0,48,37527863,0.03,0.03,0.0,0.0,1.0,3533731.0,Netherlands Eredivisie
PSV,,,,110.53,110.53,3758,,,,,,55.82,55.82,1898,6.71,6.71,228,52.53,52.53,1786,9.18,9.18,312,,,,,,,,,,,,,,,,,,30062.0,8.62,,,,,,,,,1.56,1.56,53,,,,,85.71,1.0,6.0,,,,0.06,0.06,0.0,0.0,2.0,29444.0,,601,17.68,138,425.0,247,247,193.0,,601,16.5,16.5,561.0,,,,,,,,1.38,1.38,3,0.09,47,96943,0.03,0.03,0.0,0.0,1.0,25354.0,Netherlands Eredivisie
FC Emmen,,,,88.0,88.0,2992,,,,,,48.94,48.94,1664,4.18,4.18,142,40.29,40.29,1370,8.38,8.38,285,,,,,,,,,,,,,,,,,,25201.0,7.27,,,,,,,,,1.29,1.29,44,,,,,0.0,0.0,1.0,,,,0.06,0.06,,,2.0,,,345,10.15,104,207.0,152,130,170.0,,345,15.79,15.79,537.0,,,,,,,,1.21,1.21,1,0.03,41,24927,0.06,0.06,0.0,0.0,2.0,24430.0,Netherlands Eredivisie
RKC Waalwijk,,,,79.15,79.15,2691,,,,,,44.71,44.71,1520,4.0,4.0,136,37.68,37.68,1281,8.79,8.79,299,,,,,,,,,,,,,,,,,,24761.0,7.41,,,,,,,,,1.62,1.62,55,,,,,75.0,0.0,4.0,,,,0.06,0.06,0.0,0.0,2.0,25319.0,,331,9.74,94,232.0,161,139,144.0,,331,13.79,13.79,469.0,,,,,,,,1.76,1.76,0,0.0,60,30082121,,,,,,,Netherlands Eredivisie
FC Utrecht,,,,86.69,86.69,3121,,,,,,48.69,48.69,1753,5.75,5.75,207,37.39,37.39,1346,8.17,8.17,294,,,,,,,,,,,,,,,,,,31511.0,7.7,,,,,,,,,1.03,1.03,37,,,,,75.0,1.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,1646.0,,408,11.33,109,328.0,192,185,144.0,,408,15.58,15.58,561.0,,,,,,,,1.53,1.53,0,0.0,55,23056,,,,,,,Netherlands Eredivisie
