team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Farense,,,,100.62,100.62,3421,,,,,,41.59,41.59,1414,6.38,6.38,217,57.5,57.5,1955,13.56,13.56,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,48,,,,,88.89,1.0,8.0,,,,0.12,0.12,0.0,0.0,4.0,221504.0,,349,10.26,67,0.0,173,159,0.0,,349,,,,,,,,,,,2.76,2.76,0,0.0,94,440988,0.12,0.12,0.0,0.0,4.0,161805.0,Portugal LigaPro
Torreense,,,,94.35,94.35,3208,,,,,,40.03,40.03,1361,4.82,4.82,164,52.09,52.09,1771,12.82,12.82,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,48,,,,,66.67,1.0,2.0,,,,0.06,0.06,0.0,0.0,2.0,159723.0,,331,9.74,65,0.0,190,126,0.0,,331,,,,,,,,,,,2.88,2.88,0,0.0,98,537107,0.09,0.09,0.0,0.0,3.0,37257570.0,Portugal LigaPro
UD Oliveirense,,,,104.15,104.15,3541,,,,,,41.71,41.71,1418,5.56,5.56,189,53.09,53.09,1805,14.09,14.09,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.88,64,,,,,60.0,2.0,3.0,,,,0.18,0.18,0.0,0.0,6.0,159182.0,,337,9.91,83,0.0,177,141,0.0,,337,,,,,,,,,,,3.32,3.32,0,0.0,113,2816052,0.12,0.12,0.0,0.0,4.0,539809.0,Portugal LigaPro
Mafra,,,,105.94,105.94,3602,,,,,,41.79,41.79,1421,4.82,4.82,164,58.18,58.18,1978,11.97,11.97,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,56,,,,,50.0,4.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,162434.0,,354,10.41,65,0.0,164,147,0.0,,354,,,,,,,,,,,2.85,2.85,0,0.0,97,511725,0.09,0.09,0.0,0.0,3.0,160148.0,Portugal LigaPro
Nacional,,,,98.24,98.24,3340,,,,,,38.03,38.03,1293,5.47,5.47,186,60.76,60.76,2066,12.65,12.65,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.44,49,,,,,60.0,2.0,3.0,,,,0.09,0.09,0.0,0.0,3.0,158291.0,,337,9.91,72,0.0,193,127,0.0,,337,,,,,,,,,,,2.79,2.79,0,0.0,95,158291,0.15,0.15,0.0,0.0,5.0,37615912.0,Portugal LigaPro
Tondela,,,,103.18,103.18,3508,,,,,,37.97,37.97,1291,4.68,4.68,159,50.03,50.03,1701,12.47,12.47,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,1.82,62,,,,,75.0,1.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,37522757.0,,313,9.21,57,1.0,166,116,5.0,,313,0.79,0.79,27.0,,,,,,,,2.94,2.94,0,0.0,100,37257572,0.03,0.03,0.0,0.0,1.0,10948336.0,Portugal LigaPro
Trofense,,,,96.32,96.32,3275,,,,,,35.91,35.91,1221,5.65,5.65,192,54.12,54.12,1840,15.18,15.18,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.24,42,,,,,71.43,2.0,5.0,,,,0.15,0.15,0.0,0.0,5.0,9772.0,,298,8.76,68,0.0,155,116,0.0,,298,,,,,,,,,,,3.82,3.82,0,0.0,130,65144,0.09,0.09,0.0,0.0,3.0,65144.0,Portugal LigaPro
Belenenses,,,,95.29,95.29,3240,,,,,,39.26,39.26,1335,4.74,4.74,161,43.88,43.88,1492,13.71,13.71,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.15,39,,,,,50.0,3.0,3.0,,,,0.06,0.06,0.0,0.0,2.0,1846860.0,,297,8.74,69,0.0,148,124,0.0,,297,,,,,,,,,,,3.53,3.53,0,0.0,120,160176,0.12,0.12,0.0,0.0,4.0,291889.0,Portugal LigaPro
Benfica II,,,,112.53,112.53,3826,,,,,,44.79,44.79,1523,5.12,5.12,174,64.06,64.06,2178,11.79,11.79,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.09,37,,,,,42.86,4.0,3.0,,,,0.06,0.06,0.0,0.0,2.0,37341917.0,,348,10.24,61,0.0,182,143,0.0,,348,,,,,,,,,,,2.97,2.97,0,0.0,101,24065383,0.09,0.09,0.0,0.0,3.0,24065387.0,Portugal LigaPro
Academico Viseu,,,,88.62,88.62,3013,,,,,,44.41,44.41,1510,5.85,5.85,199,53.47,53.47,1818,14.74,14.74,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.71,58,,,,,80.0,1.0,4.0,,,,0.09,0.09,0.0,0.0,3.0,163748.0,,365,10.74,93,0.0,198,154,0.0,,365,,,,,,,,,,,3.35,3.35,0,0.0,114,459231,0.18,0.18,0.0,0.0,6.0,160941.0,Portugal LigaPro
