team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Levante,0.5,186.6086956521739,23.0,101.3,101.3,4660,185.25,180.7,187.67,178.5,181.14,53.61,53.61,2466,5.3,5.3,244,41.22,41.22,1896,13.85,13.85,637,46.0,23.0,23.0,46.0,24.0,6.0,2.0,0.0,0.0,29.0,15.0,7.0,1.0,0.0,0.0,8.0,5.0,437094.0,7.31,11.0,0.24,11.0,8.41,387.0,5.0,90.0,46.0,1.87,1.87,86,426.7,467.33,33.1,19628.0,72.73,3.0,8.0,6.0,22.0,1.0,0.11,0.11,1.0,0.02,5.0,6984712.0,82.54,593,12.89,144,340.0,294,177,253.0,3.0,593,15.07,15.07,693.0,5.54,1.96,222.0,134.0,134.0,222.0,4292.0,2.87,2.87,1,0.02,132,187092,0.02,0.02,1.0,0.02,1.0,187167.0,Spain La Liga 2
Huesca,0.6,160.96,25.0,90.6,90.6,3805,181.11,181.9,187.67,182.38,182.37,40.86,40.86,1716,4.12,4.12,173,37.29,37.29,1566,12.07,12.07,507,42.0,21.0,21.0,42.0,26.0,8.0,2.0,0.0,0.0,28.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,159708.0,7.22,9.0,0.21,9.0,8.67,364.0,7.0,45.0,41.0,2.14,2.14,90,290.79,381.66,31.56,12213.0,75.0,1.0,3.0,6.0,21.0,4.0,0.17,0.17,0.0,0.0,7.0,63017.0,111.78,387,9.21,100,261.0,190,111,126.0,2.0,387,13.69,13.69,575.0,5.09,1.21,,,,,4024.0,2.62,2.62,0,0.0,110,189066,0.05,0.05,0.0,0.0,2.0,188081.0,Spain La Liga 2
SD Eibar,0.64,152.35714285714286,28.0,119.75,119.75,5269,182.25,181.2,185.33,179.5,181.32,54.45,54.45,2396,5.2,5.2,229,49.39,49.39,2173,11.84,11.84,521,44.0,22.0,22.0,44.0,26.0,11.0,2.0,0.0,0.0,31.0,12.0,2.0,1.0,0.0,5.0,4.0,2.0,25922181.0,7.15,10.0,0.23,10.0,8.52,375.0,4.0,90.0,52.0,2.36,2.36,104,459.68,518.62,35.86,20226.0,85.71,1.0,6.0,6.0,14.0,6.0,0.18,0.18,0.0,0.0,8.0,159599.0,92.74,564,12.82,163,327.0,264,165,237.0,3.0,564,13.11,13.11,577.0,4.44,1.27,200.0,120.0,120.0,200.0,4266.0,2.89,2.89,1,0.02,127,130024,0.05,0.05,0.0,0.0,2.0,186371.0,Spain La Liga 2
Tenerife,,,,90.62,90.62,3806,,,,,,48.57,48.57,2040,5.31,5.31,223,45.33,45.33,1904,14.05,14.05,590,,,,,,,,,,,,,,,,,,187142.0,7.26,,,,,,,,,2.4,2.4,101,,,,,88.89,1.0,8.0,,,,0.1,0.1,0.0,0.0,4.0,537094.0,,486,11.57,92,332.0,261,153,179.0,,486,15.12,15.12,635.0,,,,,,,,2.9,2.9,0,0.0,122,187411,0.07,0.07,0.0,0.0,3.0,186422.0,Spain La Liga 2
Mirandés,,,,86.0,86.0,3612,,,,,,48.62,48.62,2042,4.14,4.14,174,33.71,33.71,1416,11.17,11.17,469,,,,,,,,,,,,,,,,,,22126476.0,7.25,,,,,,,,,1.52,1.52,64,,,,,75.0,0.0,4.0,,,,0.12,0.12,0.0,0.0,5.0,186937.0,,421,10.02,103,249.0,203,165,230.0,,421,14.38,14.38,604.0,,,,,,,,1.93,1.93,1,0.02,81,37304135,0.05,0.05,0.0,0.0,2.0,531576.0,Spain La Liga 2
Sporting Gijón,0.67,142.42857142857142,28.0,97.62,97.62,4100,178.29,183.0,187.33,180.08,181.28,47.64,47.64,2001,4.36,4.36,183,38.38,38.38,1612,12.1,12.1,508,42.0,21.0,21.0,42.0,30.0,11.0,3.0,3.0,1.0,25.0,11.0,6.0,1.0,0.0,0.0,9.0,2.0,21185478.0,7.34,5.0,0.12,5.0,9.57,402.0,3.0,90.0,47.0,2.24,2.24,94,376.57,395.4,32.81,15816.0,66.67,0.0,3.0,8.0,25.0,2.0,0.1,0.1,0.0,0.0,4.0,186714.0,92.74,482,11.48,131,301.0,214,148,181.0,3.0,482,16.79,16.79,705.0,6.47,1.32,420.0,252.0,252.0,420.0,3988.0,2.43,2.43,0,0.0,102,186354,0.1,0.1,0.0,0.0,4.0,186354.0,Spain La Liga 2
Leganés,,,,86.62,86.62,3638,,,,,,49.9,49.9,2096,4.14,4.14,174,37.81,37.81,1588,10.95,10.95,460,,,,,,,,,,,,,,,,,,186004.0,7.15,,,,,,,,,2.0,2.0,84,,,,,80.0,1.0,4.0,,,,0.14,0.14,0.0,0.0,6.0,62146.0,,405,9.64,93,283.0,193,149,154.0,,405,12.93,12.93,543.0,,,,,,,,2.83,2.83,0,0.0,119,1281,,,,,,,Spain La Liga 2
Deportivo Alavés,,,,94.91,94.91,4366,,,,,,46.93,46.93,2159,5.52,5.52,254,43.83,43.83,2016,14.63,14.63,673,,,,,,,,,,,,,,,,,,186663.0,7.24,,,,,,,,,2.09,2.09,96,,,,,83.33,1.0,5.0,,,,0.17,0.17,0.0,0.0,8.0,445425.0,,507,11.02,151,322.0,229,165,198.0,,507,15.07,15.07,693.0,,,,,,,,2.85,2.85,3,0.07,131,186663,0.02,0.02,0.0,0.0,1.0,186663.0,Spain La Liga 2
Las Palmas,,,,110.17,110.17,4627,,,,,,65.88,65.88,2767,5.86,5.86,246,49.19,49.19,2066,10.33,10.33,434,,,,,,,,,,,,,,,,,,63168.0,7.41,,,,,,,,,2.07,2.07,87,,,,,83.33,1.0,5.0,,,,0.05,0.05,0.0,0.0,2.0,96225.0,,557,13.26,142,293.0,248,188,301.0,,557,15.71,15.71,660.0,,,,,,,,2.48,2.48,0,0.0,104,26328601,0.02,0.02,0.0,0.0,1.0,11323002.0,Spain La Liga 2
Real Zaragoza,,,,92.02,92.02,3865,,,,,,51.81,51.81,2176,5.48,5.48,230,42.48,42.48,1784,11.76,11.76,494,,,,,,,,,,,,,,,,,,21803152.0,7.6,,,,,,,,,1.9,1.9,80,,,,,66.67,1.0,2.0,,,,0.07,0.07,0.0,0.0,3.0,1491.0,,451,10.74,94,280.0,223,162,199.0,,451,13.52,13.52,568.0,,,,,,,,2.33,2.33,0,0.0,98,447283,0.12,0.12,0.0,0.0,5.0,185646.0,Spain La Liga 2
