team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Patronato,,,,82.9,82.9,3399,,,,,,37.8,37.8,1550,5.41,5.41,222,50.78,50.78,2082,14.37,14.37,589,,,,,,,,,,,,,,,,,,215656.0,7.42,,,,,,,,,1.9,1.9,78,,,,,62.5,3.0,5.0,,,,0.1,0.1,1.0,0.02,4.0,215656.0,,466,11.37,25,287.0,251,173,255.0,,466,16.07,16.07,659.0,,,,,,,,2.8,2.8,1,0.02,115,216673,0.12,0.12,0.0,0.0,5.0,215656.0,Argentina Liga Profissional de Futebol
Argentinos Juniors,,,,82.09,82.09,3530,,,,,,46.74,46.74,2010,4.79,4.79,206,45.21,45.21,1944,11.58,11.58,498,,,,,,,,,,,,,,,,,,214751.0,7.35,,,,,,,,,1.42,1.42,61,,,,,83.33,1.0,5.0,,,,0.02,0.02,0.0,0.0,1.0,36083094.0,,500,11.63,15,315.0,291,181,233.0,,500,15.63,15.63,672.0,,,,,,,,2.16,2.16,0,0.0,93,214751,0.05,0.05,0.0,0.0,2.0,214751.0,Argentina Liga Profissional de Futebol
Sarmiento,,,,72.8,72.8,2985,,,,,,31.59,31.59,1295,3.98,3.98,163,38.41,38.41,1575,11.71,11.71,480,,,,,,,,,,,,,,,,,,438698.0,7.45,,,,,,,,,1.46,1.46,60,,,,,88.89,1.0,8.0,,,,0.05,0.05,0.0,0.0,2.0,216175.0,,374,9.12,20,240.0,197,149,195.0,,374,14.1,14.1,578.0,,,,,,,,3.07,3.07,2,0.05,126,213296,0.05,0.05,0.0,0.0,2.0,260934.0,Argentina Liga Profissional de Futebol
Atlético Tucumán,,,,73.41,73.41,3010,,,,,,36.78,36.78,1508,4.88,4.88,200,45.0,45.0,1845,11.07,11.07,454,,,,,,,,,,,,,,,,,,333483.0,8.16,,,,,,,,,1.41,1.41,58,,,,,62.5,3.0,5.0,,,,0.15,0.15,,,6.0,,,423,10.32,23,273.0,235,159,243.0,,423,15.54,15.54,637.0,,,,,,,,2.88,2.88,1,0.02,118,214570,0.15,0.15,0.0,0.0,6.0,214111.0,Argentina Liga Profissional de Futebol
Newell's Old Boys,,,,71.1,71.1,2915,,,,,,39.83,39.83,1633,4.07,4.07,167,42.56,42.56,1745,12.85,12.85,527,,,,,,,,,,,,,,,,,,5640868.0,7.45,,,,,,,,,1.56,1.56,64,,,,,60.0,2.0,3.0,,,,0.1,0.1,0.0,0.0,4.0,187016.0,,415,10.12,11,278.0,243,158,231.0,,415,14.78,14.78,606.0,,,,,,,,2.95,2.95,1,0.02,121,187016,0.05,0.05,0.0,0.0,2.0,246705.0,Argentina Liga Profissional de Futebol
Defensa y Justicia,,,,79.88,79.88,3355,,,,,,33.24,33.24,1396,4.0,4.0,168,48.43,48.43,2034,9.38,9.38,394,,,,,,,,,,,,,,,,,,333895.0,8.06,,,,,,,,,1.38,1.38,58,,,,,80.0,1.0,4.0,,,,0.12,0.12,0.0,0.0,5.0,37261275.0,,446,10.62,15,300.0,229,182,200.0,,446,15.69,15.69,659.0,,,,,,,,2.02,2.02,1,0.02,85,9302267,0.1,0.1,0.0,0.0,4.0,154753.0,Argentina Liga Profissional de Futebol
Central Cordoba SdE,,,,75.61,75.61,3100,,,,,,39.49,39.49,1619,3.68,3.68,151,46.34,46.34,1900,9.2,9.2,377,,,,,,,,,,,,,,,,,,257717.0,7.89,,,,,,,,,1.8,1.8,74,,,,,66.67,3.0,6.0,,,,0.1,0.1,0.0,0.0,4.0,98972.0,,398,9.71,17,264.0,214,176,213.0,,398,16.34,16.34,670.0,,,,,,,,2.29,2.29,0,0.0,94,399007,0.02,0.02,0.0,0.0,1.0,260869.0,Argentina Liga Profissional de Futebol
Barracas Central,,,,74.24,74.24,3044,,,,,,30.37,30.37,1245,3.88,3.88,159,42.29,42.29,1734,10.27,10.27,421,,,,,,,,,,,,,,,,,,443592.0,7.34,,,,,,,,,1.27,1.27,52,,,,,55.56,4.0,5.0,,,,0.07,0.07,,,3.0,,,318,7.76,8,228.0,166,159,139.0,,318,13.93,13.93,571.0,,,,,,,,2.1,2.1,0,0.0,86,398377,0.07,0.07,0.0,0.0,3.0,470863.0,Argentina Liga Profissional de Futebol
Arsenal de Sarandí,,,,76.78,76.78,3148,,,,,,31.88,31.88,1307,4.76,4.76,195,40.17,40.17,1647,10.37,10.37,425,,,,,,,,,,,,,,,,,,216027.0,7.65,,,,,,,,,1.68,1.68,69,,,,,80.0,0.0,5.0,,,,0.07,0.07,0.0,0.0,3.0,212164.0,,375,9.15,10,273.0,216,145,205.0,,375,17.71,17.71,726.0,,,,,,,,2.12,2.12,0,0.0,87,212164,0.05,0.05,0.0,0.0,2.0,333345.0,Argentina Liga Profissional de Futebol
Rosario Central,,,,80.2,80.2,3288,,,,,,47.66,47.66,1954,5.95,5.95,244,43.32,43.32,1776,11.44,11.44,469,,,,,,,,,,,,,,,,,,443582.0,7.85,,,,,,,,,1.37,1.37,56,,,,,50.0,4.0,4.0,,,,0.05,0.05,0.0,0.0,2.0,213157.0,,388,9.46,10,312.0,223,156,184.0,,388,17.46,17.46,716.0,,,,,,,,2.85,2.85,0,0.0,117,37547040,0.02,0.02,0.0,0.0,1.0,213157.0,Argentina Liga Profissional de Futebol
Vélez Sarsfield,,,,73.68,73.68,3021,,,,,,43.15,43.15,1769,4.8,4.8,197,44.34,44.34,1818,11.85,11.85,486,,,,,,,,,,,,,,,,,,333525.0,8.06,,,,,,,,,1.2,1.2,49,,,,,87.5,1.0,7.0,,,,0.12,0.12,0.0,0.0,5.0,260839.0,,392,9.56,14,274.0,246,175,192.0,,392,18.17,18.17,745.0,,,,,,,,2.78,2.78,0,0.0,114,37418655,0.07,0.07,0.0,0.0,3.0,130176.0,Argentina Liga Profissional de Futebol
Aldosivi,,,,83.64,83.64,3513,,,,,,44.19,44.19,1856,3.76,3.76,158,40.52,40.52,1702,11.33,11.33,476,,,,,,,,,,,,,,,,,,5336951.0,7.34,,,,,,,,,1.6,1.6,67,,,,,80.0,0.0,5.0,,,,0.12,0.12,0.0,0.0,5.0,37261295.0,,315,7.5,26,200.0,186,115,188.0,,315,16.17,16.17,679.0,,,,,,,,2.5,2.5,0,0.0,105,335754,0.12,0.12,0.0,0.0,5.0,37567268.0,Argentina Liga Profissional de Futebol
Godoy Cruz,,,,78.34,78.34,3212,,,,,,41.98,41.98,1721,5.41,5.41,222,43.9,43.9,1800,10.24,10.24,420,,,,,,,,,,,,,,,,,,215481.0,7.85,,,,,,,,,1.22,1.22,50,,,,,75.0,0.0,4.0,,,,0.1,0.1,0.0,0.0,4.0,218138.0,,475,11.59,18,314.0,273,170,260.0,,475,15.78,15.78,647.0,,,,,,,,2.44,2.44,0,0.0,100,211937,0.2,0.2,0.0,0.0,8.0,333818.0,Argentina Liga Profissional de Futebol
Tigre,,,,85.23,85.23,3750,,,,,,40.57,40.57,1785,4.82,4.82,212,44.11,44.11,1941,9.64,9.64,424,,,,,,,,,,,,,,,,,,7340309.0,7.75,,,,,,,,,1.25,1.25,55,,,,,90.0,0.0,10.0,,,,0.07,0.07,0.0,0.0,3.0,215821.0,,524,11.91,18,379.0,292,218,268.0,,524,16.77,16.77,738.0,,,,,,,,2.09,2.09,0,0.0,92,262178,0.07,0.07,0.0,0.0,3.0,37342993.0,Argentina Liga Profissional de Futebol
