team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id
Rionegro Águilas,,,,103.11,103.11,4743,,,,,,50.57,50.57,2326,4.26,4.26,196,75.3,75.3,3464,11.26,11.26,518,,,,,,,,,,,,,,,,,,240435.0,7.85,,,,,,,,,1.59,1.59,73,,,,,90.0,0.0,10.0,,,,0.13,0.13,0.0,0.0,6.0,235897.0,,403,8.76,32,318.0,247,175,281.0,,403,10.8,10.8,497.0,,,,,,,,2.91,2.91,0,0.0,134,240435,0.11,0.11,0.0,0.0,5.0,404497.0
Atlético Bucaramanga,,,,106.98,106.98,4921,,,,,,49.26,49.26,2266,3.96,3.96,182,70.87,70.87,3260,8.83,8.83,406,,,,,,,,,,,,,,,,,,219203.0,7.43,,,,,,,,,1.74,1.74,80,,,,,33.33,4.0,2.0,,,,0.11,0.11,0.0,0.0,5.0,77698.0,,332,7.22,15,265.0,212,165,270.0,,332,12.26,12.26,564.0,,,,,,,,2.61,2.61,0,0.0,120,77698,0.04,0.04,0.0,0.0,2.0,236579.0
América de Cali,,,,102.72,102.72,4725,,,,,,49.48,49.48,2276,4.7,4.7,216,68.35,68.35,3144,11.22,11.22,516,,,,,,,,,,,,,,,,,,286503.0,7.28,,,,,,,,,1.43,1.43,66,,,,,71.43,2.0,5.0,,,,0.09,0.09,0.0,0.0,4.0,237819.0,,401,8.72,49,298.0,267,169,312.0,,401,11.7,11.7,538.0,,,,,,,,2.52,2.52,0,0.0,116,240386,0.11,0.11,0.0,0.0,5.0,403178.0
Envigado,,,,108.37,108.37,4985,,,,,,46.65,46.65,2146,3.61,3.61,166,68.93,68.93,3171,12.65,12.65,582,,,,,,,,,,,,,,,,,,237772.0,7.26,,,,,,,,,1.8,1.8,83,,,,,85.71,0.0,7.0,,,,0.13,0.13,0.0,0.0,6.0,257960.0,,330,7.17,35,196.0,196,162,343.0,,330,12.37,12.37,569.0,,,,,,,,3.07,3.07,0,0.0,141,238145,0.04,0.04,0.0,0.0,2.0,238095.0
Santa Fe,,,,99.37,99.37,4571,,,,,,51.48,51.48,2368,4.48,4.48,206,65.52,65.52,3014,11.13,11.13,512,,,,,,,,,,,,,,,,,,232772.0,7.55,,,,,,,,,1.48,1.48,68,,,,,64.29,5.0,9.0,,,,0.24,0.24,0.0,0.0,11.0,244723.0,,375,8.15,40,255.0,212,176,289.0,,375,10.93,10.93,503.0,,,,,,,,3.2,3.2,0,0.0,147,1043,0.09,0.09,0.0,0.0,4.0,199507.0
La Equidad,,,,107.74,107.74,4956,,,,,,48.39,48.39,2226,4.52,4.52,208,79.91,79.91,3676,13.96,13.96,642,,,,,,,,,,,,,,,,,,236775.0,7.45,,,,,,,,,1.24,1.24,57,,,,,84.62,2.0,11.0,,,,0.04,0.04,0.0,0.0,2.0,236775.0,,436,9.48,29,284.0,254,205,327.0,,436,11.72,11.72,539.0,,,,,,,,3.11,3.11,0,0.0,143,260627,0.09,0.09,0.0,0.0,4.0,237888.0
Deportivo Pasto,,,,97.33,97.33,4477,,,,,,46.67,46.67,2147,4.46,4.46,205,69.37,69.37,3191,9.24,9.24,425,,,,,,,,,,,,,,,,,,32422580.0,7.4,,,,,,,,,1.61,1.61,74,,,,,83.33,1.0,5.0,,,,0.17,0.17,0.0,0.0,8.0,112311.0,,355,7.72,31,232.0,196,163,243.0,,355,8.7,8.7,400.0,,,,,,,,2.61,2.61,0,0.0,120,186308,0.09,0.09,0.0,0.0,4.0,14004571.0
Millonarios,,,,104.73,104.73,5446,,,,,,57.44,57.44,2987,5.46,5.46,284,71.71,71.71,3729,9.87,9.87,513,,,,,,,,,,,,,,,,,,236576.0,7.86,,,,,,,,,1.65,1.65,86,,,,,71.43,2.0,5.0,,,,0.12,0.12,0.0,0.0,6.0,1453020.0,,441,8.48,44,412.0,290,227,338.0,,441,11.88,11.88,618.0,,,,,,,,2.02,2.02,0,0.0,105,7689745,0.02,0.02,0.0,0.0,1.0,37422986.0
Cortuluá,,,,110.38,110.38,4415,,,,,,50.0,50.0,2000,4.95,4.95,198,80.75,80.75,3230,12.2,12.2,488,,,,,,,,,,,,,,,,,,30831909.0,7.75,,,,,,,,,1.0,1.0,40,,,,,63.64,4.0,7.0,,,,0.05,0.05,0.0,0.0,2.0,237142.0,,350,8.75,109,247.0,224,135,238.0,,350,11.85,11.85,474.0,,,,,,,,2.6,2.6,1,0.03,104,238079,0.08,0.08,0.0,0.0,3.0,452908.0
Atlético Nacional,,,,101.9,101.9,4891,,,,,,54.42,54.42,2612,4.94,4.94,237,65.52,65.52,3145,8.88,8.88,426,,,,,,,,,,,,,,,,,,5640859.0,7.69,,,,,,,,,1.58,1.58,76,,,,,84.62,2.0,11.0,,,,0.1,0.1,0.0,0.0,5.0,236531.0,,457,9.52,57,340.0,261,213,315.0,,457,11.56,11.56,555.0,,,,,,,,2.6,2.6,0,0.0,125,214769,0.08,0.08,0.0,0.0,4.0,129080.0
