team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AFC Bournemouth,1.11,1.44,4.44,6.06,4.56,6.94,10.67,15.28,86.78,120.72,41.11,55.06,40.67,59.0,0.0,0.06,8.0,9.67,2.67,5.61,1.17,2.0,7.42,6.67,7.11,9.33,10.33,9.61,3.33,2.44,1.44,1.78,0.25,0.25,0.53,0.54,0.5,,,0.55,0.49,0.52,0.53,0.27,0.26,0.52,0.52,0.55,0.56,0.47,0.52,0.51,0.51,0.51,England Premier League,2022-2023,2.28,0.94,8.33,3.0,6.83,2.94,17.83,8.39,125.78,80.72,67.39,30.44,59.94,39.78,0.28,0.0,11.72,5.89,6.11,2.5,1.39,0.89,5.58,9.83,11.39,5.17,9.06,9.5,2.06,3.56,1.0,2.11,0.6,0.24,0.19,0.51,0.53,,,,,0.53,0.51,0.56,0.25,0.23,0.54,0.52,,,0.53,0.5,0.51,0.52
Arsenal,2.78,1.33,7.0,2.78,6.67,2.56,18.78,7.44,122.39,74.11,76.33,28.56,62.06,37.61,0.17,0.06,13.28,5.33,5.5,2.11,1.5,2.11,4.33,9.2,12.11,5.28,9.89,11.72,2.06,3.56,0.94,2.17,0.67,0.2,0.16,0.54,0.5,,,,,,,0.74,0.2,0.13,0.52,0.55,,,,,0.54,0.5,England Premier League,2022-2023,0.89,1.72,4.33,4.78,4.17,4.94,10.61,12.5,81.44,115.22,41.33,56.94,41.22,58.44,0.22,0.06,7.56,8.5,3.06,4.0,2.22,1.44,8.12,4.82,6.67,8.33,12.06,10.61,2.39,2.5,2.17,1.72,0.27,0.25,0.51,0.55,0.48,,,,,,,0.32,0.25,0.48,0.51,0.57,,,0.53,0.49,0.52,0.5
Aston Villa,1.78,1.0,5.0,4.89,3.89,3.44,11.89,9.22,96.44,95.22,42.11,43.06,49.78,50.0,0.06,0.06,7.94,6.33,3.94,2.89,1.22,3.83,5.56,6.33,7.94,5.33,10.17,12.83,1.78,2.78,2.06,2.17,0.46,0.27,0.3,0.55,0.48,,,,,0.52,0.53,0.51,0.28,0.28,0.5,0.56,,,0.53,0.5,0.51,0.52,England Premier League,2022-2023,1.32,0.95,6.16,3.84,4.95,4.79,13.05,10.79,95.74,86.68,48.37,36.32,50.74,48.84,0.26,0.16,9.26,6.58,3.79,4.21,2.32,1.74,5.14,6.79,9.05,7.11,14.26,11.74,2.16,3.53,2.26,2.26,0.48,0.27,0.27,0.55,0.49,,,,,0.52,0.52,0.48,0.27,0.29,0.52,0.55,,,0.51,0.51,0.5,0.52
Brentford,1.83,0.89,4.83,4.56,5.72,4.89,12.72,12.61,91.83,105.39,50.94,49.28,43.83,55.89,0.33,0.0,9.06,7.44,3.67,5.17,2.17,1.78,5.47,8.07,8.44,7.39,9.44,10.39,3.22,3.22,1.44,1.83,0.48,0.27,0.27,0.55,0.49,,,,,0.5,0.55,0.44,0.28,0.34,0.51,0.56,,,0.54,0.49,0.5,0.52,England Premier League,2022-2023,1.56,1.17,6.61,3.83,6.11,3.83,16.5,8.94,107.5,91.39,58.33,40.44,54.83,44.89,0.11,0.11,9.5,6.72,7.0,2.22,1.39,1.78,6.15,7.31,10.83,5.78,10.83,10.56,1.89,4.56,1.5,1.5,0.5,0.26,0.26,0.54,0.49,,,,,,,0.51,0.27,0.27,0.52,0.55,0.53,0.49,0.5,0.53,0.51,0.52
Brighton & Hove Albion,1.94,0.94,7.56,2.78,8.22,4.0,19.0,8.44,113.94,74.44,60.17,27.72,59.83,39.89,0.22,0.06,12.56,5.89,6.44,2.56,1.61,1.17,5.15,9.46,12.83,6.0,11.0,10.56,1.78,4.83,1.61,2.72,0.59,0.22,0.22,0.55,0.49,,,,,,,0.61,0.23,0.22,0.5,0.56,,,0.52,0.5,0.52,0.51,England Premier League,2022-2023,1.72,1.78,4.22,4.89,5.17,5.5,11.56,14.17,84.06,106.28,39.06,51.5,39.44,60.33,0.28,0.11,8.67,9.44,2.89,4.72,1.22,1.94,6.87,8.47,7.89,9.28,11.78,11.44,3.39,2.11,2.11,1.39,0.34,0.26,0.44,0.57,0.47,,,,,0.52,0.52,0.37,0.26,0.43,0.49,0.58,,,0.52,0.51,0.52,0.51
Chelsea,1.0,1.06,6.17,4.33,6.28,4.94,13.61,11.11,117.17,89.33,61.67,43.11,59.33,40.39,0.11,0.0,9.5,7.06,4.11,4.06,2.17,1.17,6.38,8.75,8.89,7.67,10.67,12.33,2.61,2.83,2.17,2.17,0.54,0.25,0.23,0.53,0.51,,,,,0.52,0.52,0.53,0.26,0.26,0.53,0.54,,,0.51,0.51,0.51,0.51,England Premier League,2022-2023,1.47,0.95,5.05,4.84,5.0,4.21,12.05,11.79,97.68,108.95,46.37,48.68,42.21,57.47,0.05,0.05,8.42,7.42,3.63,4.37,1.61,1.78,6.06,6.24,8.63,7.53,11.26,10.21,2.89,2.89,1.47,2.11,0.4,0.27,0.36,0.53,0.5,,,0.53,0.52,,,0.44,0.27,0.36,0.52,0.54,,,0.53,0.5,0.51,0.52
Crystal Palace,1.17,1.11,5.5,4.11,4.78,4.5,12.67,11.11,98.78,101.28,49.67,47.56,47.78,51.83,0.11,0.06,8.11,7.78,4.56,3.33,1.61,1.67,5.53,7.4,7.89,7.56,11.61,12.61,2.67,2.33,1.78,2.28,0.34,0.26,0.43,0.52,0.52,,,0.52,0.52,,,0.44,0.27,0.34,0.54,0.53,0.56,0.48,0.52,0.51,0.51,0.52,England Premier League,2022-2023,1.44,0.94,5.17,4.39,5.28,3.89,12.61,9.94,108.44,90.56,54.78,37.39,54.56,45.17,0.17,0.06,9.0,6.33,3.61,3.61,2.11,1.5,4.92,7.62,8.39,6.33,11.11,12.44,2.22,2.89,2.06,2.5,0.55,0.26,0.22,0.5,0.54,,,,,0.5,0.55,0.54,0.27,0.24,0.56,0.51,0.52,0.51,0.51,0.52,0.51,0.52
Everton,0.83,1.39,5.5,6.06,5.0,5.17,12.22,13.61,102.0,98.06,49.44,50.39,42.61,57.17,0.06,0.17,8.06,8.56,4.17,5.06,1.56,1.17,8.71,8.79,8.5,8.56,9.89,9.56,2.67,3.17,2.0,1.67,0.33,0.28,0.42,0.52,0.52,,,0.53,0.51,,,0.34,0.28,0.44,0.54,0.53,0.53,0.49,0.5,0.52,0.5,0.53,England Premier League,2022-2023,1.61,0.94,6.67,4.06,6.83,4.06,17.11,10.83,105.78,87.61,56.17,35.39,57.56,42.22,0.17,0.11,12.5,7.0,4.61,3.83,1.56,1.83,5.54,8.0,10.5,6.17,10.0,10.61,2.5,3.67,2.0,2.17,0.56,0.25,0.21,0.51,0.52,,,,,,,0.57,0.26,0.22,0.54,0.52,0.52,0.5,0.51,0.51,0.51,0.52
Fulham,1.41,1.47,5.61,5.22,4.78,4.0,12.83,12.11,95.53,91.18,48.76,38.0,49.83,49.89,0.18,0.12,8.06,9.06,4.78,3.06,1.94,2.78,6.07,6.73,8.0,8.47,10.61,10.78,3.94,2.78,1.5,1.44,0.32,0.27,0.44,0.54,0.49,,,0.55,0.5,,,0.3,0.28,0.48,0.51,0.55,,,0.51,0.52,0.5,0.52,England Premier League,2022-2023,1.33,1.17,5.83,3.89,6.28,4.44,15.22,9.28,108.17,92.5,48.39,39.61,54.5,45.22,0.22,0.17,9.61,6.33,5.61,2.94,2.06,1.28,6.2,8.47,9.89,5.83,11.0,11.5,1.78,3.89,1.56,2.94,0.56,0.25,0.22,0.56,0.48,,,0.55,0.49,,,0.54,0.25,0.26,0.5,0.57,,,0.53,0.5,0.51,0.52
Leeds United,1.39,1.89,6.0,4.11,5.5,5.17,13.5,12.5,104.0,109.22,49.22,39.83,47.89,51.83,0.17,0.17,9.11,8.78,4.39,3.72,1.89,2.5,5.64,7.5,8.39,7.94,11.83,12.22,2.06,2.94,2.0,1.72,0.36,0.26,0.41,0.59,0.44,,,,,0.5,0.55,0.37,0.26,0.43,0.46,0.6,,,0.56,0.48,0.52,0.5,England Premier League,2022-2023,2.28,1.22,5.22,4.78,5.89,4.5,14.5,11.22,113.33,103.22,51.78,44.0,53.56,46.06,0.17,0.0,10.11,7.67,4.39,3.56,2.06,1.44,7.36,7.57,10.61,7.11,10.94,11.44,2.11,3.06,1.61,2.22,0.52,0.25,0.26,0.57,0.47,,,,,,,0.55,0.26,0.26,0.5,0.57,0.56,0.48,0.51,0.52,0.52,0.51
