team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Ajaccio,0.5,1.67,3.28,3.44,4.22,4.61,9.28,10.28,108.11,101.89,45.67,41.11,44.72,54.94,0.22,0.11,5.22,6.89,4.06,3.39,1.72,1.78,6.33,5.17,5.78,7.94,14.39,15.28,2.11,1.83,2.06,2.06,0.26,0.29,0.48,0.46,0.57,0.5,0.55,,,,,0.23,0.29,0.53,0.59,0.48,0.51,0.52,0.51,0.52,0.5,0.53,France Ligue 1,2022-2023,2.32,0.68,5.26,3.37,4.58,3.84,11.63,7.47,114.84,91.05,46.63,27.79,59.11,40.63,0.42,0.21,7.16,4.89,4.47,2.58,1.74,1.58,4.47,6.2,8.58,4.79,13.32,13.26,1.47,2.21,1.58,2.37,0.65,0.23,0.15,0.45,0.59,0.52,0.52,,,,,0.73,0.24,0.11,0.61,0.47,0.52,0.51,0.49,0.54,0.5,0.52
Angers SCO,1.05,1.89,4.68,4.68,5.26,4.16,11.11,11.26,102.37,108.37,41.37,42.89,46.95,52.89,0.11,0.21,6.84,7.84,4.26,3.42,1.37,1.68,5.77,6.85,8.26,7.84,12.58,11.63,2.53,2.68,1.37,1.53,0.28,0.25,0.5,0.54,0.49,,,0.52,0.51,,,0.24,0.25,0.6,0.51,0.56,0.51,0.52,0.52,0.51,0.5,0.52,France Ligue 1,2022-2023,2.44,0.72,5.94,3.89,5.0,3.67,13.22,8.11,105.78,98.11,41.89,37.72,52.5,47.33,0.41,0.12,8.17,5.17,5.06,2.94,2.0,1.06,5.19,5.5,10.17,5.28,12.33,12.39,1.83,3.06,1.56,2.06,0.66,0.22,0.16,0.53,0.51,,,,,,,0.74,0.23,0.14,0.53,0.54,,,0.52,0.5,0.49,0.54
Auxerre,0.89,1.39,4.33,4.28,6.06,4.61,12.61,10.72,99.78,112.39,44.33,45.0,42.33,57.44,0.28,0.11,7.39,7.61,5.22,3.11,1.59,2.29,6.5,5.94,8.33,7.72,12.33,11.56,2.44,2.94,1.61,1.39,0.31,0.28,0.45,0.54,0.5,,,0.54,0.49,,,0.32,0.28,0.46,0.52,0.55,0.52,0.51,0.52,0.5,0.5,0.53,France Ligue 1,2022-2023,1.84,0.89,6.68,2.95,5.05,5.42,14.37,10.05,113.47,90.21,54.53,34.16,56.16,43.63,0.16,0.16,9.63,5.74,4.74,4.32,2.22,1.06,5.21,7.29,9.89,6.79,11.79,11.58,1.47,3.32,1.11,1.05,0.56,0.26,0.22,0.52,0.51,0.5,0.55,,,,,0.53,0.27,0.25,0.54,0.53,0.47,0.56,0.52,0.5,0.51,0.52
Brest,1.22,1.22,5.17,4.06,5.33,4.94,11.5,10.94,103.94,109.28,42.72,40.89,47.5,52.28,0.17,0.11,8.06,7.33,3.44,3.61,1.83,1.78,5.75,6.94,8.06,7.72,11.5,11.78,2.61,2.44,1.56,1.94,0.33,0.27,0.42,0.55,0.49,,,,,0.54,0.49,0.36,0.28,0.41,0.51,0.56,,,0.51,0.52,0.5,0.53,France Ligue 1,2022-2023,1.47,1.05,6.05,4.16,5.84,5.11,14.47,10.58,116.95,92.84,49.11,36.68,55.95,43.79,0.32,0.26,10.16,6.58,4.32,4.0,1.89,1.32,5.06,7.56,10.58,7.53,12.74,13.21,2.0,3.32,1.84,1.74,0.52,0.26,0.25,0.53,0.5,,,,,0.52,0.52,0.5,0.27,0.29,0.52,0.54,0.53,0.5,0.51,0.52,0.51,0.52
Clermont,1.11,1.44,5.0,3.44,4.33,4.89,11.0,11.67,92.0,111.67,36.17,45.06,48.83,50.94,0.39,0.28,6.83,7.39,4.17,4.28,1.39,1.78,5.56,5.25,7.5,8.28,13.78,14.33,2.56,2.33,1.5,1.78,0.33,0.29,0.41,0.53,0.5,0.52,0.52,,,,,0.38,0.29,0.39,0.52,0.55,0.48,0.56,0.52,0.51,0.51,0.52,France Ligue 1,2022-2023,1.11,1.32,4.58,3.26,5.95,4.42,13.84,10.32,116.37,93.95,48.26,34.05,51.58,48.21,0.32,0.16,8.79,5.79,5.05,4.53,1.0,1.26,5.06,7.75,8.84,6.89,15.21,11.63,2.63,3.0,1.89,2.0,0.54,0.26,0.23,0.53,0.51,,,0.55,0.5,,,0.53,0.26,0.26,0.53,0.54,0.49,0.53,0.53,0.5,0.5,0.53
LOSC Lille,2.11,1.32,5.74,3.32,5.26,3.11,15.11,7.53,116.63,80.32,54.95,30.79,60.11,39.63,0.42,0.21,9.74,5.16,5.37,2.37,1.37,2.42,4.0,7.64,11.32,5.79,13.21,13.42,1.74,3.84,2.0,2.0,0.65,0.22,0.16,0.54,0.49,,,,,,,0.64,0.22,0.19,0.52,0.56,,,,,0.53,0.5,France Ligue 1,2022-2023,1.06,1.28,3.89,5.83,4.17,5.33,9.83,14.22,82.11,117.39,34.61,54.22,37.61,61.94,0.06,0.22,6.39,10.22,3.44,4.0,1.83,1.89,6.67,4.92,6.78,9.72,13.56,12.83,3.33,2.44,1.72,2.28,0.3,0.25,0.48,0.58,0.46,,,,,,,0.22,0.25,0.6,0.48,0.59,0.56,0.47,0.53,0.49,0.51,0.52
Lens,2.16,0.68,5.42,4.26,6.16,4.37,13.68,9.42,110.47,86.89,46.37,34.74,55.42,44.32,0.32,0.16,9.32,6.37,4.37,3.05,1.42,1.42,4.92,6.62,10.42,5.47,12.58,13.74,2.05,2.63,1.37,2.16,0.62,0.22,0.18,0.54,0.5,,,,,0.54,0.51,0.64,0.24,0.19,0.52,0.55,,,0.5,0.52,0.52,0.5,France Ligue 1,2022-2023,0.89,1.5,4.22,5.28,4.56,6.94,11.33,14.28,90.94,112.39,36.78,50.44,43.56,56.06,0.06,0.17,7.39,10.06,3.94,4.22,1.47,1.88,7.75,6.83,7.89,10.44,13.78,12.44,3.39,2.83,1.83,1.89,0.28,0.26,0.48,0.55,0.48,,,,,0.5,0.53,0.31,0.27,0.49,0.5,0.56,,,0.52,0.51,0.5,0.52
Lorient,1.44,1.06,3.5,5.33,3.39,6.11,10.94,13.28,90.61,115.89,35.61,53.39,46.72,53.0,0.11,0.06,7.22,8.11,3.72,5.17,1.41,0.82,6.93,4.14,7.33,9.28,10.67,12.17,2.78,2.78,1.17,2.06,0.37,0.28,0.38,0.55,0.48,,,,,,,0.35,0.28,0.43,0.5,0.56,0.54,0.49,0.51,0.52,0.51,0.52,France Ligue 1,2022-2023,1.68,1.37,5.95,4.05,7.37,4.0,16.42,10.21,120.47,84.53,61.68,37.16,53.21,46.42,0.05,0.21,10.16,6.21,6.26,4.0,1.37,1.37,4.78,7.61,10.89,6.26,13.05,10.95,2.16,3.21,1.89,1.05,0.63,0.22,0.18,0.55,0.49,,,,,,,0.66,0.23,0.17,0.51,0.57,0.55,0.48,0.54,0.49,0.51,0.51
Monaco,1.95,1.74,4.16,4.53,4.11,5.0,11.79,13.63,111.53,97.84,46.79,36.37,47.74,52.05,0.32,0.16,8.16,9.05,3.63,4.58,2.0,1.05,5.62,5.08,9.05,9.89,12.42,11.89,3.58,3.11,1.26,1.68,0.6,0.23,0.2,0.58,0.46,,,,,,,0.61,0.24,0.22,0.48,0.59,,,,,0.51,0.51,France Ligue 1,2022-2023,1.28,1.67,4.22,4.67,6.06,5.5,13.44,13.78,103.89,110.67,40.67,47.44,52.28,47.39,0.06,0.06,7.83,8.67,5.61,5.11,1.5,2.44,6.0,5.85,9.33,10.06,11.11,12.28,3.61,3.06,1.28,1.89,0.31,0.25,0.47,0.6,0.44,,,,,0.55,0.5,0.34,0.26,0.46,0.47,0.61,,,0.54,0.5,0.52,0.51
Montpellier,1.53,1.53,5.21,5.37,4.63,5.95,12.21,15.21,92.68,105.58,40.63,46.95,45.53,54.11,0.26,0.16,7.84,9.84,4.37,5.37,1.79,1.32,6.62,7.54,8.95,10.26,13.16,14.05,3.84,3.16,1.42,2.32,0.39,0.27,0.37,0.56,0.48,,,,,0.54,0.51,0.46,0.28,0.31,0.51,0.57,,,0.51,0.52,0.5,0.53,France Ligue 1,2022-2023,1.83,1.89,4.28,5.22,5.17,4.33,12.33,10.89,117.5,91.0,51.5,34.78,55.78,44.0,0.44,0.11,8.11,6.67,4.22,4.22,1.0,2.19,4.5,6.93,8.94,8.06,12.44,12.61,2.0,2.39,1.67,1.94,0.5,0.26,0.26,0.57,0.47,,,,,,,0.56,0.27,0.24,0.49,0.58,0.49,0.53,0.52,0.51,0.5,0.52
