team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
DSC Arminia Bielefeld,1.65,1.71,4.41,5.0,6.82,5.35,13.94,13.35,107.53,106.12,43.71,41.94,44.76,54.94,0.06,0.18,8.94,8.18,5.0,5.18,1.53,1.71,1.67,3.33,10.18,9.71,10.88,10.88,3.0,3.0,1.82,1.35,0.41,0.29,0.33,0.59,0.45,,,,,,,0.42,0.29,0.35,0.47,0.61,,,0.54,0.5,0.52,0.53,Germany Bundesliga 2,2022-2023,1.94,1.29,5.94,4.12,7.29,5.71,15.76,12.29,106.76,92.47,48.29,38.0,55.82,43.82,0.12,0.12,9.94,8.18,5.82,4.12,2.24,1.24,4.33,4.5,11.35,8.35,11.65,14.0,2.94,2.88,1.94,2.41,0.44,0.26,0.33,0.61,0.43,,,,,,,0.44,0.27,0.35,0.46,0.62,,,,,0.51,0.53
Darmstadt 98,1.59,0.76,6.12,3.41,7.12,4.94,14.71,10.65,115.88,92.94,49.88,36.18,51.35,48.24,0.12,0.12,9.82,6.35,4.88,4.29,2.31,1.44,3.71,3.14,9.41,6.88,12.12,12.76,2.53,2.18,2.12,2.94,0.55,0.25,0.23,0.6,0.44,,,,,,,0.56,0.25,0.23,0.46,0.62,,,,,0.52,0.52,Germany Bundesliga 2,2022-2023,1.18,1.35,5.29,4.76,5.53,6.41,13.18,13.94,107.65,104.0,44.88,43.24,51.65,48.0,0.12,0.12,7.94,8.59,5.24,5.35,1.76,2.12,3.67,4.0,8.35,8.88,12.82,12.29,2.41,2.94,1.53,2.41,0.31,0.28,0.43,0.61,0.43,,,0.55,0.49,,,0.32,0.29,0.45,0.46,0.62,,,0.52,0.52,0.5,0.55
Eintracht Braunschweig,1.35,1.29,6.47,4.18,7.0,6.59,15.35,12.71,94.94,117.41,44.24,42.65,42.24,57.47,0.0,0.12,9.12,7.53,6.24,5.18,1.59,1.53,5.33,2.33,10.18,9.12,12.41,13.18,2.47,3.59,1.94,2.24,0.4,0.29,0.34,0.59,0.45,,,,,,,0.44,0.29,0.33,0.47,0.61,,,0.53,0.51,0.52,0.53,Germany Bundesliga 2,2022-2023,2.18,1.12,6.71,3.12,6.88,5.24,15.94,10.71,123.35,86.29,52.29,26.65,63.18,36.65,0.12,0.12,9.76,6.59,6.18,4.12,2.53,1.53,2.17,4.5,10.88,7.29,10.18,11.47,1.71,3.24,1.94,2.88,0.56,0.25,0.22,0.59,0.45,,,,,,,0.52,0.26,0.27,0.47,0.61,,,0.52,0.52,0.53,0.51
Fortuna Düsseldorf,2.24,1.12,5.29,3.71,6.18,5.53,15.47,11.65,98.35,94.24,46.41,34.88,52.41,47.18,0.29,0.24,10.06,6.76,5.41,4.88,0.88,1.76,4.0,3.6,10.76,7.94,10.88,11.82,2.47,3.65,2.12,2.53,0.51,0.25,0.26,0.6,0.44,,,,,,,0.49,0.26,0.3,0.46,0.61,,,0.49,0.55,0.52,0.52,Germany Bundesliga 2,2022-2023,1.41,1.29,6.12,4.0,5.76,5.24,13.41,12.88,100.47,95.88,44.65,41.29,46.65,52.94,0.06,0.24,8.53,8.41,4.88,4.47,2.59,1.18,0.5,0.5,9.0,8.59,12.35,12.47,3.24,3.06,1.71,2.53,0.38,0.28,0.36,0.59,0.44,,,,,,,0.4,0.28,0.38,0.46,0.61,,,0.56,0.49,0.53,0.51
Hamburger SV,2.24,1.18,5.76,4.71,6.82,5.0,16.47,11.41,108.29,78.29,49.53,36.0,59.24,40.35,0.24,0.06,10.82,7.47,5.65,3.94,2.06,1.82,1.8,2.8,11.76,7.41,12.29,10.41,2.76,3.29,2.0,2.35,0.62,0.22,0.19,0.62,0.42,,,,,,,0.61,0.23,0.23,0.44,0.63,,,,,,,Germany Bundesliga 2,2022-2023,1.47,1.88,5.12,4.76,6.65,5.71,14.71,13.35,87.18,104.94,40.65,46.0,40.71,59.0,0.0,0.12,10.29,8.29,4.41,5.06,2.76,1.18,4.12,3.62,10.35,9.76,11.24,11.59,2.82,3.71,2.24,2.41,0.3,0.25,0.48,0.64,0.4,,,,,,,0.29,0.26,0.51,0.42,0.65,,,,,,
Hannover 96,1.59,1.53,4.59,5.35,5.71,7.0,12.35,15.71,101.53,99.59,36.06,43.12,48.53,51.18,0.18,0.06,8.47,10.65,3.88,5.06,1.12,2.25,4.33,6.83,8.65,10.12,12.29,11.76,3.35,3.29,2.24,2.53,0.41,0.27,0.35,0.61,0.43,,,,,,,0.42,0.27,0.36,0.45,0.63,,,,,0.53,0.51,Germany Bundesliga 2,2022-2023,1.71,1.35,6.18,4.24,6.59,4.29,17.24,11.41,94.53,99.47,42.12,41.18,50.71,48.94,0.29,0.12,10.82,7.41,6.41,4.0,2.24,0.94,2.0,1.5,10.53,7.41,13.53,12.59,2.18,3.18,2.53,2.18,0.52,0.25,0.25,0.62,0.42,,,,,,,0.57,0.25,0.25,0.45,0.63,,,0.56,0.49,0.53,0.51
Hansa Rostock,1.06,1.47,5.88,5.65,6.06,5.41,14.53,12.88,97.35,109.0,40.88,41.76,46.06,53.65,0.0,0.24,9.71,8.18,4.82,4.71,1.82,1.0,1.33,1.17,7.88,9.18,12.0,11.41,2.65,2.18,1.88,1.71,0.33,0.3,0.4,0.56,0.47,,,,,,,0.35,0.3,0.4,0.5,0.58,,,0.53,0.51,0.5,0.54,Germany Bundesliga 2,2022-2023,1.35,0.82,6.53,3.59,7.65,3.94,16.71,9.65,122.65,93.18,57.41,37.82,59.65,40.0,0.12,0.12,10.71,5.59,6.0,4.06,0.76,1.29,4.12,4.12,10.88,6.06,10.18,12.06,1.71,3.0,1.88,2.94,0.47,0.29,0.27,0.55,0.49,,,,,,,0.46,0.29,0.3,0.52,0.57,,,0.54,0.51,0.5,0.54
Heidenheim,2.41,0.94,6.59,2.88,7.24,4.65,16.18,10.0,122.53,101.65,50.88,33.94,50.71,49.0,0.12,0.0,9.82,6.0,6.35,4.0,1.62,0.62,2.8,4.2,10.41,6.12,10.65,9.94,1.53,3.24,1.35,1.82,0.51,0.27,0.25,0.56,0.47,,,,,,,0.57,0.27,0.23,0.5,0.58,,,0.53,0.51,0.51,0.53,Germany Bundesliga 2,2022-2023,1.18,1.53,4.94,4.88,6.18,5.59,13.88,12.29,115.35,106.82,42.65,41.06,50.41,49.24,0.06,0.12,8.24,7.59,5.65,4.71,1.62,1.69,4.0,4.4,9.0,7.88,11.12,10.65,2.76,3.0,1.71,1.94,0.35,0.28,0.39,0.57,0.46,,,0.55,0.48,,,0.36,0.29,0.41,0.49,0.59,,,0.52,0.52,0.5,0.54
Holstein Kiel,1.71,1.71,6.06,4.47,7.0,5.71,16.47,13.18,94.88,98.94,39.35,36.94,57.0,42.82,0.24,0.06,10.82,8.59,5.65,4.59,1.47,1.35,2.78,3.44,9.59,7.94,11.29,10.53,2.24,3.18,1.94,2.41,0.43,0.26,0.34,0.63,0.41,,,,,,,0.43,0.27,0.36,0.43,0.64,,,,,0.54,0.5,Germany Bundesliga 2,2022-2023,1.88,1.71,7.53,4.53,6.29,5.71,16.53,13.47,105.35,89.59,51.71,38.82,47.18,52.41,0.18,0.24,10.53,9.53,6.0,3.94,1.56,1.69,5.2,4.4,10.47,8.59,10.76,11.65,3.18,3.12,2.0,2.0,0.45,0.25,0.32,0.64,0.4,,,,,,,0.53,0.26,0.28,0.42,0.65,,,,,0.52,0.52
Jahn Regensburg,1.0,1.65,4.94,4.53,5.18,4.71,11.47,12.76,98.41,103.65,37.53,45.82,45.18,54.47,0.18,0.18,7.18,8.94,4.29,3.82,2.44,1.25,4.43,2.71,8.06,7.41,13.12,13.12,2.82,2.65,2.35,1.94,0.33,0.28,0.42,0.58,0.46,,,,,,,0.33,0.28,0.45,0.48,0.6,,,0.54,0.51,0.51,0.54,Germany Bundesliga 2,2022-2023,1.76,1.0,5.29,3.53,5.88,6.0,14.24,11.88,106.53,96.35,45.24,32.12,55.47,44.24,0.18,0.06,8.35,6.94,5.88,4.94,1.59,2.06,2.67,3.33,10.12,8.82,12.0,10.12,2.06,2.71,1.65,2.65,0.51,0.27,0.25,0.56,0.48,,,,,0.54,0.5,0.49,0.28,0.27,0.5,0.58,,,0.53,0.51,0.52,0.52
Kaiserslautern,1.53,1.53,6.0,4.53,5.41,5.59,13.24,12.06,88.76,104.29,44.41,38.12,46.24,53.53,0.18,0.12,8.76,7.41,4.47,4.65,1.88,1.25,5.0,4.4,9.18,8.24,10.88,12.0,1.82,2.88,2.12,2.47,0.41,0.28,0.33,0.59,0.45,,,0.55,0.48,,,0.42,0.29,0.35,0.47,0.61,,,0.51,0.53,0.51,0.53,Germany Bundesliga 2,2022-2023,1.29,1.24,4.53,4.76,5.06,5.88,14.0,11.88,118.53,86.59,43.94,37.53,57.47,42.18,0.12,0.06,7.76,7.76,6.24,4.12,1.0,1.19,0.83,2.83,8.76,7.82,10.71,12.94,2.41,3.76,1.82,2.35,0.45,0.29,0.29,0.57,0.46,,,,,,,0.47,0.29,0.3,0.5,0.58,,,0.52,0.52,0.51,0.53
