team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AEK Athens,2.18,0.41,8.0,2.0,8.06,2.59,19.41,5.0,115.71,60.18,68.47,17.71,63.71,36.0,0.41,0.06,12.94,3.06,6.47,1.94,2.12,1.53,3.6,6.8,13.82,3.53,16.94,13.53,1.0,4.47,1.65,2.88,0.74,0.2,0.11,0.43,0.62,,,,,,,0.68,0.2,0.15,0.63,0.44,0.54,0.5,0.52,0.52,0.52,0.52,Greece Super Liga,2022-2023,0.59,1.47,2.53,4.65,3.59,7.35,7.12,15.18,70.29,98.65,26.12,48.41,41.18,58.65,0.24,0.18,4.29,9.65,2.82,5.53,1.75,2.65,5.4,4.1,5.35,11.59,14.71,16.29,3.25,1.38,2.71,2.35,0.22,0.25,0.58,0.46,0.59,0.53,0.52,,,,,0.27,0.25,0.52,0.59,0.47,0.53,0.51,0.52,0.52,0.55,0.49
Aris,1.94,1.0,5.59,3.41,5.59,3.65,12.71,9.47,100.0,79.71,36.0,28.82,56.71,43.06,0.18,0.12,7.76,5.29,4.94,4.18,2.12,1.24,4.83,5.83,8.71,6.76,15.06,14.0,2.18,1.88,1.82,2.29,0.49,0.26,0.3,0.45,0.6,,,,,,,0.43,0.26,0.36,0.61,0.46,0.52,0.52,0.52,0.52,0.52,0.52,Greece Super Liga,2022-2023,1.35,1.18,4.76,3.88,5.06,4.59,12.18,10.12,86.29,94.41,40.18,34.71,45.12,54.53,0.35,0.18,8.35,5.94,3.82,4.18,0.94,2.29,5.0,5.44,8.76,7.0,15.65,14.0,2.47,3.0,2.29,2.65,0.51,0.25,0.29,0.46,0.6,,,0.51,0.55,,,0.61,0.26,0.22,0.61,0.46,0.52,0.52,0.52,0.53,0.5,0.54
Asteras Tripolis,0.94,0.62,3.56,3.75,4.75,5.06,9.56,10.44,90.19,96.0,38.5,35.69,50.38,49.38,0.06,0.12,5.62,5.62,3.94,4.81,1.38,1.38,3.0,4.0,6.5,7.38,13.94,14.06,2.69,2.06,2.44,2.44,0.39,0.33,0.33,0.45,0.6,,,,,,,0.44,0.32,0.29,0.61,0.46,0.52,0.52,0.49,0.55,0.49,0.55,Greece Super Liga,2022-2023,1.4,0.53,4.4,3.2,6.13,4.67,13.07,8.47,100.67,75.0,45.0,27.67,53.87,45.87,0.13,0.07,7.8,5.0,5.27,3.47,2.07,1.8,4.71,3.57,9.33,6.47,12.8,15.13,1.53,2.13,2.2,2.67,0.46,0.32,0.26,0.45,0.6,0.5,0.55,,,,,0.42,0.32,0.27,0.61,0.46,0.51,0.53,0.5,0.54,0.55,0.49
Atromitos,1.27,0.87,4.44,4.19,6.0,4.94,11.38,11.06,93.75,102.5,37.62,45.0,51.25,48.62,0.2,0.07,7.44,5.88,3.94,5.19,1.44,1.56,6.0,4.67,8.94,7.81,11.88,13.81,2.93,2.67,1.75,2.44,0.34,0.28,0.43,0.49,0.56,,,,,,,0.39,0.28,0.36,0.57,0.5,0.55,0.5,0.52,0.53,0.52,0.52,Greece Super Liga,2022-2023,1.47,0.87,6.13,3.4,5.6,3.93,14.07,8.6,103.27,80.67,45.67,23.13,54.47,45.27,0.4,0.0,9.33,4.87,4.73,3.73,1.8,1.0,3.29,6.14,9.33,6.47,12.87,13.33,1.67,3.0,2.27,2.67,0.46,0.31,0.27,0.48,0.58,0.51,0.54,,,,,0.43,0.3,0.32,0.59,0.48,0.54,0.5,0.51,0.54,0.51,0.53
Ionikos,0.73,1.4,4.07,4.07,4.53,4.13,10.33,10.07,97.4,91.67,38.93,43.07,49.07,50.67,0.07,0.33,5.07,6.53,5.27,3.53,2.93,2.07,5.71,5.14,7.8,7.8,15.93,17.27,2.53,2.4,2.87,3.07,0.33,0.3,0.41,0.47,0.58,0.5,0.55,,,,,0.46,0.3,0.28,0.6,0.48,0.53,0.52,0.5,0.54,0.53,0.51,Greece Super Liga,2022-2023,1.75,0.75,5.06,3.81,6.31,4.0,12.75,9.38,104.19,75.62,43.56,30.69,58.06,41.56,0.19,0.06,7.94,4.94,4.81,4.44,1.88,1.25,5.0,4.5,9.25,6.44,15.44,16.06,2.5,2.06,1.81,2.88,0.49,0.31,0.24,0.46,0.59,,,,,,,0.42,0.3,0.3,0.61,0.46,0.5,0.54,0.5,0.54,0.52,0.52
Lamia,0.8,1.67,4.27,4.13,4.73,4.13,10.33,10.47,84.07,88.67,34.6,33.47,43.67,56.2,0.13,0.13,6.33,6.4,4.0,4.07,1.6,1.47,5.25,3.38,6.93,7.4,15.0,15.6,2.13,2.47,2.13,2.4,0.36,0.3,0.38,0.44,0.62,,,,,,,0.48,0.3,0.26,0.63,0.45,0.52,0.53,0.49,0.56,0.5,0.55,Greece Super Liga,2022-2023,1.6,0.67,5.56,3.31,5.62,4.5,13.0,9.5,106.75,78.44,42.31,28.0,59.0,40.69,0.0,0.0,8.06,5.88,4.94,3.62,1.31,1.12,6.4,7.6,9.06,7.25,15.25,17.0,2.19,2.56,2.25,2.69,0.5,0.32,0.24,0.44,0.61,0.53,0.52,,,,,0.45,0.3,0.29,0.62,0.45,0.52,0.52,0.5,0.54,0.49,0.55
Levadiakos,0.93,1.36,5.14,3.86,5.79,5.0,12.36,9.71,89.86,98.86,35.36,37.21,43.36,56.5,0.07,0.07,7.0,5.64,5.36,4.07,1.15,1.0,6.25,9.0,8.64,7.07,14.43,16.57,1.43,3.0,2.0,2.0,0.4,0.34,0.3,0.45,0.6,0.51,0.54,,,,,0.4,0.32,0.34,0.62,0.46,0.5,0.54,0.5,0.55,0.54,0.5,Greece Super Liga,2022-2023,1.65,0.59,5.71,3.65,6.24,2.82,13.82,7.18,110.71,80.53,50.53,30.82,61.59,38.29,0.29,0.18,9.35,3.82,4.47,3.35,2.12,1.29,5.83,3.33,9.88,4.88,14.41,15.18,2.06,3.18,2.53,2.82,0.62,0.26,0.17,0.44,0.62,,,,,,,0.46,0.26,0.26,0.63,0.44,0.52,0.52,0.51,0.53,0.5,0.54
OFI,0.88,1.31,4.5,4.0,5.06,5.0,11.5,11.19,115.38,76.25,47.12,30.25,57.69,41.94,0.0,0.06,7.12,7.88,4.38,3.31,2.56,2.12,4.0,1.67,7.25,8.25,14.56,15.31,2.81,2.5,2.81,2.25,0.42,0.3,0.33,0.5,0.56,,,,,,,0.5,0.3,0.27,0.57,0.5,0.55,0.5,0.51,0.53,0.51,0.53,Greece Super Liga,2022-2023,1.2,1.47,4.73,3.07,6.87,4.6,14.4,9.2,95.87,92.87,46.2,36.0,49.87,49.93,0.2,0.07,8.73,5.6,5.67,3.6,2.33,2.07,4.29,6.14,10.0,7.07,13.27,15.87,1.87,3.13,1.47,2.73,0.48,0.31,0.28,0.5,0.56,0.56,0.49,,,,,0.41,0.28,0.33,0.57,0.51,0.53,0.51,0.53,0.52,0.52,0.52
Olympiacos F.C.,2.24,0.71,5.59,3.12,6.82,3.65,16.18,7.41,92.24,69.35,47.88,24.53,55.0,44.65,0.35,0.06,10.71,4.35,5.47,3.06,2.5,2.25,2.67,4.22,12.24,5.65,14.12,13.53,1.65,3.59,1.53,2.12,0.67,0.22,0.16,0.44,0.61,,,0.51,0.55,,,0.59,0.22,0.23,0.62,0.45,0.54,0.51,0.51,0.53,0.52,0.53,Greece Super Liga,2022-2023,0.59,1.47,4.24,4.0,4.88,5.41,9.76,13.0,84.88,106.35,33.0,39.24,44.24,55.53,0.06,0.18,5.06,7.59,4.71,5.41,2.29,1.47,5.62,4.5,7.24,9.0,13.0,14.53,3.24,2.65,2.24,2.06,0.34,0.27,0.44,0.47,0.58,,,,,,,0.4,0.26,0.37,0.59,0.49,0.53,0.52,0.53,0.51,0.52,0.52
PAOK,1.78,0.83,5.78,3.11,6.22,3.28,14.94,7.0,110.06,66.39,50.0,22.39,61.17,38.61,0.39,0.28,9.78,4.06,5.17,2.94,1.44,2.0,5.71,4.86,10.56,5.44,13.17,13.28,1.61,3.67,2.28,2.94,0.6,0.26,0.19,0.44,0.62,0.53,0.52,,,,,0.56,0.26,0.21,0.63,0.45,0.52,0.52,0.52,0.53,0.51,0.53,Greece Super Liga,2022-2023,1.0,1.38,3.69,5.94,5.06,4.94,10.56,10.19,78.06,89.12,36.06,48.31,44.94,54.88,0.12,0.06,6.56,7.06,4.0,3.12,2.5,1.56,4.33,4.33,8.25,8.19,16.06,14.75,2.0,2.12,1.81,1.88,0.32,0.27,0.46,0.45,0.6,,,,,,,0.37,0.27,0.43,0.62,0.46,0.52,0.52,0.51,0.53,0.53,0.51
