team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Arouca,1.38,1.0,3.59,6.71,4.29,4.94,10.71,11.47,90.25,114.88,29.94,50.69,47.24,52.47,0.19,0.38,5.47,7.41,5.24,4.06,1.53,2.41,6.56,5.89,8.06,8.12,14.65,12.76,3.24,2.76,2.35,2.65,0.36,0.28,0.38,0.51,0.53,,,,,,,0.38,0.29,0.4,0.55,0.52,0.55,0.5,0.51,0.53,0.5,0.54,Liga Portugal,2022-2023,0.71,0.86,6.5,3.12,6.5,5.31,14.75,10.69,114.93,104.21,46.86,33.14,51.44,48.31,0.07,0.29,8.31,4.56,6.44,6.12,1.62,1.56,1.67,4.5,8.64,7.93,10.31,12.06,2.19,2.69,1.67,2.27,0.49,0.28,0.26,0.51,0.53,,,,,,,0.5,0.28,0.3,0.55,0.52,0.56,0.48,0.52,0.53,0.54,0.5
Benfica,2.87,0.67,8.12,2.65,8.65,2.82,19.41,5.59,144.6,73.73,71.73,20.27,66.18,33.59,0.47,0.13,13.18,3.0,6.24,2.59,2.41,1.18,4.45,7.09,13.47,4.0,12.0,12.29,1.06,3.59,1.65,2.82,0.77,0.17,0.1,0.46,0.59,,,,,,,0.78,0.17,0.12,0.6,0.48,,,0.54,0.5,0.51,0.54,Liga Portugal,2022-2023,0.31,2.12,4.06,8.0,4.12,5.81,8.44,15.0,86.88,129.12,32.12,67.31,38.88,60.88,0.0,0.27,4.94,10.75,3.5,4.25,0.94,2.56,5.86,5.29,5.75,9.25,14.25,12.88,3.44,2.06,2.62,1.88,0.1,0.17,0.75,0.49,0.56,,,,,,,0.14,0.18,0.75,0.58,0.5,,,,,0.54,0.5
Boavista,1.38,1.06,6.24,4.53,5.94,4.35,12.29,9.88,102.75,94.75,40.62,35.19,49.76,49.94,0.29,0.21,7.71,6.12,4.59,3.76,2.0,2.24,5.64,4.91,8.56,5.44,13.53,13.82,2.06,2.35,2.76,3.18,0.4,0.31,0.32,0.5,0.54,,,,,,,0.37,0.31,0.39,0.56,0.51,0.54,0.5,0.5,0.54,0.52,0.52,Liga Portugal,2022-2023,2.0,1.25,5.24,4.35,5.88,4.41,12.53,9.41,109.12,93.69,51.38,33.5,53.47,46.29,0.2,0.0,7.41,5.0,5.12,4.41,1.88,1.82,3.12,6.25,10.06,6.94,13.29,14.65,2.06,3.35,2.35,3.18,0.55,0.25,0.23,0.49,0.55,,,,,,,0.57,0.26,0.24,0.57,0.5,0.53,0.52,0.5,0.54,0.51,0.53
Casa Pia,1.06,1.0,4.59,4.82,5.41,5.41,11.82,12.65,92.5,123.69,33.44,47.31,42.82,56.76,0.12,0.12,6.88,7.12,4.94,5.53,1.69,1.19,4.25,5.12,8.0,8.38,12.53,13.29,2.71,2.82,2.59,1.71,0.39,0.3,0.34,0.48,0.56,,,,,,,0.35,0.3,0.43,0.58,0.49,0.53,0.51,0.51,0.53,0.5,0.55,Liga Portugal,2022-2023,1.33,0.67,6.75,3.81,6.31,4.94,15.56,10.06,124.73,89.8,46.4,34.0,60.12,39.56,0.27,0.13,9.75,6.12,5.81,3.94,1.06,2.62,4.33,6.33,10.27,6.67,13.19,14.19,1.88,4.06,1.94,3.0,0.5,0.28,0.25,0.48,0.56,0.56,0.47,,,,,0.53,0.29,0.25,0.58,0.49,0.53,0.51,0.49,0.55,0.55,0.49
Chaves,1.27,1.07,4.56,6.88,5.75,8.56,13.88,16.0,97.6,102.53,39.93,51.4,45.94,53.75,0.13,0.4,7.88,9.12,6.0,6.88,1.5,1.56,5.62,3.88,9.53,10.2,13.25,12.0,3.12,3.88,3.56,3.19,0.31,0.26,0.46,0.53,0.51,,,,,,,0.35,0.27,0.45,0.54,0.53,0.55,0.49,0.53,0.51,0.54,0.5,Liga Portugal,2022-2023,1.12,0.88,7.88,4.94,6.94,6.18,16.94,12.47,107.29,89.06,54.12,37.41,53.0,46.76,0.2,0.4,10.06,6.29,6.94,6.18,0.88,1.81,5.58,6.67,10.41,8.24,14.71,13.76,2.94,4.0,3.06,2.65,0.49,0.29,0.25,0.51,0.53,,,,,,,0.49,0.3,0.29,0.54,0.52,0.56,0.48,0.53,0.51,0.51,0.53
Estoril,1.06,1.44,4.35,5.12,4.35,6.29,10.53,13.94,89.44,103.38,41.44,43.44,47.06,52.71,0.13,0.27,5.88,8.06,4.71,5.88,1.24,2.47,7.33,5.0,7.38,9.81,15.53,16.06,2.71,2.59,2.65,2.65,0.4,0.31,0.32,0.52,0.53,,,0.53,0.5,,,0.44,0.32,0.32,0.55,0.52,0.53,0.51,0.51,0.53,0.54,0.5,Liga Portugal,2022-2023,1.38,0.69,6.59,4.94,7.0,4.59,15.35,10.41,100.06,88.69,49.75,35.0,52.71,47.0,0.47,0.07,10.24,6.41,5.12,4.0,2.27,1.67,5.0,5.88,11.81,6.88,15.29,13.71,1.94,3.47,3.06,2.88,0.6,0.24,0.19,0.5,0.55,,,,,,,0.68,0.24,0.18,0.56,0.51,0.54,0.5,0.52,0.53,0.5,0.54
Famalicão,1.19,0.94,4.76,5.24,6.24,5.59,13.76,14.0,95.25,107.25,43.38,46.75,47.06,52.65,0.13,0.27,8.35,8.71,5.41,5.29,1.62,1.06,4.5,4.83,9.25,8.38,15.35,14.94,3.18,2.76,2.35,3.29,0.46,0.29,0.28,0.51,0.53,,,,,,,0.47,0.29,0.33,0.56,0.51,0.54,0.51,0.51,0.53,0.52,0.52,Liga Portugal,2022-2023,1.6,1.0,5.62,4.19,6.31,5.62,14.94,11.25,113.33,95.13,46.4,30.33,53.56,46.19,0.14,0.14,7.94,6.25,7.0,5.0,1.06,1.5,6.38,5.88,9.53,7.8,16.06,13.5,2.0,3.25,2.38,2.62,0.53,0.25,0.25,0.5,0.54,,,,,,,0.45,0.25,0.33,0.57,0.5,0.52,0.52,0.51,0.53,0.52,0.52
Gil Vicente,0.88,0.88,7.25,4.5,5.38,5.88,13.06,13.75,101.62,104.12,41.5,44.19,51.5,48.19,0.14,0.07,7.06,8.56,6.0,5.19,1.88,4.75,7.8,3.0,9.12,9.25,14.94,12.44,3.88,3.62,2.38,2.94,0.36,0.27,0.4,0.55,0.49,,,,,,,0.31,0.27,0.51,0.51,0.55,,,0.55,0.5,0.51,0.53,Liga Portugal,2022-2023,1.62,0.94,5.24,5.88,6.0,6.71,14.76,13.0,96.25,107.12,41.25,44.88,44.76,54.88,0.2,0.27,9.71,8.29,5.06,4.71,4.29,2.0,3.0,4.89,11.12,9.5,13.71,13.29,2.88,3.94,2.65,2.35,0.49,0.26,0.27,0.54,0.51,,,0.53,0.5,,,0.5,0.27,0.3,0.52,0.54,,,0.54,0.5,0.51,0.53
Marítimo,1.33,1.27,5.82,5.41,8.24,5.71,16.35,12.18,106.87,98.13,43.13,29.87,50.76,49.0,0.29,0.29,9.35,7.12,7.0,5.06,1.75,1.38,5.0,6.62,10.67,9.53,15.88,12.65,2.71,2.88,2.94,2.35,0.35,0.27,0.41,0.51,0.53,,,,,,,0.43,0.28,0.37,0.55,0.51,0.55,0.5,0.52,0.53,0.5,0.54,Liga Portugal,2022-2023,2.4,0.6,6.06,5.5,7.12,4.69,15.5,11.62,108.8,88.6,45.87,37.8,55.25,44.5,0.21,0.21,9.69,6.12,5.81,5.5,1.88,2.06,5.8,3.2,10.8,7.6,15.5,14.69,2.62,2.88,2.5,3.31,0.51,0.28,0.24,0.5,0.54,,,,,,,0.56,0.28,0.23,0.55,0.52,0.55,0.5,0.52,0.52,0.5,0.54
Paços de Ferreira,0.81,1.94,6.18,6.47,5.06,5.35,13.29,13.18,96.94,95.0,40.56,41.81,48.35,51.35,0.12,0.0,6.71,8.18,6.59,5.0,1.41,3.18,3.83,5.0,8.62,9.62,15.06,15.82,3.41,3.29,2.76,3.29,0.25,0.24,0.53,0.5,0.54,,,,,,,0.3,0.25,0.53,0.56,0.51,0.55,0.49,0.51,0.53,0.52,0.52,Liga Portugal,2022-2023,1.53,0.87,5.81,5.38,7.12,4.88,15.19,10.31,110.93,87.73,40.27,32.93,54.0,45.62,0.13,0.0,9.62,5.81,5.56,4.5,3.0,1.62,5.17,6.17,10.07,6.67,14.12,15.31,2.38,2.94,2.19,3.31,0.5,0.29,0.24,0.5,0.54,,,,,,,0.54,0.3,0.26,0.57,0.5,0.55,0.49,0.52,0.52,0.5,0.54
