team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
América,2.16,1.16,6.62,3.57,7.1,4.86,17.62,11.14,109.8,83.55,51.25,30.6,57.81,41.9,0.27,0.13,10.1,6.33,7.52,4.81,1.71,0.62,8.0,7.75,8.69,5.54,11.19,11.52,2.29,3.38,1.79,2.47,0.66,0.21,0.16,0.56,0.48,,,,,,,,0.19,,0.53,0.53,0.52,0.52,0.49,0.56,0.51,0.53,Mexico Liga MX,2022-2023,1.28,2.15,4.29,5.1,5.43,6.14,12.67,15.76,90.95,111.76,37.38,47.24,44.86,54.76,0.21,0.14,7.38,8.9,5.29,6.86,1.05,1.76,8.0,9.0,5.58,7.25,11.95,11.76,3.52,2.95,2.05,1.76,0.28,0.27,0.49,0.57,0.47,,,,,,,,0.28,,0.49,0.57,,,0.54,0.5,0.51,0.53
Atlas,1.6,1.33,4.89,4.11,6.56,6.06,14.0,14.5,103.83,89.61,39.72,33.72,52.67,46.94,0.15,0.08,7.94,7.5,6.06,7.0,1.72,1.56,10.5,10.0,7.36,6.0,12.83,11.06,2.94,2.67,2.0,2.94,0.39,0.29,0.35,0.54,0.5,,,,,,,,0.28,,0.53,0.54,0.52,0.52,0.53,0.51,0.54,0.5,Mexico Liga MX,2022-2023,1.56,1.12,4.74,4.11,7.53,6.26,16.16,12.11,98.0,104.16,40.63,33.74,52.11,47.58,0.36,0.18,8.95,7.0,7.21,5.11,1.16,1.74,9.6,10.6,8.8,4.9,10.68,11.05,2.21,3.37,1.84,2.16,0.37,0.3,0.36,0.53,0.51,,,,,,,,0.32,,0.55,0.52,0.51,0.53,0.53,0.51,0.51,0.53
Atlético San Luis,1.0,1.14,4.61,5.61,6.39,6.5,12.17,15.11,84.72,97.28,29.11,37.72,46.44,53.17,0.17,0.17,7.11,8.0,5.06,7.11,1.17,2.0,9.5,13.0,5.73,8.18,11.56,10.72,3.72,2.17,2.11,2.44,0.38,0.28,0.37,0.55,0.49,,,,,,,,0.31,,0.51,0.55,,,0.52,0.52,0.5,0.54,Mexico Liga MX,2022-2023,1.56,1.12,7.0,3.89,8.74,4.58,18.63,9.89,103.53,82.95,49.26,28.05,57.11,42.58,0.25,0.08,11.16,5.84,7.47,4.05,2.53,0.79,7.0,8.33,9.09,5.18,11.37,11.21,2.63,4.11,1.89,1.95,0.61,0.24,0.18,0.54,0.5,,,,,,,,0.2,,0.53,0.53,0.53,0.51,0.52,0.52,0.54,0.5
Cruz Azul,1.39,1.24,5.4,4.2,6.75,5.4,13.6,11.65,84.9,91.75,35.6,34.0,48.85,50.9,0.21,0.14,8.9,6.85,4.7,4.8,1.9,1.15,9.5,8.0,9.09,6.91,9.45,11.05,2.3,2.9,1.84,1.89,0.45,0.28,0.3,0.56,0.48,,,,,,,,0.32,,0.5,0.56,,,0.53,0.51,0.51,0.53,Mexico Liga MX,2022-2023,2.43,1.12,5.28,3.89,5.94,5.17,15.61,11.11,98.06,86.83,40.94,34.06,51.5,48.22,0.14,0.21,9.39,7.06,6.22,4.06,1.61,2.0,9.0,13.67,8.91,5.55,13.06,12.0,2.39,3.94,2.5,2.17,0.37,0.29,0.38,0.55,0.49,,,,,,,,0.31,,0.53,0.54,0.52,0.52,0.51,0.53,0.51,0.53
Guadalajara,1.22,1.18,6.05,5.35,7.25,6.45,15.55,12.7,109.15,103.65,44.75,37.05,51.05,48.65,0.23,0.0,8.5,7.3,7.05,5.4,2.05,1.3,8.6,11.2,6.6,5.2,11.7,9.7,2.9,3.45,2.05,2.63,0.48,0.28,0.27,0.53,0.51,,,,,,,,0.29,,0.55,0.52,0.52,0.52,0.51,0.53,0.51,0.53,Mexico Liga MX,2022-2023,1.06,1.53,4.9,4.29,8.33,5.95,15.1,13.19,108.95,96.5,42.55,40.4,53.9,45.81,0.23,0.31,8.29,6.52,6.81,6.67,1.43,1.19,11.25,11.5,8.08,7.92,10.71,10.43,3.1,2.9,2.3,2.5,0.43,0.3,0.3,0.52,0.52,,,,,,,,0.32,,0.54,0.52,0.53,0.51,0.52,0.52,0.51,0.53
Juárez,1.31,1.13,5.82,3.59,6.0,6.06,13.12,12.76,102.53,96.88,45.0,38.0,50.76,48.76,0.23,0.15,8.29,6.88,4.82,5.88,1.18,1.76,7.33,8.67,8.36,7.45,13.12,12.47,2.41,2.29,2.59,3.24,0.38,0.29,0.36,0.51,0.53,,,,,,,,0.32,,0.55,0.51,0.55,0.5,0.5,0.54,0.51,0.53,Mexico Liga MX,2022-2023,1.65,0.88,5.0,4.5,6.28,6.11,14.39,11.44,94.72,91.61,37.17,37.61,50.28,49.39,0.33,0.07,8.44,5.22,5.94,6.22,1.44,1.17,6.0,7.67,8.67,5.75,12.67,11.11,1.83,3.17,2.22,2.33,0.54,0.27,0.22,0.51,0.52,,,,,,,,0.29,,0.56,0.51,0.51,0.53,0.51,0.54,0.52,0.52
León,1.93,1.35,6.28,3.11,7.56,4.67,16.0,10.5,104.18,81.12,48.53,30.29,55.67,44.0,0.08,0.42,9.78,6.0,6.22,4.5,2.28,3.0,9.67,11.67,7.7,4.3,12.5,13.11,2.11,3.72,1.59,2.94,0.5,0.26,0.27,0.58,0.45,,,,,,,,0.28,,0.47,0.6,,,0.56,0.49,0.53,0.52,Mexico Liga MX,2022-2023,1.53,0.94,5.94,4.67,6.78,5.78,14.56,12.61,102.78,88.67,44.17,37.89,51.72,47.83,0.14,0.0,9.67,7.83,4.89,4.78,3.17,1.28,7.0,8.8,8.42,5.42,12.28,12.61,2.44,3.11,1.78,2.67,0.4,0.27,0.36,0.6,0.44,,,,,,,,0.28,,0.46,0.61,,,,,0.53,0.51
Mazatlán,1.29,1.69,4.94,5.18,6.06,6.76,13.88,16.47,100.35,96.18,38.18,39.65,50.71,49.0,0.14,0.14,7.47,10.71,6.41,5.76,1.24,2.41,9.33,10.67,7.9,8.9,11.76,12.47,3.88,2.88,2.47,2.29,0.28,0.27,0.48,0.56,0.48,,,,,,,,0.3,,0.52,0.55,0.54,0.5,0.51,0.53,0.52,0.52,Mexico Liga MX,2022-2023,2.07,0.93,6.71,3.06,7.29,4.65,17.65,9.82,101.88,82.41,45.65,28.18,56.94,42.76,0.23,0.08,10.29,5.18,7.35,4.65,2.35,1.12,2.0,14.5,8.0,4.64,11.24,12.18,2.0,3.94,1.71,2.41,0.68,0.21,0.14,0.52,0.52,,,,,,,,0.23,,0.53,0.53,,,0.52,0.52,0.52,0.52
Monterrey,1.89,0.71,4.71,3.76,7.43,4.57,16.76,9.19,101.52,105.24,40.24,35.67,48.52,51.24,0.24,0.12,9.62,5.33,7.14,3.86,2.38,1.67,9.2,9.2,10.58,6.25,12.1,11.1,2.19,4.29,2.14,2.0,0.64,0.23,0.16,0.54,0.5,,,,,,,,0.22,,0.53,0.54,,,0.54,0.51,0.53,0.51,Mexico Liga MX,2022-2023,1.11,1.5,5.52,4.67,5.43,6.62,12.0,14.29,96.0,100.29,39.86,40.1,51.52,48.14,0.24,0.35,6.38,7.95,5.62,6.33,2.1,1.33,8.4,6.6,6.42,7.08,11.19,12.43,3.14,2.95,1.8,2.6,0.35,0.29,0.4,0.54,0.5,,,,,,,,0.3,,0.52,0.55,0.54,0.5,0.51,0.53,0.5,0.54
Necaxa,1.12,1.56,4.35,5.59,6.53,6.24,13.18,14.65,98.35,100.76,39.0,41.65,45.94,53.71,0.08,0.17,7.41,8.06,5.76,6.59,1.65,2.06,11.0,10.33,5.09,6.73,12.71,11.47,2.53,2.53,3.0,2.0,0.34,0.29,0.4,0.53,0.51,,,,,,,,0.3,,0.54,0.53,0.51,0.54,0.52,0.52,0.5,0.54,Mexico Liga MX,2022-2023,1.47,0.86,4.33,3.44,6.5,5.28,15.22,12.06,102.33,94.11,37.83,29.89,54.89,44.67,0.15,0.15,9.0,6.39,6.22,5.67,2.11,1.61,8.0,7.0,9.42,5.58,11.17,11.67,2.11,3.39,1.44,2.44,0.61,0.23,0.19,0.53,0.51,,,,,,,,0.24,,0.53,0.54,0.56,0.49,0.52,0.53,0.52,0.52
