team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Abha,1.31,1.62,5.38,5.38,5.31,5.85,10.38,12.69,85.0,82.23,50.85,53.46,50.38,49.23,0.15,0.31,6.31,8.69,4.08,4.0,1.69,2.15,10.33,7.67,9.6,8.6,11.38,12.08,2.85,2.77,2.0,1.31,0.37,0.27,0.4,0.6,0.46,,,,,,,0.39,0.29,0.44,0.51,0.57,0.51,0.55,0.58,0.48,0.53,0.52,Saudi Arabia Liga Profissional,2022,2.0,0.79,4.93,5.29,6.0,4.07,14.36,11.21,79.5,83.86,53.14,47.36,46.21,53.5,0.21,0.0,9.14,6.57,5.21,4.64,2.36,2.07,5.75,6.25,10.67,6.17,13.64,10.86,3.14,3.86,1.79,1.21,0.66,0.21,0.18,0.54,0.51,,,,,,,0.71,0.24,0.18,0.56,0.52,,,0.53,0.52,0.53,0.53
Al Adalh,1.0,1.71,5.43,5.5,4.21,5.29,9.21,13.14,83.07,91.36,48.5,57.43,44.21,55.43,0.07,0.21,6.07,8.64,3.14,4.5,1.43,2.43,6.71,5.71,6.71,9.14,13.36,15.07,3.36,2.07,1.93,1.64,0.34,0.25,0.46,0.56,0.49,,,,,,,0.35,0.27,0.49,0.54,0.54,0.53,0.52,0.52,0.53,0.51,0.55,Saudi Arabia Liga Profissional,2022,2.0,1.15,6.0,3.46,7.69,3.62,15.38,8.62,90.77,77.08,69.62,50.31,57.38,42.31,0.31,0.23,10.92,4.85,4.46,3.77,2.31,0.69,7.0,7.17,11.6,7.2,12.69,11.69,1.69,2.77,1.62,2.38,0.62,0.22,0.22,0.55,0.5,,,,,,,0.49,0.24,0.35,0.55,0.52,,,0.53,0.52,0.53,0.52
Al Batin,1.21,1.86,3.0,6.43,3.5,6.64,8.5,17.5,59.93,72.29,34.86,54.29,36.36,63.36,0.21,0.5,5.5,9.93,3.0,7.57,2.31,1.31,8.43,7.57,7.6,10.8,12.86,14.5,3.79,2.0,2.29,1.71,0.25,0.24,0.56,0.59,0.46,,,,,,,0.31,0.26,0.51,0.56,0.52,,,0.54,0.52,0.52,0.54,Saudi Arabia Liga Profissional,2022,2.15,0.62,6.23,3.15,6.85,4.23,15.46,8.08,94.75,87.92,67.67,51.17,60.46,39.15,0.31,0.0,10.62,4.85,4.85,3.23,2.38,1.69,8.67,6.33,12.0,8.5,15.08,13.0,1.92,3.46,1.92,2.23,0.67,0.21,0.17,0.53,0.53,,,,,,,0.67,0.22,0.22,0.59,0.49,,,0.53,0.52,0.54,0.52
Al Ettifaq,1.14,1.21,4.71,6.29,4.79,6.79,10.64,15.0,81.43,88.64,56.64,61.64,47.29,52.43,0.21,0.07,5.57,7.86,5.07,7.14,1.86,1.71,7.71,6.29,8.0,10.0,10.21,10.64,3.0,2.07,1.14,1.79,0.28,0.26,0.5,0.55,0.5,,,,,,,0.32,0.28,0.51,0.53,0.55,,,0.55,0.51,0.51,0.54,Saudi Arabia Liga Profissional,2022,1.23,0.85,5.77,4.0,6.77,4.54,14.54,8.69,82.0,76.23,55.62,40.92,54.46,45.38,0.31,0.08,9.15,5.69,5.38,3.0,1.92,1.58,7.12,6.75,9.67,6.33,10.31,10.31,1.31,3.15,1.46,1.38,0.5,0.26,0.28,0.55,0.5,,,,,,,0.57,0.28,0.26,0.53,0.56,,,0.53,0.52,0.51,0.54
Al Fateh,1.46,1.46,4.23,4.08,4.92,5.23,11.31,12.0,92.15,78.31,61.62,46.0,52.0,47.77,0.15,0.38,7.46,7.85,3.85,4.15,3.15,1.15,7.71,7.71,9.17,10.5,12.54,13.77,2.46,2.23,1.46,2.31,0.54,0.25,0.27,0.6,0.46,,,,,,,0.52,0.27,0.32,0.49,0.58,,,0.56,0.49,0.54,0.51,Saudi Arabia Liga Profissional,2022,1.4,1.67,4.73,4.8,4.73,4.8,10.93,11.4,82.33,92.47,48.53,57.13,44.07,55.8,0.13,0.4,6.27,6.93,4.67,4.47,1.47,2.33,7.83,6.33,8.86,7.14,12.13,12.6,2.47,2.47,2.07,1.93,0.45,0.26,0.33,0.61,0.44,,,,,,,0.48,0.27,0.36,0.5,0.58,,,0.55,0.51,0.53,0.53
Al Hilal,2.0,0.92,8.08,2.62,6.85,4.54,17.23,8.92,100.38,72.0,79.15,41.23,62.23,37.46,0.46,0.0,12.31,5.69,4.92,3.23,1.62,2.69,6.0,7.45,10.71,8.0,12.23,9.54,2.0,3.77,1.46,2.62,0.69,0.19,0.18,0.58,0.47,,,,,,,0.65,0.2,0.23,0.53,0.55,,,,,0.54,0.51,Saudi Arabia Liga Profissional,2022,0.86,1.5,4.14,7.5,5.0,6.14,9.86,14.93,73.43,97.71,46.07,77.14,35.21,64.71,0.07,0.0,5.5,10.07,4.69,5.23,1.92,2.77,8.0,5.62,8.0,10.0,9.86,11.71,3.86,2.5,1.79,1.79,0.19,0.22,0.64,0.59,0.46,,,,,,,0.22,0.23,0.65,0.51,0.57,,,0.55,0.51,0.54,0.52
Al Ittihad,1.93,0.21,5.36,3.71,5.5,4.07,13.0,7.43,85.29,83.86,60.14,43.14,52.93,46.86,0.5,0.14,9.21,3.64,3.79,3.79,2.21,0.71,6.86,4.43,8.83,6.67,11.93,10.57,1.64,3.07,1.71,2.43,0.72,0.19,0.14,0.52,0.53,,,,,,,0.72,0.19,0.19,0.56,0.52,,,0.56,0.5,0.55,0.5,Saudi Arabia Liga Profissional,2022,0.64,2.0,5.14,5.71,5.71,6.0,10.36,12.36,79.0,74.57,49.5,47.86,48.93,50.79,0.07,0.36,5.93,8.93,4.43,3.43,1.5,2.0,10.2,5.6,8.5,11.83,11.86,10.86,2.71,2.07,1.86,1.86,0.19,0.23,0.63,0.55,0.5,,,,,,,0.25,0.25,0.59,0.54,0.55,,,0.54,0.52,0.54,0.52
Al Khaleej,1.46,1.38,4.38,5.23,5.54,4.31,11.23,9.23,77.83,96.58,46.58,54.75,46.08,53.69,0.23,0.23,6.92,5.31,4.31,3.92,1.67,1.75,6.5,5.67,8.83,7.67,13.77,12.46,2.08,2.38,1.85,1.69,0.37,0.25,0.43,0.56,0.49,,,,,,,0.44,0.28,0.4,0.54,0.54,,,0.54,0.52,0.52,0.53,Saudi Arabia Liga Profissional,2022,1.57,0.71,4.5,4.07,5.57,4.14,11.57,10.07,91.86,78.64,54.36,44.57,53.57,46.21,0.43,0.14,7.86,6.5,3.71,3.57,2.36,1.79,7.5,7.75,9.14,8.71,13.29,13.36,2.36,2.64,1.71,1.57,0.56,0.24,0.24,0.52,0.53,,,,,,,0.59,0.26,0.26,0.58,0.51,0.53,0.52,0.52,0.53,0.51,0.55
Al Nassr,2.29,0.57,5.07,2.43,7.21,3.64,16.36,6.71,86.0,65.43,52.0,27.71,59.43,40.14,0.07,0.14,9.14,4.14,7.21,2.57,2.57,2.79,4.57,9.14,13.0,6.29,12.71,11.64,1.57,3.5,1.5,2.21,0.78,0.16,0.11,0.53,0.53,,,,,,,0.78,0.19,0.13,0.56,0.52,,,0.55,0.51,,,Saudi Arabia Liga Profissional,2022,0.54,1.85,2.92,5.15,3.77,6.85,8.62,14.62,72.92,86.85,35.77,53.46,41.62,58.15,0.15,0.38,6.0,8.08,2.62,6.54,1.69,2.0,8.88,6.12,5.5,11.5,12.46,11.23,3.38,1.92,1.85,2.08,0.2,0.22,0.64,0.55,0.5,,,,,,,0.21,0.23,0.67,0.55,0.53,,,0.56,0.5,0.54,0.51
Al Raed,1.54,1.38,4.0,5.77,4.85,5.38,10.23,11.92,88.31,103.31,54.08,73.31,43.85,55.77,0.23,0.08,6.31,8.15,3.92,3.77,1.08,2.08,8.75,7.75,8.17,9.5,13.0,13.46,2.23,2.38,1.92,1.62,0.38,0.28,0.39,0.58,0.47,,,,,,,0.38,0.29,0.46,0.52,0.57,,,0.52,0.54,0.53,0.53,Saudi Arabia Liga Profissional,2022,1.64,1.14,5.14,4.64,6.36,4.0,13.14,9.14,95.0,82.43,61.07,46.71,57.5,42.21,0.21,0.14,8.0,5.43,5.14,3.71,3.21,1.29,4.89,8.33,9.5,7.33,14.86,10.79,2.21,2.79,2.0,2.21,0.64,0.21,0.19,0.57,0.48,,,,,,,0.62,0.24,0.25,0.51,0.57,,,0.55,0.5,0.52,0.53
