team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Almería,1.53,1.16,4.37,5.84,5.68,5.47,12.11,12.37,91.89,105.58,36.47,49.16,45.68,54.11,0.06,0.11,8.11,9.05,4.0,3.32,2.11,4.05,6.62,8.31,8.79,8.74,12.11,12.47,2.63,2.47,2.47,2.84,0.35,0.28,0.4,0.55,0.49,,,0.51,0.54,,,0.42,0.28,0.36,0.51,0.56,0.51,0.51,0.53,0.5,0.5,0.52,Spain La Liga,2022-2023,2.33,1.06,6.28,3.44,6.89,4.33,16.44,10.72,110.17,75.44,57.83,29.0,56.89,42.83,0.22,0.11,10.5,6.33,5.94,4.39,4.28,2.06,5.86,8.57,12.28,7.28,11.83,10.67,1.89,3.89,1.78,2.61,0.61,0.24,0.19,0.54,0.5,,,,,0.54,0.5,0.65,0.23,0.18,0.52,0.55,,,0.51,0.52,0.52,0.5
Athletic Club,1.16,0.79,8.42,2.63,8.21,4.58,16.37,8.42,119.0,92.16,64.89,34.47,53.21,46.47,0.11,0.05,10.74,5.63,5.63,2.79,2.79,1.68,6.67,8.0,11.21,5.68,13.32,11.37,1.37,3.16,2.11,2.26,0.55,0.26,0.22,0.48,0.55,0.53,0.51,,,,,0.56,0.27,0.23,0.57,0.5,0.5,0.52,0.53,0.5,0.49,0.54,Spain La Liga,2022-2023,1.59,1.41,4.67,5.06,4.72,5.11,12.28,12.61,100.18,108.59,40.59,46.53,49.44,50.33,0.12,0.29,7.44,8.94,4.83,3.67,2.53,2.41,7.85,7.23,8.29,8.76,11.78,14.67,3.0,2.61,2.83,2.0,0.35,0.3,0.37,0.5,0.53,,,0.48,0.56,,,0.35,0.3,0.42,0.55,0.52,0.52,0.51,0.5,0.53,0.51,0.52
Atlético Madrid,2.17,0.83,6.33,3.61,6.39,4.06,15.89,8.89,107.11,102.39,55.28,36.11,53.83,45.83,0.06,0.17,10.83,5.5,5.06,3.39,2.12,1.06,6.85,7.38,11.06,6.11,11.11,11.28,1.28,3.61,1.94,2.11,0.66,0.23,0.14,0.46,0.57,,,,,0.52,0.52,0.7,0.23,0.14,0.59,0.48,0.55,0.48,0.51,0.52,0.53,0.5,Spain La Liga,2022-2023,0.95,1.53,6.05,3.53,7.53,5.16,14.37,12.37,126.32,90.68,57.42,36.68,52.84,46.79,0.11,0.0,8.26,8.47,6.11,3.89,1.89,2.16,5.85,8.54,10.37,8.79,12.74,11.63,2.74,3.37,2.47,2.63,0.3,0.27,0.45,0.51,0.53,,,0.5,0.55,0.55,0.5,0.29,0.28,0.49,0.56,0.51,0.54,0.49,0.5,0.53,0.51,0.51
Celta de Vigo,1.39,1.11,5.11,3.67,5.78,4.28,13.67,8.78,106.83,100.67,51.33,36.28,53.17,46.56,0.06,0.24,6.78,5.39,6.89,3.39,2.28,1.72,5.43,6.64,9.44,6.17,13.39,15.06,1.33,3.61,1.94,2.5,0.47,0.28,0.28,0.5,0.54,,,,,0.55,0.5,0.54,0.28,0.25,0.56,0.51,0.52,0.51,0.51,0.52,0.51,0.52,Spain La Liga,2022-2023,1.78,0.94,4.89,4.58,5.32,4.42,11.68,11.05,110.05,99.05,49.05,41.21,52.16,47.47,0.29,0.12,8.37,6.74,3.32,4.32,1.68,2.05,6.5,8.86,8.37,7.68,13.63,12.42,2.47,2.26,3.26,2.16,0.48,0.29,0.26,0.49,0.54,,,0.52,0.53,,,0.51,0.3,0.26,0.57,0.5,0.53,0.5,0.5,0.53,0.5,0.53
Cádiz,1.0,1.22,4.67,5.06,5.39,5.11,10.89,13.33,94.28,111.28,41.5,51.61,43.72,55.89,0.28,0.17,7.11,8.67,3.78,4.67,1.94,1.33,6.75,8.58,7.61,9.94,12.22,13.33,3.22,1.78,3.0,2.61,0.36,0.32,0.35,0.47,0.57,0.55,0.48,,,,,0.37,0.32,0.37,0.59,0.49,0.52,0.52,0.5,0.53,0.5,0.53,Spain La Liga,2022-2023,1.67,0.61,5.63,3.0,7.0,5.32,15.37,9.84,118.63,82.58,58.37,31.11,60.47,39.26,0.39,0.06,10.53,6.16,4.84,3.68,2.16,2.0,7.2,7.07,11.11,6.89,14.26,15.16,2.16,3.74,2.47,2.74,0.59,0.26,0.18,0.46,0.57,,,0.55,0.5,,,0.56,0.26,0.23,0.59,0.48,0.53,0.5,0.51,0.52,0.5,0.53
Elche,0.95,1.53,6.53,4.74,5.89,4.68,13.26,11.95,98.89,100.58,48.74,42.16,49.32,50.42,0.21,0.37,9.21,8.42,4.05,3.53,2.58,2.58,6.38,8.23,9.58,8.11,14.58,11.79,2.58,3.21,2.21,2.16,0.26,0.27,0.5,0.51,0.53,,,,,0.55,0.5,0.26,0.28,0.53,0.55,0.52,0.52,0.52,0.52,0.51,0.51,0.52,Spain La Liga,2022-2023,2.0,0.67,7.22,4.17,7.39,4.11,17.56,8.22,123.78,77.56,57.67,31.28,58.06,41.72,0.18,0.06,11.56,5.94,6.0,2.28,2.72,1.56,5.86,7.43,12.78,5.5,10.56,11.67,1.56,4.78,1.89,2.78,0.65,0.23,0.14,0.48,0.55,,,0.5,0.55,,,0.66,0.24,0.16,0.58,0.49,0.52,0.5,0.51,0.52,0.5,0.53
Espanyol,1.42,1.84,6.11,3.63,5.68,5.16,13.21,11.74,98.26,93.58,41.47,38.21,44.95,54.74,0.16,0.11,8.89,7.68,4.32,4.05,2.0,2.05,5.5,7.71,8.68,7.95,11.16,13.16,2.21,3.32,2.32,2.68,0.34,0.3,0.39,0.51,0.52,,,0.48,0.56,0.55,0.5,0.34,0.31,0.41,0.55,0.53,0.51,0.52,0.5,0.53,0.51,0.51,Spain La Liga,2022-2023,1.83,1.33,6.56,3.33,7.67,3.83,16.72,9.28,110.5,89.78,59.28,33.94,58.89,40.78,0.24,0.06,10.72,5.78,6.0,3.5,2.69,1.5,5.47,7.67,11.89,6.17,12.89,12.94,1.89,3.5,2.56,2.44,0.5,0.28,0.24,0.49,0.54,,,0.54,0.49,,,0.59,0.28,0.22,0.56,0.51,0.53,0.51,0.51,0.52,0.5,0.52
FC Barcelona,2.0,0.17,7.78,1.89,8.33,3.89,17.44,7.44,133.72,68.28,73.22,23.56,66.06,33.72,0.11,0.0,12.56,5.56,4.89,1.89,2.56,2.83,6.64,9.93,12.83,5.28,10.56,12.5,1.5,3.72,1.39,2.33,0.7,0.2,0.13,0.49,0.55,,,,,,,0.67,0.21,0.16,0.56,0.51,,,0.53,0.5,0.52,0.51,Spain La Liga,2022-2023,0.84,1.74,3.95,4.95,4.16,5.79,10.16,12.47,87.58,119.05,37.84,47.95,36.89,62.95,0.11,0.0,7.16,8.63,3.0,3.84,3.58,2.74,8.25,7.33,7.53,9.37,13.0,11.58,2.0,2.42,2.11,2.58,0.21,0.25,0.58,0.54,0.49,,,,,,,0.23,0.25,0.57,0.51,0.55,0.55,0.48,0.51,0.52,0.51,0.51
Getafe,1.12,1.18,3.67,4.0,5.06,5.83,11.5,13.11,105.67,106.06,36.83,37.28,42.11,57.61,0.29,0.18,7.72,7.06,3.78,6.06,2.28,2.0,6.43,8.79,8.33,9.44,16.28,11.83,3.22,2.5,3.28,2.28,0.37,0.33,0.33,0.44,0.6,,,,,,,0.42,0.33,0.33,0.62,0.45,0.5,0.53,0.5,0.53,0.51,0.52,Spain La Liga,2022-2023,1.32,0.68,5.53,2.58,5.63,3.47,13.11,8.0,125.42,97.89,55.63,31.47,63.53,36.21,0.28,0.17,7.58,5.21,5.53,2.79,2.95,1.89,6.4,8.07,8.47,5.42,11.84,15.16,1.95,3.05,2.26,3.21,0.55,0.29,0.19,0.42,0.62,0.54,0.51,,,,,0.49,0.3,0.25,0.64,0.44,0.51,0.52,0.49,0.55,0.48,0.55
Girona,1.83,1.33,4.33,3.89,6.06,5.22,13.61,11.11,95.0,100.28,43.28,44.94,50.11,49.61,0.11,0.06,9.61,6.67,4.0,4.44,2.28,1.5,7.92,6.83,10.17,8.17,11.89,12.33,2.56,3.17,2.06,2.17,0.42,0.27,0.34,0.53,0.51,,,0.54,0.49,,,0.44,0.27,0.34,0.53,0.54,0.55,0.48,0.51,0.52,0.5,0.53,Spain La Liga,2022-2023,1.53,1.21,5.63,3.42,6.32,5.0,14.79,10.21,103.47,94.42,50.74,36.84,48.32,51.37,0.37,0.26,9.63,6.53,5.16,3.68,1.79,2.26,5.53,9.33,11.26,7.58,14.47,12.58,2.05,3.37,2.47,2.58,0.51,0.27,0.25,0.52,0.52,,,,,0.55,0.5,0.54,0.28,0.25,0.54,0.53,0.52,0.51,0.52,0.51,0.5,0.52
