team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albacete,1.35,1.1,4.45,4.2,5.35,5.0,12.65,9.95,103.4,97.65,45.85,36.65,51.45,48.45,0.05,0.15,8.15,5.7,4.5,4.25,2.1,1.3,6.9,6.6,8.05,6.8,13.65,12.5,1.55,2.7,2.05,3.55,0.46,0.32,0.26,0.48,0.57,0.51,0.54,,,,,0.43,0.32,0.3,0.6,0.48,0.52,0.52,0.5,0.54,0.54,0.5,Spain La Liga 2,2022-2023,1.3,1.2,4.65,4.65,5.35,5.4,12.75,11.8,104.4,93.75,45.9,38.95,50.55,49.3,0.3,0.15,8.45,8.05,4.3,3.75,1.6,1.95,5.0,6.5,7.85,7.8,13.9,13.8,3.0,2.55,2.85,2.55,0.37,0.33,0.34,0.47,0.57,,,,,,,0.35,0.33,0.39,0.61,0.47,0.51,0.53,0.5,0.54,0.48,0.56
Burgos,1.05,0.84,4.58,5.63,5.37,5.89,10.37,12.42,102.95,104.68,38.37,40.74,48.11,51.79,0.16,0.16,6.21,7.05,4.16,5.37,2.26,2.11,6.17,6.08,8.16,7.95,11.89,9.63,2.74,2.21,2.47,2.11,0.4,0.35,0.29,0.43,0.62,,,,,,,0.46,0.34,0.26,0.64,0.43,0.51,0.54,0.56,0.49,,,Spain La Liga 2,2022-2023,0.74,0.47,6.05,2.58,6.21,5.32,14.26,9.47,119.05,91.37,54.53,34.21,57.95,41.89,0.11,0.11,8.26,4.53,6.0,4.95,1.79,1.95,3.67,5.17,9.05,7.05,11.0,11.63,1.74,3.0,2.68,2.16,0.49,0.33,0.21,0.42,0.63,,,,,,,0.5,0.32,0.24,0.66,0.42,0.52,0.52,0.51,0.53,,
Deportivo Alavés,1.36,0.41,5.41,3.05,5.73,5.09,13.05,9.0,95.36,102.45,46.86,31.18,47.32,52.55,0.23,0.09,8.36,4.68,4.68,4.32,2.18,1.77,6.13,7.73,9.14,6.64,14.5,13.5,1.77,2.86,2.45,3.0,0.54,0.31,0.19,0.44,0.6,,,,,,,0.54,0.31,0.21,0.63,0.45,0.52,0.52,0.49,0.55,0.51,0.53,Spain La Liga 2,2022-2023,0.85,0.95,5.0,5.9,5.8,4.35,11.85,10.05,104.3,95.65,37.65,41.35,52.5,47.4,0.05,0.05,6.35,5.85,5.5,4.2,1.9,1.95,5.42,7.25,8.15,6.35,13.05,14.8,1.9,2.5,2.3,2.95,0.36,0.34,0.34,0.45,0.59,0.49,0.56,,,,,0.38,0.34,0.35,0.61,0.46,0.51,0.53,0.5,0.54,,
FC Andorra,1.37,0.68,6.05,3.79,5.42,4.63,13.21,9.53,114.58,72.53,58.16,28.95,66.79,33.05,0.11,0.11,6.95,5.84,6.26,3.68,1.53,2.42,5.33,3.0,8.68,6.68,11.32,12.63,1.79,2.47,1.42,2.84,0.5,0.31,0.22,0.47,0.57,,,,,,,0.55,0.31,0.21,0.6,0.48,0.53,0.51,0.51,0.53,0.53,0.51,Spain La Liga 2,2022-2023,1.05,1.0,3.53,4.37,4.79,4.79,10.74,11.0,86.16,110.84,39.11,44.63,35.32,64.63,0.16,0.16,7.16,5.84,3.58,5.16,3.32,1.79,5.14,5.86,8.0,8.53,14.21,11.79,2.53,2.32,2.42,1.58,0.41,0.33,0.3,0.47,0.57,,,,,,,0.4,0.32,0.33,0.6,0.48,0.52,0.52,0.5,0.54,,
FC Cartagena,1.16,1.11,4.84,3.37,7.42,4.42,14.0,9.95,106.79,92.16,46.53,36.11,55.89,44.11,0.11,0.0,8.74,5.32,5.26,4.63,2.16,1.37,4.43,6.21,9.95,7.21,13.32,13.0,2.26,3.42,2.53,2.47,0.43,0.32,0.29,0.49,0.56,,,,,,,0.49,0.32,0.26,0.59,0.5,0.54,0.51,0.51,0.53,0.49,0.55,Spain La Liga 2,2022-2023,1.26,1.26,5.42,4.63,6.16,4.79,12.74,9.47,106.0,90.32,46.37,33.42,47.37,52.53,0.37,0.16,7.84,5.84,4.89,3.63,1.68,2.74,6.78,8.22,9.63,6.58,13.53,12.32,1.74,2.68,1.79,2.53,0.46,0.31,0.26,0.49,0.55,0.52,0.52,,,,,0.45,0.31,0.29,0.58,0.5,0.53,0.52,0.51,0.54,0.52,0.52
Granada,1.84,0.26,5.16,3.68,5.53,4.47,12.53,7.63,99.63,86.42,40.68,32.58,54.0,45.89,0.32,0.0,8.16,4.32,4.37,3.32,1.74,3.26,5.0,6.5,8.95,5.53,12.53,12.05,1.63,2.89,1.95,2.0,0.55,0.29,0.19,0.47,0.57,,,,,,,0.58,0.29,0.19,0.6,0.48,0.52,0.52,0.5,0.54,0.52,0.52,Spain La Liga 2,2022-2023,1.16,0.79,5.58,2.95,5.05,4.74,10.84,9.84,88.42,113.32,36.95,40.84,46.68,53.16,0.21,0.05,7.26,5.47,3.58,4.37,3.0,1.63,5.58,6.0,7.74,6.58,11.84,12.26,1.47,2.16,2.26,1.95,0.35,0.33,0.36,0.49,0.55,0.52,0.53,,,,,0.36,0.32,0.38,0.58,0.5,0.53,0.51,0.51,0.53,0.5,0.55
Huesca,1.1,0.65,4.3,5.2,5.45,5.6,10.4,11.4,89.6,104.3,39.05,43.8,41.9,57.95,0.05,0.25,7.4,6.35,3.0,5.05,2.1,2.2,7.77,7.23,7.25,7.75,11.15,11.55,2.05,1.85,2.2,2.35,0.35,0.34,0.34,0.46,0.58,0.49,0.56,,,,,0.36,0.34,0.36,0.61,0.47,0.51,0.53,0.5,0.55,0.49,0.55,Spain La Liga 2,2022-2023,0.94,0.61,6.22,3.0,6.39,3.67,14.0,8.06,107.17,92.89,47.56,35.56,59.67,40.22,0.22,0.06,7.94,4.94,6.06,3.11,2.0,1.89,3.75,7.12,10.11,5.28,10.5,12.06,1.39,2.94,1.89,2.72,0.48,0.32,0.24,0.46,0.59,,,,,,,0.49,0.32,0.26,0.62,0.46,0.52,0.52,0.49,0.56,0.51,0.53
Las Palmas,1.15,0.55,6.25,2.65,6.7,2.6,15.65,6.45,138.7,81.8,56.6,25.75,66.7,33.25,0.25,0.1,8.25,4.05,7.4,2.4,2.0,2.8,4.09,7.73,10.95,4.65,10.7,13.05,1.8,3.45,2.1,2.95,0.59,0.28,0.17,0.45,0.59,,,,,,,0.57,0.28,0.2,0.62,0.45,0.54,0.51,0.52,0.53,0.52,0.52,Spain La Liga 2,2022-2023,0.89,1.28,3.22,5.44,5.28,5.33,10.11,13.0,84.72,123.89,35.44,55.78,32.61,67.17,0.11,0.06,6.83,6.11,3.28,6.89,3.28,2.39,7.45,5.55,7.33,8.67,16.39,10.28,2.61,2.06,2.61,2.89,0.36,0.34,0.34,0.49,0.56,0.51,0.54,,,,,0.4,0.33,0.33,0.58,0.5,0.53,0.51,0.5,0.54,0.51,0.53
Leganés,1.0,0.84,4.21,4.32,4.79,4.68,11.21,9.74,98.95,92.26,41.89,39.53,50.63,49.21,0.21,0.05,7.68,5.26,3.53,4.47,2.05,2.0,4.33,5.67,7.74,6.32,12.58,13.84,1.84,2.74,2.58,2.63,0.43,0.34,0.26,0.43,0.61,0.52,0.52,,,,,0.45,0.34,0.26,0.64,0.44,0.5,0.55,0.5,0.54,,,Spain La Liga 2,2022-2023,1.16,0.68,4.68,3.95,4.84,4.53,11.63,9.74,102.11,93.89,40.32,32.63,50.84,49.0,0.21,0.0,7.53,5.58,4.11,4.16,2.06,2.06,4.89,5.67,7.42,6.53,13.47,10.89,2.26,2.58,2.68,2.58,0.43,0.34,0.27,0.44,0.6,0.48,0.55,,,,,0.47,0.33,0.25,0.63,0.44,0.49,0.55,0.5,0.54,0.5,0.54
Levante,1.35,0.6,5.85,3.6,6.6,4.9,14.2,10.25,108.35,90.1,47.65,34.6,55.2,44.55,0.2,0.05,8.7,5.25,5.5,5.0,2.1,1.9,6.44,7.89,9.95,6.6,14.8,12.75,2.05,3.15,2.35,2.85,0.58,0.27,0.18,0.48,0.57,0.53,0.52,,,,,0.57,0.27,0.2,0.59,0.48,0.53,0.51,0.51,0.53,0.51,0.53,Spain La Liga 2,2022-2023,0.91,1.0,4.0,4.59,5.23,6.09,11.59,11.5,89.64,91.41,37.68,34.18,48.68,51.23,0.14,0.27,6.27,6.27,5.32,5.23,2.24,1.67,7.08,5.15,7.45,8.36,13.14,13.27,1.77,2.55,2.55,3.05,0.32,0.32,0.39,0.49,0.56,,,,,,,0.36,0.32,0.37,0.58,0.5,0.53,0.51,0.5,0.54,0.54,0.5
