name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Union Saint-Gilloise vs Anderlecht,2023-07-28 18:45:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Union Saint-Gilloise,Anderlecht,2,0,15,1,3.0,3.0,7.0,3.0,12.0,8.0,81.0,82.0,30.0,55.0,46.0,54.0,1.0,0.0,11.0,6.0,1.0,2.0,0.0,2.0,1.0,0.0,,,24.0,18.0,2.0,1.0,5.0,3.0,2.04,3.59,3.78,2.15,1.72,,,,,,,1.95,3.4,3.5,2.05,1.7,,,,,1.88,1.98,2023-2024
AS Eupen vs Westerlo,2023-07-29 14:00:00,Game ended in draw.,Belgium Liga Pro,KAS Eupen,Westerlo,2,2,10,4,1.0,4.0,6.0,13.0,13.0,22.0,91.0,136.0,44.0,70.0,39.0,61.0,0.0,1.0,7.0,15.0,6.0,7.0,4.0,3.0,,,,,14.0,7.0,3.0,3.0,1.0,1.0,3.21,3.76,2.19,2.35,1.62,,,,,,,3.1,3.4,2.15,2.25,1.57,,,,,1.83,2.03,2023-2024
Sporting Charleroi vs OH Leuven,2023-07-29 16:15:00,Game ended in draw.,Belgium Liga Pro,Sporting Charleroi,OH Leuven,1,1,6,8,2.0,6.0,1.0,10.0,4.0,19.0,71.0,174.0,27.0,96.0,36.0,64.0,0.0,1.0,3.0,9.0,1.0,10.0,0.0,4.0,1.0,0.0,,,7.0,12.0,4.0,1.0,3.0,1.0,2.17,3.78,3.24,2.53,1.54,,,,,,,2.1,3.5,3.1,2.38,1.53,,,,,,,2023-2024
RWDM vs Genk,2023-07-29 18:45:00,Genk won after full-time.,Belgium Liga Pro,RWDM Brussels,Genk,0,4,12,10,2.0,6.0,6.0,12.0,10.0,29.0,58.0,139.0,23.0,102.0,37.0,63.0,0.0,1.0,9.0,18.0,1.0,11.0,2.0,1.0,14.0,6.0,,,11.0,11.0,6.0,4.0,1.0,0.0,3.34,3.96,2.07,2.57,1.53,,,,,,,3.1,3.8,2.0,2.38,1.53,,,,,,,2023-2024
Antwerp vs Cercle Brugge,2023-07-30 11:30:00,Antwerp won after full-time.,Belgium Liga Pro,Antwerp,Cercle Brugge,1,0,9,7,7.0,7.0,6.0,5.0,15.0,8.0,80.0,152.0,68.0,54.0,50.0,50.0,0.0,0.0,11.0,6.0,4.0,2.0,1.0,1.0,1.0,0.0,,,15.0,13.0,1.0,4.0,0.0,2.0,1.83,3.8,4.45,2.2,1.7,,,,,,,1.8,3.5,4.0,2.05,1.7,,,,,1.83,2.03,2023-2024
Gent vs Kortrijk,2023-07-30 14:00:00,Gent won after full-time.,Belgium Liga Pro,Gent,KV Kortrijk,3,2,8,12,7.0,5.0,9.0,3.0,17.0,10.0,163.0,87.0,76.0,41.0,65.0,35.0,0.0,0.0,16.0,7.0,1.0,3.0,3.0,2.0,1.0,0.0,,,5.0,9.0,1.0,2.0,1.0,4.0,1.3,5.85,9.38,1.98,1.84,,,,,,,1.25,5.75,9.5,1.95,1.8,,,,,,,2023-2024
Club Brugge vs Mechelen,2023-07-30 16:30:00,Game ended in draw.,Belgium Liga Pro,Club Brugge,Mechelen,1,1,9,13,4.0,3.0,10.0,4.0,21.0,9.0,133.0,71.0,67.0,44.0,56.0,44.0,1.0,0.0,14.0,3.0,7.0,6.0,1.0,3.0,,,,,9.0,9.0,1.0,4.0,1.0,2.0,1.5,4.99,5.88,2.38,1.61,,,,,,,1.44,5.0,5.5,2.2,1.62,,,,,,,2023-2024
Sint-Truiden vs Standard Liège,2023-07-30 17:15:00,Sint-Truiden won after full-time.,Belgium Liga Pro,Sint-Truiden,Standard Liège,1,0,10,11,3.0,2.0,4.0,1.0,11.0,7.0,105.0,119.0,45.0,34.0,54.0,46.0,0.0,0.0,6.0,3.0,5.0,4.0,3.0,2.0,1.0,0.0,,,13.0,11.0,3.0,1.0,1.0,1.0,2.78,3.28,2.71,2.0,1.83,,,,,,,2.75,3.2,2.7,1.95,1.8,,,1.88,1.98,2.05,1.8,2023-2024
Standard Liège vs Union Saint-Gilloise,2023-08-04 18:45:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Standard Liège,Union Saint-Gilloise,0,1,14,2,2.0,13.0,3.0,7.0,8.0,24.0,82.0,158.0,30.0,93.0,35.0,65.0,0.0,0.0,5.0,19.0,3.0,5.0,2.0,1.0,,,,,9.0,13.0,7.0,3.0,3.0,1.0,3.96,3.58,1.99,2.26,1.67,,,,,,,3.75,3.5,1.95,2.05,1.7,,,,,1.85,2.0,2023-2024
Genk vs AS Eupen,2023-08-05 14:00:00,AS Eupen won after full-time.,Belgium Liga Pro,Genk,KAS Eupen,0,1,2,7,7.0,2.0,13.0,3.0,28.0,5.0,166.0,58.0,120.0,13.0,75.0,25.0,0.0,0.0,20.0,2.0,8.0,3.0,3.0,4.0,,,,,11.0,12.0,5.0,3.0,1.0,2.0,1.33,5.94,8.55,2.22,1.68,,,,,,,1.33,5.25,9.0,2.1,1.67,,,,,,,2023-2024
