name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Hamburger SV vs Schalke 04,2023-07-28 18:30:00,Hamburger SV won after full-time.,Germany Bundesliga 2,Hamburger SV,Schalke 04,5,3,4,15,9.0,3.0,9.0,5.0,32.0,13.0,83.0,75.0,54.0,30.0,57.0,43.0,1.0,0.0,23.0,12.0,9.0,1.0,5.0,4.0,,,19.0,7.0,12.0,11.0,3.0,9.0,3.0,2.0,2.45,3.78,2.82,2.87,1.45,,,,,,,2.38,3.8,2.63,2.75,1.4,,,,,,,2023-2024
Kaiserslautern vs St. Pauli,2023-07-29 11:00:00,St. Pauli won after full-time.,Germany Bundesliga 2,Kaiserslautern,St. Pauli,1,2,6,2,3.0,5.0,4.0,7.0,10.0,18.0,90.0,106.0,41.0,54.0,51.0,49.0,0.0,1.0,8.0,10.0,2.0,8.0,0.0,2.0,,,5.0,9.0,11.0,7.0,3.0,2.0,2.0,1.0,3.27,3.12,2.5,1.83,2.03,,,,,,,3.1,3.1,2.45,1.8,1.91,1.8,2.05,2.1,1.78,2.03,1.83,2023-2024
Hannover 96 vs Elversberg,2023-07-29 11:00:00,Game ended in draw.,Germany Bundesliga 2,Hannover 96,Elversberg,2,2,7,16,3.0,6.0,6.0,7.0,11.0,23.0,118.0,92.0,46.0,50.0,51.0,49.0,1.0,0.0,7.0,15.0,4.0,8.0,3.0,2.0,,,9.0,16.0,9.0,13.0,7.0,2.0,3.0,4.0,1.96,4.09,3.65,2.55,1.55,,,,,,,1.95,3.75,3.6,2.5,1.5,,,,,,,2023-2024
Osnabrück vs Karlsruher SC,2023-07-29 11:00:00,Karlsruher SC won after full-time.,Germany Bundesliga 2,Osnabrück,Karlsruher SC,2,3,9,10,4.0,9.0,6.0,4.0,19.0,15.0,95.0,91.0,41.0,60.0,42.0,58.0,0.0,0.0,10.0,12.0,9.0,3.0,3.0,1.0,,,13.0,12.0,13.0,9.0,4.0,6.0,2.0,2.0,3.19,3.84,2.2,2.61,1.53,,,,,,,3.1,3.8,2.15,2.5,1.5,,,,,,,2023-2024
Wehen Wiesbaden vs Magdeburg,2023-07-29 11:00:00,Game ended in draw.,Germany Bundesliga 2,Wehen Wiesbaden,Magdeburg,1,1,13,14,3.0,2.0,6.0,5.0,10.0,9.0,76.0,151.0,23.0,76.0,30.0,70.0,0.0,0.0,7.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,7.0,8.0,13.0,18.0,1.0,0.0,1.0,3.0,3.09,3.75,2.28,2.55,1.55,,,,,,,3.0,3.6,2.2,2.38,1.53,,,,,,,2023-2024
Fortuna Düsseldorf vs Hertha BSC,2023-07-29 18:30:00,Fortuna Düsseldorf won after full-time.,Germany Bundesliga 2,Fortuna Düsseldorf,Hertha BSC,1,0,17,10,7.0,8.0,6.0,5.0,9.0,11.0,101.0,98.0,36.0,50.0,53.0,47.0,0.0,0.0,5.0,8.0,4.0,3.0,1.0,3.0,,,8.0,5.0,12.0,12.0,2.0,1.0,3.0,2.0,2.14,3.73,3.4,2.46,1.58,,,,,,,2.15,3.6,3.1,2.2,1.62,,,,,,,2023-2024
SpVgg Greuther Fürth vs Paderborn,2023-07-30 11:30:00,SpVgg Greuther Fürth won after full-time.,Germany Bundesliga 2,SpVgg Greuther Fürth,Paderborn,5,0,13,14,6.0,2.0,5.0,4.0,23.0,6.0,130.0,54.0,63.0,19.0,59.0,41.0,0.0,0.0,18.0,2.0,5.0,4.0,5.0,3.0,1.0,0.0,16.0,4.0,8.0,4.0,0.0,6.0,1.0,1.0,2.57,3.7,2.71,2.55,1.55,,,,,,,2.55,3.6,2.63,2.38,1.53,,,,,,,2023-2024
Hansa Rostock vs Nürnberg,2023-07-30 11:30:00,Hansa Rostock won after full-time.,Germany Bundesliga 2,Hansa Rostock,Nürnberg,2,0,11,10,6.0,6.0,8.0,6.0,16.0,15.0,76.0,137.0,33.0,36.0,39.0,61.0,0.0,0.0,8.0,9.0,8.0,6.0,2.0,4.0,0.0,1.0,13.0,12.0,18.0,16.0,6.0,3.0,3.0,4.0,2.35,3.25,3.39,1.88,1.97,,,,,,,2.45,3.2,3.0,1.8,1.91,1.8,2.05,2.0,1.85,2.0,1.85,2023-2024
Eintracht Braunschweig vs Holstein Kiel,2023-07-30 11:30:00,Holstein Kiel won after full-time.,Germany Bundesliga 2,Eintracht Braunschweig,Holstein Kiel,0,1,12,9,5.0,10.0,6.0,6.0,7.0,15.0,84.0,129.0,25.0,63.0,35.0,65.0,0.0,0.0,4.0,11.0,3.0,4.0,1.0,3.0,0.0,1.0,7.0,10.0,11.0,13.0,3.0,1.0,2.0,1.0,2.34,3.72,3.01,2.53,1.55,,,,,,,2.3,3.8,2.75,2.38,1.53,,,,,,,2023-2024
Hertha BSC vs Wehen Wiesbaden,2023-08-04 16:30:00,Wehen Wiesbaden won after full-time.,Germany Bundesliga 2,Hertha BSC,Wehen Wiesbaden,0,1,14,11,6.0,4.0,8.0,4.0,19.0,12.0,127.0,81.0,70.0,37.0,56.0,44.0,0.0,0.0,10.0,4.0,9.0,8.0,4.0,4.0,0.0,1.0,12.0,10.0,9.0,9.0,5.0,6.0,2.0,3.0,1.66,4.19,5.26,2.25,1.68,,,,,,,1.65,4.33,4.75,2.1,1.67,,,,,,,2023-2024
Paderborn vs Osnabrück,2023-08-04 16:30:00,Game ended in draw.,Germany Bundesliga 2,Paderborn,Osnabrück,1,1,18,12,7.0,7.0,10.0,6.0,17.0,15.0,112.0,73.0,46.0,39.0,73.0,27.0,0.0,0.0,9.0,8.0,8.0,7.0,0.0,1.0,1.0,0.0,12.0,9.0,11.0,11.0,4.0,4.0,1.0,0.0,1.72,4.21,4.73,2.78,1.47,,,,,,,1.7,4.2,4.33,2.5,1.5,,,,,,,2023-2024
St. Pauli vs Fortuna Düsseldorf,2023-08-05 11:00:00,Game ended in draw.,Germany Bundesliga 2,St. Pauli,Fortuna Düsseldorf,0,0,6,7,4.0,8.0,5.0,8.0,13.0,13.0,100.0,82.0,36.0,29.0,54.0,46.0,0.0,0.0,8.0,6.0,5.0,7.0,1.0,2.0,,,11.0,8.0,11.0,8.0,3.0,5.0,2.0,1.0,1.98,3.72,3.91,2.17,1.74,,,,,,,1.91,3.6,3.8,2.0,1.73,,,,,1.83,2.03,2023-2024
Holstein Kiel vs SpVgg Greuther Fürth,2023-08-05 11:00:00,Holstein Kiel won after full-time.,Germany Bundesliga 2,Holstein Kiel,SpVgg Greuther Fürth,2,1,8,2,8.0,5.0,5.0,7.0,12.0,17.0,66.0,110.0,40.0,57.0,48.0,52.0,1.0,0.0,6.0,8.0,6.0,9.0,3.0,2.0,0.0,1.0,8.0,6.0,14.0,14.0,1.0,3.0,2.0,2.0,2.74,3.88,2.47,2.8,1.47,,,,,,,2.63,3.8,2.38,2.5,1.5,,,,,,,2023-2024
Elversberg vs Hansa Rostock,2023-08-05 11:00:00,Hansa Rostock won after full-time.,Germany Bundesliga 2,Elversberg,Hansa Rostock,1,2,9,4,7.0,2.0,7.0,6.0,13.0,18.0,96.0,91.0,37.0,48.0,57.0,43.0,1.0,0.0,8.0,9.0,5.0,9.0,4.0,1.0,2.0,0.0,9.0,8.0,13.0,14.0,3.0,2.0,3.0,4.0,2.08,3.69,3.62,2.29,1.66,,,,,,,2.05,3.6,3.4,2.1,1.67,,,,,,,2023-2024
Schalke 04 vs Kaiserslautern,2023-08-05 18:30:00,Schalke 04 won after full-time.,Germany Bundesliga 2,Schalke 04,Kaiserslautern,3,0,16,14,8.0,7.0,7.0,5.0,17.0,10.0,99.0,71.0,45.0,33.0,71.0,29.0,0.0,0.0,10.0,6.0,7.0,4.0,0.0,1.0,,,15.0,9.0,14.0,11.0,4.0,5.0,1.0,2.0,1.94,3.63,4.18,2.18,1.72,,,,,,,1.8,3.8,4.0,2.1,1.67,,,,,,,2023-2024
Karlsruher SC vs Hamburger SV,2023-08-06 11:30:00,Game ended in draw.,Germany Bundesliga 2,Karlsruher SC,Hamburger SV,2,2,9,7,7.0,3.0,6.0,3.0,18.0,13.0,114.0,70.0,83.0,39.0,54.0,46.0,0.0,0.0,10.0,8.0,8.0,5.0,3.0,1.0,,,9.0,8.0,9.0,15.0,4.0,2.0,3.0,2.0,2.48,4.13,2.61,3.39,1.35,,,,,,,2.38,4.0,2.6,3.25,1.33,,,,,,,2023-2024
