name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Ulsan vs Jeonbuk Motors,2023-02-25 05:00:00,Ulsan won after full-time.,K League 1,Ulsan HD,Jeonbuk Motors,2,1,,,4.0,3.0,3.0,5.0,12.0,16.0,52.0,86.0,34.0,60.0,46.0,54.0,0.0,0.0,8.0,11.0,4.0,5.0,3.0,1.0,,,4.0,5.0,10.0,10.0,4.0,2.0,1.0,2.0,2.46,3.27,3.18,2.01,1.85,,,,,,,,3.1,,1.83,1.83,,,1.9,1.95,,,2023
Seoul vs Incheon United,2023-02-25 07:30:00,Seoul won after full-time.,K League 1,Seoul,Incheon United,2,1,9,5,5.0,9.0,3.0,6.0,13.0,20.0,91.0,117.0,60.0,80.0,42.0,58.0,0.0,0.0,7.0,16.0,6.0,4.0,0.0,1.0,,,10.0,10.0,16.0,11.0,4.0,5.0,3.0,2.0,2.39,3.14,3.43,1.85,2.0,,,,,,,,3.1,,1.73,2.0,1.8,2.05,2.03,1.83,,,2023
Suwon Bluewings vs Gwangju,2023-02-25 07:30:00,Gwangju won after full-time.,K League 1,Suwon Bluewings,Gwangju,0,1,2,4,3.0,1.0,2.0,6.0,10.0,12.0,113.0,123.0,60.0,55.0,48.0,52.0,0.0,0.0,7.0,7.0,3.0,5.0,2.0,0.0,,,7.0,9.0,13.0,10.0,2.0,4.0,2.0,1.0,2.43,3.31,3.28,1.83,2.03,,,,,,,,3.1,,1.73,2.0,1.78,2.1,2.1,1.78,,,2023
Jeju United vs Suwon,2023-02-26 05:00:00,Game ended in draw.,K League 1,Jeju United,Suwon,0,0,8,9,8.0,1.0,3.0,5.0,14.0,9.0,121.0,91.0,99.0,40.0,66.0,34.0,1.0,0.0,12.0,6.0,2.0,3.0,2.0,1.0,,,10.0,7.0,16.0,8.0,2.0,6.0,3.0,3.0,1.79,3.83,4.78,1.98,1.88,,,,,,,,3.5,,1.83,1.83,,,1.83,2.03,2.03,1.83,2023
Pohang Steelers vs Daegu,2023-02-26 05:30:00,Pohang Steelers won after full-time.,K League 1,Pohang Steelers,Daegu,3,2,7,11,2.0,3.0,4.0,2.0,16.0,10.0,180.0,80.0,81.0,35.0,71.0,29.0,0.0,1.0,10.0,7.0,6.0,3.0,1.0,1.0,,,10.0,4.0,5.0,17.0,2.0,3.0,1.0,3.0,2.23,3.43,3.41,2.02,1.83,,,,,,,,3.2,,2.0,1.73,,,,,2.03,1.83,2023
Daejeon Citizen vs Gangwon,2023-02-26 07:30:00,Daejeon Citizen won after full-time.,K League 1,Daejeon Citizen,Gangwon,2,0,8,7,0.0,7.0,4.0,5.0,9.0,10.0,121.0,138.0,67.0,84.0,45.0,55.0,0.0,0.0,5.0,8.0,4.0,2.0,3.0,1.0,,,8.0,5.0,13.0,7.0,1.0,2.0,5.0,1.0,2.48,3.23,3.19,1.93,1.93,,,,,,,,3.2,,1.83,1.83,,,1.95,1.9,,,2023
Jeonbuk Motors vs Pohang Steelers,2023-04-01 05:00:00,Pohang Steelers won after full-time.,K League 1,Jeonbuk Motors,Pohang Steelers,1,2,,,1.0,4.0,5.0,3.0,9.0,9.0,99.0,139.0,53.0,71.0,42.0,58.0,0.0,0.0,4.0,6.0,5.0,3.0,2.0,2.0,5.0,14.0,7.0,6.0,15.0,9.0,1.0,1.0,2.0,2.0,2.14,3.43,3.63,2.05,1.82,,,1.83,2.06,,,2.3,3.1,3.0,1.91,1.8,,,1.83,2.03,1.98,1.88,2023
Incheon United vs Daegu,2023-04-01 07:30:00,Game ended in draw.,K League 1,Incheon United,Daegu,0,0,9,6,7.0,6.0,5.0,2.0,7.0,5.0,149.0,78.0,73.0,59.0,65.0,35.0,0.0,0.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,11.0,6.0,3.0,6.0,14.0,2.0,1.0,2.0,1.0,2.37,3.31,3.2,2.04,1.83,,,1.85,2.03,,,2.2,3.2,3.1,1.91,1.8,,,1.88,1.98,2.03,1.83,2023
Gwangju vs Suwon,2023-04-01 07:30:00,Gwangju won after full-time.,K League 1,Gwangju,Suwon,2,0,5,8,8.0,6.0,8.0,6.0,18.0,13.0,95.0,78.0,76.0,56.0,57.0,43.0,1.0,0.0,11.0,7.0,7.0,6.0,3.0,0.0,7.0,12.0,15.0,6.0,8.0,8.0,2.0,6.0,1.0,3.0,2.28,3.37,3.35,1.87,1.99,,,,,2.04,1.85,1.73,3.4,4.5,1.8,1.91,,,1.93,1.93,,,2023
Daejeon Citizen vs Seoul,2023-04-01 10:00:00,Daejeon Citizen won after full-time.,K League 1,Daejeon Citizen,Seoul,3,2,4,3,11.0,4.0,8.0,4.0,15.0,13.0,112.0,105.0,92.0,67.0,50.0,50.0,0.0,0.0,10.0,6.0,5.0,7.0,1.0,1.0,6.0,10.0,7.0,6.0,6.0,9.0,1.0,0.0,1.0,0.0,2.99,3.37,2.49,1.99,1.86,,,,,2.05,1.83,2.75,3.2,2.45,1.83,1.83,,,1.88,1.98,2.05,1.8,2023
