name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Sporting Braga vs Famalicão,2023-08-11 19:15:00,Famalicão won after full-time.,Liga Portugal,Sporting Braga,Famalicão,1,2,15,8,3.0,4.0,3.0,7.0,12.0,13.0,146.0,92.0,44.0,45.0,60.0,40.0,,,10.0,9.0,2.0,4.0,1.0,3.0,9.0,6.0,5.0,10.0,17.0,12.0,2.0,2.0,4.0,4.0,1.53,4.53,6.4,2.05,1.81,,,,,,,1.5,4.5,6.0,1.95,1.8,,,,,,,2023-2024
Gil Vicente vs Portimonense,2023-08-12 14:30:00,Gil Vicente won after full-time.,Liga Portugal,Gil Vicente,Portimonense SAD,5,0,2,10,1.0,1.0,3.0,3.0,9.0,9.0,101.0,89.0,41.0,32.0,57.0,43.0,1.0,0.0,4.0,3.0,5.0,6.0,,,4.0,8.0,8.0,6.0,10.0,13.0,3.0,0.0,,,1.87,3.65,4.52,2.05,1.81,,,,,,,1.8,3.5,4.2,1.95,1.8,,,1.8,2.05,1.9,1.95,2023-2024
Farense vs Casa Pia,2023-08-12 17:00:00,Casa Pia won after full-time.,Liga Portugal,Farense,Casa Pia,0,3,15,11,5.0,6.0,4.0,4.0,12.0,15.0,91.0,96.0,51.0,46.0,55.0,45.0,0.0,1.0,3.0,8.0,9.0,7.0,3.0,1.0,11.0,11.0,7.0,11.0,13.0,13.0,4.0,4.0,2.0,4.0,2.53,3.09,3.24,1.78,2.09,,,,,,,2.3,3.1,3.0,1.8,1.95,1.8,2.05,2.1,1.78,,,2023-2024
Sporting CP vs Vizela,2023-08-12 19:30:00,Sporting CP won after full-time.,Liga Portugal,Sporting CP,Vizela,3,2,12,16,8.0,3.0,10.0,3.0,24.0,10.0,132.0,79.0,85.0,40.0,61.0,39.0,0.0,0.0,19.0,3.0,5.0,7.0,0.0,2.0,7.0,12.0,12.0,7.0,14.0,8.0,2.0,4.0,3.0,0.0,1.21,7.27,14.04,1.61,2.36,,,,,,,1.18,5.75,15.0,1.62,2.2,,,,,,,2023-2024
Rio Ave vs Chaves,2023-08-13 14:30:00,Rio Ave won after full-time.,Liga Portugal,Rio Ave,Chaves,2,0,10,6,14.0,3.0,11.0,4.0,24.0,6.0,126.0,46.0,100.0,28.0,75.0,25.0,1.0,0.0,15.0,3.0,9.0,3.0,2.0,4.0,8.0,15.0,20.0,4.0,11.0,17.0,1.0,8.0,3.0,3.0,1.94,3.5,4.39,1.9,1.95,,,,,,,1.85,3.3,4.0,1.8,1.95,,,1.88,1.98,,,2023-2024
Estrela Amadora vs Vitória SC,2023-08-13 17:00:00,Vitória SC won after full-time.,Liga Portugal,Estrela Amadora,Vitória SC,0,1,11,14,3.0,10.0,3.0,3.0,5.0,11.0,123.0,100.0,41.0,49.0,51.0,49.0,0.0,0.0,3.0,8.0,2.0,3.0,4.0,2.0,4.0,7.0,4.0,7.0,12.0,17.0,3.0,1.0,3.0,3.0,2.58,3.24,3.02,1.94,1.91,,,,,,,2.4,3.25,2.75,1.8,1.95,,,1.95,1.9,,,2023-2024
Arouca vs Estoril,2023-08-13 19:30:00,Arouca won after full-time.,Liga Portugal,Arouca,Estoril,4,3,12,7,2.0,6.0,5.0,2.0,10.0,11.0,67.0,121.0,19.0,56.0,38.0,62.0,0.0,0.0,4.0,5.0,6.0,6.0,2.0,4.0,9.0,6.0,8.0,9.0,11.0,12.0,4.0,1.0,4.0,2.0,2.04,3.33,4.19,1.85,2.01,,,,,,,2.0,3.25,3.6,1.75,2.0,1.8,2.05,1.98,1.88,,,2023-2024
Moreirense vs Porto,2023-08-14 17:45:00,Porto won after full-time.,Liga Portugal,Moreirense,Porto,1,2,8,10,5.0,10.0,5.0,4.0,9.0,16.0,81.0,114.0,41.0,47.0,38.0,62.0,,,5.0,8.0,4.0,8.0,2.0,1.0,8.0,6.0,6.0,8.0,22.0,15.0,5.0,0.0,4.0,7.0,8.24,5.25,1.39,1.96,1.89,,,,,,,7.5,5.0,1.36,1.95,1.8,,,,,,,2023-2024
Boavista vs Benfica,2023-08-14 19:45:00,Boavista won after full-time.,Liga Portugal,Boavista,Benfica,3,2,11,9,3.0,3.0,2.0,5.0,11.0,15.0,83.0,139.0,42.0,69.0,48.0,52.0,1.0,0.0,9.0,11.0,2.0,4.0,2.0,3.0,5.0,6.0,5.0,6.0,18.0,14.0,3.0,1.0,6.0,3.0,10.53,5.58,1.32,1.86,1.99,,,,,,,9.0,4.75,1.33,1.8,1.95,,,,,,,2023-2024
Casa Pia vs Sporting CP,2023-08-18 19:15:00,Sporting CP won after full-time.,Liga Portugal,Casa Pia,Sporting CP,1,2,2,6,4.0,5.0,4.0,9.0,12.0,17.0,82.0,106.0,42.0,41.0,44.0,56.0,0.0,0.0,6.0,11.0,6.0,6.0,1.0,0.0,14.0,8.0,7.0,15.0,14.0,11.0,3.0,2.0,4.0,1.0,9.27,5.07,1.38,1.86,1.99,,,,,,,9.5,4.75,1.36,1.75,2.0,,,,,,,2023-2024
Vitória SC vs Gil Vicente,2023-08-19 14:30:00,Vitória SC won after full-time.,Liga Portugal,Vitória SC,Gil Vicente,2,1,9,2,6.0,4.0,9.0,2.0,15.0,10.0,130.0,85.0,43.0,37.0,47.0,53.0,,,5.0,7.0,10.0,3.0,7.0,1.0,5.0,13.0,4.0,1.0,14.0,14.0,4.0,2.0,3.0,3.0,2.13,3.4,3.78,2.02,1.84,,,,,,,2.1,3.4,3.4,1.95,1.8,,,1.8,2.05,,,2023-2024
Chaves vs Sporting Braga,2023-08-19 17:00:00,Sporting Braga won after full-time.,Liga Portugal,Chaves,Sporting Braga,2,4,16,14,5.0,6.0,10.0,4.0,16.0,16.0,69.0,117.0,43.0,52.0,44.0,56.0,0.0,0.0,12.0,11.0,4.0,5.0,2.0,0.0,9.0,14.0,14.0,9.0,11.0,10.0,3.0,3.0,2.0,2.0,6.05,4.64,1.54,2.03,1.83,,,,,,,5.75,4.33,1.5,1.95,1.8,,,,,,,2023-2024
Portimonense vs Boavista,2023-08-19 19:30:00,Boavista won after full-time.,Liga Portugal,Portimonense SAD,Boavista,1,4,18,8,11.0,2.0,4.0,2.0,11.0,10.0,108.0,84.0,47.0,33.0,55.0,45.0,0.0,0.0,7.0,8.0,4.0,2.0,3.0,2.0,5.0,6.0,9.0,8.0,18.0,14.0,3.0,4.0,3.0,2.0,3.39,3.24,2.36,1.96,1.89,,,,,,,3.0,3.3,2.3,1.8,1.95,,,1.93,1.93,,,2023-2024
Benfica vs Estrela Amadora,2023-08-19 19:30:00,Benfica won after full-time.,Liga Portugal,Benfica,Estrela Amadora,2,0,13,15,9.0,4.0,11.0,4.0,30.0,8.0,164.0,66.0,98.0,26.0,68.0,32.0,0.0,1.0,18.0,4.0,12.0,4.0,2.0,0.0,1.0,11.0,19.0,4.0,8.0,14.0,2.0,7.0,3.0,3.0,1.15,8.86,19.04,1.79,2.07,,,,,,,1.14,7.5,17.0,1.75,2.0,,,,,,,2023-2024
Estoril vs Rio Ave,2023-08-20 14:30:00,Estoril won after full-time.,Liga Portugal,Estoril,Rio Ave,2,0,12,6,4.0,3.0,3.0,7.0,7.0,10.0,83.0,119.0,35.0,41.0,39.0,61.0,0.0,0.0,6.0,8.0,1.0,2.0,1.0,2.0,11.0,7.0,7.0,8.0,14.0,14.0,2.0,2.0,4.0,2.0,2.69,3.2,2.92,1.96,1.89,,,,,,,2.6,3.2,2.8,1.8,1.95,,,1.98,1.88,,,2023-2024
