name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
FC Volendam vs Vitesse,2023-08-11 18:00:00,Vitesse won after full-time.,Netherlands Eredivisie,FC Volendam,Vitesse,1,2,7,18,3.0,7.0,0.0,4.0,4.0,13.0,58.0,131.0,38.0,65.0,28.0,72.0,0.0,0.0,2.0,7.0,2.0,6.0,2.0,0.0,8.0,3.0,4.0,13.0,13.0,11.0,7.0,3.0,3.0,1.0,3.83,3.94,1.94,2.56,1.54,,,,,,,3.75,3.75,1.85,2.5,1.5,,,,,,,2023-2024
PSV vs FC Utrecht,2023-08-12 14:30:00,PSV won after full-time.,Netherlands Eredivisie,PSV,FC Utrecht,2,0,7,8,4.0,2.0,9.0,5.0,23.0,7.0,164.0,71.0,51.0,21.0,68.0,32.0,0.0,0.0,13.0,6.0,10.0,1.0,4.0,1.0,5.0,13.0,21.0,6.0,13.0,11.0,1.0,6.0,2.0,1.0,1.3,6.17,9.65,2.02,1.84,,,,,,,1.3,5.25,10.0,2.0,1.75,,,,,,,2023-2024
SC Heerenveen vs RKC Waalwijk,2023-08-12 16:45:00,SC Heerenveen won after full-time.,Netherlands Eredivisie,SC Heerenveen,RKC Waalwijk,3,1,12,9,7.0,2.0,8.0,7.0,19.0,13.0,93.0,92.0,38.0,41.0,47.0,53.0,0.0,1.0,11.0,8.0,8.0,5.0,1.0,1.0,9.0,13.0,14.0,10.0,8.0,8.0,3.0,6.0,0.0,1.0,1.57,4.5,5.76,2.34,1.64,,,,,,,1.57,4.33,5.5,2.1,1.67,,,,,,,2023-2024
Ajax vs Heracles Almelo,2023-08-12 18:00:00,Ajax won after full-time.,Netherlands Eredivisie,Ajax,Heracles Almelo,4,1,5,13,13.0,4.0,10.0,1.0,31.0,7.0,120.0,55.0,87.0,27.0,70.0,30.0,1.0,0.0,18.0,6.0,13.0,1.0,0.0,1.0,5.0,14.0,24.0,4.0,10.0,13.0,1.0,9.0,2.0,6.0,1.25,7.14,10.53,2.07,1.79,,,,,,,1.25,6.0,10.0,2.0,1.75,,,,,,,2023-2024
PEC Zwolle vs Sparta Rotterdam,2023-08-12 19:00:00,Sparta Rotterdam won after full-time.,Netherlands Eredivisie,PEC Zwolle,Sparta Rotterdam,1,2,13,12,7.0,1.0,11.0,2.0,20.0,8.0,127.0,107.0,66.0,43.0,52.0,48.0,0.0,0.0,16.0,4.0,4.0,4.0,2.0,1.0,4.0,13.0,17.0,7.0,8.0,15.0,3.0,5.0,1.0,4.0,2.64,3.57,2.71,2.34,1.63,,,,,,,2.5,3.6,2.55,2.2,1.62,,,,,,,2023-2024
NEC vs Excelsior,2023-08-13 10:15:00,Excelsior won after full-time.,Netherlands Eredivisie,NEC Nijmegen,Excelsior,3,4,11,7,2.0,7.0,2.0,0.0,8.0,6.0,110.0,137.0,38.0,61.0,49.0,51.0,0.0,0.0,4.0,5.0,4.0,1.0,0.0,1.0,3.0,4.0,8.0,6.0,3.0,6.0,2.0,3.0,1.0,2.0,1.45,4.83,7.28,2.15,1.75,,,,,,,1.44,4.5,8.0,2.05,1.7,,,,,,,2023-2024
Feyenoord vs Fortuna Sittard,2023-08-13 12:30:00,Game ended in draw.,Netherlands Eredivisie,Feyenoord,Fortuna Sittard,0,0,8,13,8.0,3.0,9.0,6.0,22.0,14.0,134.0,91.0,59.0,30.0,62.0,38.0,1.0,0.0,13.0,7.0,9.0,7.0,2.0,1.0,10.0,10.0,15.0,11.0,3.0,10.0,4.0,6.0,0.0,6.0,1.19,7.37,16.74,1.85,1.98,,,,,,,1.2,7.0,17.0,1.8,1.95,,,,,,,2023-2024
AZ vs Go Ahead Eagles,2023-08-13 12:30:00,AZ won after full-time.,Netherlands Eredivisie,AZ,Go Ahead Eagles,5,1,6,9,5.0,4.0,3.0,2.0,13.0,9.0,65.0,99.0,35.0,54.0,53.0,47.0,1.0,0.0,11.0,6.0,2.0,3.0,1.0,0.0,6.0,3.0,13.0,6.0,7.0,11.0,3.0,3.0,2.0,3.0,1.54,4.41,6.35,1.98,1.87,,,,,,,1.5,4.2,6.5,1.95,1.8,,,,,,,2023-2024
Almere City vs FC Twente,2023-08-13 14:45:00,FC Twente won after full-time.,Netherlands Eredivisie,Almere City,FC Twente,1,4,10,9,2.0,11.0,7.0,8.0,12.0,20.0,81.0,103.0,47.0,72.0,34.0,66.0,0.0,0.0,6.0,15.0,6.0,5.0,0.0,6.0,10.0,6.0,7.0,12.0,13.0,9.0,3.0,3.0,3.0,0.0,5.91,4.18,1.61,2.08,1.79,,,,,,,5.5,4.0,1.6,1.95,1.8,,,,,,,2023-2024
Heracles Almelo vs NEC,2023-08-18 18:00:00,Heracles Almelo won after full-time.,Netherlands Eredivisie,Heracles Almelo,NEC Nijmegen,2,1,16,11,5.0,9.0,6.0,8.0,16.0,17.0,106.0,100.0,54.0,43.0,46.0,54.0,0.0,0.0,9.0,10.0,7.0,7.0,0.0,2.0,7.0,12.0,11.0,11.0,11.0,9.0,3.0,5.0,2.0,1.0,2.67,3.51,2.72,2.46,1.58,,,,,,,2.45,3.6,2.75,2.25,1.57,,,,,,,2023-2024
