name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Paços de Ferreira vs União de Leiria,2023-08-12 10:00:00,Game ended in draw.,Portugal LigaPro,Paços de Ferreira,União de Leiria,0,0,10,17,5.0,10.0,3.0,7.0,11.0,13.0,94.0,54.0,71.0,58.0,56.0,44.0,0.0,0.0,,,,,,,11.0,5.0,,,12.0,13.0,4.0,5.0,4.0,3.0,2.04,3.72,3.62,2.03,1.81,,,,,,,1.91,3.5,3.3,2.0,1.73,,,,,1.88,1.98,2023-2024
Nacional vs Marítimo,2023-08-12 13:00:00,Marítimo won after full-time.,Portugal LigaPro,Nacional,Marítimo,1,2,9,8,3.0,6.0,6.0,1.0,10.0,8.0,104.0,94.0,38.0,49.0,48.0,52.0,0.0,0.0,,,,,0.0,4.0,3.0,11.0,,,15.0,17.0,1.0,2.0,5.0,5.0,3.23,3.48,2.29,2.13,1.74,,,,,,,2.88,3.3,2.15,1.83,1.83,,,1.75,2.13,2.0,1.85,2023-2024
AVS vs CF Os Belenenses,2023-08-12 17:00:00,AVS won after full-time.,Portugal LigaPro,AVS,CF Os Belenenses,1,0,17,16,7.0,6.0,4.0,7.0,7.0,14.0,75.0,97.0,54.0,58.0,46.0,54.0,0.0,0.0,,,,,5.0,0.0,14.0,6.0,,,15.0,11.0,6.0,2.0,3.0,2.0,1.65,3.99,5.56,1.83,2.01,,,,,,,1.6,3.5,5.25,1.73,2.0,,,1.83,2.03,2.05,1.8,2023-2024
Academico Viseu vs Vilaverdense,2023-08-13 10:00:00,Game ended in draw.,Portugal LigaPro,Academico Viseu,Vilaverdense,1,1,14,12,4.0,3.0,8.0,3.0,13.0,7.0,118.0,108.0,73.0,47.0,54.0,46.0,0.0,0.0,,,,,0.0,1.0,6.0,12.0,,,18.0,13.0,1.0,3.0,2.0,3.0,1.75,3.88,4.8,1.9,1.93,,,,,,,1.65,3.75,4.2,1.8,1.91,,,,,1.98,1.88,2023-2024
Porto II vs Tondela,2023-08-13 10:00:00,Game ended in draw.,Portugal LigaPro,Porto II,Tondela,1,1,5,10,6.0,7.0,4.0,2.0,11.0,10.0,92.0,84.0,64.0,59.0,56.0,44.0,0.0,0.0,,,,,3.0,3.0,4.0,9.0,,,10.0,13.0,4.0,3.0,4.0,4.0,2.39,3.33,3.18,1.99,1.85,,,,,,,2.2,3.3,2.75,1.83,1.83,,,1.8,2.05,2.05,1.8,2023-2024
Penafiel vs Leixões,2023-08-13 13:00:00,Penafiel won after full-time.,Portugal LigaPro,Penafiel,Leixões,3,0,8,15,2.0,7.0,4.0,3.0,10.0,4.0,107.0,141.0,45.0,92.0,42.0,58.0,1.0,0.0,,,,,0.0,3.0,13.0,10.0,,,13.0,16.0,0.0,3.0,2.0,3.0,2.07,3.3,4.02,1.87,1.97,,,,,,,1.95,3.25,3.4,1.73,2.0,,,2.0,1.85,,,2023-2024
Benfica II vs Mafra,2023-08-13 17:00:00,Benfica II won after full-time.,Portugal LigaPro,Benfica II,Mafra,3,2,13,15,5.0,5.0,4.0,4.0,11.0,10.0,97.0,75.0,58.0,42.0,51.0,49.0,1.0,1.0,6.0,7.0,5.0,3.0,,,12.0,4.0,,,17.0,11.0,3.0,2.0,2.0,2.0,2.16,3.61,3.39,2.24,1.68,,,,,,,2.0,3.5,3.1,2.1,1.67,,,,,1.83,2.03,2023-2024
UD Oliveirense vs Feirense,2023-08-15 10:00:00,UD Oliveirense won after full-time.,Portugal LigaPro,UD Oliveirense,Feirense,3,1,13,12,8.0,5.0,7.0,11.0,14.0,20.0,69.0,81.0,67.0,65.0,47.0,53.0,0.0,2.0,11.0,8.0,3.0,12.0,5.0,2.0,13.0,12.0,,,16.0,15.0,4.0,2.0,5.0,6.0,2.37,3.4,3.16,2.12,1.75,,,,,,,2.2,3.3,2.8,2.0,1.73,,,1.83,2.03,1.98,1.88,2023-2024
Santa Clara vs Torreense,2023-08-16 17:00:00,Santa Clara won after full-time.,Portugal LigaPro,Santa Clara,Torreense,2,0,12,13,2.0,3.0,3.0,5.0,11.0,10.0,92.0,88.0,43.0,49.0,55.0,45.0,0.0,0.0,5.0,4.0,6.0,6.0,0.0,2.0,5.0,5.0,,,15.0,17.0,2.0,4.0,2.0,5.0,1.63,3.99,5.81,1.78,2.08,,,,,,,1.57,3.75,5.75,1.67,2.1,,,1.83,2.03,2.03,1.83,2023-2024
Marítimo vs AVS,2023-08-18 17:00:00,AVS won after full-time.,Portugal LigaPro,Marítimo,AVS,0,1,5,6,3.0,5.0,5.0,5.0,10.0,10.0,123.0,107.0,54.0,63.0,52.0,48.0,0.0,0.0,,,,,1.0,2.0,13.0,17.0,,,14.0,16.0,2.0,3.0,5.0,4.0,1.69,3.86,5.33,2.02,1.82,,,,,,,1.62,3.75,4.75,1.8,1.91,,,,,1.88,1.98,2023-2024
