name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Dinamo Moskva vs Krasnodar,2023-07-21 16:00:00,Krasnodar won after full-time.,Russia Premier League,Dinamo Moskva,Krasnodar,1,3,4,7,4.0,3.0,7.0,3.0,12.0,11.0,94.0,84.0,64.0,42.0,54.0,46.0,0.0,0.0,7.0,6.0,5.0,5.0,2.0,3.0,10.0,15.0,13.0,9.0,10.0,14.0,3.0,3.0,1.0,1.0,2.05,3.87,3.46,2.54,1.54,,,,,,,,,,,,,,,,,,2023-2024
Ural vs CSKA Moskva,2023-07-22 10:00:00,Ural won after full-time.,Russia Premier League,Ural,CSKA Moskva,2,1,7,4,5.0,3.0,5.0,2.0,10.0,8.0,63.0,120.0,35.0,54.0,34.0,66.0,2.0,0.0,8.0,6.0,2.0,2.0,2.0,0.0,8.0,8.0,8.0,5.0,11.0,8.0,2.0,1.0,2.0,2.0,4.02,3.12,2.15,1.75,2.12,,,,,,,,,,,,,,,,,,2023-2024
FK Nizjni Novgorod vs Zenit,2023-07-22 12:15:00,Zenit won after full-time.,Russia Premier League,FK Nizjni Novgorod,Zenit,0,2,5,9,1.0,6.0,3.0,6.0,5.0,11.0,55.0,98.0,25.0,66.0,22.0,78.0,0.0,0.0,4.0,5.0,1.0,6.0,0.0,1.0,11.0,3.0,5.0,8.0,16.0,6.0,0.0,2.0,2.0,1.0,5.43,3.77,1.7,1.71,2.18,,,,,,,,,,,,,,,,,,2023-2024
Lokomotiv Moskva vs Rubin Kazan,2023-07-22 14:30:00,Game ended in draw.,Russia Premier League,Lokomotiv Moskva,Rubin Kazan,2,2,3,7,8.0,3.0,6.0,10.0,13.0,19.0,89.0,82.0,54.0,50.0,53.0,47.0,0.0,0.0,9.0,8.0,4.0,11.0,1.0,1.0,11.0,6.0,11.0,16.0,13.0,12.0,5.0,3.0,1.0,1.0,1.76,3.95,4.61,,,,,,,1.85,2.03,,,,,,,,,,,,2023-2024
Akhmat Grozny vs Krylya Sovetov,2023-07-22 17:00:00,Krylya Sovetov won after full-time.,Russia Premier League,Akhmat Grozny,Krylya Sovetov,1,2,12,5,4.0,8.0,9.0,3.0,21.0,10.0,92.0,75.0,55.0,37.0,56.0,44.0,2.0,0.0,12.0,7.0,9.0,3.0,0.0,3.0,5.0,9.0,9.0,8.0,15.0,8.0,3.0,2.0,2.0,2.0,2.21,3.43,3.46,2.04,1.81,,,,,,,,,,,,,,,,,,2023-2024
Spartak Moskva vs Orenburg,2023-07-23 14:30:00,Spartak Moskva won after full-time.,Russia Premier League,Spartak Moskva,Orenburg,3,2,8,11,13.0,2.0,6.0,3.0,23.0,7.0,81.0,80.0,49.0,49.0,55.0,45.0,0.0,0.0,16.0,7.0,7.0,0.0,2.0,2.0,6.0,8.0,12.0,7.0,12.0,10.0,2.0,3.0,2.0,4.0,1.61,4.63,4.95,2.56,1.53,,,,,,,,,,,,,,,,,,2023-2024
Rostov vs Fakel,2023-07-23 17:00:00,Rostov won after full-time.,Russia Premier League,Rostov,Fakel,2,1,9,10,4.0,4.0,6.0,7.0,16.0,17.0,68.0,73.0,47.0,39.0,59.0,41.0,0.0,0.0,11.0,14.0,5.0,3.0,2.0,4.0,6.0,7.0,13.0,11.0,15.0,9.0,4.0,4.0,2.0,4.0,2.21,3.08,3.89,1.68,2.24,,,,,,,,,,,,,,,,,,2023-2024
Sochi vs Baltika,2023-07-23 17:00:00,Sochi won after full-time.,Russia Premier League,Sochi,Baltika,2,0,11,8,5.0,3.0,4.0,6.0,12.0,9.0,86.0,98.0,37.0,55.0,45.0,55.0,0.0,0.0,8.0,6.0,4.0,3.0,4.0,1.0,14.0,5.0,6.0,9.0,12.0,10.0,3.0,1.0,1.0,1.0,2.14,3.34,3.75,1.82,2.03,,,,,,,,,,,,,,,,,,2023-2024
Krylya Sovetov vs Dinamo Moskva,2023-07-29 12:00:00,Game ended in draw.,Russia Premier League,Krylya Sovetov,Dinamo Moskva,3,3,6,14,3.0,3.0,7.0,2.0,17.0,8.0,84.0,60.0,61.0,29.0,53.0,47.0,2.0,0.0,8.0,4.0,9.0,4.0,3.0,2.0,3.0,13.0,15.0,7.0,9.0,15.0,2.0,4.0,3.0,2.0,2.56,3.47,2.82,2.29,1.65,,,,,,,,,,,,,,,,,,2023-2024
Ural vs FK Nizjni Novgorod,2023-07-29 14:30:00,Game ended in draw.,Russia Premier League,Ural,FK Nizjni Novgorod,0,0,7,16,3.0,3.0,5.0,4.0,7.0,8.0,93.0,84.0,55.0,46.0,54.0,46.0,0.0,0.0,5.0,5.0,2.0,3.0,1.0,1.0,11.0,12.0,7.0,6.0,16.0,9.0,3.0,1.0,0.0,0.0,2.0,3.15,4.63,1.61,2.37,,,,,,,,,,,,,,,,,,2023-2024
Rostov vs Zenit,2023-07-29 17:00:00,Rostov won after full-time.,Russia Premier League,Rostov,Zenit,1,1,6,3,6.0,8.0,7.0,5.0,13.0,6.0,67.0,65.0,48.0,28.0,51.0,49.0,2.0,0.0,6.0,4.0,7.0,2.0,1.0,2.0,6.0,9.0,8.0,5.0,11.0,12.0,0.0,3.0,4.0,1.0,4.07,3.38,2.03,1.85,1.98,,,,,,,,,,,,,,,,,,2023-2024
Rubin Kazan vs Orenburg,2023-07-30 12:00:00,Game ended in draw.,Russia Premier League,Rubin Kazan,Orenburg,1,1,8,12,4.0,6.0,3.0,7.0,8.0,17.0,80.0,86.0,43.0,58.0,41.0,59.0,0.0,0.0,5.0,8.0,3.0,9.0,2.0,1.0,10.0,5.0,7.0,11.0,18.0,11.0,3.0,3.0,1.0,3.0,2.09,3.81,3.4,2.43,1.58,,,,,,,,,,,,,,,,,,2023-2024
Fakel vs Lokomotiv Moskva,2023-07-30 14:30:00,Lokomotiv Moskva won after full-time.,Russia Premier League,Fakel,Lokomotiv Moskva,1,4,15,9,6.0,6.0,7.0,8.0,18.0,15.0,88.0,95.0,71.0,60.0,52.0,48.0,0.0,0.0,11.0,10.0,7.0,5.0,1.0,0.0,10.0,8.0,13.0,11.0,12.0,14.0,1.0,5.0,3.0,3.0,2.69,3.42,2.72,,,,,,,1.92,1.95,,,,,,,,,,,,2023-2024
Krasnodar vs Sochi,2023-07-30 17:00:00,Krasnodar won after full-time.,Russia Premier League,Krasnodar,Sochi,2,0,5,6,7.0,7.0,6.0,3.0,15.0,12.0,108.0,89.0,37.0,48.0,54.0,46.0,0.0,0.0,10.0,9.0,5.0,3.0,2.0,2.0,9.0,8.0,11.0,9.0,6.0,11.0,5.0,3.0,1.0,0.0,1.87,3.64,4.4,2.12,1.75,,,,,,,,,,,,,,,,,,2023-2024
Akhmat Grozny vs CSKA Moskva,2023-07-30 17:00:00,CSKA Moskva won after full-time.,Russia Premier League,Akhmat Grozny,CSKA Moskva,2,3,15,13,6.0,2.0,5.0,3.0,14.0,11.0,74.0,75.0,41.0,48.0,43.0,57.0,4.0,6.0,9.0,8.0,5.0,3.0,1.0,1.0,9.0,5.0,9.0,9.0,21.0,12.0,3.0,3.0,3.0,1.0,3.38,3.27,2.32,2.02,1.83,,,,,,,,,,,,,,,,,,2023-2024
Spartak Moskva vs Baltika,2023-07-31 16:30:00,Spartak Moskva won after full-time.,Russia Premier League,Spartak Moskva,Baltika,2,1,7,15,5.0,2.0,8.0,5.0,17.0,14.0,87.0,92.0,45.0,65.0,64.0,36.0,0.0,0.0,10.0,11.0,7.0,3.0,2.0,2.0,8.0,15.0,13.0,8.0,12.0,12.0,6.0,3.0,2.0,1.0,1.55,4.53,5.84,2.07,1.79,,,,,,,,,,,,,,,,,,2023-2024
Krasnodar vs FK Nizjni Novgorod,2023-08-04 17:00:00,Krasnodar won after full-time.,Russia Premier League,Krasnodar,FK Nizjni Novgorod,1,0,1,13,11.0,1.0,2.0,5.0,7.0,8.0,84.0,62.0,39.0,36.0,69.0,31.0,2.0,0.0,4.0,5.0,3.0,3.0,1.0,0.0,11.0,7.0,2.0,5.0,12.0,14.0,1.0,0.0,1.0,0.0,1.48,4.33,7.56,1.72,2.16,,,,,,,,,,,,,,,,,,2023-2024
Krylya Sovetov vs Rostov,2023-08-05 12:00:00,Krylya Sovetov won after full-time.,Russia Premier League,Krylya Sovetov,Rostov,5,1,5,6,1.0,13.0,3.0,5.0,11.0,15.0,63.0,88.0,36.0,55.0,41.0,59.0,2.0,0.0,7.0,14.0,4.0,1.0,6.0,0.0,8.0,5.0,9.0,7.0,7.0,12.0,4.0,2.0,1.0,4.0,2.25,3.37,3.42,2.2,1.7,,,,,,,,,,,,,,,,,,2023-2024
Rubin Kazan vs Spartak Moskva,2023-08-05 14:30:00,Spartak Moskva won after full-time.,Russia Premier League,Rubin Kazan,Spartak Moskva,1,4,10,2,4.0,4.0,6.0,1.0,15.0,14.0,78.0,87.0,44.0,50.0,46.0,54.0,0.0,0.0,7.0,10.0,8.0,4.0,0.0,3.0,4.0,9.0,7.0,10.0,16.0,12.0,4.0,1.0,4.0,1.0,3.55,3.78,2.05,2.49,1.56,,,,,,,,,,,,,,,,,,2023-2024
Orenburg vs Ural,2023-08-05 14:30:00,Ural won after full-time.,Russia Premier League,Orenburg,Ural,0,2,11,7,6.0,7.0,5.0,6.0,8.0,13.0,66.0,78.0,42.0,45.0,55.0,45.0,0.0,2.0,5.0,9.0,3.0,4.0,1.0,1.0,9.0,8.0,7.0,13.0,12.0,16.0,4.0,2.0,1.0,2.0,2.26,3.67,3.13,2.42,1.59,,,,,,,,,,,,,,,,,,2023-2024
CSKA Moskva vs Lokomotiv Moskva,2023-08-05 17:00:00,CSKA Moskva won after full-time.,Russia Premier League,CSKA Moskva,Lokomotiv Moskva,4,1,8,4,3.0,8.0,6.0,10.0,15.0,13.0,79.0,96.0,44.0,49.0,39.0,61.0,2.0,0.0,10.0,11.0,5.0,2.0,3.0,2.0,16.0,7.0,10.0,10.0,9.0,9.0,1.0,2.0,0.0,1.0,1.78,4.08,4.38,2.47,1.57,,,,,,,,,,,,,,,,,,2023-2024
Baltika vs Fakel,2023-08-06 14:30:00,Baltika won after full-time.,Russia Premier League,Baltika,Fakel,2,1,15,16,4.0,4.0,4.0,4.0,8.0,8.0,96.0,86.0,49.0,40.0,58.0,42.0,0.0,0.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,17.0,14.0,0.0,1.0,2.0,3.0,1.97,3.48,4.17,1.91,1.93,,,,,,,,,,,,,,,,,,2023-2024
Zenit vs Dinamo Moskva,2023-08-06 16:00:00,Dinamo Moskva won after full-time.,Russia Premier League,Zenit,Dinamo Moskva,2,3,6,11,13.0,4.0,6.0,2.0,15.0,6.0,81.0,56.0,64.0,28.0,71.0,29.0,0.0,0.0,12.0,4.0,3.0,2.0,3.0,2.0,4.0,10.0,9.0,6.0,6.0,12.0,1.0,4.0,1.0,2.0,1.94,3.79,3.9,2.25,1.67,,,,,,,,,,,,,,,,,,2023-2024
Sochi vs Akhmat Grozny,2023-08-06 17:00:00,Akhmat Grozny won after full-time.,Russia Premier League,Sochi,Akhmat Grozny,1,2,9,14,6.0,1.0,7.0,3.0,16.0,8.0,105.0,89.0,67.0,43.0,59.0,41.0,2.0,0.0,11.0,5.0,5.0,3.0,5.0,2.0,5.0,7.0,12.0,6.0,14.0,10.0,1.0,3.0,1.0,1.0,2.18,3.58,3.38,2.15,1.73,,,,,,,,,,,,,,,,,,2023-2024
Ural vs Spartak Moskva,2023-08-11 15:00:00,Ural won after full-time.,Russia Premier League,Ural,Spartak Moskva,3,2,4,1,7.0,3.0,8.0,3.0,22.0,11.0,74.0,97.0,40.0,52.0,49.0,51.0,1.0,0.0,14.0,4.0,8.0,7.0,1.0,1.0,7.0,9.0,17.0,9.0,13.0,11.0,3.0,5.0,4.0,3.0,3.4,3.31,2.29,2.09,1.78,,,,,,,,,,,,,,,,,,2023-2024
Lokomotiv Moskva vs Krylya Sovetov,2023-08-12 12:00:00,Game ended in draw.,Russia Premier League,Lokomotiv Moskva,Krylya Sovetov,1,1,7,4,2.0,11.0,2.0,9.0,2.0,20.0,75.0,73.0,36.0,45.0,49.0,51.0,0.0,1.0,1.0,12.0,1.0,8.0,1.0,0.0,8.0,4.0,3.0,18.0,18.0,13.0,8.0,0.0,3.0,1.0,1.78,4.21,4.24,2.54,1.54,,,,,,,,,,,,,,,,,,2023-2024
Orenburg vs Krasnodar,2023-08-12 14:30:00,Krasnodar won after full-time.,Russia Premier League,Orenburg,Krasnodar,0,2,14,2,4.0,3.0,7.0,6.0,15.0,14.0,91.0,75.0,65.0,44.0,57.0,43.0,0.0,2.0,10.0,8.0,5.0,6.0,2.0,2.0,7.0,11.0,12.0,12.0,5.0,9.0,5.0,6.0,0.0,2.0,3.62,3.97,1.97,2.4,1.6,,,,,,,,,,,,,,,,,,2023-2024
Rostov vs Rubin Kazan,2023-08-12 17:00:00,Rostov won after full-time.,Russia Premier League,Rostov,Rubin Kazan,3,0,9,13,5.0,5.0,2.0,6.0,14.0,10.0,64.0,81.0,42.0,37.0,49.0,51.0,0.0,0.0,8.0,4.0,6.0,6.0,0.0,0.0,13.0,2.0,11.0,10.0,9.0,13.0,2.0,6.0,1.0,2.0,1.89,3.61,4.35,1.87,1.95,,,,,,,,,,,,,,,,,,2023-2024
Dinamo Moskva vs Baltika,2023-08-13 12:00:00,Dinamo Moskva won after full-time.,Russia Premier League,Dinamo Moskva,Baltika,2,0,9,12,7.0,5.0,4.0,7.0,15.0,15.0,65.0,71.0,55.0,56.0,54.0,46.0,0.0,0.0,9.0,9.0,6.0,6.0,3.0,4.0,9.0,7.0,6.0,6.0,10.0,13.0,4.0,5.0,1.0,0.0,2.07,3.67,3.6,2.3,1.65,,,,,,,,,,,,,,,,,,2023-2024
Zenit vs Fakel,2023-08-13 14:30:00,Zenit won after full-time.,Russia Premier League,Zenit,Fakel,2,0,8,16,5.0,4.0,2.0,4.0,10.0,6.0,101.0,64.0,49.0,33.0,71.0,29.0,0.0,0.0,7.0,2.0,3.0,4.0,2.0,1.0,9.0,1.0,7.0,4.0,14.0,14.0,1.0,4.0,4.0,3.0,1.37,5.1,8.77,1.76,2.1,,,,,,,,,,,,,,,,,,2023-2024
CSKA Moskva vs Sochi,2023-08-13 17:00:00,CSKA Moskva won after full-time.,Russia Premier League,CSKA Moskva,Sochi,3,1,7,11,9.0,5.0,5.0,4.0,18.0,5.0,83.0,72.0,54.0,35.0,59.0,41.0,0.0,0.0,10.0,3.0,8.0,2.0,0.0,1.0,5.0,8.0,9.0,5.0,15.0,16.0,0.0,5.0,2.0,4.0,1.7,3.97,5.07,2.08,1.78,,,,,,,,,,,,,,,,,,2023-2024
