name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Racing vs Boston River,2023-02-04 12:45:00,Boston River won after full-time.,Uruguay Primera Division,Racing,Boston River,0,2,,,3.0,4.0,4.0,5.0,6.0,10.0,95.0,93.0,61.0,48.0,44.0,56.0,0.0,0.0,,,,,1.0,1.0,14.0,7.0,,,9.0,12.0,2.0,1.0,2.0,2.0,3.11,3.03,2.62,1.85,1.99,,,,,,,,3.0,,1.8,1.91,,,2.05,1.8,,,2023
Peñarol vs Cerro,2023-02-04 20:00:00,Peñarol won after full-time.,Uruguay Primera Division,Peñarol,Cerro,2,0,11,2,2.0,6.0,5.0,2.0,13.0,4.0,112.0,91.0,63.0,50.0,57.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,12.0,15.0,1.0,5.0,3.0,6.0,1.41,4.66,8.72,1.65,2.28,,,,,,,,4.2,,1.62,2.2,,,,,1.98,1.88,2023
Cerro Largo vs River Plate,2023-02-04 22:30:00,Cerro Largo won after full-time.,Uruguay Primera Division,Cerro Largo,River Plate,2,1,,,2.0,6.0,3.0,5.0,7.0,11.0,71.0,72.0,51.0,56.0,45.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,8.0,5.0,1.0,1.0,0.0,2.72,3.09,2.93,1.79,2.07,,,,,,,,2.9,,1.67,2.1,1.88,1.98,,,,,2023
La Luz vs Wanderers,2023-02-05 12:45:00,Wanderers won after full-time.,Uruguay Primera Division,La Luz,Wanderers,1,3,,,6.0,0.0,8.0,6.0,14.0,9.0,92.0,85.0,74.0,38.0,48.0,52.0,0.0,0.0,,,,,1.0,2.0,,,,,16.0,15.0,1.0,5.0,2.0,1.0,2.93,2.99,2.8,1.86,1.97,,,,,,,,2.8,,1.8,1.91,1.83,2.03,2.1,1.78,,,2023
Torque vs Danubio,2023-02-05 21:00:00,Game ended in draw.,Uruguay Primera Division,Montevideo City Torque,Danubio,1,1,,,2.0,3.0,4.0,3.0,8.0,4.0,87.0,88.0,42.0,65.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,15.0,12.0,0.0,1.0,4.0,2.0,2.58,3.15,3.06,1.88,1.95,,,,,,,,3.0,,1.8,1.91,,,2.05,1.8,,,2023
Nacional vs Liverpool,2023-02-06 00:00:00,Nacional won after full-time.,Uruguay Primera Division,Nacional,Liverpool,2,1,,,3.0,9.0,2.0,4.0,8.0,8.0,93.0,104.0,49.0,55.0,47.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,19.0,12.0,1.0,3.0,7.0,3.0,1.58,3.75,7.26,1.84,2.0,,,,,,,,3.6,,1.73,2.0,,,,,2.0,1.85,2023
Plaza Colonia vs Deportivo Maldonado,2023-02-06 22:00:00,Deportivo Maldonado won after full-time.,Uruguay Primera Division,Plaza Colonia,Deportivo Maldonado,0,1,,,7.0,5.0,3.0,2.0,10.0,7.0,98.0,96.0,74.0,58.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15.0,11.0,4.0,6.0,2.0,4.0,3.2,3.03,2.56,1.72,2.17,,,,,,,,2.8,,1.67,2.1,1.98,1.88,,,,,2023
Defensor Sporting vs Fénix,2023-02-07 00:30:00,Fénix won after full-time.,Uruguay Primera Division,Defensor Sporting,Fénix,1,3,,,6.0,2.0,3.0,3.0,4.0,6.0,101.0,81.0,60.0,52.0,59.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17.0,10.0,4.0,2.0,3.0,2.0,2.08,3.35,3.91,1.82,2.03,,,,,,,,3.3,,1.73,2.0,,,2.0,1.85,,,2023
Nacional vs Cerro Largo,2023-02-10 23:00:00,Game ended in draw.,Uruguay Primera Division,Nacional,Cerro Largo,0,0,,4,5.0,1.0,4.0,0.0,6.0,3.0,110.0,85.0,84.0,49.0,68.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,,,,17.0,10.0,2.0,3.0,3.0,4.0,1.36,4.81,10.37,1.59,2.41,,,,,,,,4.5,,1.53,2.38,,,,,1.95,1.9,2023
Fénix vs Torque,2023-02-11 12:45:00,Torque won after full-time.,Uruguay Primera Division,Fénix,Montevideo City Torque,1,2,2,8,10.0,4.0,2.0,4.0,9.0,10.0,82.0,112.0,55.0,46.0,50.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,,,7.0,9.0,2.0,3.0,3.0,1.0,2.51,3.22,3.09,1.84,2.0,,,,,,,,3.1,,1.8,1.91,,,2.03,1.83,,,2023
