team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Standard Liège,0.75,128.46666666666667,30.0,101.3,101.3,4052,184.0,183.75,187.0,178.43,182.31,1.4,49.45,49.45,1978,4.25,4.25,170,45.95,45.95,1838,10.6,10.6,424,40.0,20.0,20.0,40.0,33.0,17.0,10.0,4.0,3.0,26.0,11.0,6.0,2.0,0.0,6.0,7.0,1.0,25548847.0,7.45,5.0,0.13,5.0,10.28,411.0,4.0,45.0,61.0,1.98,1.98,79,422.93,412.61,36.78,16917.0,50.0,2.0,2.0,10.0,32.0,1.0,0.05,0.05,0.0,0.0,2.0,430489.0,85.64,460,11.5,141,305,164,165,155,3.0,460,16.75,16.75,670,10.0,1.56,1171.0,627.0,627.0,1171.0,3854.0,1.58,1.58,4,0.1,63,37459056,0.05,0.05,0.0,0.0,2.0,14069.0,Belgium Liga Pro
Union Saint-Gilloise,,,,112.95,112.95,4518,,,,,,2.25,49.8,49.8,1992,6.05,6.05,242,60.28,60.28,2411,13.08,13.08,523,,,,,,,,,,,,,,,,,,9950256.0,7.73,,,,,,,,,1.93,1.93,77,,,,,92.86,1.0,13.0,7.0,23.0,1.0,0.05,0.05,0.0,0.0,2.0,6081.0,,645,16.13,158,452,262,250,195,,645,21.65,21.65,866,,,,,,,,2.4,2.4,4,0.1,96,6081,0.03,0.03,0.0,0.0,1.0,311112.0,Belgium Liga Pro
Genk,,,,111.24,111.24,4561,,,,,,1.78,53.46,53.46,2192,4.95,4.95,203,61.2,61.2,2509,12.22,12.22,501,,,,,,,,,,,,,,,,,,524045.0,7.67,,,,,,,,,2.15,2.15,88,,,,,50.0,3.0,3.0,9.0,26.0,1.0,0.1,0.1,1.0,0.02,4.0,37687848.0,,642,15.66,175,446,261,220,195,,642,18.17,18.17,745,,,,,,,,1.98,1.98,1,0.02,81,37559109,0.07,0.07,0.0,0.0,3.0,62617.0,Belgium Liga Pro
KAS Eupen,,,,88.53,88.53,3187,,,,,,1.44,44.19,44.19,1591,4.19,4.19,151,38.92,38.92,1401,12.69,12.69,457,,,,,,,,,,,,,,,,,,1478174.0,7.45,,,,,,,,,2.47,2.47,89,,,,,66.67,1.0,2.0,8.0,21.0,0.0,0.06,0.06,0.0,0.0,2.0,62842.0,,356,9.89,87,225,160,120,131,,356,18.53,18.53,667,,,,,,,,1.83,1.83,5,0.14,66,2206562,0.03,0.03,0.0,0.0,1.0,37336989.0,Belgium Liga Pro
Cercle Brugge,,,,133.95,133.95,5358,,,,,,1.85,45.35,45.35,1814,5.2,5.2,208,62.43,62.43,2497,13.15,13.15,526,,,,,,,,,,,,,,,,,,100535.0,7.66,,,,,,,,,2.18,2.18,87,,,,,66.67,1.0,2.0,5.0,23.0,1.0,0.05,0.05,0.0,0.0,2.0,434241.0,,603,15.08,188,399,246,186,201,,603,20.98,20.98,839,,,,,,,,2.23,2.23,1,0.03,89,61187,0.05,0.05,0.0,0.0,2.0,130106.0,Belgium Liga Pro
Sporting Charleroi,,,,109.19,109.19,3931,,,,,,1.67,48.94,48.94,1762,5.03,5.03,181,50.22,50.22,1808,12.06,12.06,434,,,,,,,,,,,,,,,,,,21781590.0,7.6,,,,,,,,,1.86,1.86,67,,,,,80.0,1.0,4.0,8.0,21.0,3.0,0.08,0.08,1.0,0.03,3.0,62215.0,,411,11.42,111,258,160,149,153,,411,19.67,19.67,708,,,,,,,,1.72,1.72,0,0.0,62,96445,0.03,0.03,0.0,0.0,1.0,37551291.0,Belgium Liga Pro
OH Leuven,,,,88.0,88.0,3520,,,,,,1.55,43.45,43.45,1738,4.7,4.7,188,42.48,42.48,1699,11.78,11.78,471,,,,,,,,,,,,,,,,,,37317429.0,7.4,,,,,,,,,2.0,2.0,80,,,,,80.0,1.0,4.0,8.0,21.0,3.0,0.05,0.05,0.0,0.0,2.0,186870.0,,476,11.9,111,287,217,164,191,,476,16.23,16.23,649,,,,,,,,2.33,2.33,2,0.05,93,61870,0.05,0.05,0.0,0.0,2.0,97614.0,Belgium Liga Pro
RWDM Brussels,,,,93.53,93.53,3367,,,,,,1.39,44.42,44.42,1599,3.69,3.69,133,36.33,36.33,1308,12.11,12.11,436,,,,,,,,,,,,,,,,,,14726336.0,7.44,,,,,,,,,1.83,1.83,66,,,,,50.0,2.0,2.0,9.0,27.0,1.0,0.06,0.06,0.0,0.0,2.0,4415.0,,366,10.17,85,251,141,148,115,,366,18.53,18.53,667,,,,,,,,2.03,2.03,1,0.03,73,14726336,0.11,0.11,0.0,0.0,4.0,14726336.0,Belgium Liga Pro
Anderlecht,,,,100.93,100.93,4037,,,,,,2.1,52.25,52.25,2090,4.05,4.05,162,53.45,53.45,2138,10.45,10.45,418,,,,,,,,,,,,,,,,,,32185.0,7.62,,,,,,,,,1.63,1.63,65,,,,,85.71,0.0,7.0,7.0,30.0,1.0,0.05,0.05,0.0,0.0,2.0,84620.0,,530,13.25,133,354,205,209,177,,530,18.28,18.28,731,,,,,,,,1.8,1.8,6,0.15,72,37459060,0.03,0.03,0.0,0.0,1.0,37459060.0,Belgium Liga Pro
Antwerp,,,,117.85,117.85,4714,,,,,,1.8,58.28,58.28,2331,5.4,5.4,216,56.4,56.4,2256,9.9,9.9,396,,,,,,,,,,,,,,,,,,37526239.0,7.65,,,,,,,,,1.93,1.93,77,,,,,60.0,4.0,6.0,8.0,23.0,0.0,0.03,0.03,1.0,0.03,1.0,26620.0,,529,13.23,141,346,221,194,184,,529,18.48,18.48,739,,,,,,,,1.78,1.78,4,0.1,71,1690,0.03,0.03,0.0,0.0,1.0,37564372.0,Belgium Liga Pro
