team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Silkeborg IF,,,,100.03,100.03,3201,,,,,,1.63,52.5,52.5,1680,4.22,4.22,135,42.47,42.47,1359,7.38,7.38,236,,,,,,,,,,,,,,,,,,83685.0,7.41,,,,,,,,,1.19,1.19,38,,,,,66.67,1.0,2.0,7.0,14.0,9.0,0.03,0.03,0.0,0.0,1.0,24818234.0,,344,10.75,89,210,136,130,134,,344,15.91,15.91,509,,,,,,,,1.25,1.25,0,0.0,40,33576939,,,,,,,Denmark Superliga
Vejle Boldklub,,,,90.31,90.31,2890,,,,,,1.56,40.5,40.5,1296,4.13,4.13,132,38.66,38.66,1237,11.81,11.81,378,,,,,,,,,,,,,,,,,,2823097.0,8.16,,,,,,,,,2.09,2.09,67,,,,,0.0,2.0,0.0,11.0,19.0,5.0,0.06,0.06,0.0,0.0,2.0,26689551.0,,323,10.09,71,208,138,127,115,,323,17.41,17.41,557,,,,,,,,2.41,2.41,1,0.03,77,6439,0.03,0.03,0.0,0.0,1.0,4192333.0,Denmark Superliga
FC København,,,,118.24,118.24,3902,,,,,,2.15,54.12,54.12,1786,5.58,5.58,184,59.3,59.3,1957,9.58,9.58,316,,,,,,,,,,,,,,,,,,37569730.0,8.16,,,,,,,,,1.67,1.67,55,,,,,85.71,1.0,6.0,9.0,22.0,2.0,,,,,,,,515,15.61,115,329,209,204,186,,515,15.55,15.55,513,,,,,,,,1.76,1.76,3,0.09,58,21413511,0.03,0.03,0.0,0.0,1.0,25106.0,Denmark Superliga
Randers FC,,,,102.24,102.24,3374,,,,,,1.61,49.7,49.7,1640,5.33,5.33,176,50.88,50.88,1679,10.85,10.85,358,,,,,,,,,,,,,,,,,,83716.0,7.37,,,,,,,,,2.24,2.24,74,,,,,75.0,1.0,3.0,6.0,20.0,8.0,0.03,0.03,0.0,0.0,1.0,25577.0,,433,13.12,129,268,187,134,161,,433,14.82,14.82,489,,,,,,,,1.73,1.73,0,0.0,57,5283381,0.03,0.03,0.0,0.0,1.0,84221.0,Denmark Superliga
Hvidovre,,,,97.94,97.94,3134,,,,,,1.25,50.63,50.63,1620,4.44,4.44,142,40.88,40.88,1308,11.13,11.13,356,,,,,,,,,,,,,,,,,,537934.0,7.59,,,,,,,,,1.69,1.69,54,,,,,66.67,1.0,2.0,2.0,11.0,9.0,,,,,,,,341,10.66,96,215,148,115,126,,341,20.53,20.53,657,,,,,,,,2.09,2.09,3,0.09,67,84215,0.03,0.03,0.0,0.0,1.0,37304032.0,Denmark Superliga
AGF,,,,101.13,101.13,3236,,,,,,1.69,48.88,48.88,1564,4.72,4.72,151,44.38,44.38,1420,10.78,10.78,345,,,,,,,,,,,,,,,,,,84570.0,7.34,,,,,,,,,1.03,1.03,33,,,,,66.67,2.0,4.0,12.0,16.0,3.0,0.06,0.06,0.0,0.0,2.0,6656.0,,366,11.44,97,223,147,137,142,,366,14.19,14.19,454,,,,,,,,2.16,2.16,3,0.09,69,84039,0.03,0.03,0.0,0.0,1.0,85680.0,Denmark Superliga
Lyngby Boldklub,,,,91.19,91.19,2918,,,,,,1.56,46.5,46.5,1488,5.13,5.13,164,43.63,43.63,1396,11.63,11.63,372,,,,,,,,,,,,,,,,,,9938963.0,7.47,,,,,,,,,1.78,1.78,57,,,,,75.0,1.0,3.0,7.0,26.0,1.0,0.03,0.03,0.0,0.0,1.0,37331699.0,,357,11.16,91,253,148,132,104,,357,15.13,15.13,484,,,,,,,,1.69,1.69,3,0.09,54,842,0.03,0.03,0.0,0.0,1.0,118811.0,Denmark Superliga
FC Midtjylland,,,,108.91,108.91,3485,,,,,,2.19,47.84,47.84,1531,4.75,4.75,152,49.88,49.88,1596,9.78,9.78,313,,,,,,,,,,,,,,,,,,23698076.0,7.64,,,,,,,,,2.0,2.0,64,,,,,54.55,5.0,6.0,11.0,22.0,2.0,0.06,0.06,0.0,0.0,2.0,27618.0,,468,14.63,130,304,189,167,168,,468,16.53,16.53,529,,,,,,,,2.19,2.19,4,0.13,70,220361,0.06,0.06,0.0,0.0,2.0,62395.0,Denmark Superliga
Nordsjælland,,,,111.88,111.88,3580,,,,,,2.0,56.59,56.59,1811,6.56,6.56,210,57.56,57.56,1842,7.94,7.94,254,,,,,,,,,,,,,,,,,,37614052.0,7.83,,,,,,,,,2.25,2.25,72,,,,,60.0,2.0,3.0,15.0,15.0,3.0,,,,,,,,467,14.59,131,333,174,176,135,,467,12.84,12.84,411,,,,,,,,1.53,1.53,2,0.06,49,84512,,,,,,,Denmark Superliga
Brøndby IF,,,,107.13,107.13,3428,,,,,,2.13,54.28,54.28,1737,5.19,5.19,166,51.72,51.72,1655,9.84,9.84,315,,,,,,,,,,,,,,,,,,37422928.0,7.58,,,,,,,,,1.56,1.56,50,,,,,75.0,0.0,4.0,6.0,22.0,4.0,0.09,0.09,0.0,0.0,3.0,354691.0,,374,11.69,98,278,152,142,99,,374,17.91,17.91,573,,,,,,,,1.75,1.75,1,0.03,56,82841,,,,,,,Denmark Superliga
