team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Burnley,0.82,119.5483870967742,31.0,96.42,96.42,3664,176.13,183.82,194.67,182.0,182.33,1.26,47.45,47.45,1803,4.74,4.74,180,44.11,44.11,1676,11.34,11.34,431,38.0,19.0,19.0,38.0,36.0,24.0,12.0,4.0,2.0,26.0,10.0,2.0,2.0,1.0,3.0,5.0,2.0,538038.0,8.06,12.0,0.32,12.0,7.39,281.0,3.0,47.0,65.0,2.08,2.08,79,430.0,441.62,37.74,16340.0,66.67,0.0,3.0,6.0,26.0,1.0,0.11,0.11,1.0,0.03,4.0,3143.0,90.39,433,11.39,117,271,184,146,162,3.0,433,16.26,16.26,618,7.36,2.24,1651.0,724.0,724.0,1651.0,3706.0,1.97,1.97,3,0.08,75,4244,0.08,0.08,0.0,0.0,3.0,5410.0,England Premier League
Manchester City,1.89,51.06944444444444,72.0,128.97,128.97,4901,195.0,182.57,187.0,178.63,181.19,2.47,65.5,65.5,2489,7.53,7.53,286,77.03,77.03,2927,7.79,7.79,296,38.0,19.0,19.0,38.0,25.0,6.0,2.0,1.0,0.0,35.0,28.0,19.0,9.0,4.0,5.0,16.0,10.0,1371.0,9.03,10.0,0.26,10.0,6.13,233.0,4.0,45.0,74.0,1.16,1.16,44,685.32,306.38,37.58,26042.0,90.0,1.0,9.0,12.0,15.0,0.0,0.03,0.03,0.0,0.0,1.0,186910.0,38.3,693,18.24,212,456,217,279,237,7.0,693,13.82,13.82,525,9.38,2.71,4498.0,2424.0,2424.0,4498.0,3677.0,1.39,1.39,3,0.08,53,96353,0.03,0.03,0.0,0.0,1.0,198062.0,England Premier League
Arsenal,1.66,60.142857142857146,63.0,113.55,113.55,4315,175.5,183.3,188.67,180.83,181.35,2.47,58.5,58.5,2223,6.97,6.97,265,72.5,72.5,2755,10.29,10.29,391,38.0,19.0,19.0,38.0,20.0,8.0,1.0,0.0,0.0,33.0,26.0,15.0,9.0,6.0,0.0,15.0,11.0,26823.0,8.16,13.0,0.34,13.0,7.61,289.0,10.0,90.0,66.0,2.32,2.32,88,550.42,278.88,31.84,20916.0,90.0,0.0,10.0,9.0,21.0,2.0,0.03,0.03,0.0,0.0,1.0,5270497.0,41.64,657,17.29,220,468,223,227,189,6.0,657,16.32,16.32,620,9.25,4.53,4729.0,2252.0,2252.0,4729.0,3789.0,1.66,1.66,4,0.11,63,32612,0.03,0.03,0.0,0.0,1.0,310288.0,England Premier League
Nottingham Forest,1.13,86.72093023255815,43.0,85.05,85.05,3232,185.29,185.23,192.6,181.23,184.84,1.47,40.18,40.18,1527,3.89,3.89,148,42.0,42.0,1596,11.47,11.47,436,38.0,19.0,19.0,38.0,34.0,19.0,11.0,2.0,1.0,28.0,18.0,3.0,0.0,0.0,3.0,8.0,2.0,7926.0,7.41,12.0,0.32,12.0,8.71,331.0,7.0,45.0,61.0,2.05,2.05,78,369.26,292.33,31.11,14032.0,0.0,0.0,1.0,8.0,29.0,1.0,0.03,0.03,0.0,0.0,1.0,7176.0,76.1,451,11.87,118,289,189,149,162,4.0,451,19.42,19.42,738,8.79,1.8,1715.0,734.0,734.0,1715.0,3729.0,2.13,2.13,4,0.11,81,7926,0.05,0.05,0.0,0.0,2.0,95348.0,England Premier League
AFC Bournemouth,1.03,95.97435897435898,39.0,99.03,99.03,3763,183.4,182.88,189.0,179.75,182.18,1.68,44.11,44.11,1676,6.18,6.18,235,50.63,50.63,1924,13.42,13.42,510,38.0,19.0,19.0,38.0,29.0,22.0,11.0,3.0,1.0,31.0,16.0,6.0,1.0,0.0,2.0,6.0,3.0,10990678.0,7.26,14.0,0.37,14.0,9.16,348.0,4.0,90.0,75.0,1.47,1.47,56,372.63,283.2,26.13,14160.0,66.67,1.0,2.0,11.0,22.0,1.0,0.08,0.08,0.0,0.0,3.0,1834.0,69.31,542,14.26,157,360,206,188,182,4.0,542,18.39,18.39,699,8.63,2.38,2229.0,1226.0,1226.0,2229.0,3743.0,2.08,2.08,3,0.08,79,333989,,,,,,,England Premier League
West Ham United,1.13,86.18604651162791,43.0,87.89,87.89,3340,177.17,184.88,191.67,180.1,182.15,1.74,40.84,40.84,1552,4.37,4.37,166,42.87,42.87,1629,10.47,10.47,398,38.0,19.0,19.0,38.0,33.0,19.0,11.0,6.0,4.0,30.0,21.0,8.0,1.0,0.0,2.0,9.0,4.0,95393.0,7.47,9.0,0.24,9.0,9.26,352.0,4.0,90.0,75.0,1.87,1.87,71,381.32,268.33,32.2,14490.0,80.0,1.0,4.0,10.0,17.0,0.0,,,,,,,61.77,450,11.84,113,311,185,156,139,5.0,450,18.11,18.11,688,8.0,2.47,2194.0,945.0,945.0,2194.0,3706.0,2.08,2.08,3,0.08,79,254052,0.08,0.08,0.0,0.0,3.0,3354.0,England Premier League
Brighton & Hove Albion,0.95,102.83333333333331,36.0,105.32,105.32,4002,187.0,182.46,191.0,177.43,181.22,1.63,60.24,60.24,2289,5.42,5.42,206,53.92,53.92,2049,10.76,10.76,409,38.0,19.0,19.0,38.0,32.0,17.0,8.0,3.0,1.0,28.0,12.0,9.0,5.0,1.0,3.0,9.0,5.0,2423.0,8.47,11.0,0.29,11.0,7.47,284.0,4.0,90.0,65.0,2.24,2.24,85,612.68,517.38,41.43,23282.0,83.33,1.0,5.0,7.0,23.0,1.0,0.08,0.08,0.0,0.0,3.0,2461.0,67.31,562,14.79,170,381,198,209,181,4.0,562,17.21,17.21,654,6.88,2.57,1689.0,968.0,968.0,1689.0,3702.0,2.37,2.37,5,0.13,90,6599973,,,,,,,England Premier League
Luton Town,0.87,113.72727272727272,33.0,90.74,90.74,3448,184.6,184.5,189.33,180.64,183.2,1.32,42.21,42.21,1604,5.34,5.34,203,47.71,47.71,1813,11.66,11.66,443,38.0,19.0,19.0,38.0,36.0,24.0,15.0,8.0,2.0,33.0,12.0,5.0,2.0,0.0,4.0,3.0,1.0,61107.0,8.26,14.0,0.37,14.0,8.47,322.0,6.0,90.0,87.0,1.79,1.79,68,346.58,299.32,30.49,13170.0,80.0,0.0,5.0,8.0,18.0,5.0,,,,,,,72.17,432,11.37,139,297,159,141,135,3.0,432,17.37,17.37,660,9.3,1.49,590.0,298.0,298.0,590.0,3753.0,1.87,1.87,0,0.0,71,30446925,,,,,,,England Premier League
Everton,0.53,185.55,20.0,96.55,96.55,3669,183.0,183.89,188.75,183.5,184.2,1.68,40.55,40.55,1541,4.76,4.76,181,49.68,49.68,1888,12.18,12.18,463,38.0,19.0,19.0,38.0,25.0,16.0,6.0,2.0,1.0,26.0,10.0,4.0,0.0,0.0,1.0,7.0,3.0,1639.0,7.4,8.0,0.21,8.0,9.45,359.0,3.0,90.0,51.0,2.37,2.37,90,359.42,359.42,26.94,13658.0,66.67,1.0,2.0,6.0,20.0,4.0,,,,,,,92.78,507,13.34,130,328,219,163,179,3.0,507,19.74,19.74,750,9.15,2.79,1319.0,621.0,621.0,1319.0,3711.0,2.16,2.16,3,0.08,82,1639,0.03,0.03,0.0,0.0,1.0,165.0,England Premier League
Fulham,1.11,89.66666666666667,42.0,97.79,97.79,3716,184.75,185.5,192.0,179.7,183.8,1.68,50.76,50.76,1929,5.58,5.58,212,47.37,47.37,1800,10.21,10.21,388,38.0,19.0,19.0,38.0,28.0,19.0,10.0,3.0,1.0,25.0,15.0,10.0,3.0,2.0,2.0,8.0,6.0,1366.0,7.34,15.0,0.39,15.0,9.76,371.0,5.0,90.0,72.0,1.37,1.37,52,484.16,353.81,36.72,18398.0,50.0,0.0,2.0,8.0,21.0,2.0,0.03,0.03,0.0,0.0,1.0,160217.0,68.47,501,13.18,132,327,197,180,174,5.0,501,18.18,18.18,691,7.94,1.92,1642.0,849.0,849.0,1642.0,3766.0,2.13,2.13,4,0.11,81,160072,0.08,0.08,0.0,0.0,3.0,2454.0,England Premier League
