team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Nice,,,,101.85,101.85,3463,,,,,,1.88,52.47,52.47,1784,5.41,5.41,184,43.41,43.41,1476,11.21,11.21,381,,,,,,,,,,,,,,,,,,473149.0,7.75,,,,,,,,,1.53,1.53,52,,,,,85.71,1.0,6.0,9.0,20.0,4.0,0.12,0.12,0.0,0.0,4.0,30920.0,,459,13.5,126,304,183,160,155,,459,15.94,15.94,542,,,,,,,,1.82,1.82,0,0.0,62,2206980,,,,,,,France Ligue 1
LOSC Lille,,,,108.59,108.59,3692,,,,,,1.94,56.91,56.91,1935,5.21,5.21,177,47.29,47.29,1608,10.62,10.62,361,,,,,,,,,,,,,,,,,,16827175.0,7.44,,,,,,,,,1.38,1.38,47,,,,,66.67,1.0,2.0,12.0,24.0,1.0,0.06,0.06,0.0,0.0,2.0,2158213.0,,443,13.03,124,277,152,170,165,,443,17.56,17.56,597,,,,,,,,1.94,1.94,5,0.15,66,95168,0.03,0.03,0.0,0.0,1.0,37717176.0,France Ligue 1
Olympique Marseille,,,,105.26,105.26,3579,,,,,,1.76,53.82,53.82,1830,5.41,5.41,184,51.74,51.74,1759,10.71,10.71,364,,,,,,,,,,,,,,,,,,96290.0,7.43,,,,,,,,,2.03,2.03,69,,,,,75.0,0.0,4.0,10.0,24.0,4.0,0.09,0.09,0.0,0.0,3.0,62623.0,,481,14.15,115,311,215,161,170,,481,18.0,18.0,612,,,,,,,,1.74,1.74,1,0.03,59,221450,0.06,0.06,0.0,0.0,2.0,13171199.0,France Ligue 1
Reims,,,,100.5,100.5,3417,,,,,,1.76,50.44,50.44,1715,5.12,5.12,174,50.68,50.68,1723,12.26,12.26,417,,,,,,,,,,,,,,,,,,289447.0,7.81,,,,,,,,,2.47,2.47,84,,,,,60.0,2.0,3.0,6.0,22.0,1.0,0.03,0.03,1.0,0.03,1.0,64020.0,,415,12.21,122,276,169,138,139,,415,19.03,19.03,647,,,,,,,,2.0,2.0,4,0.12,68,62026,0.06,0.06,0.0,0.0,2.0,62026.0,France Ligue 1
Paris Saint Germain,,,,127.41,127.41,4332,,,,,,2.29,65.24,65.24,2218,5.82,5.82,198,61.88,61.88,2104,10.15,10.15,345,,,,,,,,,,,,,,,,,,96611.0,8.1,,,,,,,,,1.56,1.56,53,,,,,77.78,2.0,7.0,8.0,20.0,3.0,0.06,0.06,0.0,0.0,2.0,129771.0,,513,15.09,147,341,173,199,172,,513,17.32,17.32,589,,,,,,,,1.5,1.5,0,0.0,51,186797,0.03,0.03,0.0,0.0,1.0,37317369.0,France Ligue 1
Lorient,,,,93.56,93.56,3181,,,,,,1.41,46.35,46.35,1576,3.97,3.97,135,43.65,43.65,1484,11.38,11.38,387,,,,,,,,,,,,,,,,,,3876535.0,7.29,,,,,,,,,1.74,1.74,59,,,,,0.0,0.0,1.0,9.0,24.0,2.0,0.03,0.03,0.0,0.0,1.0,430249.0,,369,10.85,90,232,151,139,137,,369,16.12,16.12,548,,,,,,,,2.0,2.0,0,0.0,68,36074593,,,,,,,France Ligue 1
Brest,,,,115.88,115.88,3940,,,,,,2.0,54.09,54.09,1839,4.53,4.53,154,50.85,50.85,1729,11.68,11.68,397,,,,,,,,,,,,,,,,,,96826.0,7.69,,,,,,,,,1.06,1.06,36,,,,,75.0,0.0,4.0,11.0,17.0,0.0,0.09,0.09,0.0,0.0,3.0,24238.0,,485,14.26,127,307,191,175,178,,485,19.97,19.97,679,,,,,,,,2.44,2.44,5,0.15,83,96826,0.06,0.06,0.0,0.0,2.0,96826.0,France Ligue 1
Lens,,,,110.41,110.41,3754,,,,,,1.82,52.44,52.44,1783,5.15,5.15,175,51.15,51.15,1739,12.24,12.24,416,,,,,,,,,,,,,,,,,,96972.0,7.65,,,,,,,,,2.29,2.29,78,,,,,85.71,1.0,6.0,8.0,20.0,2.0,0.09,0.09,0.0,0.0,3.0,96348.0,,496,14.59,132,337,197,179,157,,496,16.76,16.76,570,,,,,,,,2.26,2.26,3,0.09,77,335521,0.03,0.03,0.0,0.0,1.0,32387131.0,France Ligue 1
Clermont,,,,99.47,99.47,3382,,,,,,1.29,48.97,48.97,1665,4.41,4.41,150,38.91,38.91,1323,11.62,11.62,395,,,,,,,,,,,,,,,,,,37585629.0,7.78,,,,,,,,,1.5,1.5,51,,,,,66.67,3.0,6.0,6.0,21.0,1.0,0.18,0.18,1.0,0.03,6.0,62737.0,,390,11.47,114,231,156,135,159,,390,16.94,16.94,576,,,,,,,,1.79,1.79,7,0.21,61,62737,,,,,,,France Ligue 1
Monaco,,,,120.21,120.21,4087,,,,,,2.18,53.68,53.68,1825,5.38,5.38,183,49.94,49.94,1698,13.53,13.53,460,,,,,,,,,,,,,,,,,,156566.0,8.06,,,,,,,,,2.12,2.12,72,,,,,40.0,3.0,2.0,7.0,24.0,1.0,0.12,0.12,0.0,0.0,4.0,170199.0,,517,15.21,135,358,177,211,159,,517,20.06,20.06,682,,,,,,,,2.29,2.29,2,0.06,78,198051,0.12,0.12,0.0,0.0,4.0,198051.0,France Ligue 1
