team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Werder Bremen,,,,96.47,96.47,3280,,,,,,1.65,46.68,46.68,1587,3.53,3.53,120,37.32,37.32,1269,11.15,11.15,379,,,,,,,,,,,,,,,,,,31757.0,7.46,,,,,,,,,2.09,2.09,71,,,,,83.33,1.0,5.0,5.0,23.0,3.0,0.06,0.06,0.0,0.0,2.0,32515.0,,412,12.12,109,279,182,131,133,,412,18.0,18.0,612,,,,,,,,2.15,2.15,0,0.0,73,31729,,,,,,,Germany Bundesliga
FC Bayern München,,,,129.06,129.06,4388,,,,,,2.35,61.62,61.62,2095,6.71,6.71,228,64.68,64.68,2199,8.59,8.59,292,,,,,,,,,,,,,,,,,,997.0,8.51,,,,,,,,,1.74,1.74,59,,,,,80.0,0.0,5.0,5.0,25.0,2.0,0.03,0.03,0.0,0.0,1.0,32362.0,,638,18.76,188,461,217,244,177,,638,15.5,15.5,527,,,,,,,,1.35,1.35,5,0.15,46,37582044,0.03,0.03,0.0,0.0,1.0,33685.0,Germany Bundesliga
Bayer 04 Leverkusen,,,,131.44,131.44,4469,,,,,,2.65,62.21,62.21,2115,6.94,6.94,236,71.29,71.29,2424,8.71,8.71,296,,,,,,,,,,,,,,,,,,160208.0,7.86,,,,,,,,,2.18,2.18,74,,,,,87.5,0.0,8.0,7.0,20.0,1.0,,,,,,,,619,18.21,168,391,219,242,228,,619,13.56,13.56,461,,,,,,,,1.74,1.74,5,0.15,59,31836,,,,,,,Germany Bundesliga
RB Leipzig,,,,111.32,111.32,3785,,,,,,2.12,55.41,55.41,1884,5.88,5.88,200,46.59,46.59,1584,10.26,10.26,349,,,,,,,,,,,,,,,,,,37317392.0,7.81,,,,,,,,,2.06,2.06,70,,,,,57.14,3.0,4.0,5.0,23.0,0.0,,,,,,,,535,15.74,135,361,183,224,174,,535,15.91,15.91,541,,,,,,,,1.79,1.79,4,0.12,61,37317392,0.03,0.03,0.0,0.0,1.0,37317392.0,Germany Bundesliga
VfL Wolfsburg,,,,99.09,99.09,3369,,,,,,1.59,47.85,47.85,1627,4.35,4.35,148,42.26,42.26,1437,11.76,11.76,400,,,,,,,,,,,,,,,,,,31730.0,7.33,,,,,,,,,1.21,1.21,41,,,,,66.67,1.0,2.0,11.0,14.0,4.0,0.09,0.09,0.0,0.0,3.0,5666458.0,,415,12.21,106,260,163,152,154,,415,16.03,16.03,545,,,,,,,,2.47,2.47,3,0.09,84,31730,0.06,0.06,0.0,0.0,2.0,1494701.0,Germany Bundesliga
Heidenheim,,,,95.47,95.47,3246,,,,,,1.59,42.18,42.18,1434,5.35,5.35,182,41.06,41.06,1396,12.62,12.62,429,,,,,,,,,,,,,,,,,,537629.0,7.56,,,,,,,,,1.18,1.18,40,,,,,66.67,1.0,2.0,7.0,17.0,2.0,0.03,0.03,0.0,0.0,1.0,52804.0,,395,11.62,114,264,170,123,131,,395,17.91,17.91,609,,,,,,,,1.59,1.59,3,0.09,54,36436,,,,,,,Germany Bundesliga
TSG Hoffenheim,,,,105.0,105.0,3570,,,,,,1.76,50.0,50.0,1700,4.38,4.38,149,45.06,45.06,1532,9.38,9.38,319,,,,,,,,,,,,,,,,,,1232.0,7.65,,,,,,,,,1.56,1.56,53,,,,,83.33,0.0,6.0,9.0,17.0,7.0,0.03,0.03,0.0,0.0,1.0,31759.0,,463,13.62,127,290,180,167,173,,463,15.35,15.35,522,,,,,,,,2.41,2.41,1,0.03,82,5640817,0.12,0.12,0.0,0.0,4.0,33784.0,Germany Bundesliga
SC Freiburg,,,,104.5,104.5,3553,,,,,,1.65,46.32,46.32,1575,3.71,3.71,126,39.12,39.12,1330,10.26,10.26,349,,,,,,,,,,,,,,,,,,31913.0,7.37,,,,,,,,,1.59,1.59,54,,,,,77.78,2.0,7.0,9.0,17.0,4.0,0.09,0.09,0.0,0.0,3.0,31723.0,,401,11.79,101,287,166,145,114,,401,16.21,16.21,551,,,,,,,,1.85,1.85,3,0.09,63,31723,0.03,0.03,0.0,0.0,1.0,30950.0,Germany Bundesliga
FC Augsburg,,,,97.24,97.24,3306,,,,,,1.59,43.97,43.97,1495,4.85,4.85,165,46.29,46.29,1574,12.88,12.88,438,,,,,,,,,,,,,,,,,,46092.0,7.33,,,,,,,,,2.32,2.32,79,,,,,71.43,2.0,5.0,11.0,19.0,2.0,0.06,0.06,0.0,0.0,2.0,84427.0,,436,12.82,130,289,183,136,147,,436,15.79,15.79,537,,,,,,,,2.06,2.06,1,0.03,70,24284,0.03,0.03,0.0,0.0,1.0,35192.0,Germany Bundesliga
Borussia Mönchengladbach,,,,87.12,87.12,2962,,,,,,1.41,46.5,46.5,1581,5.12,5.12,174,38.26,38.26,1301,9.76,9.76,332,,,,,,,,,,,,,,,,,,418113.0,7.35,,,,,,,,,1.62,1.62,55,,,,,71.43,2.0,5.0,4.0,25.0,0.0,0.03,0.03,0.0,0.0,1.0,23738800.0,,456,13.41,104,317,206,155,140,,456,17.29,17.29,588,,,,,,,,1.91,1.91,1,0.03,65,32394,0.03,0.03,0.0,0.0,1.0,52850.0,Germany Bundesliga
