team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Volos NFC,,,,84.12,84.12,2776,,,,,,1.48,43.73,43.73,1443,3.36,3.36,111,38.03,38.03,1255,17.21,17.21,568,,,,,,,,,,,,,,,,,,115228.0,7.55,,,,,,,,,1.64,1.64,54,,,,,71.43,2.0,5.0,9.0,19.0,8.0,0.06,0.06,0.0,0.0,2.0,91456.0,,311,9.42,79,182,124,116,129,,311,14.79,14.79,488,,,,,,,,3.21,3.21,1,0.03,106,1498092,0.12,0.12,0.0,0.0,4.0,24855.0,Greece Super Liga
Lamia,,,,82.42,82.42,2967,,,,,,1.5,40.17,40.17,1446,3.19,3.19,115,33.42,33.42,1203,13.64,13.64,491,,,,,,,,,,,,,,,,,,446753.0,7.38,,,,,,,,,1.81,1.81,65,,,,,50.0,2.0,2.0,10.0,20.0,3.0,0.06,0.06,0.0,0.0,2.0,162880.0,,316,8.78,74,197,124,130,120,,316,16.42,16.42,591,,,,,,,,2.86,2.86,3,0.08,103,186690,0.06,0.06,0.0,0.0,2.0,28555.0,Greece Super Liga
PAS Giannina,,,,89.21,89.21,2944,,,,,,1.24,41.97,41.97,1385,4.64,4.64,153,39.0,39.0,1287,13.85,13.85,457,,,,,,,,,,,,,,,,,,2483767.0,7.34,,,,,,,,,1.67,1.67,55,,,,,75.0,0.0,4.0,10.0,21.0,3.0,0.06,0.06,0.0,0.0,2.0,109193.0,,368,11.15,101,232,161,116,136,,368,15.18,15.18,501,,,,,,,,3.06,3.06,1,0.03,101,214393,0.09,0.09,0.0,0.0,3.0,109193.0,Greece Super Liga
Kifisia,,,,84.91,84.91,2802,,,,,,1.3,42.33,42.33,1397,4.76,4.76,157,39.67,39.67,1309,14.39,14.39,475,,,,,,,,,,,,,,,,,,967.0,7.37,,,,,,,,,1.58,1.58,52,,,,,85.71,1.0,6.0,5.0,24.0,6.0,0.06,0.06,0.0,0.0,2.0,31625660.0,,388,11.76,120,236,146,133,152,,388,13.79,13.79,455,,,,,,,,3.18,3.18,2,0.06,105,109013,0.15,0.15,0.0,0.0,5.0,1481514.0,Greece Super Liga
OFI,,,,93.52,93.52,3086,,,,,,1.42,51.88,51.88,1712,4.18,4.18,138,46.21,46.21,1525,15.21,15.21,502,,,,,,,,,,,,,,,,,,129364.0,7.4,,,,,,,,,2.03,2.03,67,,,,,66.67,2.0,4.0,6.0,26.0,2.0,,,,,,,,407,12.33,104,251,177,135,156,,407,15.0,15.0,495,,,,,,,,3.03,3.03,2,0.06,100,108972,,,,,,,Greece Super Liga
Aris,,,,94.28,94.28,3394,,,,,,1.89,51.5,51.5,1854,3.83,3.83,138,40.47,40.47,1457,13.83,13.83,498,,,,,,,,,,,,,,,,,,4237085.0,7.85,,,,,,,,,1.83,1.83,66,,,,,85.71,1.0,6.0,6.0,24.0,2.0,,,,,,,,448,12.44,125,256,176,166,192,,448,15.94,15.94,574,,,,,,,,2.69,2.69,1,0.03,97,61784,,,,,,,Greece Super Liga
PAOK,,,,110.81,110.81,3989,,,,,,2.39,57.08,57.08,2055,5.53,5.53,199,57.81,57.81,2081,11.72,11.72,422,,,,,,,,,,,,,,,,,,205242.0,7.63,,,,,,,,,2.17,2.17,78,,,,,57.14,3.0,4.0,8.0,18.0,5.0,,,,,,,,475,13.19,116,335,179,197,140,,475,13.11,13.11,472,,,,,,,,2.28,2.28,1,0.03,82,4267,0.03,0.03,0.0,0.0,1.0,23698010.0,Greece Super Liga
Asteras Tripolis,,,,90.88,90.88,2999,,,,,,1.67,48.03,48.03,1585,4.36,4.36,144,43.12,43.12,1423,14.82,14.82,489,,,,,,,,,,,,,,,,,,37350009.0,7.27,,,,,,,,,1.39,1.39,46,,,,,60.0,2.0,3.0,9.0,16.0,7.0,,,,,,,,334,10.12,72,212,162,115,122,,334,12.82,12.82,423,,,,,,,,2.76,2.76,1,0.03,91,108296,0.15,0.15,0.0,0.0,5.0,57996.0,Greece Super Liga
Olympiacos F.C.,,,,121.03,121.03,4357,,,,,,2.28,58.33,58.33,2100,5.78,5.78,208,59.06,59.06,2126,14.64,14.64,527,,,,,,,,,,,,,,,,,,31046.0,8.2,,,,,,,,,2.0,2.0,72,,,,,71.43,4.0,10.0,11.0,25.0,2.0,0.03,0.03,0.0,0.0,1.0,109354.0,,584,16.22,142,381,245,216,203,,584,16.11,16.11,580,,,,,,,,2.36,2.36,0,0.0,85,109354,0.06,0.06,0.0,0.0,2.0,109354.0,Greece Super Liga
Panserraikos,,,,86.03,86.03,2839,,,,,,1.55,44.52,44.52,1469,3.15,3.15,104,35.97,35.97,1187,15.3,15.3,505,,,,,,,,,,,,,,,,,,37622179.0,7.76,,,,,,,,,1.82,1.82,60,,,,,77.78,2.0,7.0,3.0,11.0,3.0,0.15,0.15,0.0,0.0,5.0,80637.0,,333,10.09,76,191,154,115,142,,333,13.24,13.24,437,,,,,,,,3.18,3.18,3,0.09,105,37553526,0.06,0.06,0.0,0.0,2.0,260978.0,Greece Super Liga
