team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Paços de Ferreira,,,,93.59,93.59,3182,,,,,,1.76,51.5,51.5,1751,5.26,5.26,179,60.06,60.06,2042,14.53,14.53,494,,,,,,,,,,,,,,,,,,37528268.0,7.96,,,,,,,,,1.0,1.0,34,,,,,50.0,3.0,3.0,7.0,21.0,0.0,0.06,0.06,0.0,0.0,2.0,160295.0,,487,14.32,126,141,227,159,141,,487,7.62,7.62,259,,,,,,,,2.56,2.56,0,0.0,87,16135805,,,,,,,Portugal LigaPro
União de Leiria,,,,86.68,86.68,2947,,,,,,1.65,48.56,48.56,1651,5.12,5.12,174,57.29,57.29,1948,14.03,14.03,477,,,,,,,,,,,,,,,,,,249936.0,8.57,,,,,,,,,1.35,1.35,46,,,,,71.43,2.0,5.0,2.0,16.0,1.0,0.12,0.12,0.0,0.0,4.0,24719.0,,395,11.62,102,156,199,114,69,,395,6.79,6.79,231,,,,,,,,2.56,2.56,1,0.03,87,133827,0.06,0.06,0.0,0.0,2.0,249936.0,Portugal LigaPro
Nacional,,,,84.06,84.06,2858,,,,,,2.24,49.41,49.41,1680,5.68,5.68,193,57.21,57.21,1945,14.65,14.65,498,,,,,,,,,,,,,,,,,,37615912.0,8.11,,,,,,,,,1.62,1.62,55,,,,,80.0,1.0,4.0,6.0,18.0,0.0,0.12,0.12,1.0,0.03,4.0,158291.0,,509,14.97,116,211,228,185,116,,509,8.47,8.47,288,,,,,,,,2.53,2.53,0,0.0,86,158291,0.06,0.06,0.0,0.0,2.0,161288.0,Portugal LigaPro
Marítimo,,,,98.21,98.21,3339,,,,,,2.06,52.47,52.47,1784,5.79,5.79,197,66.15,66.15,2249,14.56,14.56,495,,,,,,,,,,,,,,,,,,161689.0,7.58,,,,,,,,,1.65,1.65,56,,,,,88.89,1.0,8.0,11.0,23.0,1.0,0.12,0.12,1.0,0.03,4.0,158677.0,,442,13.0,115,163,191,155,135,,442,10.82,10.82,368,,,,,,,,3.06,3.06,2,0.06,104,537413,0.06,0.06,0.0,0.0,2.0,159542.0,Portugal LigaPro
AVS,,,,95.44,95.44,3245,,,,,,2.18,52.32,52.32,1779,5.97,5.97,203,63.47,63.47,2158,16.59,16.59,564,,,,,,,,,,,,,,,,,,159087.0,7.73,,,,,,,,,2.35,2.35,80,,,,,71.43,2.0,5.0,8.0,16.0,1.0,0.21,0.21,0.0,0.0,7.0,460141.0,,443,13.03,88,173,210,172,150,,443,8.5,8.5,289,,,,,,,,3.03,3.03,1,0.03,103,159397,0.09,0.09,0.0,0.0,3.0,129284.0,Portugal LigaPro
CF Os Belenenses,,,,92.47,92.47,3144,,,,,,1.35,46.71,46.71,1588,5.5,5.5,187,58.0,58.0,1972,12.71,12.71,432,,,,,,,,,,,,,,,,,,37588704.0,7.75,,,,,,,,,1.41,1.41,48,,,,,0.0,0.0,1.0,3.0,8.0,0.0,0.03,0.03,0.0,0.0,1.0,159745.0,,392,11.53,109,127,188,125,121,,392,8.29,8.29,282,,,,,,,,2.53,2.53,0,0.0,86,159745,0.06,0.06,0.0,0.0,2.0,159745.0,Portugal LigaPro
Academico Viseu,,,,91.24,91.24,3102,,,,,,1.53,50.21,50.21,1707,4.79,4.79,163,54.62,54.62,1857,13.41,13.41,456,,,,,,,,,,,,,,,,,,37563793.0,7.27,,,,,,,,,2.0,2.0,68,,,,,50.0,0.0,2.0,10.0,19.0,0.0,0.03,0.03,0.0,0.0,1.0,162374.0,,406,11.94,112,108,182,141,129,,406,8.09,8.09,275,,,,,,,,1.97,1.97,3,0.09,67,459231,0.15,0.15,0.0,0.0,5.0,37569353.0,Portugal LigaPro
Vilaverdense,,,,93.82,93.82,3190,,,,,,1.47,47.94,47.94,1630,5.56,5.56,189,61.56,61.56,2093,15.35,15.35,522,,,,,,,,,,,,,,,,,,371054.0,7.81,,,,,,,,,1.82,1.82,62,,,,,83.33,0.0,6.0,1.0,7.0,0.0,,,,,,,,422,12.41,106,109,203,139,122,,422,7.82,7.82,266,,,,,,,,2.74,2.74,0,0.0,93,37651765,,,,,,,Portugal LigaPro
Porto II,,,,85.06,85.06,2892,,,,,,1.71,54.32,54.32,1847,6.21,6.21,211,54.5,54.5,1853,12.15,12.15,413,,,,,,,,,,,,,,,,,,11298635.0,8.13,,,,,,,,,1.21,1.21,41,,,,,71.43,2.0,5.0,8.0,23.0,2.0,0.03,0.03,1.0,0.03,1.0,508813.0,,355,10.44,85,119,173,147,66,,355,6.65,6.65,226,,,,,,,,2.21,2.21,0,0.0,75,14338012,0.03,0.03,0.0,0.0,1.0,37414397.0,Portugal LigaPro
Tondela,,,,86.85,86.85,2953,,,,,,1.71,47.97,47.97,1631,4.88,4.88,166,55.26,55.26,1879,15.76,15.76,536,,,,,,,,,,,,,,,,,,37582875.0,7.38,,,,,,,,,1.88,1.88,64,,,,,63.64,4.0,7.0,5.0,21.0,1.0,0.12,0.12,0.0,0.0,4.0,161618.0,,322,9.47,68,124,143,130,80,,322,9.47,9.47,322,,,,,,,,2.76,2.76,2,0.06,94,221841,,,,,,,Portugal LigaPro
