team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Krasnodar,,,,95.53,95.53,2866,,,,,,2.07,53.83,53.83,1615,5.13,5.13,154,46.8,46.8,1404,12.2,12.2,366,,,,,,,,,,,,,,,,,,32652.0,7.65,,,,,,,,,1.8,1.8,54,,,,,75.0,2.0,6.0,7.0,17.0,1.0,0.03,0.03,0.0,0.0,1.0,32652.0,,390,13.0,107,230,155,141,167,,390,12.9,12.9,387,,,,,,,,2.27,2.27,5,0.17,68,5283493,0.1,0.1,0.0,0.0,3.0,460199.0,Russia Premier League
FK Nizjni Novgorod,,,,75.97,75.97,2279,,,,,,1.53,41.9,41.9,1257,3.4,3.4,102,36.63,36.63,1099,13.47,13.47,404,,,,,,,,,,,,,,,,,,37317462.0,8.36,,,,,,,,,1.43,1.43,43,,,,,80.0,1.0,4.0,10.0,21.0,3.0,0.07,0.07,0.0,0.0,2.0,373921.0,,292,9.73,84,172,122,94,123,,292,15.6,15.6,468,,,,,,,,2.1,2.1,6,0.2,63,1499086,0.1,0.1,1.0,0.03,3.0,373921.0,Russia Premier League
Krylya Sovetov,,,,86.9,86.9,2607,,,,,,1.8,50.43,50.43,1513,5.07,5.07,152,44.97,44.97,1349,9.93,9.93,298,,,,,,,,,,,,,,,,,,25705.0,7.43,,,,,,,,,1.87,1.87,56,,,,,72.73,3.0,8.0,7.0,16.0,5.0,0.03,0.03,0.0,0.0,1.0,377250.0,,332,11.07,72,216,130,139,115,,332,12.9,12.9,387,,,,,,,,1.9,1.9,2,0.07,57,546805,0.03,0.03,0.0,0.0,1.0,25705.0,Russia Premier League
Rostov,,,,88.47,88.47,2654,,,,,,1.87,53.37,53.37,1601,5.57,5.57,167,52.0,52.0,1560,11.23,11.23,337,,,,,,,,,,,,,,,,,,37335083.0,7.39,,,,,,,,,1.73,1.73,52,,,,,71.43,2.0,5.0,6.0,24.0,2.0,0.07,0.07,0.0,0.0,2.0,37548697.0,,426,14.2,103,280,183,149,146,,426,12.8,12.8,384,,,,,,,,2.1,2.1,2,0.07,63,169653,0.1,0.1,0.0,0.0,3.0,2170242.0,Russia Premier League
Rubin Kazan,,,,91.47,91.47,2744,,,,,,1.73,45.93,45.93,1378,4.33,4.33,130,47.57,47.57,1427,13.9,13.9,417,,,,,,,,,,,,,,,,,,1489787.0,7.23,,,,,,,,,1.5,1.5,45,,,,,50.0,1.0,1.0,5.0,27.0,6.0,0.03,0.03,1.0,0.03,1.0,330673.0,,351,11.7,79,212,150,131,141,,351,13.13,13.13,394,,,,,,,,1.83,1.83,1,0.03,55,375272,,,,,,,Russia Premier League
Spartak Moskva,,,,93.1,93.1,2793,,,,,,1.93,54.53,54.53,1636,5.17,5.17,155,51.7,51.7,1551,12.13,12.13,364,,,,,,,,,,,,,,,,,,24256.0,7.8,,,,,,,,,1.37,1.37,41,,,,,66.67,0.0,3.0,7.0,22.0,1.0,0.03,0.03,1.0,0.03,1.0,23659722.0,,419,13.97,119,255,156,161,169,,419,13.23,13.23,397,,,,,,,,2.0,2.0,0,0.0,60,172130,0.03,0.03,0.0,0.0,1.0,177822.0,Russia Premier League
Orenburg,,,,88.47,88.47,2654,,,,,,1.53,51.5,51.5,1545,5.13,5.13,154,52.3,52.3,1569,11.87,11.87,356,,,,,,,,,,,,,,,,,,37261257.0,7.41,,,,,,,,,1.9,1.9,57,,,,,75.0,1.0,3.0,8.0,20.0,3.0,0.03,0.03,0.0,0.0,1.0,333595.0,,397,13.23,74,259,197,136,147,,397,15.9,15.9,477,,,,,,,,2.43,2.43,6,0.2,73,37261257,0.03,0.03,0.0,0.0,1.0,36083094.0,Russia Premier League
Ural,,,,91.57,91.57,2747,,,,,,1.4,47.4,47.4,1422,5.5,5.5,165,48.13,48.13,1444,12.57,12.57,377,,,,,,,,,,,,,,,,,,73934.0,7.3,,,,,,,,,1.6,1.6,48,,,,,62.5,3.0,5.0,6.0,22.0,1.0,0.07,0.07,0.0,0.0,2.0,169941.0,,354,11.8,109,259,152,115,104,,354,13.93,13.93,418,,,,,,,,2.07,2.07,2,0.07,62,73934,0.1,0.1,0.0,0.0,3.0,164135.0,Russia Premier League
CSKA Moskva,,,,91.87,91.87,2756,,,,,,1.8,49.2,49.2,1476,4.37,4.37,131,51.0,51.0,1530,12.0,12.0,360,,,,,,,,,,,,,,,,,,37509454.0,7.4,,,,,,,,,1.4,1.4,42,,,,,87.5,0.0,8.0,7.0,18.0,2.0,0.1,0.1,0.0,0.0,3.0,96626.0,,389,12.97,89,250,152,155,141,,389,13.63,13.63,409,,,,,,,,1.83,1.83,2,0.07,55,231753,0.03,0.03,0.0,0.0,1.0,231753.0,Russia Premier League
Lokomotiv Moskva,,,,90.33,90.33,2710,,,,,,1.93,49.67,49.67,1490,5.9,5.9,177,50.0,50.0,1500,12.47,12.47,374,,,,,,,,,,,,,,,,,,376767.0,7.52,,,,,,,,,1.4,1.4,42,,,,,50.0,0.0,2.0,4.0,21.0,4.0,,,,,,,,408,13.6,115,267,147,153,140,,408,14.5,14.5,435,,,,,,,,2.33,2.33,2,0.07,70,170211,0.1,0.1,0.0,0.0,3.0,537487.0,Russia Premier League
