team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Almería,,,,89.82,89.82,3413,,,,,,1.16,46.18,46.18,1755,4.39,4.39,167,35.89,35.89,1364,12.21,12.21,464,,,,,,,,,,,,,,,,,,333499.0,7.21,,,,,,,,,2.03,2.03,77,,,,,50.0,0.0,2.0,8.0,24.0,1.0,0.05,0.05,0.0,0.0,2.0,186390.0,,480,12.63,106,282,216,171,198,,480,16.68,16.68,634,,,,,,,,2.42,2.42,3,0.08,92,333499,0.11,0.11,1.0,0.03,4.0,13981024.0,Spain La Liga
Rayo Vallecano,,,,99.24,99.24,3771,,,,,,1.42,49.34,49.34,1875,4.45,4.45,169,45.11,45.11,1714,14.37,14.37,546,,,,,,,,,,,,,,,,,,96002.0,7.16,,,,,,,,,2.53,2.53,96,,,,,85.71,1.0,6.0,7.0,19.0,1.0,0.05,0.05,1.0,0.03,2.0,84558.0,,495,13.03,126,262,216,168,231,,495,16.55,16.55,629,,,,,,,,2.76,2.76,3,0.08,105,2511096,0.08,0.08,0.0,0.0,3.0,186358.0,Spain La Liga
Sevilla,,,,99.66,99.66,3787,,,,,,1.53,50.32,50.32,1912,4.74,4.74,180,49.82,49.82,1893,11.87,11.87,451,,,,,,,,,,,,,,,,,,29992.0,7.7,,,,,,,,,2.05,2.05,78,,,,,50.0,0.0,2.0,11.0,21.0,2.0,0.11,0.11,0.0,0.0,4.0,1435.0,,489,12.87,93,321,235,164,168,,489,18.63,18.63,708,,,,,,,,2.84,2.84,0,0.0,108,37553227,,,,,,,Spain La Liga
Valencia,,,,94.05,94.05,3574,,,,,,1.68,44.13,44.13,1677,3.26,3.26,124,40.45,40.45,1537,12.03,12.03,457,,,,,,,,,,,,,,,,,,186619.0,7.45,,,,,,,,,1.79,1.79,68,,,,,88.89,1.0,8.0,8.0,18.0,2.0,0.08,0.08,0.0,0.0,3.0,540261.0,,378,9.95,90,232,166,133,145,,378,17.21,17.21,654,,,,,,,,1.63,1.63,2,0.05,62,5641028,0.05,0.05,0.0,0.0,2.0,1441.0,Spain La Liga
Real Sociedad,,,,109.87,109.87,4175,,,,,,1.84,55.74,55.74,2118,5.21,5.21,198,47.82,47.82,1817,15.95,15.95,606,,,,,,,,,,,,,,,,,,525790.0,7.52,,,,,,,,,2.39,2.39,91,,,,,75.0,0.0,4.0,12.0,25.0,1.0,0.05,0.05,0.0,0.0,2.0,187110.0,,461,12.13,119,274,201,156,187,,461,17.5,17.5,665,,,,,,,,2.58,2.58,1,0.03,98,100580,,,,,,,Spain La Liga
Girona,,,,101.55,101.55,3859,,,,,,2.32,57.13,57.13,2171,4.18,4.18,159,49.74,49.74,1890,10.68,10.68,406,,,,,,,,,,,,,,,,,,4574.0,7.6,,,,,,,,,2.53,2.53,96,,,,,87.5,1.0,7.0,6.0,22.0,1.0,0.03,0.03,1.0,0.03,1.0,4574.0,,483,12.71,104,332,200,191,152,,483,14.37,14.37,546,,,,,,,,2.0,2.0,2,0.05,76,37341806,,,,,,,Spain La Liga
Las Palmas,,,,104.47,104.47,3970,,,,,,1.53,59.45,59.45,2259,4.18,4.18,159,41.87,41.87,1591,10.76,10.76,409,,,,,,,,,,,,,,,,,,63168.0,7.48,,,,,,,,,2.47,2.47,94,,,,,60.0,2.0,3.0,7.0,18.0,2.0,0.11,0.11,0.0,0.0,4.0,25102.0,,391,10.29,109,207,165,125,184,,391,17.58,17.58,668,,,,,,,,2.13,2.13,2,0.05,81,26328601,0.03,0.03,0.0,0.0,1.0,32041240.0,Spain La Liga
Mallorca,,,,96.58,96.58,3670,,,,,,1.42,44.79,44.79,1702,4.55,4.55,173,40.58,40.58,1542,14.74,14.74,560,,,,,,,,,,,,,,,,,,181184.0,7.85,,,,,,,,,2.74,2.74,104,,,,,33.33,2.0,1.0,10.0,13.0,4.0,0.05,0.05,0.0,0.0,2.0,2060.0,,418,11.0,110,288,187,139,130,,418,18.45,18.45,701,,,,,,,,2.74,2.74,5,0.13,104,380232,0.05,0.05,0.0,0.0,2.0,2987.0,Spain La Liga
Athletic Club,,,,115.16,115.16,4376,,,,,,2.0,49.95,49.95,1898,5.5,5.5,209,51.84,51.84,1970,13.32,13.32,506,,,,,,,,,,,,,,,,,,186801.0,7.49,,,,,,,,,2.11,2.11,80,,,,,60.0,2.0,3.0,6.0,21.0,0.0,0.05,0.05,1.0,0.03,2.0,187035.0,,463,12.18,116,343,185,172,120,,463,15.66,15.66,595,,,,,,,,2.05,2.05,1,0.03,78,24081488,0.08,0.08,0.0,0.0,3.0,22158925.0,Spain La Liga
Real Madrid,,,,111.45,111.45,4235,,,,,,2.53,59.24,59.24,2251,5.55,5.55,211,59.79,59.79,2272,10.03,10.03,381,,,,,,,,,,,,,,,,,,37255840.0,8.28,,,,,,,,,2.13,2.13,81,,,,,40.0,3.0,2.0,7.0,19.0,1.0,0.08,0.08,0.0,0.0,3.0,186353.0,,598,15.74,152,381,208,252,217,,598,14.97,14.97,569,,,,,,,,1.79,1.79,4,0.11,68,23688922,0.03,0.03,0.0,0.0,1.0,31647.0,Spain La Liga
Celta de Vigo,,,,98.5,98.5,3743,,,,,,1.53,46.16,46.16,1754,4.76,4.76,181,47.03,47.03,1787,11.53,11.53,438,,,,,,,,,,,,,,,,,,800.0,7.82,,,,,,,,,1.74,1.74,66,,,,,60.0,2.0,3.0,7.0,22.0,1.0,0.08,0.08,0.0,0.0,3.0,186961.0,,472,12.42,130,308,188,160,164,,472,16.42,16.42,624,,,,,,,,1.74,1.74,0,0.0,66,800,0.05,0.05,0.0,0.0,2.0,8333.0,Spain La Liga
Osasuna,,,,110.61,110.61,4203,,,,,,1.63,47.39,47.39,1801,4.47,4.47,170,49.47,49.47,1880,13.29,13.29,505,,,,,,,,,,,,,,,,,,34700.0,7.34,,,,,,,,,1.82,1.82,69,,,,,80.0,1.0,4.0,5.0,20.0,1.0,0.11,0.11,2.0,0.05,4.0,213486.0,,426,11.21,109,275,202,130,151,,426,13.97,13.97,531,,,,,,,,2.05,2.05,1,0.03,78,447278,0.03,0.03,0.0,0.0,1.0,186878.0,Spain La Liga
Villarreal,,,,92.13,92.13,3501,,,,,,1.74,49.47,49.47,1880,4.58,4.58,174,43.97,43.97,1671,12.26,12.26,466,,,,,,,,,,,,,,,,,,7698436.0,7.8,,,,,,,,,2.42,2.42,92,,,,,71.43,2.0,5.0,11.0,22.0,1.0,0.11,0.11,1.0,0.03,4.0,38.0,,469,12.34,133,346,181,171,123,,469,15.58,15.58,592,,,,,,,,2.82,2.82,5,0.13,107,7698436,0.11,0.11,0.0,0.0,4.0,1471.0,Spain La Liga
Real Betis,,,,96.55,96.55,3669,,,,,,1.74,50.53,50.53,1920,5.71,5.71,217,47.21,47.21,1794,11.24,11.24,427,,,,,,,,,,,,,,,,,,185972.0,7.66,,,,,,,,,1.92,1.92,73,,,,,66.67,1.0,2.0,11.0,22.0,0.0,0.05,0.05,0.0,0.0,2.0,1899.0,,492,12.95,146,329,199,159,163,,492,18.45,18.45,701,,,,,,,,2.26,2.26,1,0.03,86,185972,0.03,0.03,0.0,0.0,1.0,213486.0,Spain La Liga
Getafe,,,,106.34,106.34,4041,,,,,,1.53,44.84,44.84,1704,3.76,3.76,143,42.0,42.0,1596,16.11,16.11,612,,,,,,,,,,,,,,,,,,20333643.0,7.39,,,,,,,,,2.08,2.08,79,,,,,85.71,1.0,6.0,7.0,19.0,1.0,0.13,0.13,1.0,0.03,5.0,160247.0,,453,11.92,119,278,185,161,175,,453,16.11,16.11,612,,,,,,,,3.47,3.47,6,0.16,132,63020,0.13,0.13,0.0,0.0,5.0,63020.0,Spain La Liga
FC Barcelona,,,,122.18,122.18,4643,,,,,,2.37,64.37,64.37,2446,6.26,6.26,238,55.37,55.37,2104,10.97,10.97,417,,,,,,,,,,,,,,,,,,31284.0,7.96,,,,,,,,,2.71,2.71,103,,,,,75.0,2.0,6.0,5.0,23.0,0.0,0.03,0.03,2.0,0.05,1.0,160258.0,,595,15.66,156,410,216,235,185,,595,15.24,15.24,579,,,,,,,,2.29,2.29,6,0.16,87,26536,0.03,0.03,0.0,0.0,1.0,37599292.0,Spain La Liga
Cádiz,,,,98.71,98.71,3751,,,,,,1.32,42.97,42.97,1633,4.47,4.47,170,41.11,41.11,1562,14.68,14.68,558,,,,,,,,,,,,,,,,,,217194.0,7.39,,,,,,,,,2.39,2.39,91,,,,,66.67,0.0,3.0,6.0,23.0,3.0,0.18,0.18,0.0,0.0,7.0,4545453.0,,398,10.47,96,240,186,125,158,,398,18.0,18.0,684,,,,,,,,2.82,2.82,0,0.0,107,189290,,,,,,,Spain La Liga
Deportivo Alavés,,,,90.58,90.58,3442,,,,,,1.63,41.55,41.55,1579,4.92,4.92,187,43.89,43.89,1668,12.71,12.71,483,,,,,,,,,,,,,,,,,,4977687.0,7.14,,,,,,,,,1.82,1.82,69,,,,,37.5,5.0,3.0,4.0,22.0,2.0,0.03,0.03,1.0,0.03,1.0,4545461.0,,465,12.24,118,301,210,148,165,,465,15.45,15.45,587,,,,,,,,2.24,2.24,8,0.21,85,186663,,,,,,,Spain La Liga
Atlético Madrid,,,,98.95,98.95,3760,,,,,,2.26,50.84,50.84,1932,4.58,4.58,174,46.37,46.37,1762,11.11,11.11,422,,,,,,,,,,,,,,,,,,185658.0,7.58,,,,,,,,,3.24,3.24,123,,,,,83.33,1.0,5.0,6.0,21.0,2.0,0.05,0.05,0.0,0.0,2.0,32574.0,,481,12.66,110,351,177,206,130,,481,17.26,17.26,656,,,,,,,,2.24,2.24,3,0.08,85,186412,0.08,0.08,0.0,0.0,3.0,1367.0,Spain La Liga
Granada,,,,86.68,86.68,3294,,,,,,1.21,45.61,45.61,1733,3.92,3.92,149,38.68,38.68,1470,13.11,13.11,498,,,,,,,,,,,,,,,,,,37622274.0,7.55,,,,,,,,,2.03,2.03,77,,,,,62.5,3.0,5.0,9.0,28.0,0.0,0.08,0.08,0.0,0.0,3.0,129862.0,,402,10.58,111,270,170,134,132,,402,16.89,16.89,642,,,,,,,,2.58,2.58,5,0.13,98,186710,0.03,0.03,0.0,0.0,1.0,20673398.0,Spain La Liga
