team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Trabzonspor,1.21,80.6086956521739,46.0,101.24,101.24,3847,183.29,187.1,189.67,179.25,183.08,2.11,52.95,52.95,2012,4.97,4.97,189,45.34,45.34,1723,12.45,12.45,473,38.0,19.0,19.0,38.0,27.0,13.0,8.0,1.0,1.0,31.0,21.0,11.0,4.0,2.0,2.0,8.0,3.0,84143.0,7.71,11.0,0.29,11.0,8.5,323.0,4.0,45.0,71.0,1.29,1.29,49,433.53,265.71,31.99,16474.0,100.0,0.0,4.0,8.0,24.0,1.0,,,,,,,53.74,515,13.55,141,316,219,174,199,5.0,515,15.79,15.79,600,9.23,1.32,1593.0,729.0,729.0,1593.0,3708.0,1.68,1.68,4,0.11,64,5666457,0.03,0.03,0.0,0.0,1.0,5666457.0,Turkey Super Lig
Antalyaspor,,,,92.61,92.61,3519,,,,,,1.63,51.29,51.29,1949,5.34,5.34,203,43.29,43.29,1645,12.21,12.21,464,,,,,,,,,,,,,,,,,,155460.0,7.39,,,,,,,,,0.89,0.89,34,,,,,80.0,1.0,4.0,6.0,22.0,4.0,0.08,0.08,0.0,0.0,3.0,25029.0,,501,13.18,140,299,215,153,201,,501,15.21,15.21,578,,,,,,,,2.03,2.03,4,0.11,77,155460,0.03,0.03,0.0,0.0,1.0,124167.0,Turkey Super Lig
Kasımpaşa,,,,98.76,98.76,3753,,,,,,1.84,46.92,46.92,1783,5.0,5.0,190,44.97,44.97,1709,11.74,11.74,446,,,,,,,,,,,,,,,,,,200994.0,7.85,,,,,,,,,2.21,2.21,84,,,,,83.33,1.0,5.0,8.0,22.0,4.0,0.05,0.05,0.0,0.0,2.0,2837.0,,542,14.26,119,297,254,182,241,,542,15.63,15.63,594,,,,,,,,1.89,1.89,7,0.18,72,305950,,,,,,,Turkey Super Lig
Ankaragücü,,,,94.13,94.13,3577,,,,,,1.42,48.34,48.34,1837,3.84,3.84,146,42.0,42.0,1596,10.61,10.61,403,,,,,,,,,,,,,,,,,,390278.0,7.28,,,,,,,,,1.63,1.63,62,,,,,80.0,1.0,4.0,10.0,24.0,0.0,0.05,0.05,0.0,0.0,2.0,43244.0,,459,12.08,116,243,193,158,215,,459,15.26,15.26,580,,,,,,,,1.74,1.74,10,0.26,66,108160,0.03,0.03,0.0,0.0,1.0,132244.0,Turkey Super Lig
Konyaspor,,,,98.08,98.08,3727,,,,,,1.47,46.74,46.74,1776,4.21,4.21,160,39.32,39.32,1494,10.58,10.58,402,,,,,,,,,,,,,,,,,,34735.0,7.63,,,,,,,,,2.03,2.03,77,,,,,88.89,0.0,9.0,10.0,27.0,0.0,0.03,0.03,0.0,0.0,1.0,203954.0,,419,11.03,95,265,200,133,153,,419,15.82,15.82,601,,,,,,,,2.0,2.0,2,0.05,76,201517,0.03,0.03,0.0,0.0,1.0,205067.0,Turkey Super Lig
İstanbulspor,0.45,213.94117647058823,17.0,87.68,87.68,3332,184.45,184.88,192.0,179.38,183.56,1.21,46.87,46.87,1781,4.21,4.21,160,39.21,39.21,1490,11.87,11.87,451,38.0,19.0,19.0,38.0,35.0,23.0,12.0,5.0,3.0,20.0,6.0,1.0,0.0,0.0,2.0,3.0,2.0,437573.0,7.9,10.0,0.26,10.0,8.95,340.0,2.0,6.0,63.0,1.61,1.61,61,403.16,589.23,38.98,15320.0,33.33,2.0,1.0,7.0,23.0,2.0,0.05,0.05,1.0,0.03,2.0,608118.0,134.7,393,10.34,91,213,164,145,180,2.0,393,15.55,15.55,591,5.68,1.3,882.0,457.0,457.0,882.0,3637.0,2.39,2.39,2,0.05,91,131882,0.13,0.13,0.0,0.0,5.0,26598.0,Turkey Super Lig
Kayserispor,,,,95.79,95.79,3640,,,,,,1.58,51.87,51.87,1971,4.24,4.24,161,40.97,40.97,1557,12.76,12.76,485,,,,,,,,,,,,,,,,,,3187724.0,7.52,,,,,,,,,2.24,2.24,85,,,,,83.33,1.0,5.0,9.0,25.0,0.0,0.05,0.05,1.0,0.03,2.0,98934.0,,462,12.16,113,295,206,153,163,,462,14.29,14.29,543,,,,,,,,2.26,2.26,7,0.18,86,371258,0.08,0.08,0.0,0.0,3.0,70533.0,Turkey Super Lig
Galatasaray,,,,119.55,119.55,4543,,,,,,2.74,60.74,60.74,2308,6.92,6.92,263,57.32,57.32,2178,13.82,13.82,525,,,,,,,,,,,,,,,,,,22994.0,7.72,,,,,,,,,2.05,2.05,78,,,,,73.33,4.0,11.0,11.0,26.0,1.0,,,,,,,,742,19.53,200,503,306,261,240,,742,16.42,16.42,624,,,,,,,,1.74,1.74,3,0.08,66,130022,0.03,0.03,0.0,0.0,1.0,534383.0,Turkey Super Lig
Pendikspor,,,,102.0,102.0,3876,,,,,,1.47,49.89,49.89,1896,4.68,4.68,178,45.66,45.66,1735,11.71,11.71,445,,,,,,,,,,,,,,,,,,62963.0,7.54,,,,,,,,,2.16,2.16,82,,,,,71.43,2.0,5.0,8.0,16.0,3.0,0.03,0.03,1.0,0.03,1.0,203502.0,,450,11.84,115,296,198,146,154,,450,16.05,16.05,610,,,,,,,,2.29,2.29,4,0.11,87,159589,0.13,0.13,0.0,0.0,5.0,170427.0,Turkey Super Lig
Hatayspor,,,,86.89,86.89,3302,,,,,,1.47,47.11,47.11,1790,4.21,4.21,160,41.5,41.5,1577,13.68,13.68,520,,,,,,,,,,,,,,,,,,161178.0,7.87,,,,,,,,,1.92,1.92,73,,,,,71.43,2.0,5.0,8.0,26.0,2.0,0.03,0.03,1.0,0.03,1.0,,,417,10.97,107,259,176,148,158,,417,15.05,15.05,572,,,,,,,,2.84,2.84,4,0.11,108,95434,0.03,0.03,0.0,0.0,1.0,37356233.0,Turkey Super Lig
