team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Rosario Central,,,,96.89,96.89,2616,,,,,,,47.26,47.26,1276,4.0,4.0,108,38.19,38.19,1031,11.37,11.37,307,,,,,,,,,,,,,,,,,,37568165.0,8.21,,,,,,,,,1.33,1.33,36,,,,,66.67,2.0,4.0,,,,0.04,0.04,1.0,0.04,1.0,5640943.0,,343,12.7,80,184,163,125,159,,343,20.52,20.52,554,,,,,,,,2.63,2.63,0,0.0,71,37619101,0.07,0.07,0.0,0.0,2.0,212636.0,Argentina Liga Profissional de Futebol
Argentinos Juniors,,,,118.74,118.74,3206,,,,,,,59.85,59.85,1616,5.26,5.26,142,53.63,53.63,1448,12.26,12.26,331,,,,,,,,,,,,,,,,,,215849.0,7.33,,,,,,,,,2.0,2.0,54,,,,,83.33,1.0,5.0,,,,0.15,0.15,2.0,0.07,4.0,215849.0,,385,14.26,104,262,173,129,123,,385,17.41,17.41,470,,,,,,,,2.37,2.37,1,0.04,64,188977,0.07,0.07,0.0,0.0,2.0,11322525.0,Argentina Liga Profissional de Futebol
Defensa y Justicia,,,,95.85,95.85,2588,,,,,,,51.22,51.22,1383,4.3,4.3,116,44.19,44.19,1193,11.15,11.15,301,,,,,,,,,,,,,,,,,,333725.0,7.43,,,,,,,,,2.26,2.26,61,,,,,57.14,3.0,4.0,,,,0.15,0.15,0.0,0.0,4.0,9302267.0,,352,13.04,97,189,140,130,163,,352,17.33,17.33,468,,,,,,,,2.56,2.56,1,0.04,69,333559,0.07,0.07,0.0,0.0,2.0,185992.0,Argentina Liga Profissional de Futebol
Huracán,,,,112.41,112.41,3035,,,,,,,48.96,48.96,1322,4.56,4.56,123,51.33,51.33,1386,12.74,12.74,344,,,,,,,,,,,,,,,,,,214702.0,7.28,,,,,,,,,1.41,1.41,38,,,,,60.0,2.0,3.0,,,,0.19,0.19,1.0,0.04,5.0,37634722.0,,303,11.22,70,194,156,95,109,,303,19.22,19.22,519,,,,,,,,2.33,2.33,1,0.04,63,132343,0.04,0.04,0.0,0.0,1.0,132343.0,Argentina Liga Profissional de Futebol
San Lorenzo,,,,104.96,104.96,2834,,,,,,,48.0,48.0,1296,4.56,4.56,123,44.93,44.93,1213,12.89,12.89,348,,,,,,,,,,,,,,,,,,335713.0,7.77,,,,,,,,,2.0,2.0,54,,,,,75.0,0.0,4.0,,,,0.19,0.19,0.0,0.0,5.0,335739.0,,291,10.78,75,182,137,95,109,,291,16.56,16.56,447,,,,,,,,2.37,2.37,1,0.04,64,257864,0.11,0.11,0.0,0.0,3.0,70337.0,Argentina Liga Profissional de Futebol
Arsenal de Sarandí,,,,101.11,101.11,2730,,,,,,,46.63,46.63,1259,3.96,3.96,107,38.41,38.41,1037,12.3,12.3,332,,,,,,,,,,,,,,,,,,37551892.0,7.41,,,,,,,,,1.7,1.7,46,,,,,66.67,1.0,2.0,,,,0.07,0.07,0.0,0.0,2.0,333777.0,,259,9.59,56,149,129,84,110,,259,18.78,18.78,507,,,,,,,,2.59,2.59,0,0.0,70,37298140,0.04,0.04,0.0,0.0,1.0,37567346.0,Argentina Liga Profissional de Futebol
Estudiantes,,,,116.22,116.22,3138,,,,,,,52.44,52.44,1416,5.04,5.04,136,43.7,43.7,1180,11.56,11.56,312,,,,,,,,,,,,,,,,,,211426.0,7.31,,,,,,,,,1.33,1.33,36,,,,,0.0,2.0,0.0,,,,0.03,0.03,0.0,0.0,1.0,37567267.0,,383,14.19,89,230,184,124,153,,383,17.67,17.67,477,,,,,,,,2.04,2.04,0,0.0,55,333814,0.03,0.03,0.0,0.0,1.0,333814.0,Argentina Liga Profissional de Futebol
Tigre,,,,115.56,115.56,3120,,,,,,,54.11,54.11,1461,4.96,4.96,134,45.89,45.89,1239,9.93,9.93,268,,,,,,,,,,,,,,,,,,31640301.0,7.8,,,,,,,,,1.19,1.19,32,,,,,66.67,0.0,3.0,,,,0.04,0.04,0.0,0.0,1.0,215821.0,,409,15.15,90,217,204,128,192,,409,18.37,18.37,496,,,,,,,,1.85,1.85,0,0.0,50,215821,0.07,0.07,0.0,0.0,2.0,215821.0,Argentina Liga Profissional de Futebol
Talleres Córdoba,,,,104.11,104.11,2811,,,,,,,49.89,49.89,1347,4.78,4.78,129,39.04,39.04,1054,11.85,11.85,320,,,,,,,,,,,,,,,,,,11322447.0,7.58,,,,,,,,,1.7,1.7,46,,,,,33.33,2.0,1.0,,,,0.07,0.07,0.0,0.0,2.0,334280.0,,356,13.19,84,214,176,116,142,,356,16.44,16.44,444,,,,,,,,2.19,2.19,2,0.07,59,443582,0.04,0.04,0.0,0.0,1.0,333345.0,Argentina Liga Profissional de Futebol
Independiente,,,,110.74,110.74,2990,,,,,,,48.15,48.15,1300,4.33,4.33,117,43.37,43.37,1171,14.11,14.11,381,,,,,,,,,,,,,,,,,,213181.0,7.15,,,,,,,,,1.44,1.44,39,,,,,87.5,1.0,7.0,,,,0.15,0.15,1.0,0.04,4.0,333805.0,,299,11.07,85,170,145,88,129,,299,20.59,20.59,556,,,,,,,,2.63,2.63,1,0.04,71,37627801,0.15,0.15,0.0,0.0,4.0,215851.0,Argentina Liga Profissional de Futebol
Central Cordoba SdE,,,,102.11,102.11,2757,,,,,,,43.44,43.44,1173,4.67,4.67,126,43.96,43.96,1187,9.19,9.19,248,,,,,,,,,,,,,,,,,,13990849.0,7.24,,,,,,,,,2.15,2.15,58,,,,,50.0,1.0,1.0,,,,0.0,0.0,1.0,0.04,0.0,,,317,11.74,76,167,172,95,150,,317,18.74,18.74,506,,,,,,,,1.89,1.89,0,0.0,51,215492,0.04,0.04,0.0,0.0,1.0,217070.0,Argentina Liga Profissional de Futebol
River Plate,,,,129.26,129.26,3490,,,,,,,63.56,63.56,1716,5.81,5.81,157,50.89,50.89,1374,11.37,11.37,307,,,,,,,,,,,,,,,,,,62468.0,7.55,,,,,,,,,1.96,1.96,53,,,,,90.91,1.0,10.0,,,,0.11,0.11,0.0,0.0,3.0,333551.0,,424,15.7,106,257,187,152,167,,424,17.63,17.63,476,,,,,,,,2.22,2.22,0,0.0,60,444666,0.04,0.04,0.0,0.0,1.0,444230.0,Argentina Liga Profissional de Futebol
Platense,,,,109.15,109.15,2947,,,,,,,44.11,44.11,1191,4.19,4.19,113,43.78,43.78,1182,12.74,12.74,344,,,,,,,,,,,,,,,,,,37457534.0,7.15,,,,,,,,,1.33,1.33,36,,,,,66.67,0.0,3.0,,,,0.07,0.07,0.0,0.0,2.0,257762.0,,297,11.0,79,159,139,97,138,,297,19.7,19.7,532,,,,,,,,2.52,2.52,0,0.0,68,215656,,,,,,,Argentina Liga Profissional de Futebol
Newell's Old Boys,,,,109.85,109.85,2966,,,,,,,59.11,59.11,1596,4.7,4.7,127,39.41,39.41,1064,11.22,11.22,303,,,,,,,,,,,,,,,,,,34408111.0,7.2,,,,,,,,,1.22,1.22,33,,,,,66.67,1.0,2.0,,,,0.11,0.11,1.0,0.04,3.0,129889.0,,290,10.74,58,149,138,109,141,,290,15.93,15.93,430,,,,,,,,2.41,2.41,0,0.0,65,25954348,0.11,0.11,0.0,0.0,3.0,334280.0,Argentina Liga Profissional de Futebol
Racing Club,,,,114.81,114.81,3100,,,,,,,59.15,59.15,1597,4.78,4.78,129,43.56,43.56,1176,12.0,12.0,324,,,,,,,,,,,,,,,,,,257840.0,7.57,,,,,,,,,2.04,2.04,55,,,,,80.0,1.0,4.0,,,,0.15,0.15,0.0,0.0,4.0,133625.0,,325,12.04,67,170,145,122,155,,325,17.19,17.19,464,,,,,,,,2.56,2.56,0,0.0,69,73887,0.04,0.04,0.0,0.0,1.0,334237.0,Argentina Liga Profissional de Futebol
Belgrano,,,,104.96,104.96,2834,,,,,,,48.41,48.41,1307,4.04,4.04,109,39.37,39.37,1063,10.78,10.78,291,,,,,,,,,,,,,,,,,,217618.0,7.4,,,,,,,,,1.33,1.33,36,,,,,50.0,0.0,2.0,,,,0.15,0.15,3.0,0.11,4.0,211945.0,,283,10.48,54,168,152,95,115,,283,17.37,17.37,469,,,,,,,,1.85,1.85,2,0.07,50,333687,0.07,0.07,0.0,0.0,2.0,109390.0,Argentina Liga Profissional de Futebol
Club Atletico Colón,,,,99.04,99.04,2674,,,,,,,46.19,46.19,1247,4.41,4.41,119,38.33,38.33,1035,12.85,12.85,347,,,,,,,,,,,,,,,,,,37568766.0,7.34,,,,,,,,,1.85,1.85,50,,,,,0.0,4.0,0.0,,,,0.04,0.04,1.0,0.04,1.0,37547007.0,,288,10.67,70,173,134,99,115,,288,19.44,19.44,525,,,,,,,,2.41,2.41,0,0.0,65,522619,0.07,0.07,0.0,0.0,2.0,213078.0,Argentina Liga Profissional de Futebol
Lanús,,,,98.52,98.52,2660,,,,,,,48.04,48.04,1297,4.59,4.59,124,44.3,44.3,1196,12.74,12.74,344,,,,,,,,,,,,,,,,,,37410398.0,7.6,,,,,,,,,1.96,1.96,53,,,,,75.0,2.0,6.0,,,,0.07,0.07,2.0,0.07,2.0,333892.0,,343,12.7,95,199,153,114,144,,343,17.93,17.93,484,,,,,,,,2.59,2.59,2,0.07,70,214560,0.26,0.26,0.0,0.0,7.0,32809710.0,Argentina Liga Profissional de Futebol
Instituto,,,,111.33,111.33,3006,,,,,,,49.3,49.3,1331,5.04,5.04,136,45.04,45.04,1216,11.67,11.67,315,,,,,,,,,,,,,,,,,,257671.0,7.45,,,,,,,,,1.0,1.0,27,,,,,50.0,0.0,2.0,,,,0.04,0.04,0.0,0.0,1.0,212078.0,,330,12.22,92,177,157,99,153,,330,18.19,18.19,491,,,,,,,,2.52,2.52,1,0.04,68,546751,0.07,0.07,0.0,0.0,2.0,214071.0,Argentina Liga Profissional de Futebol
Sarmiento,,,,95.22,95.22,2571,,,,,,,36.78,36.78,993,4.41,4.41,119,37.67,37.67,1017,13.0,13.0,351,,,,,,,,,,,,,,,,,,37416823.0,7.36,,,,,,,,,2.07,2.07,56,,,,,80.0,1.0,4.0,,,,0.07,0.07,3.0,0.11,2.0,216175.0,,307,11.37,67,182,169,91,125,,307,18.63,18.63,503,,,,,,,,2.56,2.56,2,0.07,69,213296,0.11,0.11,0.0,0.0,3.0,108646.0,Argentina Liga Profissional de Futebol
Boca Juniors,,,,108.93,108.93,2941,,,,,,,59.37,59.37,1603,4.44,4.44,120,43.37,43.37,1171,11.04,11.04,298,,,,,,,,,,,,,,,,,,187277.0,7.47,,,,,,,,,1.15,1.15,31,,,,,,,,,,,0.33,0.33,2.0,0.07,9.0,37342993.0,,314,11.63,74,175,156,100,139,,314,17.74,17.74,479,,,,,,,,2.67,2.67,1,0.04,72,333391,0.04,0.04,0.0,0.0,1.0,214466.0,Argentina Liga Profissional de Futebol
Atlético Tucumán,,,,103.33,103.33,2790,,,,,,,46.67,46.67,1260,3.96,3.96,107,39.15,39.15,1057,12.22,12.22,330,,,,,,,,,,,,,,,,,,37342989.0,7.34,,,,,,,,,1.67,1.67,45,,,,,66.67,0.0,3.0,,,,0.11,0.11,1.0,0.04,3.0,214111.0,,331,12.26,80,178,172,100,153,,331,19.19,19.19,518,,,,,,,,2.63,2.63,1,0.04,71,37561866,0.04,0.04,0.0,0.0,1.0,334151.0,Argentina Liga Profissional de Futebol
