team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Nashville SC,,,,95.42,95.42,3435,,,,,,,47.39,47.39,1706,5.03,5.03,181,43.33,43.33,1560,10.92,10.92,393,,,,,,,,,,,,,,,,,,37407425.0,7.7,,,,,,,,,2.36,2.36,85,,,,,80.0,0.0,5.0,,,,0.03,0.03,0.0,0.0,1.0,448320.0,,400,11.11,110,275,185,130,125,,400,14.69,14.69,529,,,,,,,,2.11,2.11,0,0.0,76,261617,0.14,0.14,0.0,0.0,5.0,262232.0,EUA MLS
New York City,,,,101.18,101.18,3440,,,,,,,52.71,52.71,1792,4.26,4.26,145,41.56,41.56,1413,11.79,11.79,401,,,,,,,,,,,,,,,,,,128839.0,7.37,,,,,,,,,2.0,2.0,68,,,,,33.33,2.0,1.0,,,,0.03,0.03,0.0,0.0,1.0,334044.0,,419,12.32,102,278,189,152,141,,419,15.29,15.29,520,,,,,,,,2.35,2.35,1,0.03,80,20355602,,,,,,,EUA MLS
Atlanta United,,,,99.73,99.73,3690,,,,,,,55.0,55.0,2035,4.65,4.65,172,46.73,46.73,1729,11.0,11.0,407,,,,,,,,,,,,,,,,,,19996814.0,7.81,,,,,,,,,1.7,1.7,63,,,,,50.0,2.0,2.0,,,,0.05,0.05,0.0,0.0,2.0,32404540.0,,466,12.59,107,281,194,184,185,,466,15.57,15.57,576,,,,,,,,2.14,2.14,4,0.11,79,37261243,0.05,0.05,0.0,0.0,2.0,219549.0,EUA MLS
SJ Earthquakes,,,,96.89,96.89,3391,,,,,,,47.26,47.26,1654,5.69,5.69,199,49.46,49.46,1731,9.31,9.31,326,,,,,,,,,,,,,,,,,,186994.0,7.58,,,,,,,,,1.54,1.54,54,,,,,83.33,1.0,5.0,,,,0.11,0.11,0.0,0.0,4.0,401676.0,,417,11.91,109,257,210,115,160,,417,15.8,15.8,553,,,,,,,,2.17,2.17,0,0.0,76,32187,0.03,0.03,0.0,0.0,1.0,222856.0,EUA MLS
Charlotte,,,,103.74,103.74,3631,,,,,,,53.06,53.06,1857,5.06,5.06,177,47.26,47.26,1654,12.66,12.66,443,,,,,,,,,,,,,,,,,,155310.0,7.22,,,,,,,,,1.29,1.29,45,,,,,80.0,0.0,5.0,,,,,,,,,,,359,10.26,94,252,154,118,107,,359,12.03,12.03,421,,,,,,,,2.54,2.54,1,0.03,89,276397,,,,,,,EUA MLS
New England,,,,102.03,102.03,3673,,,,,,,49.81,49.81,1793,4.64,4.64,167,46.33,46.33,1668,9.92,9.92,357,,,,,,,,,,,,,,,,,,538472.0,7.81,,,,,,,,,1.78,1.78,64,,,,,66.67,0.0,3.0,,,,0.06,0.06,0.0,0.0,2.0,272353.0,,439,12.19,123,263,169,161,176,,439,13.64,13.64,491,,,,,,,,1.56,1.56,1,0.03,56,262187,0.03,0.03,0.0,0.0,1.0,33608160.0,EUA MLS
Cincinnati,,,,99.66,99.66,3787,,,,,,,48.53,48.53,1844,4.63,4.63,176,41.24,41.24,1567,12.37,12.37,470,,,,,,,,,,,,,,,,,,262283.0,7.87,,,,,,,,,1.63,1.63,62,,,,,88.89,1.0,8.0,,,,0.03,0.03,0.0,0.0,1.0,262121.0,,492,12.95,114,326,200,191,166,,492,15.74,15.74,598,,,,,,,,2.32,2.32,1,0.03,88,893695,0.11,0.11,0.0,0.0,4.0,37614805.0,EUA MLS
Houston Dynamo,,,,94.36,94.36,3680,,,,,,,52.51,52.51,2048,4.05,4.05,158,44.74,44.74,1745,12.13,12.13,473,,,,,,,,,,,,,,,,,,159493.0,7.75,,,,,,,,,1.64,1.64,64,,,,,85.71,1.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,102122.0,,456,11.69,122,297,188,176,159,,456,15.0,15.0,585,,,,,,,,2.79,2.79,1,0.03,109,334115,0.08,0.08,0.0,0.0,3.0,159493.0,EUA MLS
DC United,,,,104.65,104.65,3558,,,,,,,49.0,49.0,1666,4.21,4.21,143,50.06,50.06,1702,12.88,12.88,438,,,,,,,,,,,,,,,,,,853.0,7.48,,,,,,,,,2.18,2.18,74,,,,,50.0,0.0,2.0,,,,0.03,0.03,0.0,0.0,1.0,262071.0,,458,13.47,110,292,220,159,166,,458,17.18,17.18,584,,,,,,,,2.06,2.06,0,0.0,70,853,0.03,0.03,0.0,0.0,1.0,25063.0,EUA MLS
Toronto,,,,96.79,96.79,3291,,,,,,,50.18,50.18,1706,3.79,3.79,129,40.47,40.47,1376,9.0,9.0,306,,,,,,,,,,,,,,,,,,785835.0,7.65,,,,,,,,,1.74,1.74,59,,,,,0.0,0.0,1.0,,,,0.03,0.03,0.0,0.0,1.0,198743.0,,348,10.24,109,195,145,124,153,,348,17.03,17.03,579,,,,,,,,1.5,1.5,0,0.0,51,129429,0.06,0.06,0.0,0.0,2.0,129429.0,EUA MLS
