team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Kawasaki Frontale,,,,114.85,114.85,3905,,,,,,,55.74,55.74,1895,3.85,3.85,131,52.18,52.18,1774,11.59,11.59,394,,,,,,,,,,,,,,,,,,11022900.0,7.44,,,,,,,,,2.41,2.41,82,,,,,66.67,3.0,6.0,,,,0.18,0.18,0.0,0.0,6.0,219218.0,,426,12.53,114,277,192,147,149,,426,14.71,14.71,500,,,,,,,,1.21,1.21,0,0.0,41,159759,0.03,0.03,0.0,0.0,1.0,310126.0,Japan J League
Yokohama F. Marinos,,,,105.79,105.79,3597,,,,,,,57.09,57.09,1941,4.97,4.97,169,43.21,43.21,1469,9.88,9.88,336,,,,,,,,,,,,,,,,,,308837.0,7.75,,,,,,,,,1.97,1.97,67,,,,,66.67,1.0,2.0,,,,0.06,0.06,0.0,0.0,2.0,430143.0,,471,13.85,134,294,191,181,177,,471,14.94,14.94,508,,,,,,,,0.91,0.91,1,0.03,31,309779,0.06,0.06,0.0,0.0,2.0,218446.0,Japan J League
FC Tokyo,,,,96.26,96.26,3273,,,,,,,49.53,49.53,1684,4.32,4.32,147,44.82,44.82,1524,12.06,12.06,410,,,,,,,,,,,,,,,,,,219416.0,7.32,,,,,,,,,1.68,1.68,57,,,,,60.0,2.0,3.0,,,,0.06,0.06,0.0,0.0,2.0,310270.0,,378,11.12,95,242,171,129,136,,378,15.03,15.03,511,,,,,,,,1.91,1.91,0,0.0,65,219416,0.03,0.03,0.0,0.0,1.0,37324882.0,Japan J League
Urawa Reds,,,,100.35,100.35,3412,,,,,,,51.59,51.59,1754,4.5,4.5,153,41.88,41.88,1424,10.24,10.24,348,,,,,,,,,,,,,,,,,,61736.0,7.46,,,,,,,,,1.59,1.59,54,,,,,87.5,1.0,7.0,,,,0.06,0.06,0.0,0.0,2.0,77821.0,,405,11.91,126,237,175,136,168,,405,15.09,15.09,513,,,,,,,,1.26,1.26,0,0.0,43,31684,,,,,,,Japan J League
Yokohama,,,,96.21,96.21,3271,,,,,,,45.97,45.97,1563,5.06,5.06,172,40.15,40.15,1365,10.47,10.47,356,,,,,,,,,,,,,,,,,,219167.0,7.34,,,,,,,,,1.21,1.21,41,,,,,80.0,1.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,309734.0,,380,11.18,104,216,164,128,164,,380,12.74,12.74,433,,,,,,,,1.62,1.62,0,0.0,55,223162,,,,,,,Japan J League
Nagoya Grampus,,,,88.85,88.85,3021,,,,,,,45.12,45.12,1534,4.65,4.65,158,41.91,41.91,1425,10.88,10.88,370,,,,,,,,,,,,,,,,,,223172.0,7.45,,,,,,,,,2.18,2.18,74,,,,,66.67,1.0,2.0,,,,,,,,,,,404,11.88,91,235,189,149,169,,404,15.71,15.71,534,,,,,,,,1.35,1.35,0,0.0,46,308762,,,,,,,Japan J League
Kyoto Sanga,,,,102.32,102.32,3479,,,,,,,44.56,44.56,1515,4.5,4.5,153,45.09,45.09,1533,13.65,13.65,464,,,,,,,,,,,,,,,,,,11322974.0,7.4,,,,,,,,,1.38,1.38,47,,,,,75.0,0.0,4.0,,,,0.09,0.09,0.0,0.0,3.0,37468298.0,,399,11.74,124,264,194,117,135,,399,16.29,16.29,554,,,,,,,,1.35,1.35,0,0.0,46,37616242,,,,,,,Japan J League
Kashima Antlers,,,,98.32,98.32,3343,,,,,,,46.97,46.97,1597,4.35,4.35,148,45.24,45.24,1538,11.29,11.29,384,,,,,,,,,,,,,,,,,,29710560.0,7.32,,,,,,,,,2.32,2.32,79,,,,,75.0,1.0,3.0,,,,0.09,0.09,0.0,0.0,3.0,226993.0,,393,11.56,98,231,182,124,162,,393,14.68,14.68,499,,,,,,,,1.32,1.32,1,0.03,45,226993,0.06,0.06,0.0,0.0,2.0,226993.0,Japan J League
Cerezo Osaka,,,,98.65,98.65,3354,,,,,,,50.79,50.79,1727,4.62,4.62,157,40.94,40.94,1392,9.62,9.62,327,,,,,,,,,,,,,,,,,,309029.0,7.38,,,,,,,,,2.15,2.15,73,,,,,66.67,0.0,3.0,,,,0.03,0.03,0.0,0.0,1.0,13647034.0,,366,10.76,94,230,155,133,136,,366,13.32,13.32,453,,,,,,,,0.79,0.79,0,0.0,27,219508,,,,,,,Japan J League
Albirex Niigata,,,,104.74,104.74,3561,,,,,,,56.68,56.68,1927,4.74,4.74,161,41.21,41.21,1401,9.15,9.15,311,,,,,,,,,,,,,,,,,,310306.0,7.66,,,,,,,,,1.65,1.65,56,,,,,0.0,0.0,1.0,,,,0.06,0.06,0.0,0.0,2.0,309623.0,,439,12.91,125,253,206,144,186,,439,15.0,15.0,510,,,,,,,,1.21,1.21,0,0.0,41,318884,,,,,,,Japan J League
