team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Ulsan HD,,,,107.66,107.66,4091,,,,,,,57.39,57.39,2181,5.74,5.74,218,79.21,79.21,3010,9.24,9.24,351,,,,,,,,,,,,,,,,,,114118.0,7.37,,,,,,,,,1.61,1.61,61,,,,,83.33,1.0,5.0,,,,,,,,,,,497,13.08,128,313,185,210,163,,497,14.76,14.76,561,,,,,,,,1.97,1.97,2,0.05,75,114118,,,,,,,K League 1
Jeonbuk Motors,,,,98.42,98.42,3740,,,,,,,49.87,49.87,1895,4.37,4.37,166,68.95,68.95,2620,11.08,11.08,421,,,,,,,,,,,,,,,,,,448422.0,7.66,,,,,,,,,1.34,1.34,51,,,,,75.0,0.0,4.0,,,,0.03,0.03,1.0,0.03,1.0,608280.0,,499,13.13,132,322,220,175,166,,499,14.92,14.92,567,,,,,,,,1.74,1.74,0,0.0,66,32113,0.08,0.08,0.0,0.0,3.0,31991.0,K League 1
Seoul,,,,106.24,106.24,4037,,,,,,,54.79,54.79,2082,4.79,4.79,182,72.74,72.74,2764,9.26,9.26,352,,,,,,,,,,,,,,,,,,813.0,7.35,,,,,,,,,1.11,1.11,42,,,,,60.0,2.0,3.0,,,,0.05,0.05,0.0,0.0,2.0,185818.0,,519,13.66,130,290,231,196,216,,519,15.79,15.79,600,,,,,,,,1.74,1.74,4,0.11,66,37342718,0.03,0.03,1.0,0.03,1.0,320895.0,K League 1
Incheon United,,,,88.34,88.34,3357,,,,,,,47.18,47.18,1793,5.11,5.11,194,61.97,61.97,2355,9.97,9.97,379,,,,,,,,,,,,,,,,,,30096044.0,7.47,,,,,,,,,0.97,0.97,37,,,,,50.0,2.0,2.0,,,,0.05,0.05,0.0,0.0,2.0,787560.0,,439,11.55,118,262,183,163,170,,439,15.61,15.61,593,,,,,,,,1.84,1.84,0,0.0,70,751156,,,,,,,K League 1
Suwon Bluewings,,,,99.53,99.53,3782,,,,,,,48.97,48.97,1861,3.76,3.76,143,63.08,63.08,2397,10.26,10.26,390,,,,,,,,,,,,,,,,,,309440.0,7.37,,,,,,,,,1.05,1.05,40,,,,,0.0,2.0,0.0,,,,0.05,0.05,0.0,0.0,2.0,309910.0,,439,11.55,141,253,172,143,178,,439,14.95,14.95,568,,,,,,,,1.92,1.92,0,0.0,73,320245,0.08,0.08,0.0,0.0,3.0,24193.0,K League 1
Gwangju,,,,88.18,88.18,3351,,,,,,,54.58,54.58,2074,4.76,4.76,181,62.92,62.92,2391,10.47,10.47,398,,,,,,,,,,,,,,,,,,37342723.0,7.58,,,,,,,,,0.95,0.95,36,,,,,0.0,1.0,0.0,,,,0.07,0.07,,,1.0,,,488,12.84,131,242,197,192,214,,488,15.61,15.61,593,,,,,,,,2.11,2.11,1,0.03,80,787535,0.05,0.05,0.0,0.0,2.0,24244.0,K League 1
Jeju United,,,,97.97,97.97,3723,,,,,,,51.92,51.92,1973,4.92,4.92,187,71.13,71.13,2703,10.45,10.45,397,,,,,,,,,,,,,,,,,,220042.0,7.49,,,,,,,,,1.68,1.68,64,,,,,66.67,3.0,6.0,,,,0.07,0.07,,,1.0,,,481,12.66,114,304,195,197,168,,481,16.08,16.08,611,,,,,,,,1.95,1.95,0,0.0,74,73535,0.03,0.03,0.0,0.0,1.0,320839.0,K League 1
Suwon,,,,97.71,97.71,3713,,,,,,,47.68,47.68,1812,3.58,3.58,136,60.39,60.39,2295,9.87,9.87,375,,,,,,,,,,,,,,,,,,310248.0,7.55,,,,,,,,,0.84,0.84,32,,,,,75.0,1.0,3.0,,,,0.08,0.08,0.0,0.0,3.0,230205.0,,485,12.76,128,273,218,177,206,,485,15.0,15.0,570,,,,,,,,1.63,1.63,2,0.05,62,318358,0.05,0.05,0.0,0.0,2.0,312999.0,K League 1
Pohang Steelers,,,,101.45,101.45,3855,,,,,,,52.47,52.47,1994,3.74,3.74,142,66.61,66.61,2531,9.89,9.89,376,,,,,,,,,,,,,,,,,,321255.0,7.55,,,,,,,,,1.29,1.29,49,,,,,87.5,1.0,7.0,,,,0.08,0.08,0.0,0.0,3.0,787558.0,,493,12.97,135,280,195,192,198,,493,15.68,15.68,596,,,,,,,,1.68,1.68,1,0.03,64,319932,0.03,0.03,0.0,0.0,1.0,169812.0,K League 1
Daegu,,,,87.24,87.24,3315,,,,,,,40.53,40.53,1540,4.05,4.05,154,56.03,56.03,2129,10.97,10.97,417,,,,,,,,,,,,,,,,,,323927.0,7.75,,,,,,,,,1.11,1.11,42,,,,,75.0,0.0,4.0,,,,0.05,0.05,0.0,0.0,2.0,158193.0,,446,11.74,124,271,191,163,167,,446,16.66,16.66,633,,,,,,,,2.24,2.24,0,0.0,85,10966822,0.03,0.03,0.0,0.0,1.0,10966822.0,K League 1
