team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anderlecht,1.9,0.8,4.6,4.2,5.4,5.95,14.4,13.15,104.4,107.75,54.15,50.6,52.7,47.3,0.33,0.11,9.3,8.35,5.1,4.8,1.7,1.25,2.18,2.64,7.0,8.5,9.45,13.35,3.25,3.2,1.4,2.3,0.5,0.26,0.28,0.6,0.44,,,,,0.53,0.5,0.51,0.26,0.29,0.47,0.6,,,,,0.54,0.5,Belgium Liga Pro,2023-2024,1.37,1.68,5.0,3.5,5.9,4.75,15.2,12.1,113.9,97.45,58.75,52.75,47.85,52.15,0.22,0.17,9.05,8.4,6.15,3.7,1.58,1.79,0.78,0.44,14.0,12.0,11.05,11.5,3.45,3.95,2.05,2.15,0.37,0.27,0.4,0.6,0.45,,,,,0.53,0.5,0.38,0.28,0.41,0.47,0.6,,,0.53,0.51,0.53,0.52
Antwerp,1.95,0.95,6.05,3.4,6.7,4.05,15.7,9.65,125.4,90.45,61.5,37.05,59.0,41.0,0.33,0.0,9.9,6.7,5.8,2.95,2.42,1.74,0.6,0.8,11.5,11.0,9.75,11.8,2.6,3.5,1.75,2.05,0.53,0.24,0.27,0.59,0.46,,,,,0.54,0.5,0.54,0.25,0.28,0.49,0.59,,,,,0.54,0.5,Belgium Liga Pro,2023-2024,1.3,1.15,4.55,4.75,5.1,4.35,12.2,10.8,103.4,110.3,44.75,51.3,43.25,56.75,0.32,0.26,7.35,7.4,4.85,3.4,1.75,1.55,2.5,3.5,9.0,9.0,10.95,10.05,3.05,2.95,2.1,1.75,0.35,0.26,0.42,0.59,0.45,,,0.54,0.5,0.53,0.5,0.36,0.27,0.43,0.48,0.59,,,0.56,0.49,0.54,0.51
Cercle Brugge,1.7,1.2,5.6,4.0,5.9,4.45,16.05,10.95,137.05,88.3,63.45,39.5,45.95,54.05,0.17,0.06,10.4,8.1,5.65,2.85,1.95,2.45,0.6,1.9,5.0,11.0,11.8,12.2,3.2,3.45,1.8,2.2,0.5,0.25,0.3,0.61,0.44,,,,,0.53,0.51,0.51,0.26,0.3,0.46,0.61,,,,,0.54,0.5,Belgium Liga Pro,2023-2024,1.21,1.21,5.15,4.8,5.05,6.4,11.9,13.9,104.55,130.85,48.55,61.4,56.45,43.55,0.11,0.11,8.2,9.5,3.7,4.4,2.25,2.6,0.8,0.3,7.0,9.0,11.3,14.7,2.95,3.65,1.6,2.5,0.4,0.26,0.38,0.61,0.43,,,,,0.56,0.49,0.41,0.27,0.39,0.45,0.62,,,0.55,0.49,0.54,0.51
Club Brugge,2.47,0.89,6.1,2.9,5.95,4.7,17.65,9.65,118.65,91.2,62.05,40.8,55.2,44.8,0.28,0.0,12.25,6.65,5.4,3.0,1.7,2.05,0.56,0.89,8.5,10.5,10.45,11.3,2.55,3.95,1.25,2.2,0.64,0.22,0.18,0.58,0.46,,,0.55,0.48,0.54,0.49,0.65,0.23,0.19,0.48,0.59,,,0.54,0.5,0.55,0.5,Belgium Liga Pro,2023-2024,0.9,1.8,3.8,6.05,4.8,5.5,11.3,14.2,95.6,106.25,44.7,53.35,42.75,57.25,0.21,0.32,5.9,10.45,5.4,3.75,1.58,1.42,1.25,1.12,5.0,8.0,11.35,10.7,3.25,2.95,1.75,1.95,0.25,0.25,0.54,0.6,0.45,,,,,0.54,0.5,0.26,0.25,0.55,0.47,0.6,,,,,0.55,0.5
Genk,1.65,1.15,5.0,4.62,6.57,4.14,16.19,10.38,114.33,92.95,63.81,47.86,52.9,47.1,0.25,0.06,11.43,7.24,4.76,3.14,2.4,1.65,2.0,3.11,9.0,9.0,10.95,12.57,3.05,3.95,1.6,2.55,0.54,0.24,0.26,0.62,0.43,,,,,0.54,0.5,0.55,0.25,0.26,0.46,0.62,,,,,0.55,0.5,Belgium Liga Pro,2023-2024,1.3,1.3,4.95,4.95,6.45,6.1,13.75,15.1,94.85,108.0,48.4,58.45,46.4,53.6,0.19,0.19,9.35,10.3,4.4,4.8,1.26,2.32,3.45,3.91,11.5,7.0,12.35,13.6,3.7,2.85,1.8,2.35,0.37,0.26,0.41,0.63,0.41,,,,,0.54,0.5,0.38,0.27,0.42,0.44,0.64,,,,,0.54,0.5
Gent,2.35,1.15,5.95,4.5,5.8,5.1,15.5,11.65,127.0,94.45,61.8,39.6,56.65,43.35,0.29,0.24,10.7,8.0,4.8,3.65,2.16,1.42,2.78,2.0,6.0,6.5,10.15,11.65,2.85,3.85,1.37,2.68,0.61,0.22,0.2,0.6,0.45,,,,,0.54,0.5,0.62,0.23,0.21,0.47,0.6,,,0.56,0.49,0.55,0.5,Belgium Liga Pro,2023-2024,1.19,1.62,4.52,5.48,4.52,4.95,12.48,13.86,110.95,107.76,53.86,54.67,47.86,52.14,0.41,0.18,7.86,9.05,4.62,4.81,1.95,1.57,1.38,1.62,7.0,13.0,11.0,10.14,3.67,3.0,2.43,1.33,0.32,0.26,0.46,0.62,0.42,,,0.54,0.5,0.52,0.52,0.32,0.27,0.48,0.45,0.62,,,0.55,0.5,0.53,0.51
KAS Eupen,1.06,1.72,4.33,5.94,4.78,6.78,10.28,15.83,92.11,124.06,40.5,58.56,43.67,56.33,0.06,0.24,6.39,10.5,3.89,5.33,2.71,1.35,0.4,0.6,8.0,13.0,12.28,11.22,3.89,2.06,1.67,1.61,0.27,0.25,0.51,0.58,0.46,,,0.5,0.54,0.51,0.53,0.28,0.27,0.52,0.49,0.59,,,0.51,0.53,0.52,0.52,Belgium Liga Pro,2023-2024,1.94,0.56,5.39,4.11,7.61,4.11,18.11,9.5,119.82,85.12,59.12,37.76,55.0,45.0,0.27,0.13,11.94,6.11,6.17,3.39,1.39,2.39,3.14,4.86,,,11.11,13.11,3.0,4.0,1.56,1.94,0.64,0.22,0.18,0.56,0.48,,,0.55,0.48,0.51,0.52,0.65,0.23,0.19,0.5,0.57,,,0.56,0.49,0.52,0.53
KV Kortrijk,0.94,1.67,4.94,6.33,4.0,5.06,11.5,13.78,108.89,113.83,46.39,58.17,46.11,53.89,0.24,0.12,7.17,8.89,4.33,4.89,1.56,2.78,1.11,0.44,,,10.89,13.0,3.61,2.72,2.17,1.94,0.28,0.25,0.5,0.59,0.46,,,0.53,0.51,0.53,0.51,0.29,0.26,0.51,0.48,0.59,,,0.55,0.5,0.53,0.52,Belgium Liga Pro,2023-2024,2.06,0.67,5.44,4.5,6.78,4.17,16.94,9.33,125.28,98.39,62.89,41.5,58.56,41.44,0.11,0.0,11.94,5.72,5.0,3.61,3.24,1.29,0.44,0.67,9.0,6.0,9.67,10.61,2.06,4.22,1.11,1.83,0.64,0.21,0.18,0.56,0.49,,,,,0.53,0.5,0.65,0.22,0.19,0.49,0.57,,,,,0.54,0.51
Mechelen,1.75,1.15,5.95,4.25,6.6,6.35,15.45,13.9,109.0,102.2,54.05,46.85,53.4,46.6,0.41,0.12,9.45,8.45,6.0,5.45,2.6,1.05,1.25,2.38,16.0,6.0,9.55,9.85,2.55,4.1,1.4,1.7,0.4,0.26,0.37,0.6,0.45,,,0.52,0.51,0.52,0.52,0.42,0.27,0.38,0.47,0.6,,,0.53,0.51,0.52,0.53,Belgium Liga Pro,2023-2024,1.45,1.2,6.05,4.1,6.75,4.4,16.25,10.7,120.65,95.05,57.45,42.85,51.55,48.45,0.12,0.0,10.0,6.95,6.25,3.75,1.28,2.17,1.62,1.75,8.0,11.0,9.9,10.65,3.1,3.7,1.4,1.9,0.5,0.26,0.28,0.6,0.44,,,0.52,0.52,0.52,0.51,0.51,0.27,0.29,0.47,0.6,,,0.49,0.55,0.52,0.52
OH Leuven,1.4,1.1,5.35,5.25,5.6,5.45,13.05,13.1,93.65,105.25,42.5,54.15,45.1,54.9,0.11,0.28,7.65,7.95,5.4,5.15,1.8,3.5,1.0,0.1,12.0,16.0,11.45,12.75,3.1,2.9,2.5,2.8,0.35,0.25,0.44,0.64,0.41,,,0.55,0.48,0.53,0.5,0.35,0.26,0.45,0.43,0.64,,,0.55,0.5,0.53,0.51,Belgium Liga Pro,2023-2024,1.85,0.9,6.4,4.05,6.0,5.25,15.0,10.85,115.95,82.35,65.9,42.45,58.45,41.55,0.39,0.17,10.1,6.7,4.9,4.15,3.0,2.25,0.5,0.5,6.5,5.5,9.85,12.3,2.9,3.8,1.5,2.2,0.55,0.24,0.24,0.61,0.43,,,,,0.53,0.5,0.57,0.25,0.25,0.46,0.62,,,,,0.53,0.52
