team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Atalanta,2.21,0.84,6.26,3.53,6.37,4.42,16.89,10.42,111.16,100.26,58.84,33.26,52.95,47.05,0.22,0.39,12.21,6.05,4.68,4.37,1.89,1.89,6.26,9.05,12.53,7.58,11.74,11.11,2.53,4.42,1.37,1.89,0.58,0.24,0.21,0.55,0.49,,,0.54,0.5,0.52,0.52,0.58,0.25,0.23,0.51,0.56,,,0.53,0.5,0.52,0.51,Italy Serie A,2023-2024,1.37,1.58,4.21,4.79,5.53,5.16,13.37,11.74,108.84,100.79,41.58,45.68,50.11,49.89,0.24,0.06,7.42,8.11,5.95,3.63,1.26,1.42,7.42,7.68,9.79,8.63,10.58,14.74,2.58,2.95,1.63,2.58,0.32,0.28,0.44,0.55,0.48,0.55,0.48,0.49,0.54,0.52,0.51,0.32,0.28,0.45,0.51,0.56,0.55,0.48,0.5,0.53,0.52,0.51
Bologna,1.74,0.63,5.11,3.37,5.53,4.42,14.0,9.42,111.05,90.84,45.79,40.68,59.84,40.16,0.06,0.11,9.26,5.58,4.74,3.84,1.78,1.11,7.16,8.05,9.05,7.0,11.84,13.58,2.42,2.89,2.11,3.42,0.48,0.28,0.27,0.49,0.54,0.53,0.5,0.5,0.53,0.5,0.54,0.49,0.29,0.28,0.57,0.5,0.52,0.51,0.5,0.53,0.5,0.53,Italy Serie A,2023-2024,1.11,1.17,5.32,3.58,4.95,4.47,12.05,11.11,102.16,97.11,42.53,37.74,43.47,56.53,0.31,0.25,6.95,6.53,5.11,4.58,1.58,1.42,6.63,7.26,7.89,7.84,13.37,12.74,3.0,2.68,2.84,2.42,0.4,0.3,0.33,0.51,0.52,0.52,0.51,0.5,0.53,0.5,0.54,0.41,0.3,0.34,0.54,0.53,0.51,0.51,0.51,0.52,0.5,0.53
Cagliari,1.47,1.68,5.16,5.05,5.79,5.05,13.53,11.16,89.89,101.53,43.47,44.26,41.32,58.68,0.28,0.06,9.11,8.05,4.42,3.11,1.95,2.21,7.47,8.89,9.37,8.26,13.0,12.84,2.42,2.74,1.95,2.84,0.32,0.29,0.42,0.53,0.51,0.51,0.52,0.49,0.54,0.52,0.5,0.33,0.29,0.43,0.53,0.53,0.53,0.5,0.5,0.52,0.51,0.52,Italy Serie A,2023-2024,1.89,0.74,6.37,4.05,6.74,5.37,14.58,10.05,108.53,84.58,50.0,38.47,57.42,42.58,0.22,0.11,10.26,6.37,4.32,3.68,2.58,1.42,7.89,8.58,10.79,7.53,11.26,12.21,2.21,2.68,1.74,2.11,0.56,0.26,0.21,0.53,0.51,0.54,0.49,0.53,0.5,0.51,0.52,0.57,0.26,0.22,0.54,0.53,0.54,0.49,0.53,0.5,0.51,0.52
Empoli,0.83,1.28,4.58,5.63,4.58,5.53,11.63,14.42,87.21,97.42,37.79,47.32,42.84,57.16,0.12,0.18,7.16,9.26,4.47,5.16,2.28,1.33,7.32,6.32,7.74,8.74,14.47,13.74,3.42,2.89,2.26,1.95,0.3,0.28,0.45,0.54,0.5,0.52,0.5,0.52,0.51,0.5,0.53,0.31,0.29,0.45,0.52,0.55,0.53,0.5,0.52,0.5,0.51,0.52,Italy Serie A,2023-2024,1.63,0.74,6.68,4.68,6.53,4.79,15.26,10.37,106.84,87.0,56.32,37.11,55.47,44.53,0.28,0.17,9.53,6.26,5.74,4.11,1.5,2.33,6.89,8.47,10.26,7.32,14.63,13.95,2.11,3.89,1.79,2.37,0.59,0.25,0.19,0.51,0.52,0.54,0.48,0.51,0.52,0.51,0.52,0.6,0.25,0.2,0.55,0.52,0.55,0.49,0.51,0.52,0.51,0.52
Fiorentina,1.95,1.16,5.68,3.11,5.79,3.63,15.89,9.26,116.63,74.26,59.21,32.53,57.16,42.84,0.44,0.22,10.26,6.95,5.63,2.32,1.42,2.21,5.05,7.84,10.32,7.0,11.95,14.05,2.58,3.79,1.58,2.05,0.52,0.26,0.24,0.53,0.5,0.54,0.49,0.52,0.51,0.52,0.52,0.53,0.27,0.25,0.53,0.54,0.54,0.49,0.52,0.51,0.51,0.52,Italy Serie A,2023-2024,1.26,1.26,3.0,4.79,4.37,4.68,10.74,11.63,77.42,113.68,31.58,50.58,41.74,58.26,0.39,0.11,8.05,7.16,2.68,4.47,2.67,1.78,6.95,5.89,8.0,8.21,11.79,12.53,2.74,2.89,2.16,2.68,0.38,0.28,0.36,0.55,0.48,0.54,0.49,0.51,0.52,0.5,0.53,0.39,0.29,0.37,0.52,0.55,0.54,0.49,0.52,0.51,0.5,0.52
Frosinone,1.47,1.68,6.47,4.53,5.47,5.89,13.21,14.26,98.58,94.68,47.26,42.79,50.79,49.21,0.31,0.19,7.05,9.11,6.16,5.16,1.26,2.05,7.21,8.53,9.37,9.32,9.53,13.05,3.0,3.37,1.78,2.83,0.33,0.27,0.43,0.57,0.46,,,0.53,0.49,0.52,0.51,0.34,0.28,0.44,0.5,0.57,,,0.52,0.5,0.51,0.52,Italy Serie A,2023-2024,2.06,0.89,4.95,4.74,6.63,5.16,15.16,11.53,102.63,92.79,46.74,41.63,51.26,48.74,0.35,0.35,9.89,6.74,5.26,4.79,1.89,1.39,8.26,8.63,10.26,7.68,12.58,11.53,2.68,3.11,1.74,1.89,0.57,0.25,0.21,0.55,0.49,,,0.55,0.48,0.49,0.54,0.58,0.25,0.23,0.52,0.55,,,0.54,0.49,0.5,0.52
Genoa,1.42,1.16,4.79,4.63,5.74,4.68,12.26,11.11,92.79,100.79,41.79,45.21,46.68,53.32,0.11,0.17,8.0,6.63,4.26,4.47,1.28,1.78,7.58,7.16,8.37,7.11,11.63,13.74,2.11,2.5,1.84,2.58,0.36,0.3,0.36,0.48,0.55,0.53,0.5,0.49,0.54,0.5,0.53,0.37,0.31,0.38,0.57,0.5,0.52,0.51,0.5,0.53,0.49,0.54,Italy Serie A,2023-2024,1.21,0.95,6.05,2.68,6.37,4.37,15.26,8.89,118.0,82.95,56.16,33.42,58.53,41.47,0.06,0.29,8.37,5.89,6.89,3.0,1.95,1.32,5.95,8.68,9.95,6.53,10.58,12.47,2.11,3.11,2.26,2.26,0.5,0.28,0.24,0.49,0.54,0.49,0.54,0.51,0.53,0.52,0.52,0.51,0.29,0.26,0.57,0.5,0.52,0.51,0.51,0.51,0.51,0.51
Hellas Verona,1.21,1.37,4.53,5.68,5.47,5.58,12.47,13.79,101.89,93.47,36.53,37.84,44.58,55.42,0.19,0.06,6.89,8.53,5.58,5.26,1.41,2.24,7.58,7.84,9.37,9.58,14.79,13.16,3.21,3.58,2.16,2.16,0.3,0.29,0.43,0.51,0.52,0.52,0.51,0.51,0.51,0.49,0.54,0.32,0.3,0.44,0.54,0.52,0.52,0.51,0.5,0.52,0.49,0.54,Italy Serie A,2023-2024,1.32,0.79,5.63,3.0,6.11,5.79,13.26,10.79,104.21,98.89,44.16,35.58,55.74,44.26,0.06,0.22,8.89,6.32,4.37,4.47,2.47,1.95,8.26,8.32,9.05,7.84,12.63,14.42,2.37,2.89,1.89,2.53,0.57,0.25,0.21,0.49,0.54,0.54,0.49,0.51,0.52,0.51,0.52,0.58,0.26,0.22,0.56,0.51,0.53,0.5,0.51,0.52,0.51,0.51
Inter,2.32,0.58,7.37,2.68,7.32,4.0,17.68,9.26,106.37,87.42,57.21,34.0,58.26,41.74,0.44,0.17,11.95,5.63,5.74,3.63,2.0,1.19,5.79,10.0,12.79,6.05,10.42,11.89,2.11,3.95,0.95,2.05,0.72,0.19,0.12,0.5,0.54,0.56,0.47,0.51,0.51,0.52,0.5,0.73,0.19,0.14,0.56,0.51,0.54,0.49,0.51,0.52,0.53,0.5,Italy Serie A,2023-2024,0.58,2.37,4.89,4.63,5.05,5.58,11.53,13.58,102.37,95.47,44.42,41.95,44.05,55.95,0.13,0.4,7.42,9.47,4.11,4.11,1.29,2.76,7.53,7.16,7.89,10.42,11.47,11.16,2.63,2.95,1.78,1.56,0.19,0.25,0.59,0.53,0.51,0.55,0.48,0.51,0.51,0.52,0.52,0.2,0.25,0.6,0.53,0.54,0.56,0.47,0.51,0.51,0.5,0.52
Juventus,1.37,0.58,6.16,3.53,7.11,5.11,15.42,9.74,100.42,97.95,51.42,39.11,49.0,51.0,0.0,0.0,9.74,5.0,5.68,4.74,2.24,0.65,7.84,8.89,9.74,6.42,13.0,10.42,2.05,2.89,1.89,1.89,0.6,0.25,0.18,0.48,0.55,0.47,0.56,0.52,0.51,0.5,0.54,0.61,0.25,0.2,0.58,0.49,0.48,0.55,0.51,0.52,0.5,0.53,Italy Serie A,2023-2024,1.05,1.47,5.58,4.0,5.74,5.32,13.53,12.79,101.16,94.37,50.26,41.63,52.11,47.89,0.18,0.29,6.95,8.84,6.58,3.95,0.82,2.12,7.63,8.37,8.68,7.95,11.58,13.0,2.42,2.68,1.53,2.68,0.29,0.3,0.45,0.49,0.55,0.54,0.48,0.48,0.54,0.48,0.55,0.29,0.3,0.46,0.57,0.5,0.54,0.5,0.5,0.53,0.49,0.54
