team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Daegu,1.18,1.06,4.82,4.88,5.59,5.0,12.47,12.53,85.35,115.47,59.35,77.18,39.18,60.82,0.06,0.12,7.71,7.0,4.88,5.65,0.88,0.82,8.29,7.88,8.71,7.35,11.29,10.59,2.94,3.29,2.24,2.06,0.39,0.3,0.35,0.53,0.51,,,,,,,0.4,0.3,0.37,0.54,0.55,0.56,0.49,0.52,0.52,0.51,0.53,K League 1,2023,1.28,1.0,4.11,3.5,6.28,4.28,12.94,10.78,135.11,88.89,79.89,53.72,62.0,38.0,0.17,0.11,6.72,6.89,6.22,3.89,0.78,1.33,6.59,9.35,8.39,6.72,10.22,10.67,2.89,2.61,1.67,1.72,0.44,0.29,0.3,0.54,0.5,,,0.54,0.49,,,0.46,0.3,0.32,0.53,0.55,0.53,0.51,0.52,0.52,0.5,0.54
Daejeon Citizen,1.5,1.39,4.78,4.56,5.72,5.5,12.72,12.89,122.17,104.61,78.67,65.44,51.11,48.89,0.11,0.28,7.61,7.89,5.28,5.11,1.11,1.83,7.59,8.47,8.39,9.33,11.44,10.17,3.78,2.94,1.72,2.39,0.39,0.28,0.36,0.59,0.45,,,,,0.49,0.55,0.41,0.3,0.37,0.47,0.61,,,0.53,0.51,0.53,0.51,K League 1,2023,1.71,1.35,4.88,3.59,5.59,3.94,13.12,9.65,95.65,87.12,71.06,55.12,51.76,48.24,0.24,0.0,8.76,5.24,4.35,4.41,1.94,1.35,6.18,10.06,9.88,7.35,10.76,11.88,2.82,4.18,1.88,1.76,0.5,0.27,0.26,0.59,0.45,,,,,,,0.5,0.28,0.29,0.48,0.6,,,0.54,0.5,0.54,0.51
Gangwon,1.0,1.24,4.47,4.0,4.82,4.53,10.94,11.12,88.59,110.41,56.53,68.12,43.06,56.94,0.12,0.0,6.53,6.76,4.47,4.41,1.29,1.76,8.06,8.0,7.59,6.94,11.94,9.82,2.35,2.59,1.59,2.06,0.35,0.3,0.38,0.53,0.51,,,,,,,0.37,0.31,0.4,0.54,0.54,0.56,0.49,0.51,0.53,0.5,0.54,K League 1,2023,0.94,0.61,3.44,4.17,5.83,5.56,12.72,11.44,109.11,96.72,69.67,57.72,53.0,47.0,0.28,0.0,6.89,6.83,5.83,4.61,1.61,1.11,8.24,9.18,8.94,7.17,10.78,10.83,2.78,3.83,1.89,1.5,0.49,0.28,0.25,0.52,0.52,,,0.48,0.56,,,0.51,0.3,0.27,0.55,0.54,0.55,0.5,0.53,0.51,0.51,0.54
Gwangju,1.18,0.65,5.53,3.76,6.88,3.82,15.12,10.0,90.53,73.29,73.18,51.06,58.18,41.82,0.12,0.0,8.35,5.53,6.76,4.47,1.12,0.65,6.29,10.29,11.47,5.71,10.41,12.0,2.29,4.88,2.0,2.18,0.45,0.29,0.29,0.52,0.52,,,,,0.49,0.54,0.47,0.3,0.3,0.54,0.54,,,0.52,0.52,0.5,0.54,K League 1,2023,1.11,1.22,4.78,4.0,5.33,3.94,12.61,10.78,85.39,83.67,58.5,53.39,47.56,52.44,0.0,0.0,7.72,5.39,5.0,5.5,0.44,0.83,6.35,7.0,8.5,7.17,10.72,11.0,2.83,3.61,1.61,2.0,0.39,0.3,0.34,0.54,0.5,,,,,,,0.4,0.31,0.36,0.53,0.55,0.55,0.49,0.52,0.53,0.52,0.53
Incheon United,1.18,0.88,5.47,5.41,4.82,5.0,11.41,11.06,81.65,90.71,60.35,70.53,45.24,54.76,0.06,0.24,6.65,6.47,4.76,4.59,0.65,0.94,7.71,7.35,8.29,6.94,10.47,10.18,2.53,3.35,1.71,1.71,0.38,0.3,0.35,0.53,0.51,,,0.54,0.49,,,0.4,0.31,0.37,0.54,0.55,0.54,0.5,0.52,0.52,0.5,0.54,K League 1,2023,1.06,1.22,4.78,4.78,5.06,4.72,12.61,10.67,101.11,92.22,69.72,61.56,52.17,47.83,0.11,0.11,7.78,6.33,4.89,4.39,1.06,1.5,7.88,8.18,8.56,7.17,8.72,10.06,2.33,3.61,1.44,1.61,0.43,0.29,0.31,0.54,0.5,,,,,,,0.45,0.3,0.33,0.54,0.55,0.56,0.49,0.52,0.52,0.51,0.54
Jeju United,1.06,1.11,4.0,3.56,5.17,4.83,12.94,11.78,92.5,86.5,65.61,53.89,51.61,48.39,0.28,0.0,8.11,6.83,4.83,4.94,1.56,1.5,7.47,8.53,8.89,8.28,11.56,11.06,3.39,4.33,1.5,1.5,0.43,0.28,0.32,0.57,0.47,,,0.55,0.49,,,0.44,0.29,0.35,0.5,0.58,,,0.54,0.5,0.51,0.53,K League 1,2023,1.47,1.29,4.24,5.94,5.06,5.18,12.24,12.65,97.88,100.24,68.59,75.94,47.94,52.06,0.06,0.24,7.35,8.53,4.88,4.12,1.0,2.06,8.29,7.65,9.35,8.88,11.06,10.12,3.88,4.35,1.47,2.06,0.45,0.28,0.3,0.57,0.47,,,,,,,0.46,0.29,0.32,0.49,0.59,,,0.54,0.5,0.52,0.52
Jeonbuk Motors,1.41,0.94,3.53,4.18,6.18,4.18,12.53,11.18,97.41,93.35,66.12,59.88,50.41,49.59,0.18,0.12,8.29,5.71,4.24,5.47,1.94,1.18,6.76,9.41,9.24,7.18,11.18,9.53,3.24,3.0,1.41,1.35,0.51,0.27,0.24,0.55,0.49,,,0.55,0.49,,,0.53,0.29,0.27,0.53,0.56,,,0.54,0.5,0.51,0.54,K League 1,2023,0.89,1.0,5.17,5.11,5.5,5.44,14.06,13.5,94.06,95.83,65.11,70.28,49.78,50.22,0.0,0.06,8.44,8.72,5.89,4.89,1.33,1.0,8.18,8.24,9.33,8.22,9.67,11.17,3.67,4.44,2.17,1.61,0.36,0.3,0.38,0.55,0.49,,,,,,,0.37,0.3,0.4,0.52,0.57,,,0.52,0.52,0.52,0.53
Pohang Steelers,1.72,1.0,3.72,3.83,5.72,3.33,14.39,9.06,93.11,81.5,68.28,56.94,53.44,46.56,0.11,0.17,8.88,5.29,5.71,4.06,1.33,1.22,6.41,8.35,10.33,6.67,10.33,12.0,2.78,3.94,1.33,2.06,0.5,0.28,0.25,0.55,0.49,,,,,,,0.52,0.29,0.27,0.52,0.56,,,0.52,0.52,0.51,0.53,K League 1,2023,1.18,1.12,4.94,3.88,5.88,4.65,12.65,11.47,97.94,112.71,68.41,68.41,45.88,54.12,0.12,0.35,7.59,6.53,5.06,4.94,1.35,1.29,6.82,8.35,8.65,7.82,11.18,9.47,3.29,3.0,1.88,1.71,0.36,0.3,0.38,0.53,0.51,,,0.55,0.49,,,0.37,0.31,0.4,0.54,0.55,,,0.53,0.51,0.49,0.55
Seoul,1.67,1.11,5.0,5.06,6.78,4.0,14.89,10.28,113.61,96.5,78.28,63.28,54.89,45.11,0.11,0.06,8.83,7.22,6.06,3.06,1.0,1.72,7.59,8.94,11.11,6.56,9.11,9.17,2.78,4.5,1.89,1.11,0.46,0.28,0.28,0.55,0.49,,,,,,,0.49,0.3,0.3,0.52,0.56,0.56,0.49,0.54,0.5,0.51,0.53,K League 1,2023,1.53,1.65,4.53,4.88,5.47,5.88,13.41,13.29,86.59,99.18,60.06,70.06,42.53,57.47,0.18,0.18,9.06,7.41,4.35,5.88,1.76,1.29,9.29,8.12,8.88,9.18,10.12,9.53,2.94,3.53,1.35,1.47,0.34,0.29,0.4,0.56,0.48,,,,,0.49,0.55,0.36,0.3,0.41,0.51,0.57,0.56,0.49,0.53,0.51,0.5,0.54
Suwon,1.35,2.06,4.06,5.35,6.88,5.59,15.18,13.59,99.53,100.29,65.06,72.94,48.06,51.94,0.24,0.12,8.53,8.65,6.94,5.06,0.88,1.71,8.94,8.88,10.65,10.41,9.18,10.59,4.06,4.35,1.24,1.35,0.32,0.27,0.45,0.61,0.43,,,,,,,0.33,0.28,0.46,0.45,0.62,,,0.55,0.5,0.54,0.5,K League 1,2023,1.94,1.0,5.17,3.33,6.78,5.06,14.94,11.11,100.5,101.44,72.0,59.78,50.72,49.28,0.17,0.11,9.39,6.5,5.56,4.61,1.56,0.94,7.06,9.06,11.44,8.17,11.28,10.89,3.17,4.11,1.39,2.06,0.54,0.25,0.24,0.6,0.44,,,,,0.49,0.54,0.56,0.27,0.25,0.46,0.61,,,0.54,0.5,0.53,0.51
