team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Adana Demirspor,1.74,1.58,4.53,4.68,5.42,6.05,14.26,13.84,95.79,90.11,41.53,38.53,51.84,48.16,0.22,0.22,7.42,8.58,6.84,5.26,2.42,1.95,0.8,0.8,10.11,10.58,12.16,13.42,3.21,3.58,2.58,2.42,0.47,0.25,0.31,0.62,0.42,,,0.54,0.49,0.52,0.52,0.49,0.26,0.31,0.43,0.64,,,0.55,0.5,0.5,0.54,Turkey Super Lig,2023-2024,1.63,1.11,5.47,5.21,6.84,4.89,15.21,13.42,91.32,98.95,45.68,42.32,48.05,51.95,0.35,0.24,9.84,6.0,5.37,7.42,1.89,1.47,0.83,1.0,11.74,8.53,15.32,11.0,3.63,4.0,2.16,1.63,0.46,0.25,0.32,0.63,0.41,,,0.48,0.56,0.53,0.5,0.47,0.26,0.33,0.44,0.64,0.56,0.48,0.48,0.56,0.53,0.51
Alanyaspor,1.68,1.37,4.37,4.16,5.79,6.21,12.79,13.63,96.74,91.47,50.0,41.0,53.63,46.37,0.12,0.12,8.16,7.26,4.63,6.37,2.32,1.16,1.89,2.78,9.32,8.95,12.26,13.32,3.0,2.95,2.21,1.89,0.43,0.27,0.33,0.59,0.45,,,0.54,0.49,0.51,0.52,0.44,0.28,0.35,0.48,0.6,,,0.54,0.5,0.52,0.53,Turkey Super Lig,2023-2024,1.26,1.11,5.74,4.16,5.68,5.11,13.26,10.84,99.68,87.58,51.32,41.11,48.37,51.63,0.06,0.28,7.42,7.05,5.84,3.79,2.16,2.05,0.89,2.0,8.79,7.84,13.0,10.42,2.58,3.0,1.84,2.16,0.5,0.26,0.26,0.58,0.46,,,0.54,0.49,0.5,0.53,0.51,0.27,0.28,0.49,0.59,,,0.54,0.5,0.51,0.53
Ankaragücü,1.17,1.0,3.68,4.37,5.16,5.26,12.74,11.84,96.11,97.47,42.47,47.58,47.47,52.53,0.11,0.17,6.89,7.11,5.84,4.74,2.12,1.0,0.67,0.44,8.95,7.68,10.68,12.11,3.05,3.37,1.32,1.68,0.41,0.28,0.34,0.56,0.48,,,0.52,0.51,0.51,0.52,0.43,0.29,0.35,0.51,0.58,0.56,0.48,0.52,0.52,0.52,0.52,Turkey Super Lig,2023-2024,1.79,1.32,4.16,4.0,6.11,5.11,13.89,11.16,105.63,92.16,51.11,41.53,51.0,49.0,0.06,0.19,8.11,5.94,6.11,5.33,1.33,2.07,2.33,2.33,10.42,8.0,10.84,12.16,2.47,3.05,1.84,2.11,0.47,0.28,0.29,0.56,0.49,0.53,0.5,0.53,0.51,0.51,0.52,0.48,0.28,0.3,0.52,0.57,0.53,0.51,0.54,0.51,0.51,0.54
Antalyaspor,1.16,0.95,5.32,5.53,5.84,4.16,13.37,11.37,91.53,95.47,44.47,46.74,50.68,49.32,0.11,0.17,8.32,7.58,5.05,3.79,0.83,2.11,0.83,0.67,8.84,8.05,13.42,14.16,3.42,3.42,1.95,2.26,0.48,0.27,0.29,0.57,0.47,,,0.54,0.5,0.52,0.52,0.49,0.28,0.3,0.5,0.59,,,0.54,0.51,0.52,0.52,Turkey Super Lig,2023-2024,1.63,1.16,4.68,5.37,5.42,5.47,12.58,13.0,101.21,93.68,45.63,42.11,48.21,51.79,0.22,0.17,8.58,7.47,4.0,5.53,2.47,1.0,0.33,0.83,10.11,8.79,13.32,11.84,2.21,3.21,1.84,2.16,0.47,0.27,0.29,0.58,0.46,0.55,0.48,0.52,0.51,0.52,0.52,0.48,0.28,0.31,0.49,0.59,0.56,0.48,0.53,0.51,0.51,0.54
Beşiktaş,1.53,1.0,5.84,4.16,6.26,5.0,15.95,10.42,122.63,84.42,57.89,36.47,55.11,44.89,0.22,0.22,9.79,6.11,6.16,4.32,1.59,1.94,0.4,0.8,11.53,7.26,14.32,12.79,2.16,3.74,2.53,2.16,0.59,0.23,0.21,0.57,0.47,,,0.51,0.52,0.52,0.52,0.59,0.25,0.23,0.5,0.59,,,0.52,0.52,0.52,0.52,Turkey Super Lig,2023-2024,1.47,1.21,4.42,4.84,4.89,4.11,13.26,11.21,83.53,105.79,38.21,42.95,45.11,54.89,0.06,0.24,8.21,7.05,5.05,4.16,2.63,1.47,2.12,3.0,9.0,7.53,13.68,13.32,2.53,3.37,2.21,2.21,0.35,0.26,0.42,0.6,0.44,,,0.55,0.48,0.51,0.52,0.36,0.27,0.43,0.46,0.61,,,0.56,0.49,0.51,0.53
Fatih Karagümrük,1.79,1.0,4.21,5.0,4.74,6.05,11.68,12.21,95.47,103.0,36.26,44.16,47.11,52.89,0.06,0.24,6.95,7.68,4.74,4.53,2.37,1.95,0.8,0.8,9.11,8.58,12.79,11.37,3.05,3.47,2.06,1.39,0.41,0.27,0.35,0.57,0.47,,,0.51,0.52,0.52,0.52,0.43,0.28,0.36,0.5,0.58,,,0.51,0.53,0.51,0.53,Turkey Super Lig,2023-2024,1.74,0.79,3.95,5.79,5.11,5.74,11.68,12.53,93.74,104.47,39.58,46.84,47.58,52.42,0.29,0.12,7.37,7.0,4.32,5.53,1.87,1.33,2.33,2.17,8.84,8.0,14.47,12.95,2.47,3.0,2.26,2.74,0.46,0.27,0.3,0.56,0.48,,,0.5,0.53,0.53,0.51,0.47,0.28,0.32,0.5,0.58,0.56,0.48,0.51,0.53,0.52,0.52
Fenerbahçe,3.11,1.05,6.32,2.42,7.32,3.32,18.11,7.74,111.11,80.84,63.89,23.32,60.05,39.95,0.56,0.06,12.89,3.74,5.21,4.0,2.26,1.37,4.2,7.4,13.53,5.84,14.42,15.63,1.68,4.16,2.16,3.21,0.79,0.15,0.09,0.52,0.52,,,,,,,0.79,0.16,0.11,0.54,0.54,,,,,,,Turkey Super Lig,2023-2024,0.61,2.22,3.16,5.74,3.63,7.05,8.16,17.0,82.68,108.42,32.58,59.16,46.21,53.79,0.24,0.47,4.53,11.05,3.63,5.95,1.56,2.11,1.0,0.33,5.84,12.74,14.0,13.26,4.74,2.16,3.05,2.58,0.18,0.21,0.64,0.57,0.47,,,,,,,0.19,0.23,0.65,0.5,0.58,,,,,0.55,0.49
Galatasaray,2.68,0.79,6.58,3.37,8.95,3.74,20.95,8.53,124.42,82.11,62.84,35.21,60.89,39.11,0.59,0.12,14.21,4.84,6.74,3.68,2.53,2.16,1.71,3.57,16.68,6.58,14.53,12.26,2.16,4.53,1.79,3.21,0.77,0.16,0.11,0.56,0.48,,,,,,,0.77,0.17,0.13,0.5,0.58,,,,,,,Turkey Super Lig,2023-2024,0.58,2.16,3.89,7.26,5.74,7.16,11.89,18.16,84.11,114.68,38.05,51.79,39.21,60.79,0.06,0.29,6.05,12.21,5.84,5.95,2.58,1.68,1.14,0.29,8.84,12.37,12.37,13.79,4.0,3.21,1.83,1.61,0.19,0.23,0.62,0.6,0.44,,,0.56,0.5,0.54,0.49,0.2,0.24,0.63,0.46,0.61,,,,,0.55,0.49
Gaziantep F.K.,1.16,1.32,4.68,4.89,5.37,5.21,11.79,11.68,93.63,103.0,42.58,43.32,44.16,55.84,0.18,0.24,7.72,7.72,4.28,4.11,1.61,2.56,0.83,0.5,7.63,8.53,12.05,12.79,3.05,2.79,2.0,2.58,0.37,0.28,0.38,0.57,0.47,,,0.53,0.51,0.51,0.53,0.38,0.29,0.4,0.5,0.58,,,0.54,0.51,0.5,0.54,Turkey Super Lig,2023-2024,1.68,1.47,5.47,3.84,5.89,5.32,14.47,11.05,116.53,83.58,55.79,36.79,60.26,39.74,0.41,0.29,9.0,7.89,5.47,3.16,2.37,1.42,3.6,5.0,10.0,8.58,12.37,11.42,2.63,3.47,2.11,2.47,0.52,0.26,0.25,0.57,0.47,,,0.54,0.49,0.5,0.53,0.54,0.27,0.26,0.51,0.58,,,0.55,0.5,0.51,0.53
Hatayspor,1.58,1.37,4.32,4.47,4.26,4.53,11.42,11.47,90.84,96.21,43.32,43.26,48.47,51.53,0.24,0.18,6.84,7.11,4.58,4.37,1.84,1.84,1.25,0.5,8.16,8.0,13.95,9.74,2.68,3.11,2.67,1.39,0.38,0.28,0.38,0.57,0.47,,,0.53,0.5,0.5,0.53,0.39,0.28,0.4,0.51,0.58,,,0.53,0.51,0.51,0.54,Turkey Super Lig,2023-2024,1.37,0.79,5.74,4.11,6.32,5.0,14.63,10.63,101.68,82.95,50.0,39.68,53.74,46.26,0.37,0.16,9.53,6.89,5.11,3.74,2.37,2.05,0.17,0.83,10.16,7.05,11.0,14.58,2.68,3.58,2.53,2.84,0.53,0.26,0.24,0.56,0.48,,,0.53,0.5,0.51,0.52,0.54,0.27,0.26,0.51,0.57,,,0.55,0.5,0.52,0.53
