team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Boston River,1.0,0.88,5.35,4.65,4.41,5.24,10.47,11.06,102.88,106.18,73.18,75.47,49.59,50.41,0.06,0.24,5.45,6.09,4.0,5.18,1.82,1.53,10.38,8.56,,,12.12,15.41,3.88,4.24,3.18,3.29,0.38,0.29,0.36,0.54,0.5,,,,,,,0.4,0.3,0.39,0.54,0.55,,,0.54,0.51,0.5,0.54,Uruguay Primera Division,2023,1.56,1.19,6.38,4.75,5.69,4.94,12.31,10.12,107.69,100.75,75.38,63.56,51.25,48.75,0.25,0.25,8.12,6.62,6.5,4.62,0.93,1.8,10.8,9.8,,,11.75,11.19,2.69,3.31,2.5,2.5,0.43,0.3,0.31,0.53,0.51,,,,,,,0.45,0.31,0.33,0.54,0.54,0.56,0.48,0.52,0.53,0.51,0.54
Cerro,0.59,0.76,5.82,4.65,3.76,4.18,7.76,8.94,104.59,110.94,69.18,66.53,46.18,53.82,0.18,0.18,5.8,5.8,4.1,5.3,1.94,1.0,10.92,9.5,,,12.82,13.47,3.2,2.53,2.18,2.76,0.34,0.31,0.39,0.49,0.56,,,0.5,0.54,,,0.36,0.32,0.4,0.59,0.49,0.53,0.52,0.5,0.55,0.48,0.57,Uruguay Primera Division,2023,1.0,1.06,3.56,4.44,4.75,4.25,10.06,8.44,104.38,99.88,63.19,58.75,53.25,46.75,0.12,0.06,5.2,4.3,4.4,3.4,1.36,2.07,9.67,8.89,,,13.19,13.94,2.8,3.73,2.69,3.94,0.5,0.3,0.24,0.49,0.56,0.55,0.48,,,,,0.5,0.31,0.27,0.59,0.49,0.54,0.51,0.5,0.55,0.5,0.54
Cerro Largo,1.44,1.0,3.44,4.81,3.62,4.31,8.38,9.38,91.81,93.94,54.44,60.0,50.81,49.19,0.25,0.19,4.5,4.4,2.2,2.5,1.73,2.47,8.73,7.27,,,13.06,12.44,3.13,2.27,3.31,2.81,0.38,0.32,0.33,0.49,0.55,,,0.54,0.5,0.5,0.54,0.4,0.32,0.36,0.58,0.5,0.53,0.52,0.5,0.55,0.51,0.55,Uruguay Primera Division,2023,1.0,0.38,5.12,4.94,4.5,4.38,10.62,9.31,105.75,92.06,73.5,62.19,53.38,46.62,0.12,0.12,7.3,4.7,4.4,4.1,2.6,1.47,8.0,9.2,,,14.75,12.31,3.33,4.0,2.94,3.5,0.49,0.3,0.25,0.48,0.57,,,,,,,0.5,0.3,0.28,0.59,0.48,0.53,0.51,0.5,0.55,0.5,0.54
Danubio,1.0,0.62,5.69,4.12,5.75,4.06,11.0,9.0,108.56,108.5,65.81,59.94,50.44,49.56,0.12,0.0,5.64,5.82,4.82,4.45,1.81,1.88,9.5,11.75,,,11.31,10.12,2.87,2.8,2.19,2.75,0.4,0.31,0.32,0.49,0.56,,,,,,,0.42,0.32,0.34,0.58,0.5,0.54,0.5,0.51,0.54,0.48,0.58,Uruguay Primera Division,2023,1.31,0.94,5.19,4.12,5.0,3.38,11.06,6.69,103.94,96.0,66.06,58.75,52.56,47.44,0.31,0.06,7.0,5.4,3.9,2.3,1.75,2.0,7.73,10.09,,,12.25,12.25,1.88,3.5,2.62,2.25,0.41,0.31,0.32,0.51,0.54,,,0.53,0.5,,,0.43,0.31,0.35,0.56,0.52,0.54,0.5,0.52,0.53,0.49,0.56
Defensor Sporting,1.59,0.82,5.53,4.41,5.59,3.65,12.06,7.88,107.65,103.35,68.65,61.82,51.65,48.35,0.29,0.12,8.0,4.78,6.56,4.11,2.13,1.2,6.75,11.5,,,14.24,10.65,2.62,3.75,3.12,2.0,0.52,0.28,0.24,0.51,0.54,,,0.53,0.5,,,0.56,0.29,0.24,0.56,0.52,,,0.53,0.51,0.51,0.54,Uruguay Primera Division,2023,1.0,1.06,4.47,4.59,4.29,5.06,8.12,10.47,99.71,113.88,59.12,71.59,46.35,53.65,0.06,0.12,5.1,7.1,4.0,4.4,1.18,2.59,9.86,7.79,,,10.94,13.24,3.12,2.19,2.47,2.53,0.32,0.3,0.41,0.52,0.52,,,,,,,0.34,0.31,0.43,0.55,0.53,0.47,0.57,0.53,0.52,0.5,0.55
Deportivo Maldonado,1.18,0.88,5.82,4.59,5.35,4.65,12.0,9.88,99.76,97.12,68.35,61.82,50.47,49.53,0.18,0.06,7.5,5.6,5.5,5.2,1.62,1.81,8.5,9.75,,,13.76,12.06,2.5,3.56,2.12,2.76,0.4,0.31,0.32,0.52,0.53,,,0.52,0.51,,,0.42,0.32,0.35,0.56,0.52,0.56,0.48,0.5,0.55,0.5,0.54,Uruguay Primera Division,2023,1.94,1.06,4.88,4.44,4.12,4.19,10.25,9.75,104.5,107.5,64.44,64.38,50.0,50.0,0.19,0.12,6.11,4.44,4.78,5.44,2.07,0.87,9.55,8.45,,,12.25,12.75,2.94,3.19,2.12,2.81,0.44,0.29,0.3,0.52,0.52,,,0.54,0.5,0.5,0.54,0.48,0.31,0.3,0.55,0.53,0.54,0.51,0.51,0.54,0.52,0.53
Fénix,0.81,0.94,5.31,3.88,4.88,4.06,8.62,7.75,89.31,106.81,63.19,67.19,45.44,54.56,0.19,0.31,4.5,5.0,4.5,4.0,2.13,0.53,8.79,10.14,,,12.0,13.81,2.71,2.79,3.19,3.06,0.36,0.31,0.35,0.51,0.54,0.51,0.53,0.49,0.57,,,0.38,0.32,0.39,0.57,0.52,0.54,0.51,0.5,0.55,0.51,0.54,Uruguay Primera Division,2023,1.29,0.88,4.59,5.76,3.47,4.24,8.18,9.94,106.53,98.71,62.65,66.76,54.47,45.53,0.29,0.24,4.43,6.14,3.86,5.29,1.13,1.8,10.45,6.73,,,12.47,12.41,3.35,2.65,2.24,3.24,0.43,0.32,0.29,0.49,0.55,0.53,0.51,0.51,0.53,,,0.47,0.31,0.3,0.59,0.5,0.54,0.51,0.51,0.54,0.49,0.55
La Luz,1.47,1.94,5.35,3.82,5.88,4.29,10.88,8.76,95.41,103.35,68.18,64.35,45.41,54.59,0.41,0.29,6.38,5.25,5.12,4.75,1.73,1.87,7.75,10.12,,,12.47,15.12,2.0,2.71,2.35,3.24,0.31,0.3,0.43,0.53,0.52,,,0.51,0.52,,,0.35,0.31,0.43,0.55,0.54,0.54,0.51,0.52,0.52,0.51,0.54,Uruguay Primera Division,2023,1.31,0.75,5.25,3.56,5.44,3.88,10.12,7.56,112.12,98.25,72.94,66.94,55.12,44.88,0.38,0.31,6.7,6.7,4.0,2.8,1.75,2.12,8.92,9.08,,,13.44,15.0,2.93,3.2,3.31,3.19,0.48,0.29,0.27,0.52,0.52,,,,,,,0.49,0.3,0.29,0.54,0.55,,,0.52,0.52,0.5,0.55
Liverpool,2.11,0.94,4.5,4.83,6.11,5.61,12.78,11.0,116.06,109.33,72.61,71.39,50.28,49.72,0.28,0.11,7.25,6.08,7.08,5.75,1.0,1.44,9.69,10.69,,,11.94,12.56,3.11,3.56,2.56,3.56,0.52,0.27,0.25,0.53,0.51,,,,,0.51,0.54,0.54,0.28,0.26,0.54,0.55,,,0.52,0.52,0.52,0.53,Uruguay Primera Division,2023,0.72,1.22,4.67,4.72,5.11,5.17,9.5,10.5,98.94,112.5,67.0,69.39,47.11,52.89,0.11,0.17,4.6,4.9,5.1,5.1,1.38,1.12,10.33,13.0,,,13.33,12.39,2.88,2.5,3.5,2.61,0.34,0.29,0.4,0.54,0.5,,,0.52,0.52,,,0.35,0.31,0.44,0.53,0.55,0.56,0.48,0.53,0.52,0.52,0.53
Montevideo City Torque,1.31,1.44,5.44,4.38,5.31,4.62,10.94,9.75,109.56,107.19,60.94,62.56,53.19,46.81,0.12,0.25,5.0,6.12,7.88,4.62,1.0,2.53,11.67,11.67,,,13.19,11.19,2.6,3.0,2.56,2.44,0.38,0.3,0.36,0.54,0.5,,,,,,,0.39,0.31,0.39,0.53,0.56,0.57,0.47,0.54,0.51,0.5,0.55,Uruguay Primera Division,2023,1.24,1.18,4.94,5.35,4.06,5.29,10.53,12.24,104.47,102.59,65.59,63.53,48.06,51.94,0.06,0.24,5.09,8.09,4.73,6.27,2.33,2.2,9.83,9.33,,,11.35,12.29,3.38,3.5,2.94,2.82,0.41,0.3,0.33,0.53,0.51,,,,,,,0.44,0.31,0.34,0.55,0.54,0.56,0.49,0.52,0.52,0.5,0.55
