name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Sarmiento vs Instituto,2024-05-10 22:00:00,Instituto won after full-time.,Argentina Liga Profissional de Futebol,Sarmiento,Instituto,1,2,21,3,7.0,3.0,6.0,4.0,16.0,9.0,88.0,90.0,62.0,53.0,39.0,61.0,,,8.0,4.0,8.0,5.0,2.0,2.0,13.0,8.0,7.0,8.0,12.0,10.0,2.0,9.0,3.0,4.0,3.86,2.98,2.25,1.61,2.37,,,,,,,3.75,3.0,2.2,1.57,2.25,,,,,,,2024
Argentinos Juniors vs Rosario Central,2024-05-11 00:15:00,Argentinos Juniors won after full-time.,Argentina Liga Profissional de Futebol,Argentinos Juniors,Rosario Central,3,2,9,8,6.0,0.0,7.0,4.0,16.0,10.0,109.0,102.0,71.0,39.0,61.0,39.0,1.0,0.0,6.0,4.0,10.0,6.0,1.0,1.0,,,15.0,8.0,10.0,12.0,4.0,7.0,1.0,4.0,1.93,3.13,4.9,1.6,2.38,2.04,1.84,1.95,1.91,,,1.9,3.2,4.75,1.57,2.25,2.02,1.82,2.1,1.77,,,2024
Newell's Old Boys vs Platense,2024-05-11 00:15:00,Newell's Old Boys won after full-time.,Argentina Liga Profissional de Futebol,Newell's Old Boys,Platense,2,0,21,18,1.0,5.0,3.0,6.0,11.0,10.0,96.0,100.0,42.0,52.0,59.0,41.0,,,9.0,6.0,2.0,4.0,1.0,0.0,,,12.0,5.0,13.0,17.0,5.0,6.0,3.0,4.0,2.04,3.03,4.56,1.58,2.43,2.05,1.83,,,,,1.95,3.1,4.5,1.57,2.25,2.1,1.77,,,,,2024
Huracán vs Defensa y Justicia,2024-05-11 17:30:00,Huracán won after full-time.,Argentina Liga Profissional de Futebol,Huracán,Defensa y Justicia,3,1,7,15,6.0,5.0,4.0,7.0,16.0,12.0,79.0,96.0,39.0,44.0,47.0,53.0,1.0,0.0,8.0,6.0,8.0,6.0,5.0,1.0,1.0,0.0,10.0,11.0,14.0,14.0,7.0,10.0,1.0,5.0,2.05,3.18,4.21,1.79,2.06,1.83,2.05,2.1,1.79,,,2.2,3.1,3.75,1.75,2.0,1.77,2.1,2.05,1.8,,,2024
Godoy Cruz vs Barracas Central,2024-05-11 18:30:00,Barracas Central won after full-time.,Argentina Liga Profissional de Futebol,Godoy Cruz,Barracas Central,0,1,21,13,7.0,5.0,11.0,2.0,26.0,9.0,120.0,55.0,48.0,29.0,60.0,40.0,,,12.0,2.0,14.0,7.0,1.0,3.0,,,14.0,5.0,15.0,6.0,5.0,16.0,0.0,1.0,1.74,3.28,5.4,1.83,1.94,1.89,1.98,1.8,2.0,,,1.66,3.6,5.5,1.8,1.95,1.77,2.1,1.8,2.05,2.05,1.8,2024
Independiente vs Talleres Córdoba,2024-05-11 20:30:00,Talleres Córdoba won after full-time.,Argentina Liga Profissional de Futebol,Independiente,Talleres Córdoba,1,3,19,23,5.0,5.0,1.0,5.0,7.0,14.0,91.0,106.0,49.0,39.0,43.0,57.0,,,4.0,6.0,3.0,8.0,1.0,1.0,0.0,1.0,5.0,9.0,15.0,15.0,6.0,5.0,5.0,4.0,2.14,3.13,3.95,1.76,2.1,1.9,1.96,,,,,2.1,3.25,3.75,1.66,2.1,1.87,1.97,,,,,2024
River Plate vs Central Cordoba SdE,2024-05-11 22:45:00,River Plate won after full-time.,Argentina Liga Profissional de Futebol,River Plate,Central Cordoba SdE,3,0,19,22,7.0,2.0,5.0,3.0,23.0,5.0,129.0,56.0,66.0,14.0,65.0,35.0,,,16.0,3.0,7.0,2.0,3.0,0.0,,,18.0,4.0,17.0,13.0,2.0,10.0,1.0,2.0,1.16,7.97,15.95,1.63,2.3,,,,,1.84,2.04,1.18,8.0,13.0,1.61,2.2,,,,,1.8,2.05,2024
Tigre vs Estudiantes,2024-05-12 18:30:00,Estudiantes won after full-time.,Argentina Liga Profissional de Futebol,Tigre,Estudiantes,0,1,12,10,8.0,2.0,7.0,4.0,11.0,9.0,139.0,91.0,67.0,30.0,59.0,41.0,,,8.0,3.0,3.0,6.0,2.0,0.0,,,10.0,9.0,11.0,14.0,4.0,4.0,2.0,1.0,4.59,3.4,1.89,1.74,2.13,1.79,2.1,,,,,4.2,3.4,1.95,1.7,2.05,1.8,2.05,2.05,1.8,,,2024
Deportivo Riestra vs San Lorenzo,2024-05-12 18:30:00,Deportivo Riestra won after full-time.,Argentina Liga Profissional de Futebol,Deportivo Riestra,San Lorenzo,1,0,14,16,3.0,4.0,4.0,3.0,8.0,6.0,75.0,143.0,33.0,54.0,25.0,75.0,,,7.0,3.0,1.0,3.0,,,,,6.0,3.0,13.0,12.0,3.0,3.0,5.0,4.0,2.91,2.76,3.01,1.58,2.43,,,,,,,2.8,2.8,3.0,1.53,2.37,2.1,1.77,,,,,2024
Belgrano vs Racing Club,2024-05-12 20:45:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Belgrano,Racing Club,4,4,19,18,4.0,9.0,5.0,4.0,10.0,17.0,103.0,95.0,34.0,39.0,52.0,48.0,0.0,1.0,8.0,12.0,2.0,5.0,1.0,1.0,,,11.0,10.0,14.0,10.0,7.0,1.0,3.0,2.0,3.0,3.17,2.57,1.88,1.94,,,,,,,2.87,3.2,2.55,1.8,1.95,,,2.02,1.82,,,2024
