name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Internacional vs Bahia,2024-04-13 21:30:00,Internacional won after full-time.,Brasileirao Betano Serie A,Internacional,Bahia,2,1,15,4,6.0,3.0,7.0,3.0,17.0,9.0,119.0,83.0,49.0,31.0,53.0,47.0,0.0,0.0,13.0,6.0,4.0,3.0,3.0,2.0,,,12.0,7.0,23.0,13.0,3.0,7.0,5.0,3.0,1.9,3.43,4.58,1.88,1.97,,,1.91,1.97,,,1.85,3.5,4.33,1.8,1.95,,,1.92,1.92,,,2024
Criciúma vs Juventude,2024-04-13 21:30:00,Game ended in draw.,Brasileirao Betano Serie A,Criciúma,Juventude,1,1,8,16,0.0,4.0,4.0,7.0,10.0,15.0,96.0,113.0,27.0,65.0,47.0,53.0,0.0,0.0,5.0,4.0,5.0,11.0,3.0,4.0,1.0,0.0,6.0,10.0,11.0,15.0,3.0,2.0,4.0,6.0,2.16,3.05,4.13,1.66,2.29,2.04,1.85,2.12,1.79,,,2.1,3.2,4.0,1.61,2.2,2.06,1.84,2.1,1.8,,,2024
Fluminense vs Bragantino,2024-04-14 00:00:00,Game ended in draw.,Brasileirao Betano Serie A,Fluminense,Bragantino,2,2,5,19,13.0,6.0,10.0,7.0,26.0,16.0,86.0,72.0,75.0,46.0,69.0,31.0,0.0,0.0,13.0,10.0,13.0,6.0,,,,,22.0,13.0,8.0,19.0,6.0,9.0,3.0,4.0,1.75,3.64,5.28,1.85,2.01,,,1.9,1.99,2.07,1.83,1.8,3.5,5.0,1.75,2.0,,,1.92,1.92,2.05,1.8,2024
São Paulo vs Fortaleza,2024-04-14 00:00:00,Fortaleza won after full-time.,Brasileirao Betano Serie A,São Paulo,Fortaleza,1,2,15,16,11.0,4.0,5.0,3.0,14.0,6.0,170.0,66.0,67.0,28.0,72.0,28.0,0.0,0.0,8.0,4.0,6.0,2.0,2.0,1.0,,,10.0,5.0,10.0,14.0,0.0,5.0,2.0,3.0,1.86,3.4,4.88,1.72,2.18,1.81,2.09,2.12,1.79,,,1.95,3.3,4.0,1.7,2.05,1.82,2.02,2.05,1.8,,,2024
Vasco da Gama vs Grêmio,2024-04-14 19:00:00,Vasco da Gama won after full-time.,Brasileirao Betano Serie A,Vasco da Gama,Grêmio,2,1,19,7,3.0,5.0,7.0,5.0,15.0,9.0,96.0,116.0,52.0,42.0,47.0,53.0,0.0,0.0,11.0,7.0,4.0,2.0,1.0,1.0,,,9.0,5.0,19.0,10.0,1.0,1.0,4.0,1.0,2.18,3.31,3.66,1.96,1.89,,,1.9,1.99,,,2.2,3.3,3.4,1.9,1.9,,,1.9,1.95,,,2024
Corinthians vs Atlético Mineiro,2024-04-14 19:00:00,Game ended in draw.,Brasileirao Betano Serie A,Corinthians,Atlético Mineiro,0,0,18,10,3.0,3.0,7.0,2.0,14.0,8.0,71.0,61.0,38.0,26.0,48.0,52.0,0.0,0.0,6.0,2.0,8.0,6.0,0.0,2.0,,,6.0,2.0,16.0,14.0,3.0,2.0,8.0,6.0,2.59,3.0,3.19,1.79,2.09,1.9,1.99,,,,,2.55,3.1,3.0,1.7,2.05,1.9,1.95,,,,,2024
Athletico PR vs Cuiabá,2024-04-14 19:00:00,Athletico PR won after full-time.,Brasileirao Betano Serie A,Athletico PR,Cuiabá,4,0,11,15,7.0,0.0,6.0,1.0,20.0,1.0,144.0,64.0,68.0,15.0,62.0,38.0,0.0,0.0,15.0,1.0,5.0,0.0,2.0,1.0,,,17.0,3.0,16.0,9.0,1.0,5.0,0.0,3.0,1.56,3.85,7.33,1.66,2.29,1.78,2.11,2.01,1.88,,,1.57,3.6,6.5,1.61,2.2,,,2.03,1.87,,,2024
Atlético GO vs Flamengo,2024-04-14 19:00:00,Flamengo won after full-time.,Brasileirao Betano Serie A,Atlético GO,Flamengo,1,2,17,4,4.0,4.0,5.0,8.0,11.0,15.0,69.0,99.0,31.0,48.0,32.0,68.0,1.0,1.0,9.0,8.0,2.0,7.0,2.0,2.0,1.0,1.0,6.0,9.0,12.0,12.0,0.0,3.0,5.0,3.0,5.17,3.79,1.72,1.85,2.0,,,1.84,2.06,2.0,1.89,4.75,3.75,1.72,1.8,1.95,,,1.82,2.02,2.0,1.85,2024
Cruzeiro vs Botafogo,2024-04-14 20:00:00,Cruzeiro won after full-time.,Brasileirao Betano Serie A,Cruzeiro,Botafogo,3,2,8,6,6.0,3.0,4.0,3.0,15.0,6.0,101.0,70.0,55.0,25.0,56.0,44.0,0.0,0.0,9.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,8.0,5.0,12.0,11.0,1.0,2.0,4.0,3.0,2.19,3.22,3.75,1.79,2.08,1.81,2.08,,,,,2.25,3.1,3.6,1.75,2.0,1.82,2.02,,,,,2024
Vitória vs Palmeiras,2024-04-14 21:30:00,Palmeiras won after full-time.,Brasileirao Betano Serie A,Vitória,Palmeiras,0,1,16,15,3.0,9.0,4.0,7.0,13.0,15.0,91.0,91.0,37.0,42.0,56.0,44.0,0.0,0.0,8.0,7.0,5.0,8.0,2.0,3.0,,,10.0,9.0,13.0,15.0,3.0,5.0,3.0,5.0,3.95,3.37,2.07,1.88,1.97,,,1.92,1.96,2.01,1.87,3.5,3.5,2.05,1.8,1.95,,,1.97,1.93,2.07,1.83,2024
