name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Volos NFC vs Olympiacos F.C.,2024-08-17 17:00:00,Olympiakos Piraeus venceu após o tempo regulamentar.,Greece Super Liga,Volos NFC,Olympiacos F.C.,0,2,14,9,3.0,3.0,1.0,7.0,6.0,16.0,63.0,126.0,28.0,64.0,41.0,59.0,,,2.0,10.0,4.0,6.0,3.0,3.0,7.0,4.0,3.0,12.0,17.0,20.0,4.0,2.0,3.0,2.0,9.56,5.62,1.3,1.67,2.23,,,,,,,9.0,4.5,1.36,1.75,2.0,,,,,,,2024-2025
PAOK vs Panserraikos,2024-08-17 17:00:00,PAOK won after full-time.,Greece Super Liga,PAOK,Panserraikos,3,2,13,12,9.0,1.0,5.0,5.0,18.0,12.0,109.0,51.0,61.0,17.0,64.0,36.0,2.0,1.0,12.0,5.0,6.0,7.0,,,0.0,2.0,15.0,9.0,12.0,8.0,3.0,4.0,1.0,3.0,1.18,7.32,13.99,1.64,2.26,,,,,,,1.2,6.25,13.0,1.7,2.05,,,,,,,2024-2025
Levadiakos vs Kallithea,2024-08-18 16:00:00,Game ended in draw.,Greece Super Liga,Levadiakos,Kallithea,0,0,5,8,2.0,5.0,8.0,1.0,12.0,2.0,116.0,75.0,46.0,30.0,59.0,41.0,,,2.0,0.0,10.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,14.0,20.0,0.0,3.0,3.0,6.0,2.32,2.97,3.57,1.78,2.07,,,,,,,2.25,2.87,3.6,1.75,2.0,1.82,2.02,2.1,1.77,,,2024-2025
Panathinaikos vs Asteras Tripolis,2024-08-18 17:00:00,Asteras Tripolis won after full-time.,Greece Super Liga,Panathinaikos,Asteras Tripolis,0,1,9,6,8.0,2.0,7.0,6.0,13.0,10.0,128.0,69.0,67.0,32.0,66.0,34.0,,,10.0,3.0,3.0,7.0,2.0,3.0,8.0,10.0,7.0,10.0,13.0,14.0,2.0,1.0,3.0,3.0,1.4,4.67,8.11,1.76,2.09,,,,,1.85,1.98,1.4,4.2,8.5,1.75,2.0,,,,,1.87,1.97,2024-2025
Atromitos vs Aris,2024-08-18 17:30:00,Game ended in draw.,Greece Super Liga,Atromitos,Aris,1,1,12,11,3.0,4.0,2.0,4.0,7.0,10.0,87.0,86.0,41.0,48.0,49.0,51.0,1.0,0.0,6.0,5.0,1.0,5.0,1.0,2.0,6.0,5.0,8.0,6.0,15.0,19.0,2.0,4.0,2.0,3.0,2.86,3.13,2.65,2.02,1.81,,,1.85,1.98,1.99,1.8,2.8,3.1,2.55,1.95,1.8,,,1.85,2.0,2.05,1.8,2024-2025
AEK Athens vs OFI,2024-08-18 19:00:00,AEK Athens won after full-time.,Greece Super Liga,AEK Athens,OFI,3,0,4,10,6.0,1.0,10.0,2.0,19.0,5.0,154.0,60.0,79.0,17.0,72.0,28.0,,,14.0,2.0,5.0,3.0,3.0,3.0,3.0,12.0,14.0,2.0,15.0,9.0,0.0,2.0,3.0,2.0,1.2,6.84,12.79,1.75,2.09,,,,,,,1.25,5.5,11.0,1.8,1.95,,,,,,,2024-2025
Panaitolikos vs Lamia,2024-08-19 18:00:00,Lamia won after full-time.,Greece Super Liga,Panaitolikos,Lamia,0,1,9,10,4.0,3.0,6.0,8.0,13.0,12.0,68.0,70.0,29.0,25.0,46.0,54.0,1.0,0.0,8.0,7.0,5.0,5.0,2.0,1.0,9.0,5.0,7.0,11.0,13.0,19.0,3.0,4.0,2.0,7.0,1.99,3.22,4.2,1.93,1.88,,,1.86,1.97,,,1.95,3.3,4.0,1.9,1.9,,,1.92,1.92,,,2024-2025
OFI vs Atromitos,2024-08-24 16:30:00,Game ended in draw.,Greece Super Liga,OFI,Atromitos,1,1,14,6,4.0,3.0,5.0,8.0,7.0,17.0,73.0,108.0,39.0,57.0,38.0,62.0,,,3.0,12.0,4.0,5.0,0.0,4.0,1.0,0.0,7.0,9.0,23.0,12.0,1.0,1.0,8.0,6.0,2.48,3.09,3.11,2.03,1.81,,,1.85,1.98,2.04,1.8,2.4,3.25,3.1,1.95,1.8,,,1.87,1.97,2.05,1.8,2024-2025
Panserraikos vs Aris,2024-08-24 17:00:00,Aris won after full-time.,Greece Super Liga,Panserraikos,Aris,0,1,10,7,4.0,2.0,3.0,3.0,6.0,13.0,70.0,83.0,35.0,35.0,40.0,60.0,,,5.0,5.0,1.0,8.0,0.0,1.0,1.0,0.0,7.0,9.0,18.0,25.0,7.0,4.0,4.0,6.0,4.4,3.11,1.99,1.88,1.93,,,1.97,1.86,,,4.0,3.3,1.95,1.8,1.95,,,2.0,1.85,,,2024-2025
AEK Athens vs Lamia,2024-08-24 18:30:00,Game ended in draw.,Greece Super Liga,AEK Athens,Lamia,1,1,1,5,13.0,1.0,17.0,1.0,30.0,3.0,158.0,48.0,93.0,10.0,80.0,20.0,,,20.0,2.0,10.0,1.0,2.0,2.0,0.0,1.0,21.0,1.0,4.0,15.0,0.0,5.0,1.0,4.0,1.1,11.1,21.36,1.57,2.42,,,,,,,1.11,8.5,21.0,1.57,2.25,,,,,,,2024-2025
