name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Genoa vs Inter,2024-08-17 16:30:00,Game ended in draw.,Italy Serie A,Genoa,Inter,2,2,7,9,1.0,4.0,5.0,6.0,13.0,17.0,65.0,73.0,25.0,35.0,33.0,67.0,1.0,0.0,9.0,13.0,4.0,4.0,0.0,6.0,8.0,5.0,9.0,11.0,16.0,16.0,5.0,5.0,1.0,2.0,7.33,4.32,1.51,1.87,2.0,,,,,,,7.0,4.1,1.5,1.8,1.95,,,,,1.9,2.0,2024-2025
Parma vs Fiorentina,2024-08-17 16:30:00,Game ended in draw.,Italy Serie A,Parma,Fiorentina,1,1,16,6,4.0,9.0,4.0,3.0,14.0,15.0,72.0,85.0,37.0,48.0,39.0,61.0,,,12.0,6.0,2.0,9.0,1.0,5.0,6.0,7.0,10.0,11.0,15.0,9.0,6.0,5.0,3.0,2.0,3.65,3.38,2.18,2.25,1.69,,,,,1.87,2.04,3.5,3.3,2.15,2.1,1.66,,,,,1.9,2.0,2024-2025
Empoli vs Monza,2024-08-17 18:45:00,Game ended in draw.,Italy Serie A,Empoli,Monza,0,0,8,15,7.0,3.0,3.0,2.0,11.0,6.0,100.0,74.0,49.0,26.0,38.0,62.0,,,8.0,4.0,3.0,2.0,4.0,1.0,4.0,10.0,6.0,3.0,16.0,19.0,1.0,2.0,1.0,1.0,2.49,3.15,3.24,1.93,1.93,,,1.96,1.94,,,2.4,3.1,3.1,1.9,1.9,,,1.98,1.92,,,2024-2025
Milan vs Torino,2024-08-17 18:45:00,Game ended in draw.,Italy Serie A,Milan,Torino,2,2,4,11,9.0,2.0,10.0,3.0,26.0,7.0,107.0,46.0,92.0,18.0,56.0,44.0,,,15.0,3.0,11.0,4.0,2.0,1.0,2.0,12.0,14.0,6.0,10.0,7.0,2.0,3.0,3.0,5.0,1.53,4.39,6.58,2.03,1.85,,,,,1.89,2.02,1.5,4.2,6.5,1.95,1.8,,,,,1.88,2.02,2024-2025
Bologna vs Udinese,2024-08-18 16:30:00,Game ended in draw.,Italy Serie A,Bologna,Udinese,1,1,13,17,9.0,5.0,8.0,0.0,22.0,4.0,121.0,64.0,65.0,28.0,74.0,26.0,1.0,1.0,17.0,3.0,5.0,1.0,1.0,1.0,4.0,9.0,6.0,1.0,17.0,17.0,1.0,5.0,0.0,4.0,2.09,3.23,4.17,1.81,2.08,1.8,2.12,2.09,1.83,,,2.0,3.3,4.0,1.75,2.0,1.8,2.1,2.07,1.83,,,2024-2025
Hellas Verona vs Napoli,2024-08-18 16:30:00,Hellas Verona won after full-time.,Italy Serie A,Hellas Verona,Napoli,3,0,10,19,1.0,5.0,5.0,8.0,9.0,14.0,79.0,123.0,21.0,51.0,33.0,67.0,,,6.0,9.0,3.0,5.0,2.0,0.0,10.0,8.0,7.0,11.0,15.0,13.0,4.0,1.0,4.0,1.0,5.47,3.78,1.71,2.01,1.86,,,,,1.96,1.94,5.25,3.6,1.7,1.95,1.8,,,,,1.95,1.95,2024-2025
Cagliari vs Roma,2024-08-18 18:45:00,Game ended in draw.,Italy Serie A,Cagliari,Roma,0,0,18,12,5.0,3.0,8.0,7.0,13.0,15.0,71.0,108.0,35.0,64.0,43.0,57.0,,,8.0,6.0,5.0,9.0,3.0,2.0,5.0,16.0,11.0,9.0,15.0,7.0,3.0,2.0,2.0,0.0,3.71,3.46,2.13,2.21,1.72,,,,,1.9,2.01,3.6,3.3,2.05,2.05,1.7,,,,,1.91,1.99,2024-2025
Lazio vs Venezia,2024-08-18 18:45:00,Lazio won after full-time.,Italy Serie A,Lazio,Venezia,3,1,14,15,6.0,3.0,5.0,6.0,13.0,11.0,136.0,64.0,57.0,22.0,67.0,33.0,1.0,0.0,9.0,6.0,4.0,5.0,0.0,1.0,5.0,8.0,10.0,9.0,14.0,11.0,2.0,4.0,1.0,2.0,1.42,4.75,8.46,1.72,2.21,,,,,1.9,2.0,1.4,4.33,9.0,1.66,2.1,,,,,1.89,2.01,2024-2025
Lecce vs Atalanta,2024-08-19 16:30:00,Atalanta won after full-time.,Italy Serie A,Lecce,Atalanta,0,4,17,15,5.0,3.0,13.0,4.0,21.0,11.0,96.0,107.0,35.0,31.0,47.0,53.0,0.0,1.0,14.0,10.0,7.0,1.0,1.0,1.0,4.0,14.0,15.0,9.0,10.0,24.0,2.0,4.0,0.0,2.0,3.72,3.33,2.18,2.04,1.84,,,,,2.04,1.86,3.3,3.4,2.1,2.0,1.75,,,,,2.05,1.85,2024-2025
Juventus vs Como,2024-08-19 18:45:00,Juventus won after full-time.,Italy Serie A,Juventus,Como,3,0,9,19,3.0,0.0,6.0,1.0,13.0,3.0,92.0,72.0,29.0,25.0,58.0,42.0,,,9.0,1.0,4.0,2.0,4.0,1.0,7.0,7.0,13.0,1.0,11.0,12.0,0.0,3.0,2.0,4.0,1.56,4.17,6.57,1.83,2.05,,,,,2.01,1.9,1.55,4.0,6.0,1.7,2.05,,,,,2.02,1.88,2024-2025
