name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Puebla vs Santos Laguna,2024-07-05 22:45:00,Puebla won after full-time.,Mexico Liga MX,Puebla,Santos Laguna,1,0,12,15,8.0,1.0,8.0,3.0,16.0,6.0,92.0,90.0,59.0,24.0,40.0,60.0,1.0,0.0,11.0,2.0,5.0,4.0,2.0,0.0,,,12.0,6.0,14.0,11.0,2.0,4.0,1.0,3.0,1.87,3.78,4.23,2.36,1.63,,,,,,,1.9,3.8,3.7,2.2,1.61,,,,,,,2024-2025
Querétaro vs Tijuana,2024-07-06 01:00:00,Tijuana won after full-time.,Mexico Liga MX,Querétaro,Tijuana,1,2,2,16,5.0,7.0,2.0,10.0,8.0,18.0,86.0,103.0,29.0,56.0,37.0,63.0,,,6.0,8.0,2.0,10.0,2.0,0.0,,,6.0,18.0,14.0,14.0,3.0,3.0,3.0,0.0,2.86,3.27,2.65,1.91,1.94,,,1.97,1.91,2.07,1.83,2.55,3.2,2.8,1.8,1.95,,,1.97,1.87,2.02,1.82,2024-2025
Juárez vs Atlas,2024-07-06 03:10:00,Game ended in draw.,Mexico Liga MX,Juárez,Atlas,2,2,13,4,2.0,5.0,5.0,8.0,11.0,11.0,79.0,97.0,29.0,45.0,58.0,42.0,1.0,0.0,4.0,6.0,7.0,5.0,0.0,2.0,,,6.0,9.0,15.0,14.0,1.0,0.0,2.0,2.0,2.21,3.52,3.36,2.14,1.75,,,,,1.93,1.95,2.15,3.4,3.2,2.0,1.75,,,,,1.92,1.92,2024-2025
Atlético San Luis vs América,2024-07-06 23:00:00,Atlético San Luis won after full-time.,Mexico Liga MX,Atlético San Luis,América,2,1,11,7,5.0,3.0,4.0,4.0,10.0,10.0,71.0,95.0,12.0,37.0,36.0,64.0,,,6.0,5.0,4.0,5.0,1.0,1.0,,,8.0,5.0,12.0,11.0,5.0,3.0,2.0,2.0,4.63,3.96,1.76,2.18,1.72,,,,,1.84,2.05,4.5,3.9,1.72,2.0,1.75,,,,,1.82,2.02,2024-2025
Tigres UANL vs Necaxa,2024-07-07 01:00:00,Tigres UANL won after full-time.,Mexico Liga MX,Tigres UANL,Necaxa,1,0,7,17,7.0,5.0,8.0,5.0,17.0,10.0,118.0,107.0,63.0,39.0,57.0,43.0,1.0,0.0,7.0,7.0,9.0,3.0,,,6.0,10.0,11.0,5.0,8.0,13.0,3.0,3.0,1.0,1.0,1.43,4.94,7.38,1.92,1.92,,,,,,,1.4,4.75,7.0,1.8,1.95,,,,,,,2024-2025
Guadalajara vs Toluca,2024-07-07 01:00:00,Game ended in draw.,Mexico Liga MX,Guadalajara,Toluca,0,0,14,11,4.0,6.0,9.0,5.0,15.0,11.0,32.0,54.0,11.0,25.0,52.0,48.0,,,7.0,7.0,8.0,4.0,2.0,2.0,6.0,12.0,8.0,4.0,5.0,12.0,2.0,4.0,1.0,2.0,2.45,3.38,3.04,2.16,1.74,,,,,1.89,2.0,2.3,3.5,2.9,2.05,1.7,,,,,1.87,1.97,2024-2025
Cruz Azul vs Mazatlán,2024-07-07 03:00:00,Cruz Azul won after full-time.,Mexico Liga MX,Cruz Azul,Mazatlán,1,0,12,9,6.0,0.0,9.0,7.0,18.0,8.0,113.0,51.0,49.0,17.0,66.0,34.0,,,12.0,6.0,6.0,2.0,1.0,2.0,10.0,18.0,12.0,6.0,8.0,9.0,1.0,6.0,3.0,1.0,1.34,5.59,8.97,1.88,1.97,,,,,,,1.33,5.0,8.5,1.9,1.9,,,,,,,2024-2025
Pumas UNAM vs León,2024-07-07 18:00:00,Pumas UNAM won after full-time.,Mexico Liga MX,Pumas UNAM,León,4,1,12,14,6.0,3.0,5.0,5.0,14.0,9.0,77.0,82.0,41.0,31.0,50.0,50.0,,,8.0,2.0,6.0,7.0,0.0,1.0,9.0,8.0,11.0,7.0,13.0,11.0,2.0,4.0,1.0,3.0,2.23,3.61,3.25,2.17,1.73,,,,,1.84,2.05,2.1,3.7,3.2,2.1,1.66,,,,,1.82,2.02,2024-2025
Pachuca vs Monterrey,2024-07-08 01:06:00,Monterrey won after full-time.,Mexico Liga MX,Pachuca,Monterrey,0,1,12,11,8.0,1.0,11.0,5.0,17.0,8.0,114.0,96.0,70.0,48.0,57.0,43.0,,,8.0,5.0,9.0,3.0,0.0,3.0,8.0,19.0,9.0,7.0,9.0,10.0,2.0,4.0,3.0,4.0,2.57,3.29,2.95,2.12,1.76,,,,,1.98,1.9,2.5,3.3,2.8,2.0,1.75,,,,,1.97,1.87,2024-2025
América vs Querétaro,2024-07-13 01:00:00,América won after full-time.,Mexico Liga MX,América,Querétaro,3,1,12,13,1.0,5.0,7.0,5.0,12.0,9.0,82.0,105.0,41.0,34.0,59.0,41.0,,,9.0,6.0,3.0,3.0,1.0,2.0,14.0,11.0,9.0,6.0,9.0,12.0,0.0,1.0,2.0,2.0,1.41,5.18,7.42,2.08,1.79,,,,,,,1.38,4.75,7.5,1.95,1.8,,,,,,,2024-2025
