name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Club Brugge vs Mechelen,2024-07-26 18:45:00,Game ended in draw.,Turkey Super Lig,Club Brugge,Mechelen,1,1,5,10,7.0,2.0,8.0,2.0,27.0,5.0,136.0,86.0,81.0,34.0,58.0,42.0,,,20.0,3.0,7.0,2.0,,,5.0,11.0,18.0,5.0,14.0,8.0,1.0,5.0,1.0,2.0,1.35,5.4,8.23,2.1,1.76,,,,,,,1.33,4.5,8.0,2.0,1.75,,,,,,,2024-2025
Dender vs Union Saint-Gilloise,2024-07-27 14:00:00,Game ended in draw.,Turkey Super Lig,Dender,Union Saint-Gilloise,0,0,13,15,4.0,6.0,3.0,5.0,5.0,12.0,81.0,158.0,25.0,80.0,31.0,69.0,,,3.0,8.0,2.0,4.0,3.0,2.0,12.0,9.0,2.0,10.0,14.0,7.0,4.0,0.0,4.0,2.0,5.25,4.28,1.61,2.22,1.68,,,,,,,5.0,3.7,1.6,2.1,1.66,,,,,,,2024-2025
Beerschot vs OH Leuven,2024-07-27 16:15:00,Game ended in draw.,Turkey Super Lig,K. Beerschot V.A.,OH Leuven,0,0,9,7,2.0,6.0,1.0,5.0,1.0,9.0,70.0,83.0,44.0,48.0,51.0,49.0,,,1.0,6.0,0.0,3.0,2.0,6.0,13.0,8.0,1.0,5.0,15.0,15.0,1.0,0.0,2.0,1.0,3.25,3.49,2.25,2.15,1.72,,,,,,,3.2,3.25,2.15,2.05,1.7,,,,,1.92,1.92,2024-2025
Anderlecht vs Sint-Truiden,2024-07-27 18:45:00,Anderlecht won after full-time.,Turkey Super Lig,Anderlecht,Sint-Truiden,1,0,10,14,6.0,0.0,4.0,2.0,11.0,2.0,178.0,59.0,77.0,10.0,67.0,33.0,,,9.0,1.0,2.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,8.0,10.0,0.0,2.0,,,1.39,5.22,7.58,2.0,1.84,,,,,,,1.36,4.5,7.5,1.95,1.8,,,,,,,2024-2025
Genk vs Standard Liège,2024-07-28 11:30:00,Game ended in draw.,Turkey Super Lig,Genk,Standard Liège,0,0,8,11,10.0,1.0,10.0,3.0,20.0,4.0,165.0,67.0,55.0,17.0,75.0,25.0,,,11.0,1.0,9.0,3.0,1.0,3.0,3.0,15.0,11.0,4.0,13.0,14.0,1.0,2.0,0.0,4.0,1.57,4.37,5.61,2.33,1.63,,,,,,,1.57,3.8,5.5,2.25,1.57,,,,,,,2024-2025
Kortrijk vs Gent,2024-07-28 14:00:00,Gent won after full-time.,Turkey Super Lig,KV Kortrijk,Gent,0,1,13,9,8.0,4.0,4.0,5.0,15.0,8.0,90.0,119.0,52.0,59.0,35.0,65.0,,,10.0,6.0,5.0,2.0,1.0,0.0,11.0,7.0,10.0,6.0,10.0,7.0,1.0,5.0,3.0,2.0,4.15,3.89,1.84,2.4,1.6,,,,,,,3.75,3.6,1.8,2.25,1.57,,,,,,,2024-2025
Sporting Charleroi vs Antwerp,2024-07-28 16:30:00,Antwerp won after full-time.,Turkey Super Lig,Sporting Charleroi,Antwerp,0,1,12,14,5.0,6.0,5.0,6.0,11.0,12.0,125.0,88.0,64.0,33.0,50.0,50.0,,,8.0,8.0,3.0,4.0,1.0,3.0,6.0,7.0,6.0,7.0,15.0,7.0,3.0,5.0,5.0,2.0,3.65,3.45,2.1,2.03,1.81,,,,,1.98,1.89,3.4,3.3,2.0,1.95,1.8,,,,,2.02,1.82,2024-2025
Westerlo vs Cercle Brugge,2024-07-28 17:15:00,Westerlo won after full-time.,Turkey Super Lig,Westerlo,Cercle Brugge,3,0,11,15,6.0,7.0,2.0,4.0,10.0,12.0,87.0,150.0,28.0,79.0,48.0,52.0,,,9.0,8.0,1.0,4.0,1.0,2.0,1.0,0.0,8.0,7.0,9.0,12.0,4.0,3.0,0.0,1.0,3.04,3.61,2.31,2.42,1.58,,,,,,,3.0,3.25,2.2,2.37,1.53,,,,,,,2024-2025
Union Saint-Gilloise vs Beerschot,2024-08-02 18:45:00,Union Saint-Gilloise won after full-time.,Turkey Super Lig,Union Saint-Gilloise,K. Beerschot V.A.,3,1,7,9,4.0,6.0,3.0,1.0,10.0,6.0,107.0,77.0,93.0,43.0,54.0,46.0,,,8.0,4.0,2.0,2.0,5.0,0.0,1.0,1.0,7.0,3.0,12.0,10.0,1.0,1.0,2.0,2.0,1.27,5.93,10.28,1.88,1.96,,,,,,,1.27,5.25,9.0,1.9,1.9,,,,,,,2024-2025
Mechelen vs Westerlo,2024-08-03 14:00:00,Westerlo won after full-time.,Turkey Super Lig,Mechelen,Westerlo,2,4,7,2,8.0,4.0,4.0,6.0,12.0,21.0,26.0,45.0,6.0,14.0,57.0,43.0,1.0,1.0,6.0,11.0,6.0,10.0,3.0,0.0,6.0,7.0,8.0,13.0,14.0,13.0,5.0,2.0,4.0,4.0,2.37,3.6,2.95,2.39,1.6,,,,,,,2.2,3.4,3.0,2.37,1.53,,,,,,,2024-2025
OH Leuven vs Genk,2024-08-03 16:15:00,OH Leuven won after full-time.,Turkey Super Lig,OH Leuven,Genk,3,1,9,10,2.0,10.0,3.0,7.0,11.0,18.0,56.0,103.0,34.0,88.0,36.0,64.0,,,10.0,13.0,1.0,5.0,1.0,1.0,0.0,2.0,5.0,10.0,12.0,16.0,6.0,2.0,2.0,2.0,3.13,3.37,2.37,2.23,1.68,,,,,,,3.0,3.1,2.3,2.2,1.61,,,,,1.87,1.97,2024-2025
