team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Karlsruher SC,1.24,75.26190476190476,42,85.21,85.21,2897,189.0,185.86,188.5,179.82,184.41,,48.76,48.76,1658,5.09,5.09,173,43.32,43.32,1473,11.15,11.15,379,34,17,17,34,26,20,8,1,0,30,17,8,2,0,4,9,2,84625.0,7.94,11,0.32,11,8.62,293,7,45,58,1.38,1.38,47,414.71,261.11,32.27,14100,40.0,3.0,2.0,5,15,5,0.0,0.0,1.0,0.03,0.0,,55.46,437,12.85,120,296,180,142,137,5,437,15.79,15.79,537,6.24,1.41,978.0,532.0,532.0,978.0,3161,2.53,2.53,1,0.03,86,38205,,,,,,,Germany Bundesliga 2
Schalke 04,1.15,80.82051282051282,39,97.94,97.94,3330,183.78,186.27,192.2,184.2,185.89,,53.91,53.91,1833,5.18,5.18,176,43.71,43.71,1486,10.94,10.94,372,34,17,17,34,30,20,7,3,2,24,17,7,3,1,6,8,3,17867671.0,7.52,10,0.29,10,9.32,317,3,90,58,1.41,1.41,48,454.06,308.76,33.34,15438,100.0,0.0,2.0,4,26,2,0.03,0.03,0.0,0.0,1.0,32122.0,60.62,463,13.62,134,291,188,145,172,4,463,14.62,14.62,497,5.46,1.33,748.0,463.0,463.0,748.0,3152,2.32,2.32,1,0.03,79,32122,0.12,0.12,0.0,0.0,4.0,39608.0,Germany Bundesliga 2
Preußen Münster,0.88,105.2,30,80.74,80.74,2745,186.4,184.17,193.33,180.36,184.04,,42.91,42.91,1459,4.38,4.38,149,37.12,37.12,1262,13.56,13.56,461,34,17,17,34,25,12,5,1,0,25,10,3,1,1,3,7,4,34599.0,7.26,6,0.18,6,9.47,322,3,90,44,1.62,1.62,55,323.85,305.86,26.34,11011,100.0,0.0,3.0,6,7,5,,,,,,,78.9,418,12.29,109,267,182,130,135,3,418,15.74,15.74,535,5.3,1.22,405.0,200.0,200.0,405.0,3156,2.94,2.94,1,0.03,100,30468646,,,,,,,Germany Bundesliga 2
Paderborn,1.29,71.75,44,92.47,92.47,3144,189.5,187.0,188.25,181.21,184.56,,52.0,52.0,1768,6.09,6.09,207,47.41,47.41,1612,12.15,12.15,413,34,17,17,34,25,14,6,1,0,29,18,7,1,1,4,13,6,37577470.0,7.55,9,0.26,9,8.32,283,4,90,64,1.68,1.68,57,431.41,293.36,28.87,14668,71.43,2.0,5.0,4,13,3,0.12,0.12,0.0,0.0,4.0,31876.0,56.38,508,14.94,137,330,201,175,178,4,508,13.79,13.79,469,6.34,1.14,1005.0,612.0,612.0,1005.0,3157,2.03,2.03,0,0.0,69,37266076,0.03,0.03,0.0,0.0,1.0,22878566.0,Germany Bundesliga 2
Darmstadt 98,1.35,68.82608695652173,46,93.94,93.94,3194,183.67,187.4,191.0,182.3,185.43,,51.74,51.74,1759,4.88,4.88,166,45.06,45.06,1532,11.06,11.06,376,34,17,17,34,30,15,7,3,0,26,13,9,4,4,4,8,4,3862589.0,7.7,11,0.32,11,8.29,282,4,90,65,1.68,1.68,57,439.03,287.06,29.79,14927,80.0,1.0,4.0,8,19,3,0.06,0.06,0.0,0.0,2.0,3861563.0,56.54,501,14.74,125,322,195,184,179,4,501,16.0,16.0,544,6.04,1.45,868.0,323.0,323.0,868.0,3166,2.41,2.41,1,0.03,82,129384,0.06,0.06,0.0,0.0,2.0,24852.0,Germany Bundesliga 2
Eintracht Braunschweig,0.88,105.26666666666668,30,88.65,88.65,3014,183.2,184.88,193.0,181.45,184.39,,45.21,45.21,1537,4.71,4.71,160,37.47,37.47,1274,11.5,11.5,391,34,17,17,34,26,17,12,5,4,25,9,3,1,0,5,5,2,1548388.0,7.3,9,0.26,9,10.21,347,3,90,53,1.15,1.15,39,376.5,387.91,31.76,12801,80.0,1.0,4.0,4,18,4,0.06,0.06,1.0,0.03,2.0,35859.0,83.11,403,11.85,112,244,157,135,155,2,403,16.18,16.18,550,5.79,1.49,697.0,348.0,348.0,697.0,3158,2.62,2.62,2,0.06,89,418253,0.06,0.06,0.0,0.0,2.0,418253.0,Germany Bundesliga 2
Hannover 96,0.88,104.5,30,100.41,100.41,3414,181.2,186.44,192.0,182.11,184.28,,49.18,49.18,1672,5.62,5.62,191,48.47,48.47,1648,13.5,13.5,459,34,17,17,34,23,10,3,0,0,26,12,3,0,0,6,4,2,3862358.0,7.48,5,0.15,5,8.41,286,3,90,46,1.76,1.76,60,373.32,362.66,26.44,12693,100.0,0.0,3.0,3,19,1,0.06,0.06,0.0,0.0,2.0,32469.0,76.46,480,14.12,131,315,211,140,151,3,480,15.0,15.0,510,5.73,1.11,913.0,334.0,334.0,913.0,3135,2.41,2.41,1,0.03,82,418355,0.06,0.06,0.0,0.0,2.0,34953.0,Germany Bundesliga 2
Kaiserslautern,1.24,74.92857142857143,42,94.76,94.76,3222,184.83,185.17,193.0,181.07,183.83,,52.21,52.21,1775,5.24,5.24,178,39.44,39.44,1341,12.32,12.32,419,34,17,17,34,26,16,7,4,2,25,19,10,2,0,2,11,3,458905.0,7.39,13,0.38,13,8.94,304,5,45,64,1.47,1.47,50,425.53,289.36,29.47,14468,100.0,0.0,6.0,6,23,0,,,,,,,56.2,491,14.44,114,301,188,193,189,4,491,16.21,16.21,551,6.64,1.38,933.0,365.0,365.0,933.0,3147,2.35,2.35,2,0.06,80,33684,0.03,0.03,0.0,0.0,1.0,35001.0,Germany Bundesliga 2
Ulm,0.79,117.51851851851852,27,85.62,85.62,2911,184.5,186.75,188.5,181.71,184.78,,46.53,46.53,1582,4.29,4.29,146,38.53,38.53,1310,11.74,11.74,399,34,17,17,34,26,15,4,1,1,22,9,3,1,1,1,6,0,2178946.0,7.34,6,0.18,6,9.32,317,2,51,51,1.29,1.29,44,362.18,397.23,29.11,12314,71.43,2.0,5.0,5,6,2,0.06,0.06,0.0,0.0,2.0,460656.0,88.14,423,12.44,128,255,169,129,163,2,423,17.21,17.21,585,6.29,1.46,208.0,60.0,60.0,208.0,3173,2.56,2.56,1,0.03,87,7391939,0.06,0.06,0.0,0.0,2.0,2178946.0,Germany Bundesliga 2
Nürnberg,1.35,68.67391304347827,46,80.85,80.85,2749,183.11,183.13,190.67,178.7,182.4,,51.18,51.18,1740,5.03,5.03,171,36.21,36.21,1231,10.85,10.85,369,34,17,17,34,26,19,11,1,0,28,16,8,4,1,4,11,4,34361.0,7.45,12,0.35,12,8.26,281,4,45,62,1.41,1.41,48,448.94,277.53,38.06,15264,50.0,3.0,3.0,6,19,3,0.06,0.06,0.0,0.0,2.0,24817389.0,52.65,401,11.79,91,277,140,173,122,5,401,18.41,18.41,626,7.11,1.7,1168.0,623.0,623.0,1168.0,3159,2.53,2.53,0,0.0,86,37528761,0.03,0.03,0.0,0.0,1.0,37539823.0,Germany Bundesliga 2
