team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Como,1.03,90.48717948717947,39,94.37,94.37,3586,184.11,184.75,191.2,177.82,182.63,,54.76,54.76,2081,4.39,4.39,167,43.68,43.68,1660,13.24,13.24,503,38,19,19,38,31,16,3,1,1,30,12,6,1,0,4,6,5,37596384.0,7.39,12,0.32,12,7.32,278,4,90,62,1.71,1.71,65,464.55,401.2,33.95,17653,0.0,2.0,0.0,14,27,2,0.11,0.11,0.0,0.0,4.0,38.0,72.02,520,13.68,141,321,199,180,187,4,520,17.5,17.5,665,6.86,1.32,1439.0,830.0,830.0,1439.0,3529,2.32,2.32,4,0.11,88,129860,0.08,0.08,0.0,0.0,3.0,31909.0,Italy Serie A
Bologna,1.13,81.48837209302326,43,106.05,106.05,4030,182.5,187.08,192.67,182.9,185.21,,58.58,58.58,2226,5.03,5.03,191,48.16,48.16,1830,14.13,14.13,537,38,19,19,38,26,15,6,0,0,31,19,5,1,1,7,11,4,133712.0,8.06,9,0.24,9,7.03,267,3,64,66,1.66,1.66,63,462.63,351.6,34.34,17580,85.71,1.0,6.0,6,26,1,0.11,0.11,1.0,0.03,4.0,896234.0,61.47,512,13.47,141,328,196,176,183,4,512,15.66,15.66,595,8.88,1.16,1737.0,806.0,806.0,1737.0,3504,1.61,1.61,0,0.0,61,237695,0.03,0.03,0.0,0.0,1.0,896234.0,Italy Serie A
Empoli,0.61,152.2173913043478,23,84.39,84.39,3207,183.63,187.8,192.5,182.91,185.73,,41.29,41.29,1569,4.47,4.47,170,32.92,32.92,1251,15.03,15.03,571,38,19,19,38,32,15,9,2,1,23,7,2,1,0,2,2,1,239851.0,8.06,4,0.11,4,8.34,317,2,33,52,1.5,1.5,57,317.76,416.38,32.72,12075,66.67,1.0,2.0,5,27,0,0.13,0.13,0.0,0.0,5.0,129054.0,106.09,369,9.71,112,211,147,111,157,2,369,18.24,18.24,693,8.88,1.23,909.0,547.0,547.0,909.0,3501,1.89,1.89,1,0.03,72,151470,0.05,0.05,0.0,0.0,2.0,132249.0,Italy Serie A
Juventus,1.08,85.36585365853658,41,100.97,100.97,3837,186.0,187.36,189.67,181.75,185.69,,57.58,57.58,2188,5.0,5.0,190,47.92,47.92,1821,12.63,12.63,480,38,19,19,38,21,9,3,2,0,31,19,6,2,0,3,5,3,1167415.0,7.74,9,0.24,9,5.66,215,5,90,49,1.37,1.37,52,519.32,394.68,38.32,19734,100.0,0.0,6.0,8,13,2,0.08,0.08,1.0,0.03,3.0,95726.0,60.34,515,13.55,147,340,184,188,168,4,515,16.0,16.0,608,8.56,1.27,3078.0,1126.0,1126.0,3078.0,3500,1.82,1.82,3,0.08,69,129890,0.03,0.03,0.0,0.0,1.0,37328006.0,Italy Serie A
Milan,1.16,79.79545454545455,44,94.5,94.5,3591,184.3,184.42,194.25,181.23,184.33,,54.08,54.08,2055,5.71,5.71,217,46.63,46.63,1772,10.92,10.92,415,38,19,19,38,25,16,2,0,0,33,18,8,2,0,4,7,3,538861.0,7.75,6,0.16,6,6.21,236,5,90,60,1.58,1.58,60,463.68,320.36,31.3,17620,50.0,4.0,4.0,9,31,0,0.18,0.18,1.0,0.03,7.0,186995.0,57.56,563,14.82,165,354,206,196,201,5,563,14.68,14.68,558,7.25,1.28,5534.0,2810.0,2810.0,5534.0,3511,1.97,1.97,3,0.08,75,37584705,0.03,0.03,0.0,0.0,1.0,4655.0,Italy Serie A
Venezia,0.47,194.61111111111111,18,86.21,86.21,3276,182.86,186.6,191.2,180.77,184.34,,44.79,44.79,1702,3.76,3.76,143,36.95,36.95,1404,13.24,13.24,503,38,19,19,38,32,17,6,1,0,21,10,1,0,0,3,3,0,23288047.0,7.65,1,0.03,1,7.42,282,2,85,52,1.53,1.53,58,358.95,505.19,35.34,13640,80.0,1.0,4.0,12,22,0,,,,,,,109.47,386,10.16,109,225,150,130,161,2,386,16.03,16.03,609,7.71,1.21,849.0,295.0,295.0,849.0,3503,1.97,1.97,1,0.03,75,3861724,0.05,0.05,0.0,0.0,2.0,4536540.0,Italy Serie A
Genoa,0.74,125.82142857142856,28,86.58,86.58,3290,181.89,187.88,191.2,184.31,185.49,,45.58,45.58,1732,4.08,4.08,155,35.97,35.97,1367,13.11,13.11,498,38,19,19,38,27,15,5,1,1,25,11,1,0,0,7,3,1,1525399.0,7.42,6,0.16,6,8.08,307,3,90,56,1.47,1.47,56,372.21,404.11,36.74,14144,0.0,2.0,0.0,9,24,0,0.03,0.03,0.0,0.0,1.0,37657515.0,95.22,385,10.13,107,249,163,123,130,3,385,17.79,17.79,676,9.39,1.34,1416.0,395.0,395.0,1416.0,3523,1.87,1.87,3,0.08,71,1525399,,,,,,,Italy Serie A
Roma,0.97,94.67567567567568,37,103.32,103.32,3926,184.33,184.17,190.0,179.54,183.14,,53.95,53.95,2050,4.47,4.47,170,43.53,43.53,1654,10.68,10.68,406,38,19,19,38,22,8,3,1,1,32,14,6,3,1,5,7,4,129261.0,7.85,5,0.13,5,7.63,290,2,80,52,1.55,1.55,59,491.79,397.62,35.87,18688,100.0,0.0,8.0,10,24,0,,,,,,,62.55,521,13.71,154,337,194,177,184,3,521,14.5,14.5,551,8.1,1.24,4444.0,2046.0,2046.0,4444.0,3503,1.79,1.79,1,0.03,68,132259,0.03,0.03,1.0,0.03,1.0,189124.0,Italy Serie A
Atalanta,1.42,64.77777777777777,54,107.08,107.08,4069,189.17,187.5,192.0,182.87,186.53,,55.29,55.29,2101,5.08,5.08,193,57.58,57.58,2188,11.45,11.45,435,38,19,19,38,23,9,4,1,0,31,23,12,7,4,5,12,8,333616.0,7.75,5,0.13,5,7.95,302,4,45,59,1.42,1.42,54,506.76,271.23,35.33,19257,71.43,2.0,5.0,9,32,0,0.0,0.0,1.0,0.03,0.0,456038.0,44.85,545,14.34,130,418,224,195,124,6,545,15.03,15.03,571,8.28,1.35,2375.0,959.0,959.0,2375.0,3498,1.74,1.74,1,0.03,66,689021,0.03,0.03,1.0,0.03,1.0,545244.0,Italy Serie A
Fiorentina,1.05,87.45,40,87.55,87.55,3327,183.5,186.0,192.0,181.05,183.61,,50.55,50.55,1921,3.89,3.89,148,37.71,37.71,1433,11.47,11.47,436,38,19,19,38,26,13,2,0,0,30,18,7,2,2,3,10,4,37600942.0,7.55,6,0.16,6,7.21,274,3,45,51,2.32,2.32,88,422.47,308.73,35.91,16054,75.0,2.0,6.0,11,22,1,0.05,0.05,2.0,0.05,2.0,128295.0,58.3,447,11.76,114,281,161,175,166,4,447,13.87,13.87,527,6.06,1.08,1782.0,921.0,921.0,1782.0,3498,2.21,2.21,1,0.03,84,219486,0.08,0.08,0.0,0.0,3.0,36681.0,Italy Serie A
