team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Arouca,0.59,157.2,20,87.71,87.71,2982,182.67,183.89,188.67,178.58,182.0,,52.62,52.62,1789,5.29,5.29,180,37.76,37.76,1284,14.62,14.62,497,34,17,17,34,26,16,5,2,0,25,7,2,1,0,3,1,1,188896.0,7.65,6,0.18,6,9.12,310,4,90,46,1.88,1.88,64,421.85,512.25,36.04,14343,66.67,3.0,6.0,6,21,0,0.09,0.09,2.0,0.06,3.0,162226.0,89.83,398,11.71,99,219,166,135,177,2,398,16.38,16.38,557,5.8,1.11,2029.0,719.0,719.0,2029.0,3144,2.59,2.59,1,0.03,88,21413994,0.06,0.06,0.0,0.0,2.0,3862128.0,Liga Portugal
Sporting CP,1.65,55.73214285714285,56,109.88,109.88,3736,178.4,184.4,190.6,178.85,181.74,,60.44,60.44,2055,6.24,6.24,212,59.5,59.5,2023,11.56,11.56,393,34,17,17,34,19,6,1,1,0,32,26,19,6,4,1,15,11,194167.0,8.53,12,0.35,12,7.5,255,7,90,60,1.09,1.09,37,520.65,242.49,28.37,17702,100.0,0.0,13.0,13,21,0,0.15,0.15,0.0,0.0,5.0,159510.0,35.47,624,18.35,177,426,219,229,197,6,624,16.26,16.26,553,7.18,1.35,3023.0,1451.0,1451.0,3023.0,3121,1.97,1.97,0,0.0,67,540189,0.06,0.06,0.0,0.0,2.0,540189.0,Liga Portugal
Casa Pia,0.76,121.73076923076924,26,83.26,83.26,2831,179.67,188.88,192.33,181.8,184.1,,46.62,46.62,1585,3.88,3.88,132,34.15,34.15,1161,14.82,14.82,504,34,17,17,34,27,12,5,0,0,25,10,4,0,0,3,5,1,540252.0,7.62,7,0.21,7,9.06,308,3,50,42,1.21,1.21,41,364.21,386.97,38.94,12383,100.0,0.0,4.0,9,20,0,0.12,0.12,0.0,0.0,4.0,1166.0,81.15,318,9.35,71,191,145,104,129,2,318,14.88,14.88,506,5.16,1.0,958.0,479.0,479.0,958.0,3165,2.76,2.76,0,0.0,94,1477387,0.06,0.06,0.0,0.0,2.0,383366.0,Liga Portugal
Moreirense,0.82,112.64285714285714,28,82.15,82.15,2793,180.71,181.4,193.0,175.0,180.1,,47.5,47.5,1615,3.06,3.06,104,32.06,32.06,1090,14.62,14.62,497,34,17,17,34,27,16,7,0,0,26,12,4,0,0,3,8,2,466914.0,7.65,5,0.15,5,8.71,296,3,65,54,1.65,1.65,56,384.62,363.25,37.58,13077,100.0,0.0,5.0,9,22,0,0.06,0.06,1.0,0.03,2.0,164135.0,75.1,348,10.24,80,197,139,131,152,3,348,16.35,16.35,556,6.32,1.13,731.0,338.0,338.0,731.0,3154,2.62,2.62,1,0.03,89,37289454,0.03,0.03,0.0,0.0,1.0,25548855.0,Liga Portugal
AVS,0.5,185.8823529411765,17,84.88,84.88,2886,183.56,186.45,188.0,182.0,184.45,,43.56,43.56,1481,3.41,3.41,116,35.65,35.65,1212,13.94,13.94,474,34,17,17,34,26,16,10,5,2,22,3,0,0,0,4,0,0,460141.0,7.33,13,0.38,13,9.18,312,4,45,44,1.44,1.44,49,356.24,576.76,35.11,12112,80.0,1.0,4.0,9,21,2,0.03,0.03,0.0,0.0,1.0,7274.0,126.4,345,10.15,81,198,176,94,146,1,345,16.68,16.68,567,4.93,1.18,463.0,150.0,150.0,463.0,3160,3.18,3.18,1,0.03,108,447283,0.12,0.12,0.0,0.0,4.0,159945.0,Liga Portugal
Rio Ave,0.62,149.8095238095238,21,85.06,85.06,2892,176.86,186.58,189.67,181.83,183.18,,47.68,47.68,1621,4.21,4.21,143,34.88,34.88,1186,13.5,13.5,459,34,17,17,34,29,16,7,2,1,24,13,2,0,0,3,6,2,37681543.0,7.79,5,0.15,5,9.47,322,5,90,48,2.71,2.71,92,389.44,367.81,35.4,13241,75.0,1.0,3.0,8,22,1,0.12,0.12,1.0,0.03,4.0,236462.0,80.67,374,11.0,102,229,146,128,144,3,374,17.56,17.56,597,6.94,1.33,1743.0,773.0,773.0,1743.0,3146,2.35,2.35,5,0.15,80,37402386,0.06,0.06,0.0,0.0,2.0,608331.0,Liga Portugal
Famalicão,0.91,101.74193548387096,31,90.32,90.32,3071,181.17,185.13,192.67,180.22,183.38,,50.47,50.47,1716,5.41,5.41,184,41.47,41.47,1410,13.97,13.97,475,34,17,17,34,21,13,4,1,0,27,11,5,1,0,0,6,4,37537789.0,7.85,8,0.24,8,9.06,308,4,90,49,1.21,1.21,41,396.76,355.0,34.86,13490,83.33,1.0,5.0,10,15,0,0.06,0.06,0.0,0.0,2.0,24816839.0,71.68,387,11.38,101,210,158,131,170,3,387,16.71,16.71,568,7.28,1.09,902.0,330.0,330.0,902.0,3154,2.29,2.29,2,0.06,78,97387,,,,,,,Liga Portugal
Gil Vicente,0.59,158.2,20,86.71,86.71,2948,182.0,184.0,188.5,180.2,182.41,,50.82,50.82,1728,3.85,3.85,131,36.32,36.32,1235,11.62,11.62,395,34,17,17,34,27,12,5,2,1,21,7,5,1,0,1,5,2,37715434.0,7.4,6,0.18,6,9.32,317,3,90,51,1.47,1.47,50,436.06,511.24,45.2,14826,100.0,0.0,4.0,6,18,0,0.09,0.09,1.0,0.03,3.0,62685.0,93.06,328,9.65,72,202,158,101,116,2,328,15.94,15.94,542,6.95,1.39,1536.0,712.0,712.0,1536.0,3164,2.06,2.06,0,0.0,70,29697091,0.06,0.06,0.0,0.0,2.0,29697091.0,Liga Portugal
Benfica,1.74,53.11864406779661,59,118.24,118.24,4020,177.8,183.75,194.5,179.5,181.28,,58.35,58.35,1984,7.06,7.06,240,61.79,61.79,2101,11.76,11.76,400,34,17,17,34,19,8,1,0,0,32,23,18,7,3,2,15,11,151551.0,7.91,8,0.24,8,9.24,314,6,90,57,2.59,2.59,88,501.85,243.76,29.83,17063,91.67,1.0,11.0,7,25,3,,,,,,,37.31,572,16.82,150,361,195,229,211,5,572,18.76,18.76,638,9.67,1.52,6119.0,2891.0,2891.0,6119.0,3134,2.0,2.0,1,0.03,68,163210,,,,,,,Liga Portugal
Santa Clara,0.79,116.70370370370372,27,81.09,81.09,2757,181.14,185.14,191.5,177.55,181.48,,44.53,44.53,1514,3.82,3.82,130,34.74,34.74,1181,16.62,16.62,565,34,17,17,34,23,6,2,1,0,23,11,1,1,0,2,5,1,37527167.0,7.26,2,0.06,2,8.62,293,3,57,35,1.85,1.85,63,336.82,347.03,29.98,11452,50.0,2.0,2.0,4,21,1,0.06,0.06,1.0,0.03,2.0,160298.0,87.53,382,11.24,92,236,163,129,142,3,382,16.41,16.41,558,4.43,1.01,992.0,421.0,421.0,992.0,3151,3.41,3.41,4,0.12,116,160298,0.12,0.12,0.0,0.0,4.0,546553.0,Liga Portugal
