team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Santos Laguna,0.53,176.66666666666666,18,80.88,80.88,2750,177.1,178.75,184.0,173.25,176.59,1.0,48.06,48.06,1634,4.68,4.68,159,29.35,29.35,998,11.56,11.56,393,34,17,17,34,31,21,11,3,0,18,8,1,0,0,1,4,2,37410272.0,7.49,15,0.44,15,8.62,293,3,90,54,1.38,1.38,47,395.26,559.96,34.46,13439,100.0,0.0,3.0,2,24,0,0.12,0.12,0.0,0.0,4.0,237921.0,117.78,390,11.47,98,219,177,118,172,2,390,17.44,17.44,593,6.82,1.53,53.0,53.0,53.0,53.0,3180,2.41,2.41,0,0.0,82,258514,0.06,0.06,0.0,0.0,2.0,188340.0,Mexico Liga MX
Necaxa,1.06,88.6842105263158,38,91.92,91.92,3309,181.25,183.11,193.33,176.05,179.94,1.5,43.58,43.58,1569,5.22,5.22,188,41.42,41.42,1491,12.03,12.03,433,36,18,18,36,26,16,8,3,3,28,19,9,2,0,4,9,4,444230.0,7.81,13,0.36,13,9.08,327,4,90,69,1.36,1.36,49,337.97,225.31,21.61,12167,100.0,0.0,4.0,8,16,0,0.06,0.06,0.0,0.0,2.0,253911.0,58.1,563,15.64,139,298,220,206,258,5,563,17.22,17.22,620,8.99,1.47,144.0,,,144.0,3370,1.86,1.86,2,0.06,67,444230,,,,,,,Mexico Liga MX
Puebla,0.41,227.57142857142856,14,83.68,83.68,2845,177.0,180.5,183.0,175.53,177.52,1.5,39.15,39.15,1331,4.24,4.24,144,36.5,36.5,1241,13.38,13.38,455,34,17,17,34,28,18,7,2,1,22,7,0,0,0,2,3,1,260599.0,7.58,11,0.32,11,10.32,351,2,82,45,1.62,1.62,55,317.82,450.25,27.64,10806,83.33,1.0,5.0,12,14,0,0.09,0.09,0.0,0.0,3.0,70307.0,109.86,391,11.5,101,204,163,130,185,1,391,17.18,17.18,584,6.35,1.26,15.0,15.0,15.0,15.0,3186,2.5,2.5,1,0.03,85,219668,0.09,0.09,0.0,0.0,3.0,70307.0,Mexico Liga MX
Querétaro,0.68,138.91304347826087,23,80.21,80.21,2727,178.11,178.67,186.0,174.19,177.08,1.0,39.41,39.41,1340,4.29,4.29,146,35.12,35.12,1194,12.09,12.09,411,34,17,17,34,27,18,5,4,1,21,7,2,0,0,7,4,2,448093.0,7.32,10,0.29,10,8.91,303,3,90,45,1.97,1.97,67,321.44,376.86,32.24,10929,50.0,1.0,1.0,6,21,0,0.12,0.12,0.0,0.0,4.0,253548.0,106.5,339,9.97,77,201,155,110,141,2,339,17.06,17.06,580,6.17,1.41,52.0,8.0,8.0,52.0,3195,2.24,2.24,0,0.0,76,253862,0.15,0.15,0.0,0.0,5.0,161849.0,Mexico Liga MX
Atlas,0.78,121.32142857142856,28,86.64,86.64,3119,177.38,180.45,183.0,172.44,177.58,2.0,45.42,45.42,1635,4.92,4.92,177,39.0,39.0,1404,12.69,12.69,457,36,19,17,36,28,18,10,3,0,24,14,5,1,0,3,2,0,20683389.0,7.7,7,0.19,7,10.69,385,4,90,58,1.22,1.22,44,356.39,346.76,28.32,12830,83.33,1.0,5.0,8,17,1,0.14,0.14,0.0,0.0,5.0,25096.0,77.2,453,12.58,115,242,217,124,202,3,453,16.03,16.03,577,6.95,1.31,,,,,3397,2.19,2.19,0,0.0,79,96463,0.03,0.03,0.0,0.0,1.0,253914.0,Mexico Liga MX
Pachuca,1.0,92.72972972972973,37,95.49,95.49,3533,180.25,181.7,187.33,175.65,179.13,1.5,50.68,50.68,1875,6.38,6.38,236,45.68,45.68,1690,12.62,12.62,467,37,19,18,37,30,20,4,1,0,26,14,5,3,2,4,6,4,37701412.0,7.5,15,0.41,15,10.41,385,4,45,55,2.11,2.11,78,413.16,325.26,28.0,15287,50.0,1.0,1.0,9,17,0,0.22,0.22,1.0,0.03,8.0,34862151.0,67.27,546,14.76,126,291,237,190,256,4,546,18.76,18.76,694,6.61,1.48,35.0,,,35.0,3431,2.38,2.38,3,0.08,88,25513,0.14,0.14,0.0,0.0,5.0,25513.0,Mexico Liga MX
Juárez,0.86,108.96666666666668,30,84.37,84.37,2953,175.5,180.18,182.0,177.0,178.08,1.0,47.14,47.14,1650,4.37,4.37,153,37.31,37.31,1306,11.4,11.4,399,35,17,18,35,27,16,9,5,1,25,13,1,0,0,2,7,2,236863.0,7.77,10,0.29,10,9.97,349,3,45,58,1.17,1.17,41,369.43,349.46,31.93,12930,66.67,1.0,2.0,8,21,0,0.11,0.11,0.0,0.0,4.0,254095.0,83.82,405,11.57,97,198,174,137,194,3,405,15.29,15.29,535,5.69,1.33,52.0,39.0,39.0,52.0,3269,2.63,2.63,0,0.0,92,255683,0.03,0.03,0.0,0.0,1.0,130137.0,Mexico Liga MX
Mazatlán,0.38,242.0,13,92.94,92.94,3160,179.13,182.55,182.5,175.9,179.52,1.0,47.35,47.35,1610,5.91,5.91,201,42.0,42.0,1428,12.68,12.68,431,34,17,17,34,25,12,4,2,2,18,6,2,0,0,2,2,1,20347188.0,7.85,9,0.26,9,7.97,271,2,86,37,1.79,1.79,61,388.59,574.43,34.59,13212,66.67,1.0,2.0,7,17,0,0.06,0.06,0.0,0.0,2.0,443517.0,121.0,382,11.24,86,216,184,115,158,2,382,16.21,16.21,551,5.51,1.36,183.0,118.0,118.0,183.0,3146,2.88,2.88,0,0.0,98,237880,0.03,0.03,0.0,0.0,1.0,256334.0,Mexico Liga MX
Tigres UANL,0.88,107.14285714285714,35,87.7,87.7,3508,178.8,181.3,186.33,173.6,177.88,2.5,53.88,53.88,2155,6.03,6.03,241,48.6,48.6,1944,11.88,11.88,475,40,20,20,40,26,7,4,1,0,28,17,6,1,0,2,9,3,37266894.0,8.01,10,0.25,10,10.13,405,6,90,55,1.98,1.98,79,453.75,422.09,30.05,18150,71.43,2.0,5.0,7,24,0,0.1,0.1,0.0,0.0,4.0,211596.0,72.12,604,15.1,150,345,265,192,254,3,604,17.98,17.98,719,8.36,1.41,13.0,,,13.0,3750,1.98,1.98,0,0.0,79,37412416,0.05,0.05,0.0,0.0,2.0,186475.0,Mexico Liga MX
Atlético San Luis,0.89,104.73529411764706,34,89.89,89.89,3416,179.2,179.1,188.5,174.09,178.53,1.5,52.24,52.24,1985,4.66,4.66,177,40.42,40.42,1536,10.18,10.18,387,38,19,19,38,31,16,9,1,1,28,16,7,2,0,2,8,1,97628.0,7.48,11,0.29,11,8.89,338,5,45,60,1.18,1.18,45,471.84,398.44,41.99,17930,85.71,1.0,6.0,5,18,0,0.03,0.03,0.0,0.0,1.0,37577449.0,67.19,427,11.24,97,246,168,166,176,3,427,15.34,15.34,583,10.8,1.54,23.0,15.0,15.0,23.0,3561,1.45,1.45,1,0.03,55,219722,,,,,,,Mexico Liga MX
