team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
FC Twente,1.28,72.6304347826087,46,102.06,102.06,3674,183.0,183.7,191.5,177.29,181.78,,53.33,53.33,1920,5.17,5.17,186,49.97,49.97,1799,10.25,10.25,369,36,18,18,36,25,17,6,2,2,34,20,6,3,3,5,14,7,21394902.0,7.63,10,0.28,10,7.81,281,4,90,60,1.67,1.67,60,472.39,293.21,32.77,17006,100.0,0.0,8.0,9,21,1,0.06,0.06,0.0,0.0,2.0,25414.0,49.87,519,14.42,140,340,189,193,180,5,519,16.53,16.53,595,11.9,1.57,2933.0,1624.0,1624.0,2933.0,3341,1.36,1.36,0,0.0,49,37529951,,,,,,,Netherlands Eredivisie
PEC Zwolle,0.82,112.67857142857144,28,99.38,99.38,3379,179.86,180.57,188.25,179.5,181.23,,50.41,50.41,1714,4.21,4.21,143,41.09,41.09,1397,11.47,11.47,390,34,17,17,34,28,11,5,4,2,24,12,6,1,0,0,6,3,16838270.0,7.47,3,0.09,3,9.38,319,3,90,57,1.15,1.15,39,442.09,385.41,39.98,15031,75.0,1.0,3.0,5,15,2,0.03,0.03,0.0,0.0,1.0,25123.0,73.37,376,11.06,98,234,155,129,139,3,376,18.62,18.62,633,11.11,1.61,1205.0,563.0,563.0,1205.0,3155,1.53,1.53,1,0.03,52,28952175,0.06,0.06,0.0,0.0,2.0,6599976.0,Netherlands Eredivisie
PSV,2.53,36.44186046511628,86,133.32,133.32,4533,179.22,179.31,190.33,183.43,181.22,,67.97,67.97,2311,7.5,7.5,255,75.85,75.85,2579,8.32,8.32,283,34,17,17,34,25,10,4,0,0,32,30,21,9,7,1,20,14,23277869.0,7.79,9,0.26,9,7.44,253,6,90,75,1.35,1.35,46,622.76,218.29,31.32,21174,50.0,2.0,2.0,11,20,1,0.03,0.03,0.0,0.0,1.0,37607140.0,30.43,676,19.88,171,485,234,273,190,9,676,16.24,16.24,552,16.24,1.94,3363.0,1573.0,1573.0,3363.0,3134,1.0,1.0,1,0.03,34,16817566,,,,,,,Netherlands Eredivisie
NEC Nijmegen,0.94,99.0909090909091,33,97.77,97.77,3422,178.0,181.56,189.33,176.14,180.21,,48.66,48.66,1703,4.91,4.91,172,42.0,42.0,1470,10.83,10.83,379,35,18,17,35,25,15,6,2,1,26,14,9,2,1,2,7,4,28199.0,7.4,4,0.11,4,9.11,319,7,90,60,0.97,0.97,34,424.97,297.48,32.19,14874,100.0,0.0,3.0,6,19,2,0.06,0.06,0.0,0.0,2.0,23416.0,61.7,462,13.2,120,303,192,156,157,4,462,17.37,17.37,608,10.67,1.49,1328.0,422.0,422.0,1328.0,3270,1.49,1.49,1,0.03,52,25734,0.03,0.03,0.0,0.0,1.0,28212.0,Netherlands Eredivisie
FC Groningen,0.76,121.1153846153846,26,102.94,102.94,3500,178.67,186.17,188.67,182.0,183.04,,46.82,46.82,1592,4.24,4.24,144,37.5,37.5,1275,9.91,9.91,337,34,17,17,34,27,13,7,3,2,22,9,4,3,1,2,4,3,5283769.0,7.42,6,0.18,6,9.03,307,4,31,47,1.0,1.0,34,414.21,414.21,38.27,14083,83.33,1.0,5.0,4,19,1,0.12,0.12,0.0,0.0,4.0,25241.0,78.73,368,10.82,101,205,125,147,161,2,368,17.88,17.88,608,9.07,1.84,1150.0,517.0,517.0,1150.0,3149,1.71,1.71,0,0.0,58,871,0.06,0.06,0.0,0.0,2.0,418424.0,Netherlands Eredivisie
Feyenoord,1.56,59.490566037735846,53,109.85,109.85,3735,180.5,184.58,190.2,181.0,183.26,,57.56,57.56,1957,6.29,6.29,214,53.91,53.91,1833,8.35,8.35,284,34,17,17,34,24,12,2,0,0,29,21,13,8,4,5,12,9,2503729.0,7.8,10,0.29,10,7.71,262,4,45,59,1.18,1.18,40,492.62,257.68,30.18,16749,100.0,0.0,6.0,9,29,1,0.03,0.03,0.0,0.0,1.0,37622856.0,41.49,555,16.32,134,358,217,211,195,5,555,15.29,15.29,520,11.06,1.74,2579.0,1222.0,1222.0,2579.0,3153,1.32,1.32,1,0.03,45,181449,0.03,0.03,0.0,0.0,1.0,37255818.0,Netherlands Eredivisie
NAC Breda,0.65,144.04545454545453,22,88.59,88.59,3012,183.14,184.11,186.5,183.43,184.04,,44.94,44.94,1528,4.09,4.09,139,39.59,39.59,1346,10.41,10.41,354,34,17,17,34,29,15,9,4,1,24,8,1,1,0,2,5,2,65145.0,7.31,11,0.32,11,8.62,293,4,90,52,0.85,0.85,29,387.35,424.84,33.51,13170,100.0,0.0,3.0,7,19,0,0.12,0.12,1.0,0.03,4.0,140973.0,93.21,393,11.56,106,249,162,129,137,2,393,18.29,18.29,622,9.15,1.75,350.0,212.0,212.0,350.0,3169,1.82,1.82,1,0.03,62,65145,0.03,0.03,0.0,0.0,1.0,21036703.0,Netherlands Eredivisie
Fortuna Sittard,0.74,125.72,25,86.41,86.41,2938,182.29,185.71,193.25,179.09,183.41,,44.38,44.38,1509,4.32,4.32,147,40.71,40.71,1384,11.88,11.88,404,34,17,17,34,24,16,9,4,1,23,8,4,1,1,2,3,2,32493.0,8.16,7,0.21,7,9.76,332,4,90,55,1.21,1.21,41,358.06,380.44,34.1,12174,66.67,2.0,4.0,8,20,2,0.03,0.03,0.0,0.0,1.0,5641040.0,84.95,357,10.5,97,242,151,111,115,2,357,16.74,16.74,569,7.69,1.43,672.0,292.0,292.0,672.0,3143,1.97,1.97,0,0.0,67,37336952,0.06,0.06,0.0,0.0,2.0,8039.0,Netherlands Eredivisie
AZ,1.42,65.54901960784314,51,109.75,109.75,3951,178.38,184.14,190.67,182.9,182.75,,52.25,52.25,1881,6.08,6.08,219,51.72,51.72,1862,10.39,10.39,374,36,17,19,36,24,13,3,0,0,31,19,8,2,1,4,14,5,22136638.0,7.36,7,0.19,7,9.17,330,5,90,61,1.25,1.25,45,479.22,278.26,32.92,17252,100.0,0.0,2.0,8,27,0,0.08,0.08,1.0,0.03,3.0,33166012.0,51.43,524,14.56,121,345,199,206,174,6,524,18.36,18.36,661,10.17,1.76,1939.0,1095.0,1095.0,1939.0,3343,1.67,1.67,2,0.06,60,37597888,0.03,0.03,0.0,0.0,1.0,23278611.0,Netherlands Eredivisie
SC Heerenveen,0.83,111.65517241379312,29,102.37,102.37,3583,177.5,185.22,191.75,179.5,183.04,,53.37,53.37,1868,4.74,4.74,166,47.69,47.69,1669,11.74,11.74,411,35,18,17,35,29,16,9,2,1,25,11,5,2,0,3,8,3,42862.0,7.25,5,0.14,5,8.66,303,4,90,56,1.43,1.43,50,475.97,450.24,36.06,16659,83.33,1.0,5.0,4,9,0,0.06,0.06,0.0,0.0,2.0,42862.0,75.3,462,13.2,146,286,170,150,169,3,462,18.23,18.23,638,13.02,1.56,1326.0,783.0,783.0,1326.0,3238,1.34,1.34,0,0.0,47,37599456,,,,,,,Netherlands Eredivisie
