team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
SD Eibar,0.81,114.76470588235294,34,104.9,104.9,4406,176.0,184.0,186.67,180.0,181.67,,49.93,49.93,2097,4.64,4.64,195,41.69,41.69,1751,13.74,13.74,577,42,21,21,42,28,12,1,0,0,28,13,2,1,0,1,5,1,525207.0,7.45,7,0.17,7,9.69,407,4,90,48,2.02,2.02,85,422.67,467.16,34.6,17752,66.67,1.0,2.0,6,15,0,0.05,0.05,0.0,0.0,2.0,187050.0,88.68,513,12.21,122,308,215,181,205,3,513,15.69,15.69,659,5.54,1.13,41.0,,,41.0,3902,2.57,2.57,3,0.07,108,383387,0.12,0.12,0.0,0.0,5.0,24468966.0,Spain La Liga 2
Levante,1.12,82.82978723404256,47,94.45,94.45,3967,181.0,180.13,187.5,177.78,180.04,,49.05,49.05,2060,4.81,4.81,202,43.69,43.69,1835,11.36,11.36,477,42,21,21,42,31,11,0,0,0,32,21,12,3,1,6,12,3,37656468.0,7.72,18,0.43,18,7.31,307,11,90,67,2.1,2.1,88,417.21,292.05,32.51,17523,87.5,1.0,7.0,6,16,0,,,,,,,56.42,539,12.83,138,352,216,189,183,5,539,13.07,13.07,549,6.24,1.1,59.0,59.0,59.0,59.0,3893,2.1,2.1,0,0.0,88,4545454,0.02,0.02,0.0,0.0,1.0,4545454.0,Spain La Liga 2
Elche,1.14,80.70833333333333,48,107.83,107.83,4529,182.6,181.67,186.0,177.0,180.34,,61.71,61.71,2592,4.95,4.95,208,50.02,50.02,2101,12.79,12.79,537,42,21,21,42,23,8,3,0,0,33,18,6,2,0,3,7,4,186134.0,7.7,9,0.21,9,7.76,326,6,90,51,1.57,1.57,66,523.14,406.89,40.76,21972,62.5,3.0,5.0,7,19,1,0.05,0.05,0.0,0.0,2.0,84301.0,65.66,539,12.83,135,313,206,201,219,4,539,16.64,16.64,699,6.92,1.26,167.0,20.0,20.0,167.0,3874,2.31,2.31,2,0.05,97,446998,0.07,0.07,0.0,0.0,3.0,436041.0,Spain La Liga 2
Córdoba,0.98,95.48780487804878,41,99.48,99.48,4178,178.0,183.86,185.5,181.67,182.11,,56.36,56.36,2367,5.83,5.83,245,51.33,51.33,2156,15.67,15.67,658,42,21,21,42,33,21,6,3,0,33,17,6,2,1,5,9,2,447951.0,7.55,13,0.31,13,8.17,343,6,90,74,1.9,1.9,80,391.64,328.98,25.46,16449,100.0,0.0,7.0,5,6,0,0.14,0.14,1.0,0.02,6.0,189289.0,66.36,646,15.38,176,380,264,210,263,4,646,16.71,16.71,702,5.01,1.07,57.0,38.0,38.0,57.0,3915,3.33,3.33,2,0.05,140,447951,0.02,0.02,0.0,0.0,1.0,25548528.0,Spain La Liga 2
Tenerife,0.67,139.07142857142858,28,88.31,88.31,3709,179.5,180.82,186.6,178.18,180.58,,48.36,48.36,2031,4.24,4.24,178,41.95,41.95,1762,15.6,15.6,655,42,21,21,42,33,15,6,1,0,22,11,2,0,0,2,6,4,22493451.0,7.36,9,0.21,9,9.98,419,3,84,58,2.95,2.95,124,369.88,470.76,33.48,15535,0.0,3.0,0.0,8,21,1,0.19,0.19,0.0,0.0,8.0,190437.0,111.26,464,11.05,127,310,213,127,153,3,464,17.88,17.88,751,6.95,1.15,165.0,66.0,66.0,165.0,3894,2.31,2.31,1,0.02,97,450610,0.05,0.05,0.0,0.0,2.0,433042.0,Spain La Liga 2
Racing Santander,1.11,83.61224489795919,49,98.77,98.77,4346,178.67,181.3,187.5,177.92,179.83,,51.82,51.82,2280,5.05,5.05,222,44.45,44.45,1956,12.61,12.61,555,44,22,22,44,33,17,7,1,0,37,23,6,1,1,5,8,3,3219728.0,7.46,8,0.18,8,8.59,378,4,90,75,2.18,2.18,96,404.14,282.25,30.98,17782,71.43,2.0,5.0,6,16,1,0.05,0.05,0.0,0.0,2.0,537201.0,59.38,574,13.05,143,381,216,218,191,5,574,17.27,17.27,760,6.33,1.36,129.0,36.0,36.0,129.0,4097,2.64,2.64,3,0.07,116,533882,0.07,0.07,0.0,0.0,3.0,188868.0,Spain La Liga 2
Granada,1.17,79.89795918367346,49,90.48,90.48,3800,181.56,185.13,186.4,178.17,182.71,,51.29,51.29,2154,4.79,4.79,201,43.36,43.36,1821,13.29,13.29,558,42,21,21,42,30,19,3,1,1,34,18,11,2,0,2,10,5,26523850.0,7.4,11,0.26,11,6.9,290,5,90,72,1.43,1.43,60,390.07,282.47,30.91,16383,71.43,2.0,5.0,6,19,1,0.17,0.17,0.0,0.0,7.0,155891.0,60.23,530,12.62,136,365,211,186,161,5,530,16.36,16.36,687,5.73,1.26,598.0,209.0,209.0,598.0,3915,2.64,2.64,1,0.02,111,37577772,0.05,0.05,0.0,0.0,2.0,1474.0,Spain La Liga 2
Deportivo La Coruña,0.95,97.225,40,94.07,94.07,3951,178.88,180.63,189.0,180.6,181.08,,53.83,53.83,2261,5.07,5.07,213,42.88,42.88,1801,10.24,10.24,430,42,21,21,42,31,18,3,2,0,30,11,6,5,4,5,6,4,4801.0,7.72,7,0.17,7,8.74,367,3,61,61,1.69,1.69,71,450.29,370.82,37.01,18912,80.0,1.0,4.0,7,13,1,0.1,0.1,0.0,0.0,4.0,186287.0,69.45,511,12.17,146,329,193,174,180,4,511,16.38,16.38,688,9.42,1.6,56.0,31.0,31.0,56.0,3889,1.6,1.6,0,0.0,67,4801,0.02,0.02,0.0,0.0,1.0,37593325.0,Spain La Liga 2
Huesca,0.81,114.38235294117646,34,84.1,84.1,3532,178.75,180.44,185.0,180.8,180.65,,43.88,43.88,1843,4.14,4.14,174,37.79,37.79,1587,12.07,12.07,507,42,21,21,42,31,14,3,1,0,33,15,8,2,0,3,8,5,382668.0,7.81,17,0.4,17,8.19,344,6,90,62,1.52,1.52,64,353.55,296.98,35.27,14849,85.71,1.0,6.0,5,11,1,0.17,0.17,0.0,0.0,7.0,63017.0,67.05,421,10.02,92,284,182,147,136,4,421,12.81,12.81,538,4.76,1.08,31.0,31.0,31.0,31.0,3889,2.5,2.5,0,0.0,105,63017,0.05,0.05,0.0,0.0,2.0,63017.0,Spain La Liga 2
Burgos,0.69,134.72413793103448,29,90.79,90.79,3813,184.67,181.9,187.67,181.5,182.93,,48.52,48.52,2038,4.38,4.38,184,39.38,39.38,1654,12.36,12.36,519,42,21,21,42,28,17,3,0,0,27,11,3,0,0,0,5,0,189729.0,7.96,7,0.17,7,10.5,441,4,77,54,2.33,2.33,98,396.79,462.92,39.4,16665,55.56,4.0,5.0,9,14,2,0.02,0.02,0.0,0.0,1.0,436883.0,95.29,423,10.07,105,266,172,151,155,3,423,17.36,17.36,729,6.51,1.39,102.0,,,102.0,3907,2.62,2.62,0,0.0,110,447514,0.02,0.02,0.0,0.0,1.0,446953.0,Spain La Liga 2
