team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,average-points-per-game.average_points_per_game,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Cuiabá,0.47,204.27777777777777,18,84.34,84.34,3205,178.4,185.0,190.0,179.64,182.17,1.44,42.53,42.53,1616,3.79,3.79,144,36.03,36.03,1369,11.76,11.76,447,38,19,19,38,28,13,5,2,1,18,5,2,2,2,1,1,0,218882.0,7.33,10,0.26,10,7.87,299,2,16,41,1.53,1.53,58,364.53,577.17,36.26,13852,80.0,1.0,4.0,11,17,0,0.03,0.03,1.0,0.03,1.0,37550063.0,126.79,382,10.05,97,217,171,121,165,2,382,15.92,15.92,605,5.71,2.3,880.0,349.0,349.0,880.0,3677,2.89,2.89,4,0.11,110,11298638,,,,,,,Brasileirao Betano Serie A
Juventude,1.05,92.475,40,87.45,87.45,3323,178.77,181.58,194.4,179.93,181.64,1.56,47.37,47.37,1800,4.47,4.47,170,36.95,36.95,1404,12.37,12.37,470,38,19,19,38,32,16,6,3,2,31,13,4,0,0,5,6,2,129092.0,7.32,12,0.32,12,8.82,335,5,90,64,1.34,1.34,51,380.0,300.83,29.35,14440,0.0,2.0,0.0,7,33,0,0.11,0.11,0.0,0.0,4.0,129092.0,77.06,492,12.95,114,274,210,174,218,4,492,18.32,18.32,696,5.23,1.59,396.0,260.0,260.0,396.0,3699,2.79,2.79,5,0.13,106,129637,0.24,0.24,0.0,0.0,9.0,439494.0,Brasileirao Betano Serie A
Internacional,0.89,108.44117647058825,34,108.24,108.24,4113,178.8,180.06,192.8,176.58,180.47,1.67,52.61,52.61,1999,5.0,5.0,190,50.89,50.89,1934,15.18,15.18,577,38,19,19,38,26,8,2,0,0,31,15,6,1,0,4,10,3,37545368.0,8.06,10,0.26,10,8.71,331,5,90,50,1.61,1.61,61,441.34,349.4,31.12,16771,50.0,4.0,4.0,6,29,0,0.03,0.03,0.0,0.0,1.0,456275.0,69.57,539,14.18,143,335,206,199,203,4,539,18.03,18.03,685,6.92,1.65,1035.0,452.0,452.0,1035.0,3687,2.61,2.61,2,0.05,99,36481521,,,,,,,Brasileirao Betano Serie A
Fortaleza,1.03,94.2051282051282,39,90.37,90.37,3434,174.38,178.4,189.25,175.3,177.78,2.05,42.61,42.61,1619,4.63,4.63,176,34.11,34.11,1296,13.13,13.13,499,38,19,19,38,25,9,3,1,1,31,14,7,1,0,1,9,7,402333.0,8.1,10,0.26,10,8.76,333,6,45,54,1.66,1.66,63,354.05,280.29,29.5,13454,60.0,2.0,3.0,7,24,1,0.18,0.18,0.0,0.0,7.0,37526155.0,69.32,456,12.0,133,274,185,148,182,4,456,17.32,17.32,658,5.88,1.72,1281.0,722.0,722.0,1281.0,3674,2.74,2.74,2,0.05,104,214533,0.08,0.08,0.0,0.0,3.0,214533.0,Brasileirao Betano Serie A
Atlético GO,0.42,231.0,16,95.74,95.74,3638,179.44,183.18,194.0,178.36,181.59,1.2,47.24,47.24,1795,4.71,4.71,179,46.74,46.74,1776,12.66,12.66,481,38,19,19,38,31,18,8,1,0,22,6,1,0,0,2,3,1,37623525.0,7.52,8,0.21,8,9.05,344,2,11,51,1.32,1.32,50,381.45,579.8,27.04,14495,60.0,2.0,3.0,10,23,0,0.24,0.24,1.0,0.03,9.0,219475.0,127.45,536,14.11,145,311,223,172,224,2,536,15.55,15.55,591,4.8,1.58,343.0,144.0,144.0,343.0,3696,2.87,2.87,0,0.0,109,223095,0.11,0.11,0.0,0.0,4.0,223095.0,Brasileirao Betano Serie A
Vitória,0.76,127.3103448275862,29,87.13,87.13,3311,177.7,182.23,191.67,175.67,179.71,1.5,42.47,42.47,1614,4.84,4.84,184,36.26,36.26,1378,11.79,11.79,448,38,19,19,38,29,18,5,0,0,30,13,1,1,0,2,5,2,217703.0,7.65,5,0.13,5,9.32,354,3,37,56,1.42,1.42,54,353.74,363.3,28.97,13442,85.71,0.0,7.0,9,26,1,0.13,0.13,1.0,0.03,5.0,219568.0,82.04,464,12.21,128,263,190,154,200,3,464,17.24,17.24,655,5.95,1.48,338.0,188.0,188.0,338.0,3692,2.76,2.76,7,0.18,105,32012884,0.03,0.03,0.0,0.0,1.0,28932718.0,Brasileirao Betano Serie A
Athletico PR,0.92,105.17142857142858,35,101.66,101.66,3863,185.5,184.2,192.6,178.19,182.95,1.89,47.24,47.24,1795,6.03,6.03,229,47.66,47.66,1811,13.11,13.11,498,38,19,19,38,29,13,2,1,1,27,9,3,1,0,2,6,3,217876.0,7.39,10,0.26,10,9.68,368,4,39,46,1.32,1.32,50,391.03,391.03,25.8,14859,50.0,1.0,1.0,9,26,0,0.16,0.16,1.0,0.03,6.0,37548344.0,92.03,576,15.16,147,340,246,186,234,3,576,17.61,17.61,669,6.83,2.6,1350.0,647.0,647.0,1350.0,3681,2.45,2.45,2,0.05,93,1408,0.05,0.05,0.0,0.0,2.0,260887.0,Brasileirao Betano Serie A
Botafogo,1.11,88.30952380952381,42,105.95,105.95,4026,181.0,180.38,192.33,177.69,180.54,2.2,53.97,53.97,2051,5.92,5.92,225,49.58,49.58,1884,15.29,15.29,581,38,19,19,38,20,6,3,0,0,33,16,6,3,1,1,12,7,24851.0,8.26,12,0.32,12,8.45,321,8,90,52,1.79,1.79,68,451.63,317.81,29.8,17162,66.67,2.0,4.0,10,24,1,0.11,0.11,0.0,0.0,4.0,160094.0,62.86,576,15.16,152,339,222,210,236,5,576,16.74,16.74,636,6.36,1.59,1756.0,1010.0,1010.0,1756.0,3709,2.68,2.68,3,0.08,102,544959,0.03,0.03,0.0,0.0,1.0,333542.0,Brasileirao Betano Serie A
Corinthians,1.03,95.51282051282053,39,93.92,93.92,3569,180.92,182.31,196.25,177.25,181.37,1.4,51.29,51.29,1949,5.53,5.53,210,41.24,41.24,1567,13.05,13.05,496,38,19,19,38,28,15,2,0,0,26,17,8,2,1,5,8,7,11322447.0,7.96,13,0.34,13,9.24,351,5,90,51,1.63,1.63,62,409.97,317.94,27.82,15579,71.43,2.0,5.0,14,30,1,0.11,0.11,1.0,0.03,4.0,32367.0,68.98,560,14.74,142,323,228,202,228,4,560,17.76,17.76,675,5.67,1.5,1938.0,1141.0,1141.0,1938.0,3725,2.92,2.92,5,0.13,111,218579,0.08,0.08,1.0,0.03,3.0,23084.0,Brasileirao Betano Serie A
Palmeiras,0.95,102.47222222222224,36,106.82,106.82,4059,176.5,183.5,193.25,178.23,181.19,2.1,54.29,54.29,2063,6.68,6.68,254,49.82,49.82,1893,13.87,13.87,527,38,19,19,38,22,8,3,0,0,27,20,6,4,3,2,11,9,219497.0,7.51,9,0.24,9,8.32,316,7,90,58,2.08,2.08,79,413.5,314.26,23.38,15713,88.89,1.0,8.0,11,27,0,0.13,0.13,0.0,0.0,5.0,217005.0,61.48,672,17.68,190,363,265,226,308,4,672,18.29,18.29,695,7.24,4.02,1026.0,614.0,614.0,1026.0,3689,2.42,2.42,6,0.16,92,129888,0.03,0.03,0.0,0.0,1.0,459703.0,Brasileirao Betano Serie A
Criciúma,0.74,132.32142857142858,28,89.29,89.29,3393,180.83,182.18,187.75,176.92,180.72,1.56,42.55,42.55,1617,4.68,4.68,178,39.29,39.29,1493,13.24,13.24,503,38,19,19,38,32,16,6,4,3,29,11,1,1,0,6,4,1,223102.0,7.48,11,0.29,11,8.84,336,4,90,63,1.89,1.89,72,365.47,330.67,27.67,13888,,,,9,29,0,0.08,0.08,0.0,0.0,3.0,219433.0,88.21,502,13.21,134,259,209,169,240,4,502,17.13,17.13,651,6.08,1.41,411.0,222.0,222.0,411.0,3705,2.55,2.55,1,0.03,97,161379,0.08,0.08,0.0,0.0,3.0,161379.0,Brasileirao Betano Serie A
Bragantino,0.84,114.84375,32,98.89,98.89,3758,179.14,185.0,190.0,177.45,181.7,1.78,46.97,46.97,1785,5.03,5.03,191,44.79,44.79,1702,13.05,13.05,496,38,19,19,38,32,13,2,1,0,28,12,2,1,1,2,7,1,31255673.0,7.65,5,0.13,5,8.97,341,3,6,48,0.97,0.97,37,370.13,343.05,28.24,14065,66.67,0.0,3.0,10,24,0,0.11,0.11,1.0,0.03,4.0,161362.0,83.52,498,13.11,112,270,223,167,228,3,498,17.79,17.79,676,6.44,2.09,1162.0,522.0,522.0,1162.0,3675,2.74,2.74,4,0.11,104,25930116,,,,,,,Brasileirao Betano Serie A
Grêmio,0.74,131.25,28,91.87,91.87,3491,179.63,182.31,191.0,174.71,179.92,1.56,45.58,45.58,1732,5.18,5.18,197,44.5,44.5,1691,10.79,10.79,410,38,19,19,38,30,17,3,0,0,26,14,4,0,0,1,7,2,253657.0,7.52,5,0.13,5,8.47,322,2,19,48,1.03,1.03,39,391.79,381.74,33.16,14888,66.67,0.0,3.0,5,30,0,0.21,0.21,0.0,0.0,8.0,625.0,83.52,449,11.82,128,272,158,167,171,3,449,17.03,17.03,647,6.96,1.61,1014.0,485.0,485.0,1014.0,3675,2.39,2.39,2,0.05,91,218449,,,,,,,Brasileirao Betano Serie A
Fluminense,0.68,142.1153846153846,26,102.05,102.05,3878,176.5,180.36,189.67,178.77,180.1,1.42,55.45,55.45,2107,4.68,4.68,178,45.76,45.76,1739,12.21,12.21,464,38,19,19,38,25,13,1,0,0,25,8,0,0,0,3,8,3,10948475.0,7.7,9,0.24,9,7.82,297,3,45,44,1.03,1.03,39,490.26,621.0,41.13,18630,25.0,3.0,1.0,10,22,0,0.13,0.13,1.0,0.03,5.0,128353.0,111.97,453,11.92,113,247,187,160,205,2,453,17.18,17.18,653,5.49,1.42,669.0,314.0,314.0,669.0,3695,2.97,2.97,7,0.18,113,186920,0.05,0.05,1.0,0.03,2.0,220331.0,Brasileirao Betano Serie A
Cruzeiro,0.79,122.6,30,97.11,97.11,3690,178.27,181.9,192.33,165.0,175.73,2.16,53.11,53.11,2018,5.39,5.39,205,43.74,43.74,1662,12.76,12.76,485,38,19,19,38,26,11,3,1,0,25,13,5,0,0,4,7,3,160194.0,7.53,11,0.29,11,7.68,292,3,90,43,1.47,1.47,56,452.24,440.64,34.58,17185,80.0,1.0,4.0,8,24,0,0.11,0.11,0.0,0.0,4.0,223664.0,85.53,497,13.08,124,272,217,164,225,3,497,16.0,16.0,608,5.9,1.46,1051.0,595.0,595.0,1051.0,3678,2.55,2.55,2,0.05,97,160194,0.05,0.05,0.0,0.0,2.0,219479.0,Brasileirao Betano Serie A
São Paulo,0.95,102.44444444444444,36,101.13,101.13,3843,176.43,181.46,193.33,177.36,179.92,1.9,56.76,56.76,2157,5.16,5.16,196,40.58,40.58,1542,12.18,12.18,463,38,19,19,38,26,14,2,1,0,31,16,6,0,0,3,7,6,95998.0,7.49,11,0.29,11,6.76,257,3,84,48,1.53,1.53,58,507.58,401.83,40.95,19288,75.0,1.0,3.0,15,21,0,0.05,0.05,0.0,0.0,2.0,335693.0,69.58,471,12.39,134,287,184,162,181,4,471,15.63,15.63,594,6.0,1.65,1267.0,481.0,481.0,1267.0,3688,2.63,2.63,14,0.37,100,187052,0.05,0.05,1.0,0.03,2.0,187052.0,Brasileirao Betano Serie A
Bahia,1.05,92.375,40,100.92,100.92,3835,178.0,182.0,190.33,176.89,180.5,1.9,56.24,56.24,2137,4.84,4.84,184,46.5,46.5,1767,11.53,11.53,438,38,19,19,38,28,15,5,1,0,31,14,3,1,0,3,8,2,217651.0,7.34,12,0.32,12,8.97,341,6,90,56,1.76,1.76,67,515.42,416.72,38.03,19586,50.0,0.0,2.0,10,19,2,0.03,0.03,0.0,0.0,1.0,25137.0,75.41,515,13.55,128,319,217,177,194,4,515,15.79,15.79,600,7.23,2.73,2297.0,1377.0,1377.0,2297.0,3695,2.21,2.21,1,0.03,84,458994,,,,,,,Brasileirao Betano Serie A
